ʼ	ʰ
ноа̄ҏтэль	n ɒː r̥ t ɛ lʲ
ноа̄ӈӈк	n ɒː ŋː k
нуаҏҏт	n u̯ a r̥ː t
нуэййтвудт	n u̯ ɛ jː t v u d̥͡t
ныммьп	n ɨ mʲː pʲ
ныммьпоаррк	n ɨ mʲː pʲ ɒ rː k
нышшь	n ɨ ʃʲː
нэ̄дт	n ɛː d̥͡t
нэ̄ммп	n ɛː mː p
нэ̄ммпе̄ййв	n ɛː mː p i̯ e jː v
нэһкь	n ɛ hʲ kʲ
ню̄лл	ɲ uː lː
нюлл	ɲ u lː
нюннҍ	ɲ u nʲː
нюххч	ɲ u xː t͡ʃʲ
нюххчма̄нн	ɲ u xː t͡ʃʲ m aː nː
нюэммель	ɲ u̯ ɛ mʲː e lʲ
нюэццьк	ɲ u̯ ɛ t͡sʲː kʲ
ня̄лльм	ɲ aː lʲː m
ня̄льянт	ɲ aː ʎː a n t
ня̄льянтпе̄ййв	ɲ aː ʎː a n t p i̯ e jː v
нӣввьл	n iː vʲː lʲ
нӣййт	n iː jː t
нӣрр	n iː rː
нӣссэ	n iː sː ɛ
нӯрр	n uː rː
нӯррь	n uː rʲː
нӯҏҏьт	n uː r̥ʲː tʲ
нӯһтҍ	n uː hʲ tʲ
о̄дт	oː d̥͡t
о̄дтыгкьма̄нн	oː d t ɨ ɡʲ kʲ m aː nː
о̄ллк	oː lː k
о̄ллмай	oː lː m a j
о̄ллмэ	oː lː m ɛ
о̄ллмэгуэйм	oː lː m ɛ ɡ u̯ ɛ j m
о̄ххтэ	oː xː t ɛ
о̄һпнуввэ	oː h p n u vː ɛ
оа̄б	ɒː b
оа̄бпан	ɒː b̥͡p a n
оа̄ккшэ	ɒː kː ʃ ɛ
оа̄нҍ	ɒː nʲ
оа̄ррьтэ	ɒː rʲː tʲ ɛ
оа̄ххш	ɒː xː ʃ
оа̄шшьтсэллэ	ɒː ʃʲː t͡s ɛ lː ɛ
оаввт	ɒ vː t
оаккшэ	ɒ kː ʃ ɛ
оаннӭ	ɒ nʲː ɛ
оанҍ	ɒ nʲ
оарсэ	ɒ r s ɛ
оаҏҏьт	ɒ r̥ʲː tʲ
олма	o l m a
олмэнч	o l m ɛ n t͡ʃʲ
отеральнэһкь	o tʲ e r a lʲ nʲ ɛ hʲ kʲ
па̄ннҍ	p aː nʲː
па̄ррьн	p aː rʲː n
па̄ҋк	p aː j̥ k
па̄ҋҋк	p aː j̥ː k
па̄ҏҏк	p aː r̥ː k
па̄һкь	p aː hʲ kʲ
па̄ӆӆьк	p aː l̥ʲː k
па̄ӆӆьктэ	p aː l̥ʲː k t ɛ
пальтэсь	p a lʲ dʲ ɛ sʲ
папирос	p a p i r o s
папироса	p a p i r o s a
пассьпе̄ййв	p a sʲː p i̯ e jː v
пе̄ййв	p i̯ e jː v
пе̄лльй	p i̯ e ʎː
пе̄ннэ	p i̯ e nː ɛ
пе̄ренҍ	p i̯ e rʲ e nʲ
пе̄цехь	p i̯ e t͡sʲ e xʲ
пе̄шштра̄кэнч	p i̯ e ʃː t r aː k ɛ ɲ t͡ʃʲ
по̄ннц	p oː nː t͡s
по̄ра	p oː r a
по̄ррк	p oː rː k
по̄рркма̄нн	p oː rː k m aː nː
по̄ррмушш	p oː rː m u ʃː
по̄ррэ	p oː rː ɛ
поа̄гэ	p ɒː ɡ ɛ
поа̄дэн	p ɒː d ɛ n
поа̄һк	p ɒː h k
поа̄һкан	p ɒː h k a n
поадэск	p ɒ d ɛ s k
поаррькма̄нн	p ɒ rʲː k m aː nː
поаҏҏшвуэййв	p ɒ r̥ː ʃ v u̯ ɛ jː v
порьяс	p o rʲ j a s
поҏсэ	p o r̥ s ɛ
пра̄зьнэһкь	p r aː zʲ n ɛ hʲ kʲ
проавлогк	p r ɒ v l o ɡ k
пуадтмушш	p u̯ a d̥͡t m u ʃː
пуай	p u̯ a j
пуашш	p u̯ a ʃː
пуэдт	p u̯ ɛ d̥͡t
пуэррев	p u̯ ɛ rʲː e v
пуэшенҍ	p u̯ ɛ ʃʲ e nʲ
пуэҏҏьт	p u̯ ɛ r̥ʲː t
пуэҏҏьт	p u̯ ɛ r̥ʲː tʲ
пуӆӆьк	p u l̥ʲː kʲ
пыссяр	p ɨ sʲː a r
пыххс	p ɨ xː s
пыӈал	p ɨ ŋ a l
пыӈӈкав	p ɨ ŋː k a v
пэ̄ввл	p ɛː vː l
пэ̄дт	p ɛː d̥͡t
пэ̄дтчалльм	p ɛː d̥͡tː ʃ a lʲː m
пэ̄ҏҏт	p ɛː r̥ː t
пя̄цкрэнч	pʲ e̯ a t͡s k r ɛ n t͡ʃʲ
пӣһкь	p iː hʲ kʲ
пӣӈкнэ	p iː ŋ k n ɛ
пӣӈкхэшкуэдтӭ	p iː ŋ k x ɛ ʃ k u̯ ɛ d̥͡tʲ ɛ
пӣӈӈксэллмушш	p iː ŋː k s ɛ lː m u ʃː
пӣӈӈькъемушш	p iː ŋʲː k j e m u ʃː
пӯджь	p uː d͡ʒʲ
пӯджьпоа̄плэнч	p uː d͡ʒʲ p ɒː p l ɛ ɲ t͡ʃʲ
пӯдзэ	p uː d͡z ɛ
пӯйе	p uː j e
пӯррн	p uː rː n
ра̄вэшк	r aː v ɛ ʃ k
ра̄дт	r aː d̥͡t
ра̄ййт	r aː jː t
ра̄нн	r aː nː
ра̄нӭсь	r aː nʲ ɛ sʲ
ра̄ттҍк	r aː tʲː k
ра̄ффьк	r aː fʲː k
ра̄ӈӈьк	r aː ŋʲː kʲ
раннҍт	r a nʲː tʲ
ре̄мас	rʲ eː m a s
ро̄гк	r oː ɡ k
ро̄ссь	r oː sʲː
роа̄н	r ɒː n
роашшьн	r ɒ ʃʲː n
рукэмоййнэһкь	r u k ɛ m o jː n ɛ hʲ kʲ
руэшшьк	r u̯ ɛ ʃʲː kʲ
руэһк	r u̯ ɛ h k
рыбп	r ɨ b̥͡p
рыййт	r ɨ jː t
рыннт	r ɨ nː t
рыннҍ	r ɨ nʲː
рыссе	r ɨ sʲː e
рысст	r ɨ sː t
рыһк	r ɨ h k
рыһп	r ɨ h p
рыһпва̄лль	r ɨ h p v aː lʲː
рыһпмушш	r ɨ h p m u ʃː
рыһпмӯррьй	r ɨ h p m uː rʲː j
рыһпчуэррьв	r ɨ h p t͡ʃʲ u̯ ɛ rʲː v
рэ̄гкэмма̄нн	r ɛː ɡ k ɛ mː aː nː
рӣммьн	r iː mʲː nʲ
рӣссэм	r iː sː ɛ m
рӣӈӈьк	r iː ŋʲː k
рӯввьт	r uː vʲː tʲ
рӯййт	r uː jː tʲ
рӯккс	r uː kː s
рӯккьс	r uː kʲː sʲ
рӯпэр	r uː p ɛ r
рӯсст	r uː sː t
рӯшш	r uː ʃː
рӯшшсе	r uː ʃː sʲ e
рӯһп	r uː h p
са̄гк	s aː ɡ k
са̄ййм	s aː jː m
са̄ккьс	s aː kʲː s
са̄нна	s aː nː a
са̄ннҍ	s aː nʲː
са̄ннҍкыррьй	s aː nʲː k ɨ rʲː j
са̄ннҍнэһкь	s aː nʲː nʲ ɛ hʲ kʲ
са̄ннӭ	s aː nʲː ɛ
са̄ррнэ	s aː rː n ɛ
са̄ҋҋт	s aː j̥ː tʲ
са̄һплиӈӈьк	s aː h p l i ŋʲː k
са̄ӈӈк	s aː ŋː k
саррь	s a rʲː
се̄ббр	s i̯ e bː r
се̄ббьр	s i̯ e bʲː rʲ
се̄ййп	s i̯ e jː p
се̄лльк	s i̯ e lʲː k
се̄рэ	s i̯ e r ɛ
се̄ҏҏп	s i̯ e r̥ː p
ска̄һт	s k aː h t
скуммьп	s k u mʲː pʲ
со̄нн	s oː nː
соа̄гк	s ɒː ɡ k
соа̄гкнэһкь	s ɒː ɡ k n ɛ hʲ kʲ
соа̄м	s ɒː m
соа̄нн	s ɒː nː
соа̄рнънэ	s ɒː r n n ɛ
соаӈӈьк	s ɒ ŋʲː k
ста̄лль	s t aː lʲː
страӈӈ	s t r a ŋː
сувсэ	s u v s ɛ
сулльм	s u lʲː m
суммь	s u mʲː
суэйй	s u̯ ɛ jː
суэл	s u̯ ɛ l
суэррьв	s u̯ ɛ rʲː v
суэӈэч	s u̯ ɛ ŋ ɛ t͡ʃʲ
суһк	s u h k
сэ̄кксэм	s ɛː kː s ɛ m
сэ̄лл	s ɛː lː
сэфс	s ɛ f s
ся̄ббрэ	sʲ e̯ a bː r ɛ
ся̄м	s e̯ a m
сӣййнэ	s iː j n ɛ
сӣррэ	s iː rː ɛ
сӯгкэ	s uː ɡ k ɛ
сӯе	s uː j e
сӯе	s uː j e
сӯйй	s uː jː
сӯййнма̄нн	s uː jː n m aː nː
сӯл	s uː l
сӯлл	s uː lː
сӯлль	s uː lʲː
сӯнн	s uː nː
сӯнӭнч	s uː nʲ ɛ n t͡ʃʲ
та̄енч	t aː j e n t͡ʃʲ
Та̄йй	t aː jː
та̄йй	t aː jː
та̄лльв	t aː lʲː v
та̄ммьп	t aː mʲː pʲ
Та̄рр	t aː rː
та̄рр	t aː rː
та̄ррлэнч	t aː rː l ɛ n t͡ʃʲ
та̄ффьт	t aː fʲː t
та̄ххьт	t aː xʲː tʲ
таннҍ	t a nʲː
те̄йнчлиннк	t i̯ e j n t͡ʃʲ l i nː k
те̄лл	t i̯ e lː
те̄ннчлэк	t i̯ e nː t͡ʃʲ l ɛ k
те̄ррь	t i̯ e rʲː
телеграмма	tʲ e lʲ e ɡ r a mː a
то̄лл	t oː lː
то̄ллшэ	t oː lː ʃ ɛ
то̄рэх	t oː r ɛ x
то̄һп	t oː h p
тоаӈӈьк	t ɒ ŋʲː k
толльк	t o lʲː k
тоӆсэ	t o l̥ s ɛ
трыччкэ	t r ɨ t͡ʃʲː k ɛ
туарр	t u̯ a rː
тубпэ	t u b̥͡p ɛ
тула	t u l a
туррьп	t u rʲː p
туэнн	t u̯ ɛ nː
туэннэ	t u̯ ɛ nː ɛ
туҏҏшэ	t u r̥ː ʃ ɛ
туһк	t u h k
тыввэ	t ɨ vː ɛ
тыгквэннҍ	t ɨ ɡ k v ɛ nʲː
тылльй	t ɨ ʎː
тыххс	t ɨ xː s
тыххьк	t ɨ hʲ kʲ
тыһкь	t ɨ hʲ kʲ
тыӈӈ	t ɨ ŋː
тэӈс	t ɛ ŋ s
тя̄ге	tʲ e̯ a ɡʲ e
тя̄лл	tʲ e̯ a lː
тя̄рас	tʲ e̯ a r a s
тӣрьмэсью̄ккс	t iː rʲ m ɛ sʲ uː kː s
тӣтэ	t iː t ɛ
тӣһт	t iː h t
тӯваш	t uː v a ʃ
тӯввнэ	t uː vː n ɛ
тӯйй	t uː jː
тӯн	t uː n
тӯннэ	t uː nː ɛ
тӯттк	t uː tː k
тӯшша	t uː ʃː a
тӯӆӆьк	t uː l̥ʲː k
удця	u d̥͡t͡ sʲ a
уккс	u kː s
уккскэнтэш	u kː s k ɛ n t ɛ ʃ
улл	u lː
уськ	u sʲ kʲ
учтэлль	u t͡ʃʲ t ɛ lʲː
уше	u ʃʲ e
уҏҏт	u r̥ː t
уһцэ	u h t͡s ɛ
уһцэй	u h t͡s ɛ j
фло̄һт	f l oː h t
ха̄бпь	x aː b̥͡pʲ
хаӈӈькэ	x a ŋʲː k ɛ
хо̄ррм	x oː rː m
цаӈӈьк	t͡s a ŋʲː k
це̄һп	t͡s i̯ e h p
це̄һпь	t͡s i̯ e hʲ pʲ
це̄ӆӆькэ	t͡s i̯ e l̥ʲː k ɛ
цеассан	t͡sʲ e̯ a sː a n
цоа̄ра̄һкь	t͡s ɒː r aː hʲ kʲ
цуэҏҏьта̄һкь	t͡s u̯ ɛ r̥ʲː t aː hʲ kʲ
цуэӈ	t͡s u̯ ɛ ŋ
цыдз	t͡s ɨ d͡z
цыһц	t͡s ɨ h t͡s
цыӈӈк	t͡s ɨ ŋː k
цыӈӈьк	t͡s ɨ ŋʲː kʲ
цӯһць	t͡s uː h t͡sʲ
ча̄бар	t͡ʃʲ aː b a r
ча̄вврас	t͡ʃʲ aː vː r a s
ча̄дзь	t͡ʃʲ aː d͡zʲ
ча̄дзьчуххч	t͡ʃʲ aː d͡zʲ t͡ʃʲ u xː t͡ʃʲ
ча̄йй	t͡ʃʲ aː jː
ча̄шэнҍ	t͡ʃʲ aː ʃ ɛ nʲ
чаллан	t͡ʃʲ a lː a n
чалльм	t͡ʃʲ a lʲː m
чалльмка̄герь	t͡ʃʲ a lʲː m k aː ɡʲ e rʲ
чальмрэ̄мс	t͡ʃʲ a lʲ m r ɛː m s
чальмря̄ммчлэмпайй	t͡ʃʲ a lʲ m rʲ e̯ a mː t͡ʃʲ l ɛ m p a jː
чаццькэ	t͡ʃʲ a t͡sʲː k ɛ
че̄вьресь	t͡ʃʲ i̯ e vʲ rʲ e sʲ
че̄д	t͡ʃʲ ɛː d
че̄дза	t͡ʃʲ i̯ e d͡z a
че̄ккс	t͡ʃʲ i̯ e kː s
че̄лльк	t͡ʃʲ i̯ e lʲː kʲ
че̄ллэ	t͡ʃʲ i̯ e lː ɛ
че̄ххс	t͡ʃʲ i̯ e xː s
че̄ххчма̄нн	t͡ʃʲ i̯ e xː t͡ʃʲ m aː nː
че̄шшьн	t͡ʃʲ i̯ e ʃʲː n
челмас	t͡ʃʲ e l m a s
череӈк	t͡ʃʲ e rʲ e ŋ k
чиррм	t͡ʃʲ i rː m
чиххс	t͡ʃʲ i xː s
чо̄ллк	t͡ʃʲ oː lː k
чо̄мм	t͡ʃʲ oː mː
чоа̄һпесь	t͡ʃʲ ɒː h pʲ e sʲ
чоа̄һпэ	t͡ʃʲ ɒː h p ɛ
чоҏэдэ	t͡ʃʲ o r̥ ɛ d ɛ
чуввьт	t͡ʃʲ u vʲː tʲ
чуххч	t͡ʃʲ u xː t͡ʃʲ
чуэддҍк	t͡ʃʲ u̯ ɛ dʲː k
чуэййв	t͡ʃʲ u̯ ɛ jː v
чуэлльм	t͡ʃʲ u̯ ɛ lʲː mʲ
чуэннҍ	t͡ʃʲ u̯ ɛ nʲː
чуэнь	t͡ʃʲ u̯ ɛ ɲ
чуэрьвхэмь	t͡ʃʲ u̯ ɛ rʲ v x ɛ mʲ
чуһкь	t͡ʃʲ u hʲ kʲ
чӣввршэ	t͡ʃʲ iː vː r ʃ ɛ
чӣллькъеннтэ	t͡ʃʲ iː lʲː k j e nː t ɛ
чӣӈк	t͡ʃʲ iː ŋ k
