â	a
ac	e ɨ̯ l ɔ d k ə n ɨ̞ ɬ j a d
ac	a k
academaidd	a k a d ɛ m a i̯ ð
academaidd	a k a d ɛ m ɛ ð
academaidd	a k a d ɛ m ɛ ð
academi	a k a d ɛ m i
academïau	a k a d ɛ m iː a ɨ̯
academïau	a k a d ɛ m iː ɛ
academïau	a k a d ɛ m iː a
academïau	a k a d ɛ m iː ɛ
academïau	a k a d ɛ m iː a
academydd	a k a d ɛ m ɨ̞ ð
academyddion	a k a d ɛ m ə ð j ɔ n
acau	e ɨ̯ l ɔ d a ɨ̯ k ə n ɨ̞ ɬ j a d
acau	e ɨ̯ l ɔ d ɛ k ə n ɨ̞ ɬ j a d
acau	e ɨ̯ l ɔ d a k ə n ɨ̞ ɬ j a d
acau	e ɨ̯ l ɔ d ɛ k ə n ɨ̞ ɬ j a d
acau	e ɨ̯ l ɔ d a k ə n ɨ̞ ɬ j a d
acen	a k ɛ n
acen ddisgynedig	a k ɛ n ð ɪ s ɡ ə n ɛ d ɪ ɡ
acen ddyrchafedig	a k ɛ n ð ə r χ a v ɛ d ɪ ɡ
acen grom	a k ɛ n ɡ r ɔ m
aceniad	a k ɛ n j a d
aceniadau	a k ɛ n j a d a ɨ̯
aceniadau	a k ɛ n j a d ɛ
aceniadau	a k ɛ n j a d a
aceniadau	a k ɛ n j a d ɛ
aceniadau	a k ɛ n j a d a
acenion	a k ɛ n j ɔ n
acenion crwm	a k ɛ n j ɔ ŋ k r ʊ m
acenion crymion	a k ɛ n j ɔ ŋ k r ə m j ɔ n
acenion disgynedig	a k ɛ n j ɔ n d ɪ s ɡ ə n ɛ d ɪ ɡ
acenion dyrchafedig	a k ɛ n j ɔ n d ə r χ a v ɛ d ɪ ɡ
acennu	a k ɛ n ɨ
acer	a k ɛ r
acer	a k a r
acer	a k a r
act	a k t
actau	a k t a ɨ̯
actau	a k t ɛ
actau	a k t a
actau	a k t ɛ
actau	a k t a
acti	a k t i
actiaf	a k t j a v
actio	a k t j ɔ
actor	a k t ɔ r
actores	a k t ɔ r ɛ s
actoresau	a k t ɔ r ɛ s a ɨ̯
actoresau	a k t ɔ r ɛ s ɛ
actoresau	a k t ɔ r ɛ s a
actoresau	a k t ɔ r ɛ s ɛ
actoresau	a k t ɔ r ɛ s a
actorion	a k t ɔ r j ɔ n
acw	a k u
ach	aː χ
ach	a χ
acha	a χ a
achan	a χ a n
achles	a χ l ɛ s
achlesau	a χ l ɛ s a ɨ̯
achlesau	a χ l ɛ s ɛ
achlesau	a χ l ɛ s a
achlesau	a χ l ɛ s ɛ
achlesau	a χ l ɛ s a
achlesu	a χ l ɛ s ɨ̞
achlod	a χ l ɔ d
achlysur	a χ l ə s ɨ̞ r
achlysurol	a χ l ə s ɨ̞ r ɔ l
achlysuron	a χ l ə s ɨ̞ r ɔ n
achos	a χ ɔ s
achos	χ ɔ s
achosaf	a χ ɔ s a v
achosi	a χ ɔ s i
achosion	a χ ɔ ʃ ɔ n
achres	a χ r ɛ s
achub	a χ ɨ̞ b
achubiaeth	a χ ɨ̞ b j a ɨ̯ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubol	a χ ɨ̞ b ɔ l
achubwr	a χ ɨ̞ b ʊ r
achubwyr	a χ ɨ̞ b w ɨ̞ r
achwyn	a χ ʊ ɨ̯ n
achwyn	a χ w ɨ̞ n
achwyniad	a χ ʊ ɨ̯ n j a d
achwyniadau	a χ ʊ ɨ̯ n j a d a ɨ̯
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwynwr	a χ ʊ ɨ̯ n j ʊ r
achwynwyr	a χ ʊ ɨ̯ n w ɨ̞ r
achwynydd	a χ ʊ ɨ̯ n j ɨ̞ ð
achydd	a χ ɨ̞ ð
achyddiaeth	a χ ə ð j a ɨ̯ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddion	a χ ə ð j ɔ n
achyddol	a χ ə ð ɔ l
ad	aː d
adael	a d a ɨ̯ l
adael	a d ɛ l
adael	a d a l
adael	a d ɛ l
adael	a d a l
adain	a d a i̯ n
adain	a d ɛ n
adain	a d ɛ n
adanedd	a d a n ɛ ð
adar	a d a r
adar duon	a d a r d ɨː ɔ n
adar o'r unlliw hedant i'r unlle	a d a r ɔ r ɨ̞ n ɬ ɨ̞ u̯ h ɛ d a n t ɪ r ɨ̞ n ɬ ɛ
adar y bwn	a d a r ə b ʊ n
adara	a d a r a
adardai	a d a r d a i̯
adardy	a d a r d ɨ̞
adareg	a d a r ɛ ɡ
adaregol	a d a r ɛ ɡ ɔ l
adaregwyr	a d a r ɛ ɡ w ɨ̞ r
adaregydd	a d a r ɛ ɡ ɨ̞ ð
adargi	a d a r ɡ ɪ
adargraffiad	a d a r ɡ r a f j a d
adargraffiadau	a d a r ɡ r a f j a d a ɨ̯
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffiadau	a d a r ɡ r a f j a d a
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffiadau	a d a r ɡ r a f j a d a
adargraffu	a d a r ɡ r a f ɨ̞
adargwn	a d a r ɡ ʊ n
adarwr	a d a r ʊ r
adarwyr	a d a r w ɨ̞ r
adarydd	a d a r ɨ̞ ð
adarydda	a d a r ə ð a
adaryddiaeth	a d a r ə ð j a ɨ̯ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddion	a d a r ə ð j ɔ n
adawed	a d a u̯ ɛ d
adborth	a d b ɔ r θ
adborthion	a d b ɔ r θ j ɔ n
adeg	a d ɛ ɡ
adeg	a d a ɡ
adeg	a d a ɡ
adegau	a d ɛ ɡ a ɨ̯
adegau	a d ɛ ɡ ɛ
adegau	a d ɛ ɡ a
adegau	a d ɛ ɡ ɛ
adegau	a d ɛ ɡ a
adeilad	a d e i̯ l a d
adeiladaeth	a d e i̯ l a d a ɨ̯ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a ɨ̯
adeiladaethau	a d e i̯ l a d e ɨ̯ θ ɛ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a
adeiladaethau	a d e i̯ l a d e ɨ̯ θ ɛ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a
adeiladau	a d e i̯ l a d a ɨ̯
adeiladau	a d e i̯ l a d ɛ
adeiladau	a d e i̯ l a d a
adeiladau	a d e i̯ l a d ɛ
adeiladau	a d e i̯ l a d a
adeiladol	a d e i̯ l a d ɔ l
adeiladu	a d e i̯ l a d ɨ̞
adeiladwaith	a d e i̯ l a d w a i̯ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a ɨ̯
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a
adeiladwr	a d e i̯ l a d ʊ r
adeiladwyr	a d e i̯ l a d w ɨ̞ r
adeiniog	a d e i̯ n j ɔ ɡ
aden	a d ɛ n
adenedigaeth	a d ɛ n ɛ d ɪ ɡ a ɨ̯ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a ɨ̯
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ ɛ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ ɛ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a
adennill	a d ɛ n ɪ ɬ
adenydd	a d ɛ n ɨ̞ ð
aderyn	a d ɛ r ɨ̞ n
aderyn	d ɛ r ɨ̞ n
aderyn	d ɛ r ɨ̞ n
aderyn du	a d ɛ r ɨ̞ n d ɨː
aderyn du	d ɛ r ɨ̞ n d ɨː
aderyn du	d ɛ r ɨ̞ n d ɨː
aderyn y bwn	a d ɛ r ɨ̞ n ə b ʊ n
adfail	a d v a i̯ l
adfeddiannu	a d v ɛ ð j a n ɨ
adfeiliad	a d v e i̯ l j a d
adfeiliadau	a d v e i̯ l j a d a ɨ̯
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliadau	a d v e i̯ l j a d a
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliadau	a d v e i̯ l j a d a
adfeiliedig	a d v e i̯ l j ɛ d ɪ ɡ
adfeilio	a d v e i̯ l j ɔ
adfeilion	a d v e i̯ l j ɔ n
adfent	a d v ɛ n t
adfer	a d v ɛ r
adfer	a d v a r
adfer	a d v a r
adferadwy	a d v ɛ r a d ʊ ɨ̯
adferaf	a d v ɛ r a v
adferaf	a d v ɛ r a
adferaf	a d v ɛ r a
adferant	a d v ɛ r a n t
adferent	a d v ɛ r ɛ n t
adferf	a d v ɛ r v
adferfol	a d v ɛ r v ɔ l
adferiad	a d v ɛ r j a d
adferiadau	a d v ɛ r j a d a ɨ̯
adferiadau	a d v ɛ r j a d ɛ
adferiadau	a d v ɛ r j a d a
adferiadau	a d v ɛ r j a d ɛ
adferiadau	a d v ɛ r j a d a
adferiadwyr	a d v ɛ r j a d ə ð w ɨ̞ r
adferiadydd	a d v ɛ r j a d ɨ̞ ð
adferiadyddion	a d v ɛ r j a d ə ð j ɔ n
adferiedydd	a d v ɛ r j ɛ d ɨ̞ ð
adfero	a d v ɛ r ɔ
adferol	a d v ɛ r ɔ l
adferwr	a d v ɛ r ʊ r
adferwyr	a d v ɛ r w ɨ̞ r
adfilwr	a d v ɪ l ʊ r
adfilwyr	a d v ɪ l w ɨ̞ r
adflas	a d v l a s
adflasau	a d v l a s a ɨ̯
adflasau	a d v l a s ɛ
adflasau	a d v l a s a
adflasau	a d v l a s ɛ
adflasau	a d v l a s a
adfyd	a d v ɨ̞ d
adfydau	a d v ə d a ɨ̯
adfydau	a d v ə d ɛ
adfydau	a d v ə d a
adfydau	a d v ə d ɛ
adfydau	a d v ə d a
adfydus	a d v ə d ɨ̞ s
adfyw	a d v ɨ̞ u̯
adfywiad	a d v ɨ̞ u̯ j a d
adfywiadau	a d v ɨ̞ u̯ j a d a ɨ̯
adfywiadau	a d v ɨ̞ u̯ j a d ɛ
adfywiadau	a d v ɨ̞ u̯ j a d a
adfywiadau	a d v ɨ̞ u̯ j a d ɛ
adfywiadau	a d v ɨ̞ u̯ j a d a
adfywio	a d v ɨ̞ u̯ j ɔ
adfywiol	a d v ɨ̞ u̯ j ɔ l
adio	a d j ɔ
adladd	a d l a ð
adlais	a d l a i̯ s
adlam	a d l a m
adlamau	a d l a m a ɨ̯
adlamau	a d l a m ɛ
adlamau	a d l a m a
adlamau	a d l a m ɛ
adlamau	a d l a m a
adlamu	a d l a m ɨ̞
adlaw	a d l a u̯
adlef	a d l ɛ v
adlefau	a d l ɛ v a ɨ̯
adlefau	a d l ɛ v ɛ
adlefau	a d l ɛ v a
adlefau	a d l ɛ v ɛ
adlefau	a d l ɛ v a
adleisiau	a d l e i̯ ʃ a ɨ̯
adleisiau	a d l e i̯ ʃ ɛ
adleisiau	a d l e i̯ ʃ a
adleisiau	a d l e i̯ ʃ ɛ
adleisiau	a d l e i̯ ʃ a
adleisio	a d l e i̯ ʃ ɔ
adloniant	a d l ɔ n j a n t
adlyn	a d l ɨ̞ n
adlŷn	a d l ɨː n
adlynol	a d l ə n ɔ l
adlynu	a d l ə n ɨ̞
adnabod	a d n a b ɔ d
adnabyddant	a d n a b ə ð a n t
adnabyddi	a d n a b ə ð ɪ
adnabyddus	a d n a b ə ð ɨ̞ s
adnabyddwch	a d n a b ə ð ʊ χ
adnabyddwn	a d n a b ə ð ʊ n
adnebydd	a d n ɛ b ɨ̞ ð
adnodd	a d n ɔ ð
adolygu	a d ɔ l ə ɡ ɨ̞
adra	a d r a
adran	a d r a n
adre	a d r ɛ
adre	a d r a
adre	a d r a
adref	a d r ɛ v
adref	a d r ɛ
adref	a d r a
adref	a d r ɛ
adref	a d r a
adrodd	a d r ɔ ð
adroddaf	a d r ɔ ð a v
adroddaf	a d r ɔ ð a
adroddaf	a d r ɔ ð a
adroddiad	a d r ɔ ð j a d
adwaen	a d w a ɨ̯ n
adwaenai	a d w e ɨ̯ n a i̯
adwaenant	a d w e ɨ̯ n a n t
adwaenech	a d w e ɨ̯ n ɛ χ
adwaenem	a d w e ɨ̯ n ɛ m
adwaenent	a d w e ɨ̯ n ɛ n t
adwaenid	a d w e ɨ̯ n ɪ d
adwaenir	a d w e ɨ̯ n ɪ r
adwaenit	a d w e ɨ̯ n ɪ t
adwaenoch	a d w e ɨ̯ n ɔ χ
adwaenom	a d w e ɨ̯ n ɔ m
adwaenost	a d w e ɨ̯ n ɔ s d
adwaenwch	a d w e ɨ̯ n ʊ χ
adwaenwn	a d w e ɨ̯ n ʊ n
adwaenynt	a d w e ɨ̯ n ɨ̞ n t
adweinaf	a d w e i̯ n a v
adweini	a d w e i̯ n i
adweinid	a d w e i̯ n ɪ d
adweinir	a d w e i̯ n ɪ r
adweitheg	a d w e i̯ θ ɛ ɡ
adweithegwyr	a d w e i̯ θ ɛ ɡ w ɨ̞ r
adweithegydd	a d w e i̯ θ ɛ ɡ ɨ̞ ð
adwen	a d w ɛ n
adwthio	a d ʊ θ j ɔ
addas	a ð a s
addasu	a ð a s ɨ̞
addawa	a ð a u̯ a
addaweb	a ð a u̯ ɛ b
addawebau	a ð a u̯ ɛ b a ɨ̯
addawebau	a ð a u̯ ɛ b ɛ
addawebau	a ð a u̯ ɛ b a
addawebau	a ð a u̯ ɛ b ɛ
addawebau	a ð a u̯ ɛ b a
addef	a ð ɛ v
addewid	a ð ɛ u̯ ɪ d
addo	a ð ɔ
addoldy	a ð ɔ l d ɨ̞
addolgar	a ð ɔ l ɡ a r
addoliad	a ð ɔ l j a d
addolwr	a ð ɔ l ʊ r
addolwyr	a ð ɔ l w ɨ̞ r
addurn	a ð ɨ̞ r n
addurnau	a ð ɨ̞ r n a ɨ̯
addurnau	a ð ɨ̞ r n ɛ
addurnau	a ð ɨ̞ r n a
addurnau	a ð ɨ̞ r n ɛ
addurnau	a ð ɨ̞ r n a
addurno	a ð ɨ̞ r n ɔ
addysg	a ð ɨ̞ s ɡ
addysgau	a ð ə s ɡ a ɨ̯
addysgau	a ð ə s ɡ ɛ
addysgau	a ð ə s ɡ a
addysgau	a ð ə s ɡ ɛ
addysgau	a ð ə s ɡ a
addysgu	a ð ə s ɡ ɨ̞
aeaf	e ɨ̯ a v
aeaf	e ɨ̯ a
aeaf	e ɨ̯ a
aech	aː ɨ̯ χ
aed	aː ɨ̯ d
aeddfed	a ɨ̯ ð v ɛ d
ael	aː ɨ̯ l
aeled	e ɨ̯ l ɛ d
aeledau	e ɨ̯ l ɛ d a ɨ̯
aeledau	e ɨ̯ l ɛ d ɛ
aeledau	e ɨ̯ l ɛ d a
aeledau	e ɨ̯ l ɛ d ɛ
aeledau	e ɨ̯ l ɛ d a
aeliau	e ɨ̯ l j a ɨ̯
aeliau	e ɨ̯ l j ɛ
aeliau	e ɨ̯ l j a
aeliau	e ɨ̯ l j ɛ
aeliau	e ɨ̯ l j a
aelod	e ɨ̯ l ɔ d
aelod cynulliad	e ɨ̯ l ɔ d k ə n ɨ̞ ɬ j a d
aelod o'r senedd	e ɨ̯ l ɔ d ɔ r s ɛ n ɛ ð
aelod seneddol	e ɨ̯ l ɔ d s ɛ n ɛ ð ɔ l
aelodaeth	e ɨ̯ l ɔ d a ɨ̯ θ
aelodaeth	e ɨ̯ l ɔ d ɛ θ
aelodaeth	e ɨ̯ l ɔ d ɛ θ
aelodaethau	e ɨ̯ l ɔ d e ɨ̯ θ a ɨ̯
aelodaethau	e ɨ̯ l ɔ d e ɨ̯ θ ɛ
aelodaethau	e ɨ̯ l ɔ d e ɨ̯ θ a
aelodaethau	e ɨ̯ l ɔ d e ɨ̯ θ ɛ
aelodaethau	e ɨ̯ l ɔ d e ɨ̯ θ a
aelodau	e ɨ̯ l ɔ d a ɨ̯
aelodau	e ɨ̯ l ɔ d ɛ
aelodau	e ɨ̯ l ɔ d a
aelodau	e ɨ̯ l ɔ d ɛ
aelodau	e ɨ̯ l ɔ d a
aelodau cynulliad	e ɨ̯ l ɔ d a ɨ̯ k ə n ɨ̞ ɬ j a d
aelodau cynulliad	e ɨ̯ l ɔ d ɛ k ə n ɨ̞ ɬ j a d
aelodau cynulliad	e ɨ̯ l ɔ d a k ə n ɨ̞ ɬ j a d
aelodau cynulliad	e ɨ̯ l ɔ d ɛ k ə n ɨ̞ ɬ j a d
aelodau cynulliad	e ɨ̯ l ɔ d a k ə n ɨ̞ ɬ j a d
aelodau o'r senedd	e ɨ̯ l ɔ d a ɨ̯ ɔ r s ɛ n ɛ ð
aelodau o'r senedd	e ɨ̯ l ɔ d ɛ ɔ r s ɛ n ɛ ð
aelodau o'r senedd	e ɨ̯ l ɔ d a oː r s ɛ n ɛ ð
aelodau o'r senedd	e ɨ̯ l ɔ d ɛ ɔ r s ɛ n ɛ ð
aelodau o'r senedd	e ɨ̯ l ɔ d a oː r s ɛ n ɛ ð
aelodau seneddol	e ɨ̯ l ɔ d a ɨ̯ s ɛ n ɛ ð ɔ l
aelodau seneddol	e ɨ̯ l ɔ d ɛ s ɛ n ɛ ð ɔ l
aelodau seneddol	e ɨ̯ l ɔ d a s ɛ n ɛ ð ɔ l
aelodau seneddol	e ɨ̯ l ɔ d ɛ s ɛ n ɛ ð ɔ l
aelodau seneddol	e ɨ̯ l ɔ d a s ɛ n ɛ ð ɔ l
aelwyd	e ɨ̯ l ʊ ɨ̯ d
aelwydydd	e ɨ̯ l ʊ ɨ̯ d ɨ̞ ð
aem	aː ɨ̯ m
aen	aː ɨ̯ n
aent	aː ɨ̯ n t
aer	aː ɨ̯ r
aeron	e ɨ̯ r ɔ n
aeronen	e ɨ̯ r ɔ n ɛ n
aeronen	e ɨ̯ r ɔ n a n
aeronen	e ɨ̯ r ɔ n a n
aeronog	e ɨ̯ r ɔ n ɔ ɡ
aet	aː ɨ̯ t
aetsh	aː ɨ̯ t ʃ
aetshys	e ɨ̯ t ʃ ɨ̞ s
aeth	aː ɨ̯ θ
aeth	aː θ
aeth	aː θ
aethai	e ɨ̯ θ a i̯
aethant	e ɨ̯ θ a n t
aethech	e ɨ̯ θ ɛ χ
aethem	e ɨ̯ θ ɛ m
aethent	e ɨ̯ θ ɛ n t
aethid	e ɨ̯ θ ɪ d
aethit	e ɨ̯ θ ɪ t
aethnen	e ɨ̯ θ n ɛ n
aethnenni	e ɨ̯ θ n ɛ n i
aethoch	e ɨ̯ θ ɔ χ
aethom	e ɨ̯ θ ɔ m
aethon	e ɨ̯ θ ɔ n
aethont	e ɨ̯ θ ɔ n t
aethost	e ɨ̯ θ ɔ s d
aethpwyd	e ɨ̯ θ p ʊ ɨ̯ d
aethwn	e ɨ̯ θ ʊ n
af	aː v
af	aː
af	aː
afal	a v a l
afal cariad	a v a l k a r j a d
afalau	a v a l a ɨ̯
afalau	a v a l ɛ
afalau	a v a l a
afalau	v a l ɛ
afalau	v a l a
afalau	a v a l ɛ
afalau	a v a l a
afalau	v a l ɛ
afalau	v a l a
afalau cariad	a v a l a ɨ̯ k a r j a d
afalau cariad	a v a l ɛ k a r j a d
afalau cariad	a v a l a k a r j a d
afalau cariad	a v a l ɛ k a r j a d
afalau cariad	a v a l a k a r j a d
afallen	a v a ɬ ɛ n
afallennau	a v a ɬ ɛ n a ɨ̯
afallennau	a v a ɬ ɛ n ɛ
afallennau	a v a ɬ ɛ n a
afallennau	a v a ɬ ɛ n ɛ
afallennau	a v a ɬ ɛ n a
afan	a v a n
afanc	a v a ŋ k
afancod	a v a ŋ k ɔ d
afanen	a v a n ɛ n
afiach	a v j a χ
afiechyd	a v j ɛ χ ɨ̞ d
afiechydon	a v j ɛ χ ə d ɔ n
aflafar	a v l a v a r
aflwyddiannus	a v l ʊ ɨ̯ ð j a n ɨ̞ s
afocado	a v ɔ k a d ɔ
afocados	a v ɔ k a d ɔ s
afon	a v ɔ n
afonfarch	a v ɔ n v a r χ
afonfeirch	a v ɔ n v e i̯ r χ
afonydd	a v ɔ n ɨ̞ ð
afr	a v r
afraid	a v r a i̯ d
afreidiau	a v r e i̯ d j a ɨ̯
afreidiau	a v r e i̯ d j ɛ
afreidiau	a v r e i̯ d j a
afreidiau	a v r e i̯ d j ɛ
afreidiau	a v r e i̯ d j a
afreolaidd	a v r ɛ ɔ l a i̯ ð
afreolaidd	a v r ɛ ɔ l ɛ ð
afreolaidd	a v r ɛ ɔ l ɛ ð
afu	a v ɨ̞
afuau	a v ɨː a ɨ̯
afuau	a v ɨː ɛ
afuau	a v ɨː a
afuau	a v ɨː ɛ
afuau	a v ɨː a
affganistan	a f ɡ a n ɪ s d a n
affrica	a f r ɪ k a
affwys	a f ʊ ɨ̯ s
affwysau	a f ʊ ɨ̯ s a ɨ̯
affwysau	a f ʊ ɨ̯ s ɛ
affwysau	a f ʊ ɨ̯ s a
affwysau	a f ʊ ɨ̯ s ɛ
affwysau	a f ʊ ɨ̯ s a
affwysedd	a f ʊ ɨ̯ s ɛ ð
affwysol	a f ʊ ɨ̯ s ɔ l
ag	a ɡ
ager	a ɡ ɛ r
agerau	a ɡ ɛ r a ɨ̯
agerau	a ɡ ɛ r ɛ
agerau	a ɡ ɛ r a
agerau	a ɡ ɛ r ɛ
agerau	a ɡ ɛ r a
agerddlong	a ɡ ɛ r ð l ɔ ŋ
agerlong	a ɡ ɛ r l ɔ ŋ
agerlongau	a ɡ ɛ r l ɔ ŋ a ɨ̯
agerlongau	a ɡ ɛ r l ɔ ŋ ɛ
agerlongau	a ɡ ɛ r l ɔ ŋ a
agerlongau	a ɡ ɛ r l ɔ ŋ ɛ
agerlongau	a ɡ ɛ r l ɔ ŋ a
agor	a ɡ ɔ r
agora	a ɡ ɔ r a
agoraf	a ɡ ɔ r a v
agoraf	a ɡ ɔ r a
agoraf	a ɡ ɔ r a
agorai	a ɡ ɔ r a i̯
agoret	a ɡ ɔ r ɛ t
agori	a ɡ ɔ r i
agoriad	a ɡ ɔ r j a d
agos	a ɡ ɔ s
agosáu	a ɡ ɔ s a ɨ̯
agweddi	a ɡ w ɛ ð ɪ
agweddïau	a ɡ w ɛ ð iː a ɨ̯
agweddïau	a ɡ w ɛ ð iː ɛ
agweddïau	a ɡ w ɛ ð iː a
agweddïau	a ɡ w ɛ ð iː ɛ
agweddïau	a ɡ w ɛ ð iː a
angau	a ŋ a ɨ̯
angau	a ŋ ɛ
angau	a ŋ a
angau	a ŋ ɛ
angau	a ŋ a
angel	a ŋ ɛ l
angel	a ŋ a l
angel	a ŋ a l
angen	a ŋ ɛ n
angen	a ŋ a n
angen	a ŋ a n
anghenus	a ŋ h ɛ n ɨ̞ s
anghanfyddadwy	a ŋ h a n v ə ð a d ʊ ɨ̯
angharad	a ŋ h a r a d
anghenion	a ŋ h ɛ n j ɔ n
angheuoedd	a ŋ h e ɨ̯ ɔ ɨ̯ ð
angheuol	a ŋ h e ɨ̯ ɔ l
anghlod	a ŋ h l ɔ d
anghlodwiw	a ŋ h l ɔ d w ɪ u̯
anghofio	a ŋ h ɔ v j ɔ
anghydfod	a ŋ h ə d v ɔ d
anghofrwydd	a ŋ h ɔ v r ʊ ɨ̯ ð
anghofus	a ŋ h ɔ v ɨ̞ s
anghofuster	a ŋ h ɔ v ɨ̞ s d ɛ r
anghydfodau	a ŋ h ə d v ɔ d a ɨ̯
anghydfodau	a ŋ h ə d v ɔ d ɛ
anghydfodau	a ŋ h ə d v ɔ d a
anghydfodau	a ŋ h ə d v ɔ d ɛ
anghydfodau	a ŋ h ə d v ɔ d a
anghydradd	a ŋ h ə d r a ð
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b
anghydsynio	a ŋ h ɨ̞ d s ə n j ɔ
anghydweld	a ŋ h ɨ̞ d w ɛ l d
anghydwelediad	a ŋ h ɨ̞ d w ɛ l ɛ d j a d
anghydwelediadau	a ŋ h ɨ̞ d w ɛ l ɛ d j a d a ɨ̯
anghydwelediadau	a ŋ h ɨ̞ d w ɛ l ɛ d j a d ɛ
anghydwelediadau	a ŋ h ɨ̞ d w ɛ l ɛ d j a d a
