abo	a b ɔ
jazyki	j a z ɨ k i
jazykom	j a z ɨ k ɔ m
jazykow	j a z ɨ k ɔ w
je	j ɛ
jebać	j ɛ b a t͡ʃ
jedyn	j ɛ d ɨ n
jehła	j ɛ ɦ w a
jehnjo	j ɛ j ɲ ɔ
jejo	j ɛ j ɔ
jemjel	j ɛ m j ɛ l
jena	j ɛ n a
Jendźelska	j ɛ n d͡ʒ ɛ l s k a
jendźelski	j ɛ n d͡ʒ ɛ l s k i
Jerusalem	j ɛ ʀ u z a l ɛ m
Jeruzalem	j ɛ ʀ u z a l ɛ m
ješćelca	j ɛ j ʃ t͡ʃ ɛ l t͡s a
jěć	j ɪ t͡ʃ
jědł	j ɪ d w
jědla	j ɪ d l a
jědlowy	j ɪ d l ɔ w ɨ
jědnaće	j ɪ d n a t͡ʃ ɛ
jědź	j ɪ j t͡ʃ
jědźacy	j ɪ d͡ʒ a t͡s ɨ
jědźach	j ɪ j d͡ʒ a x
jědźenje	j ɪ j d͡ʒ ɛ j ɲ ɛ
jědźeny	j ɪ j d͡ʒ ɛ n ɨ
jěsć	j ɪ s t͡ʃ
jěsće	j ɪ s t͡ʃ ɛ
jězdźić	j ɪ z d͡ʒ i t͡ʃ
jězor	j ɪ z ɔ ʀ
juskać	j u s k a t͡ʃ
jutry	j u t ʀ ɨ
jutře	j u j t͡sʲ ɛ
kabinet	k a b i n ɛ t
kakać	k a k a t͡ʃ
kaktus	k a k t u s
kała	k a w a
kałać	k a w a t͡ʃ
kałaj	k a w a j
kałał	k a w a w
kałam	k a w a m
kałaš	k a w a j ʃ
kalena	k a l ɛ n a
kamel	k a m ɛ l
kamjeń	k a m j ɛ j n
kapać	k a p a j t͡ʃ
kapka	k a p k a
kapni	k a p n i
kapnyć	k a p n ɨ t͡ʃ
kašubski	k a ʃ u p s k i
katolski	k a t ɔ l s k i
kaza	k a z a
kazać	k a z a t͡ʃ
kazaće	k a z a t͡ʃ ɛ
kazaja	k a z a j a
kazajo	k a z a j ɔ
kazam	k a z a m
kerk	k ɛ ʀ k
khmurny	k m u ʀ n ɨ
kidać	k i d a t͡ʃ
kij	k i j
kisać	k i s a t͡ʃ
kisało	k i s a w ɔ
kłosa	k w ɔ s a
kłóć	k w ʊ j t͡ʃ
kłój	k w ʊ j
kłós	k w ʊ s
klětka	k l ɪ t k a
klětki	k l ɪ t k i
klin	k l i n
kluč	k l u t͡ʃ
kniha	k n i ɦ a
knihiwjazar	k ɲ i h i j wʲ a z a ʀ
knot	k n ɔ t
koeksistenca	k ɔ ɛ k s i s t ɛ n t͡s a
kokoš	k ɔ k ɔ j ʃ
kokula	k ɔ k u l a
kołć	k ɔ w t͡ʃ
kołodźej	k ɔ w ɔ j d͡ʒ ɛ j
kołp	k ɔ w p
kolenko	k ɔ l ɛ n k ɔ
koleno	k ɔ l ɛ n ɔ
kolija	k ɔ l i j a
komor	k ɔ m ɔ ʀ
konop	k ɔ n ɔ p
konsul	k ɔ n s u l
korčma	k ɔ ʀ t͡ʃ m a
korjeń	k ɔ ʀ j ɛ j n
korto	k ɔ ʀ t ɔ
kosma	k ɔ s m a
kostrjawa	k ɔ s t ʀ j a w a
košla	k ɔ ʃ l a
kotryž	k ɔ t ʀ ɨ j ʃ
kowjel	k ɔ ɥ ɛ l
koza	k ɔ z a
koža	k ɔ ʒ a
kóčka	k ʊ t͡ʃ k a
kóń	k ʊ j n
kórc	k ʊ ʀ t͡s
kósć	k ʊ s t͡ʃ
kóždy	k ʊ j ʒ d ɨ
kraholc	k ʀ a ɦ ɔ l t͡s
krajina	k ʀ a j i n a
kral	k ʀ a l
krej	k ʀ ɛ j
krodawa	k ʀ ɔ d a w a
krokawa	k ʀ ɔ k a w a
kroma	k ʀ ɔ m a
kromach	k ʀ ɔ m a x
kromam	k ʀ ɔ m a m
kromami	k ʀ ɔ m a j mʲ i
kromje	k ʀ ɔ j mʲ ɛ
kromomaj	k ʀ ɔ m ɔ m a j
kromow	k ʀ ɔ m ɔ w
kromu	k ʀ ɔ m u
kromy	k ʀ ɔ m ɨ
krótki	k ʀ ʊ t k i
kruty	k ʀ u t ɨ
kruwa	k ʀ u w a
kryć	k ʀ ɨ t͡ʃ
křemjeń	k ʃ ɛ m j ɛ j n
křesać	k ʃ ɛ s a t͡ʃ
křěk	k ʃ ɪ k
křěki	k ʃ ɪ k i
křida	k ʃ i d a
křidło	k ʃ i d w ɔ
křidy	k ʃ i d ɨ
Kuba	k u b a
kudźel	k u d͡ʒ ɛ l
kudźer	k u d͡ʒ ɛ ʀ
kukel	k u k ɛ l
kuna	k u n a
kuntora	k u n t ɔ ʀ a
kuntwora	k u n t w ɔ ʀ a
kupa	k u p a
kupić	k u j pʲ i j t͡ʃ
kupować	k u p ɔ w a j t͡ʃ
kurwa	k u ʀ w a
kusać	k u s a t͡ʃ
kwět	k wʲ ɪ t
ł	w
Ł	w
łapać	w a p a t͡ʃ
łastojčka	w a s t ɔ j t͡ʃ k a
łhać	f a t͡ʃ
łochć	w ɔ x t͡ʃ
łopata	w ɔ p a t a
łopjena	w ɔ p j ɛ n a
łopjenach	w ɔ p j ɛ n a x
łopjenam	w ɔ p j ɛ n a m
łopjenami	w ɔ p j ɛ n a m i
łopjenje	w ɔ p j ɛ n j ɛ
łopjeno	w ɔ p j ɛ n ɔ
łopjenom	w ɔ p j ɛ n ɔ m
łopjenomaj	w ɔ p j ɛ n ɔ m a j
łopjenow	w ɔ p j ɛ n ɔ w
łopjenu	w ɔ p j ɛ n u
łosos	w ɔ s ɔ s
łódź	w ʊ t͡ʃ
łuža	w u ʒ a
Łužica	w u j ʒ i t͡s a
łžica	w ʒ i t͡s a
lampa	l a m p a
lampička	l a m pʲ i j t͡ʃ k a
lampka	l a m p k a
lampowy	l a m p ɔ w ɨ
law	l a w
leć	l ɛ t͡ʃ
ležeć	l ɛ ʒ ɛ t͡ʃ
lěćo	l ɪ t͡ʃ ɔ
lěs	l ɪ s
lěsk	l ɪ s k
lěska	l ɪ s k a
lěšćina	l ɪ j ʃ t͡ʃ i n a
lěto	l ɪ t ɔ
linguistika	l i n ɡ u i s t i k a
lipa	l i p a
lipje	l i p j ɛ
lipomaj	l i p ɔ m a j
lipow	l i p ɔ w
lipu	l i p u
list	l i s t
lišawa	l i ʃ a w a
lišawka	l i ʃ a w k a
liška	l i ʃ k a
liški	l i j ʃ k i
literatura	l i t ɛ ʀ a t u ʀ a
lochki	l ɔ x k i
losować	l ɔ s ɔ w a t͡ʃ
lód	l ʊ t
ludźo	l u j d͡ʒ ɔ
lupina	l u p i n a
macocha	m a t͡s ɔ x a
mać	m a j t͡ʃ
maćeri	m a t͡ʃ ɛ ʀ i
maćerjach	m a t͡ʃ ɛ ʀ j a x
maćerje	m a t͡ʃ ɛ ʀ j ɛ
maćerjomaj	m a t͡ʃ ɛ ʀ j ɔ m a j
maćerjow	m a t͡ʃ ɛ ʀ j ɔ w
maćerju	m a t͡ʃ ɛ ʀ j u
maći	m a t͡ʃ i
machnjeny	m a x ɲ ɛ n ɨ
machnyć	m a x n ɨ t͡ʃ
małožiwoch	m a w ɔ ʒ i w ɔ x
mały	m a w ɨ
mama	m a m a
mamach	m a m a x
mamam	m a m a m
mamu	m a m u
mamy	m a m ɨ
marihuana	m a ʀ i u a n a
marihuanam	m a ʀ i ɦ u a n a m
marihuanje	m a ʀ i ɦ u a n j ɛ
marihuanomaj	m a ʀ i ɦ u a n ɔ m a j
marihuanow	m a ʀ i ɦ u a n ɔ w
matematika	m a t ɛ m a t i k a
matematika	m a t ɛ m a t i k a
matematikar	m a t ɛ m a t i k a ʀ
matematizować	m a t ɛ m a t i z ɔ w a j t͡ʃ
matematizowanje	m a t ɛ m a t i z ɔ w a j ɲ ɛ
měd	mʲ ɪ t
měr	m ɪ ʀ
měsac	m ɪ s a t͡s
měsačk	m ɪ s a t͡ʃ k
město	mʲ ɪ s t ɔ
měza	m ɪ z a
mhła	m w a
minjena	mʲ i j ɲ ɛ n a
minjenaj	mʲ i j ɲ ɛ n a j
minjene	mʲ i j ɲ ɛ n ɛ
minjeneho	mʲ i j ɲ ɛ n ɛ h ɔ
minjenej	mʲ i j ɲ ɛ n ɛ j
minjeneje	mʲ i j ɲ ɛ n ɛ j ɛ
minjeneju	mʲ i j ɲ ɛ n ɛ j u
minjenemu	mʲ i j ɲ ɛ n ɛ m u
minjeni	mʲ i j ɲ ɛ j ɲ i
minjenu	mʲ i j ɲ ɛ n u
minjeny	mʲ i j ɲ ɛ n ɨ
minjenych	mʲ i j ɲ ɛ n ɨ x
minjenym	mʲ i j ɲ ɛ n ɨ m
minjenymaj	mʲ i j ɲ ɛ n ɨ m a j
minjenymi	mʲ i j ɲ ɛ n ɨ j mʲ i
mječ	m j ɛ t͡ʃ
mjedwjedź	m j ɛ d ɥ ɛ t͡ʃ
mjedź	m j ɛ t͡ʃ
mjechki	m j ɛ x k i
mjezwočo	m j ɛ z w ɔ t͡ʃ ɔ
mła	m w a
młody	m w ɔ d ɨ
mloko	m l ɔ k ɔ
mnich	m n i x
moch	m ɔ x
mocha	m ɔ x a
mochach	m ɔ x a x
mochami	m ɔ x a m i
mochi	m ɔ x i
mocho	m ɔ x ɔ
mochom	m ɔ x ɔ m
mochu	m ɔ x u
moknyć	m ɔ k n ɨ t͡ʃ
Mokoš	m ɔ k ɔ ʃ
mokrica	m ɔ k ʀ i t͡s a
morjo	m ɔ ʀ j ɔ
mosaz	m ɔ s a s
motedło	m ɔ t ɛ d w ɔ
motydło	m ɔ t ɨ d w ɔ
mój	m ʊ j
mól	m ʊ l
móšk	m ʊ ʃ k
mrowja	m ʀ ɔ ɥ a
mudo	m u d ɔ
mucha	m u x a
muž	m u j ʃ
muža	m u j ʒ a
mužej	m u j ʒ ɛ j
mužom	m u j ʒ ɔ m
myš	m ɨ j ʃ
nahi	n a ɦ i
najněmiši	n a j n ɪ m i ʃ i
nakup	n a k u p
nalěćo	n a l ɪ t͡ʃ ɔ
nan	n a n
nana	n a n a
nanach	n a n a x
nanaj	n a n a j
nanajněmiši	n a n a j n ɪ m i ʃ i
nanam	n a n a m
nanami	n a n a m i
nanej	n a n ɛ j
nanje	n a n j ɛ
nanojo	n a n ɔ j ɔ
nanomaj	n a n ɔ m a j
nanow	n a n ɔ w
napad	n a p a t
napisać	n a p i s a t͡ʃ
narodniny	n a ʀ ɔ d ɲ i n ɨ
narodny	n a ʀ ɔ d n ɨ
naš	n a ʃ
nawod	n a w ɔ t
nawučny	n a w u j t͡ʃ n ɨ
nazyma	n a z ɨ m a
němčina	n ɪ m t͡ʃ i n a
němiši	n ɪ m i ʃ i
Němska	n ɪ m s k a
němski	n ɪ m s k i
němy	ɲ ɪ m ɨ
nětk	n ɪ t k
něwěrno	ɲ ɪ j wʲ ɪ ʀ n ɔ
něwěrno	ɲ ɪ j wʲ ɛ ʀ n ɔ
nić	n i t͡ʃ
niski	n i s k i
nišo	n i ʃ ɔ
njebjo	n j ɛ b j ɔ
njedźela	n j ɛ d͡ʒ ɛ l a
njegramatiski	ɲ ɛ ɡ ʀ a m a t i s k i
njewjedro	n j ɛ ɥ ɛ d ʀ ɔ
nocach	n ɔ t͡s a x
nocam	n ɔ t͡s a m
nocami	n ɔ t͡s a m i
nocow	n ɔ t͡s ɔ w
nocu	n ɔ t͡s u
nocy	n ɔ t͡s ɨ
noha	n ɔ h a
nochć	n ɔ x t͡ʃ
nowy	n ɔ w ɨ
nóc	n ʊ t͡s
nórc	n ʊ ʀ t͡s
nós	n ʊ s
nuhl	n u ɦ l
ocon	ɔ t͡s ɔ n
ó	ʊ
papagaj	p a p a ɡ a j
papjera	p a j pʲ ɛ ʀ a
papjerowc	p a j pʲ ɛ ʀ ɔ w t͡s
particip	p a ʀ t i t͡s i p
participa	p a ʀ t i t͡s i p a
participam	p a ʀ t i t͡s i p a m
participo	p a ʀ t i t͡s i p ɔ
partnerstwo	p a ʀ t n ɛ ʀ s t w ɔ
pasmo	p a s m ɔ
pawk	p a w k
pazora	p a z ɔ ʀ a
pčoła	p t͡ʃ ɔ w a
pčołar	p t͡ʃ ɔ w a ʀ
pěseń	pʲ ɪ s ɛ j n
pěsk	p ɪ s k
pcha	p x a
pić	p i t͡ʃ
piła	p i w a
pisać	p i s a t͡ʃ
pisanje	p i s a n j ɛ
piwko	p i w k ɔ
piwo	p i w ɔ
pjata	p j a t a
pjatk	p j a t k
pjatnaće	p j a t n a t͡ʃ ɛ
pjaty	p j a t ɨ
pjeć	p j ɛ t͡ʃ
pjerjo	p j ɛ ʀ j ɔ
pjero	p j ɛ ʀ ɔ
płakać	p w a k a t͡ʃ
płokać	p w ɔ k a t͡ʃ
płokarnja	p w ɔ k a ʀ n j a
płomjo	p w ɔ m j ɔ
płód	p w ʊ t
pleca	p l ɛ t͡s a
pleco	p l ɛ t͡s ɔ
plecom	p l ɛ t͡s ɔ m
plecu	p l ɛ t͡s u
pliška	p l i j ʃ k a
počinanje	p ɔ t͡ʃ i n a n j ɛ
podjan	p ɔ d j a n
podjanski	p ɔ d j a n s k i
podobnje	p ɔ d ɔ b ɲ ɛ
podobny	p ɔ d ɔ b n ɨ
poch	p ɔ x
połdra	p ɔ w d ʀ a
połch	p ɔ w x
połny	p ɔ w n ɨ
połon	p ɔ w ɔ n
połona	p ɔ w ɔ n a
polca	p ɔ l t͡s a
pomnik	p ɔ m n i k
pomorski	p ɔ m ɔ ʀ s k i
popjeł	p ɔ p j ɛ w
