Ага	ä ʁ ɐ
загаһа	z ä̟ ʁ ɐ ɦ ɐ
загаһан	z̟ ä ʁ ɐ ɦ ɐ ɴ̟
загаһашан	z ä̟ ʁ ɐ ɦ ɐ ʃ ɐ ɴ̟
зураха	z ʊ r ɐ χ ɐ
зүгы	z u̟ ɡ ʉ͜i
либерал	lʲ ɪ bʲ ɪ r ä̟ː l
манай	mʷ ä n ɛː
мангад	mʷ ä ɴ ɢ ɐ t
манжа	m ä n ʒ ɐ
минии	mʲ i nʲ iː
могой	m ɔ ʁ œ͡ɛ
модон	m ɔ d ɜ̟ ɴ̟
монгол	m ɔ ɴ ɢ ɜ l
монголоор	m ɔ ɴ ɢ ɜ l ɔː r
мори	m ɔ rʲ ɪ
морин	m ɔ rʲ ɪ ŋ
морихон	m ɔ rʲ ɪ χ ɜ ɴ̟
мэдэхэ	mʷ e̝ d ɤ̟ x ɤ
мяхан	mʲ ä χ ɐ ɴ̟
мүрэн	m u r u̟ ŋ
найман	n ɛː mʷ ɐ ɴ̟
нарһан	n ä̟ r ɦ ɐ ɴ̟
ном	n ɔ m
нэгэн	n e̝ ɡ ɤ ŋ
нүхэр	n u x u r
областьһоо	ɔː b l ɜ sʲ tʰʲ ɪ ɦ ɔː
одон	ɔ d ɜ̟ ɴ̟
ойрад	œ͡e̞ r ɐ tʰ
округһоо	ɔː kʰ r ɜ q ˖ h ɔː
ородоор	ɔ r ɜ̟ d ɔ̟ː r
орон	ɔ r ɜ̟ ɴ̟
орос	ɔ r ɜ s
орохо	ɔ r ɜ̟ χ ɜ
официальна	ɐ fʲ ɪ t͜sʰ äː lʲ n ɐ
охихо	ɔ xʲ ɪ χ ɜ
пивэ	pʰʲ iː v ɤ̞
полк	pʰ ɔː l kʰ
республика	rʲ ɪ s pʰ ʊː b lʲ ɪ kʰ ɐ
сагаан	sʰ ä̟ ʁ ɑː ɴ̟
сан	sʰ ä̟ ɴ̟
сангаха	s ä̟ ɴ ɢ ɐ χ ɐ
сая	s ä̟ j ɐ
симфони	sʰʲ ɪ m f ɔː nʲ ɪ
сонин	sʰ ɔ̟ nʲ ɪ ɴ̟
соёл	sʰ ɔ̟ j ɜ l
табан	tʰ ä βʷ ɐ ɴ̟
табангууд	tʰ ä̟ β ˕ʷ ɐ ɴ ɢ ʊ̞ː t
тайшаа	tʰ æ͡ɛ ʃ äː
театр	tʲʰ äː tʰ r
толи	tʰ ɔ̟ lʲ ɪ
тугша	tʰ ʊ q ʃ ɐ
тыквэ	tʰ ɨː kʰ v ɤ̞
тэнгэри	tʰ e̝ ŋ ɡ ɤ̞ rʲ ɪ
тэрэ	tʰ e̝ r ɤ̟
түмэр	tʰ u m u r
улаан	ʊ l ä̟ː ɴ̟
улас	ʊ̞ l ɐ̟ s
ууха	ʊː χ ɐ
уһан	ʊ ɦ ɐ ŋ
федераци	fʲ ɪ dʲ ɪ r ä̟ː t͜sʰ ɐ
хада	χ ä d ɐ̟
халбага	χ ä l b ɐ ʁ ɐ
хара	χ ä̠ r ɐ̟
харим	χ ä rʲ ɪ m
хото	χ ɔ tʰ ɜ̟
хоёр	χ ɔ j ɜ r
хоёрдугаар	χ ɔ j ɜ r d ʊ̟ ʁ ä̠ː r
хэлэн	x ɤ̞ l ɤ̞ ŋ
хүбүүн	x u β ˕ uː ŋ
хүн	x u ŋ
штадууд	ʃ tʰ äː d ʊː t
энэ	e̝ n ɤ̞
яба	j ä βʷ ɐ
ябаг	j ä βʷ ɐ q ˖
ябаха	j ä βʷ ɐ χ ɐ
ябая	j ä βʷ ɐ j ɨ̟ː
ябаяб	j ä βʷ ɐ j ɨ̟ː p
ябаябди	j ä βʷ ɐ j ɨ̟ː b dʲ ɪ
яблони	j äː b l ɐ̟ nʲ ɪ
ёһоной	j ɔ ɦ ɜ n œ͡ɛ
Үдэ	u d ɤ̞
үнэн	u n ɤ̟ ŋ
һайн	h ɛ͡e̞ ŋ
һалхин	h ä l xʲ ɪ ŋ
һара	h ä̠ r ɐ̟
һүни	h u nʲ ɪ
өөлэд	ɵː l ɤ̽ t
