ং	ŋ
অভিস্রবণ	ɔ v i s ɹ ɔ b o n
অভিস্রবণ	ɔ v i s ɾ ɔ b o n
অভীষ্ট	ɔ bʱ i ʂ ʈ oˑ
অভীষ্ট	ɔ bʱ i ʃ t oˑ
অভীষ্ট	ɔ v i s t oˑ
অভীষ্ট	ɔ v i ʂ ʈ oˑ
অভ্র	ɔ bʱ ɹ oˑ
অভ্র	ɔ bʱ ɾ oˑ
অভ্র	ɔ v ɹ oˑ
অভ্র	ɔ v ɾ oˑ
অমন	ɔ m o n
অমিতাভ	ɔ m i t̪ a b
অমিতাভ	ɔ m i t̪ a v
অয়ন	ɔ e̯ o n
অয়স্কান্ত	ɔ e̯ o s k a n t̪ oˑ
অযোধ্যা	ɔ d ʑ o d̪ʱː aˑ
অযোধ্যা	ɔ d͡ʒ o d̪ʱː aˑ
অরণ্য	ɔ ɹ o nː oˑ
অরণ্য	ɔ ɾ o nː oˑ
অরিজিনাল	ɔ ɹ i d ʑ i n a l
অরিজিনাল	ɔ ɾ i d͡ʒ i n a l
অরিত্র	ɔ ɾ i t̪ː ɾ oˑ
অরুণ	o ɾ u n
অর্ঘ্য	ɔ ɹ ɡʱː oˑ
অর্ঘ্য	ɔ ɹ ɡʱː ɔˑ
অর্ঘ্য	ɔ ɾ ɠː ɔˑ
অর্ঘ্য	ɔ ɾ ɡʱː oˑ
অর্ণব	ɔ ɹ n o b
অর্ণব	ɔ ɾ n o b
অর্থ	ɔ ɹ t̪ʰ oˑ
অর্থ	ɔ ɾ t̪ʰ oˑ
অর্থাৎ	ɔ ɹ t̪ʰ a t̪
অর্থাৎ	ɔ ɾ t̪ʰ a t̪
অর্ধমৃত	ɔ ɹ d̪ʱ o m ɹ i t̪ oˑ
অর্ধমৃত	ɔ ɾ d̪ʱ o m ɾ i t̪ oˑ
অর্পিতা	ɔ ɹ p i t̪ aˑ
অর্পিতা	ɔ ɾ p i t̪ aˑ
অলস	ɔ l o ʃ
অলাত	ɔ l a t̪
অলৌকিক	ɔ l o u̯ k i k
অশিক্ষিত	ɔ ʃ i kʰː i t̪ oˑ
অশুচি	ɔ ʃ u t ɕ iˑ
অশুচি	ɔ ʃ u t͡ʃ iˑ
অশ্বগন্ধা	ɔ ʃː ɔ ɡ ɔ n d̪ʱ aˑ
অশ্বেত	ɔ ʃː e t̪
অষ্টাশি	ɔ s t a ʃ iˑ
অষ্টাশি	ɔ ʂ ʈ a ʃ iˑ
অষ্টাশি	ɔ ʃ t a ʃ iˑ
অসভ্য	ɔ ʃ o bʱː oˑ
অসভ্য	ɔ ʃ o vː oˑ
অসমীয়া	ɔ ʃ o m i̯ aˑ
অসি	ɔ ʃ iˑ
অসিদ্ধ	ɔ ʃ i d̪ʱː oˑ
অসিয়ত	ɔ ʃ i̯ ɔ t̪
অসীমা	ɔ ʃ i m aˑ
অসুখ	ɔ ʃ uː k
অসুখ	ɔ ʃ uː kʰ
অসুস্থ	ɔ ʃ u s t̪ʰ oˑ
অস্ট্রিয়া	ɔ s tː ɹ i̯ aˑ
অস্ট্রিয়া	ɔ s ʈː ɾ i̯ aˑ
অস্ট্রিয়া	ɔ ʂ ʈː ɾ i̯ aˑ
অস্ট্রেলিয়া	ɔ s tː ɹ e l i̯ aˑ
অস্ট্রেলিয়া	ɔ s ʈː ɾ e l i̯ aˑ
অস্ট্রেলিয়া	ɔ ʂ ʈː ɾ e l i̯ aˑ
অস্ত্র	ɔ s t̪ː ɹ oˑ
অস্ত্র	ɔ s t̪ː ɾ oˑ
অস্ত্রচিকিৎসা	ɔ s t̪ː ɹ o t ɕ i k i t̪ ʃ aˑ
অস্ত্রচিকিৎসা	ɔ s t̪ː ɾ o t͡ʃ i k i t̪ ʃ aˑ
অস্ত্রোপচার	ɔ s t̪ː ɹ o p o t ɕ a ɹ
অস্ত্রোপচার	ɔ s t̪ː ɾ o p o t͡ʃ a ɾ
অস্থি	o s t̪ʰ i
অস্থির	ɔ s t̪ʰ i ɹ
অস্থির	ɔ s t̪ʰ i ɾ
অস্পৃশ্যতা	ɔ ʃ p ɹ i ʃː ɔ t̪ aˑ
অস্পৃশ্যতা	ɔ ʃ p ɾ i ʃː ɔ t̪ aˑ
অহংকার	ɔ h o ŋ k a ɹ
অহংকার	ɔ h o ŋ k a ɾ
অহরহ	ɔ h o ɹ ɔ h oˑ
অহরহ	ɔ h o ɾ ɔ h oˑ
অহর্নিশি	ɔ h o ɹ n i ʃ iˑ
অহর্নিশি	ɔ h o ɾ n i ʃ iˑ
অ্যাদ্দিন	æ d̪ː i n
অ্যাদ্দিন	ɛ d̪ː i n
অ্যানথ্রাক্স	æ n t̪ʰ ɹ a k s
অ্যানথ্রাক্স	æ n t̪ʰ ɾ a k s
অ্যানিমে	æ n i m eˑ
অ্যানিমে	ɛ n i m eˑ
অ্যানিমেশন	æ n i m e ʃ ɔ n
অ্যানিমেশন	ɛ n i m e ʃ ɔ n
অ্যান্টার্কটিকা	æ ɳ ʈ a ɾ k ʈ i k aˑ
অ্যান্টার্কটিকা	ɛ n t a ɹ k t i k aˑ
অ্যাপোলো	æ p o l oˑ
অ্যাপোলো	ɛ p o l oˑ
অ্যালগরিদম	æ l ɡ o ɾ i d̪ m
অ্যালগরিদম	æ l ɡ o ɾ i d̪ o m
অ্যালগরিদম	ɛ l ɡ o ɹ i d̪ m
অ্যালগরিদম	ɛ l ɡ o ɹ i d̪ o m
অ্যালবার্টা	æ l b a ɹ t aˑ
অ্যালবার্টা	æ l b a ɾ ʈ aˑ
আঁকড়া	a k ɹ aˑ
আঁকড়া	ã k ɽ aˑ
আঁকড়া	ã k ɾ aˑ
আঁকা	a k aˑ
আঁকা	ã k aˑ
আঁকাবাঁকা	a k a b a k aˑ
আঁকাবাঁকা	ã k a b ã k aˑ
আঁখ	a x
আঁখ	aː k
আঁখ	ã x
আঁখ	ãː k
আঁখি	a kʰ iˑ
আঁখি	ã kʰ iˑ
আঁচল	a t ɕ o l
আঁচল	a t͡ʃ o l
আঁচল	ã t͡ʃ o l
আঁজলা	a d ʑ ɔ l aˑ
আঁজলা	ã d͡ʒ ɔ l aˑ
আঁটা	ã ʈ̟ a
আঁতাত	a t̪ a t̪
আঁতাত	ã t̪ a t̪
আঁতেল	a t̪ e l
আঁতেল	ã t̪ e l
আঁধার	a d̪ʱ a ɹ
আঁধার	ã d̪ʱ a ɾ
আংটি	a ŋ ʈ i
আংশিক	a ŋ ʃ i k
আইচ	a i̯ t ɕ
আইচ	a i̯ t͡ʃ
আইজ	a i̯ d̪ z
আইজ	a i̯ z
আইজ্ঞা	a i̯ ɡː aˑ
আইন	a i̯ n
আইয়ুব	a i̯ u b
আইসক্রিম	a i̯ s k ɹ i m
আইসক্রিম	a i̯ s k ɾ i m
আইসল্যান্ড	a i̯ s l æ n d
আইসল্যান্ড	a i̯ s l æ ɳ ɖ
আউয়াল	a u̯ a l
আউলিয়া	a u̯ l i̯ aˑ
আওতা	a o̯ t̪ aˑ
আওয়াজ	a ʊ̯ a d͡ʒ
আওরঙ্গজেব	a o̯ ɹ ɔ ŋ ɡ d ʑ e b
আওরঙ্গজেব	a o̯ ɹ ɔ ŋ ɡ z e b
আওরঙ্গজেব	a o̯ ɾ ɔ ŋ ɡ d͡ʒ e b
আওরঙ্গজেব	a o̯ ɾ ɔ ŋ ɡ z e b
আকবর	a k b ɔ ɹ
আকবর	a k b ɔ ɾ
আকসার	a k s a ɹ
আকসার	a k s a ɾ
আকাদেমি	a k a d̪ e m iˑ
আক্রান্ত	a k ɹ a n t̪ oˑ
আক্রান্ত	a k ɾ a n t̪ oˑ
আখ	a x
আখ	aː k
আখতার	a k t̪ a ɹ
আখতার	a k t̪ a ɾ
আখতার	a x t̪ a ɹ
আখতার	a x t̪ a ɾ
আখবার	a kʰ b a ɹ
আখবার	a kʰ b a ɾ
আখরোট	a kʰ ɔ ɹ o t
আখরোট	a kʰ ɔ ɾ o t
আখরোট	a kʰ ɔ ɾ o ʈ
আখরোট	a x ɔ ɹ o t
আখের	a kʰ e ɹ
আখের	a kʰ e ɾ
আখেরাত	a kʰ e ɹ a t̪
আখেরাত	a kʰ e ɾ a t̪
আগন	a ɡ o n
আগস্ট	a ɡ o s t
আগস্ট	a ɡ o s ʈ
আগস্ট	a ɡ o ʂ ʈ
আগা	a ɡ aˑ
আগাজ	a ɡ a d ʑ
আগাজ	a ɡ a d͡ʒ
আগাজ	a ɡ a z
আগানো	a ɡ a n oˑ
আগার	a ɡ a ɹ
আগার	a ɡ a ɾ
আগুন	a ɡ u n
