Aaden	aː d ə n
Moud	m oː u̯ d
Mouer	m oː u̯ ə r
Mound	m oː u̯ n d
Moundai	m oː u̯ n d aː i̯
Moune	m oː u̯ n ə
Mounen	m oː u̯ n ə n
moute	m oː u̯ t ə
Muze	m u s ə
Muzebuk	m u s ə b ʊ k
mäd	m ɛ d
Mäiden	m ɛ ɪ̯ d ə n
Mäme	m ɛː m ə
Märe	m ɛː r ə
Määlne	m ɛː l n ə
mölk	m œ l k
Múur	m uː r
Múurhoungst	m uː r h oː u̯ ŋ s t
múurje	m uː r j ə
Múus	m uː s
n	ə n
naan	n aː n
Nachtigal	n a x t ɪ ɣ a l
Nail	n aː i l
namme	n a m ə
ne	n ə
Neder	n eː d ə r
Need	n eː d
neen	n eː n
Nichte	n ɪ x t ə
nit	n ɪ t
njuugentien	n j uː ɣ ə n t ɪˑ n
njúgen	n j uː ɣ ə n
Njúre	n j uː r ə
noa	n ɔː
Noaber	n ɔː b ə r
Noacht	n ɔː x t
Noachte	n ɔː x t ə
Noachtegoal	n ɔː x t ə ɣ ɔː l
noch	n ɔ x
Nome	n oː m ə
Nood	n oː d
nooit	n oː i̯ t
noom	n oː m
Noudaaste	n oː u̯ d aː s t ə
Noude	n oː u̯ d ə
Noudwääste	n oː u̯ d v ɛː s t ə
Nudde	n ʊ d ə
Näp	n ɛ p
Nääst	n ɛː s t
níeme	n iː m ə
oachte	ɔː x t ə
Oadler	ɔː d l ə r
Oai	ɔː ɪ̯
Oaiere	ɔː ɪ̯ ə r ə
Oante	ɔː n t ə
Oape	ɔː p ə
Oge	oː ɣ ə
Ogene	oː ɣ ə n ə
Omme	ɔ m ə
oold	oː l d
Oom	oː m
Oor	oː r
Oostfräislound	oː s t f r ɛ ɪ̯ s l oː u̯ n d
Otter	ɔ t ə r
ou	oː u̯
ouannerje	oː u̯ ɑ n ə r j ə
oubaanje	oː u̯ b aː n j ə
oubadenje	oː u̯ b aː d ə n j ə
oubaue	oː u̯ b aː u̯ ə
oubiete	oː u̯ b i t ə
oublederje	oː u̯ b l eː d ə r j ə
oubleedje	oː u̯ b l eː d j ə
oubreke	oː u̯ b r eː k ə
Oue	oː u̯ ə
oufertjoonje	oː u̯ f ə r t j oː n j ə
oulegerje	oː u̯ l eː ɣ ə r j ə
ousoange	oː u̯ s ɔː ŋ ə
Paad	p aː d
Pad	p a d
Papa	p aː p aː
Peel	p eː l
Pere	p eː r ə
Petrieshanne	p ɛ t r i s h a n ə
Piene	p i n ə
Piep	p i p
Piepe	p i p ə
Piepen	p i p ə n
Pink	p ɪ ŋ k
pleegje	p l eː ɣ j ə
Poade	p ɔː d ə
Potlikker	p ɔ t l ɪ k ə r
Profeet	p r oː f eː t
Provinsje	p r oː v ɪ n s j ə
píepje	p iː p j ə
Púul	p uː l
Púus	p uː s
Púusjene	p uː ʃ j ə n ə
Raier	r aː i̯ ə r
Reger	r eː ɣ ə r
reke	r eː k ə
rekenje	r eː k ə n j ə
Rekenjen	r eː k ə n j ə n
Ridder	r ɪ d ə r
Ringeldúve	r ɪ ŋ ə l d uː v ə
Ringfinger	r ɪ ŋ f ɪ ŋ ə r
Roage	r ɔː ɣ ə
Roagebrood	r ɔː ɣ ə b r oː d
Roave	r ɔː v ə
Rom	r ɔ m
Romelse	r oː m ə l s ə
rood	r oː d
Roof	r oː f
Room	r oː m
Roop	r oː p
Rotte	r ɔ t ə
Rotten	r ɔ t ə n
Rouk	r oː u̯ k
roupe	r oː u̯ p ə
Rubbe	r ʊ b ə
Räier	r ɛ ɪ̯ ə r
Saalt	s aː l t
Sail	s aː i̯ l
Sap	s a p
Sapkouke	s a p k oː u̯ k ə
See	s eː
Seelter	s eː l t ə r
Seelterlound	s eː l t ə r l oː u̯ n d
Seeltersk	s eː l t ə r s k
Seemeeske	s eː m eː s k ə
sien	s i n
Siene	s iː n ə
sienen	s i n ə n
sik	s ɪ k
sin	s ɪ n
sinnen	s ɪ n ə n
sjo	s j oː
sjooët	s j oː ə t
sjunge	s j ʊ ŋ ə
Sjunger	s j ʊ ŋ ə r
Sjungerske	s j ʊ ŋ ə r s k ə
skeelde	s k eː l d ə
skeeuw	s k eː u̯
Skeper	s k eː p ə r
skiene	s k i n ə
skiete	s k i t ə
Skinke	s k ɪ ŋ k ə
Skoule	s k oː u̯ l ə
Skounde	s k oː u̯ n d ə
skrieuwe	s k r i u̯ ə
Skäddel	s k ɛ d ə l
Skäip	s k ɛ ɪ̯ p
skäl	s k ɛ l
skälle	s k ɛ l ə
Skíere	s k iː r ə
Slange	s l a ŋ ə
sljucht	s l j ʊ x t
Sloange	s l ɔː ŋ ə
släipe	s l ɛ ɪ p ə
smäl	s m ɛ l
Sneeuwende	s n eː u̯ ə n d ə
Snouk	s n oː u̯ k
Snurboart	s n ʊ r b ɔː r t
Snäivende	s n ɛ ɪ̯ v ə n d ə
Soalt	s ɔː l t
soalten	s ɔː l t ə n
soaltig	s ɔː l t ɪ ɣ
Soaltrouk	s ɔː l t r oː u̯ k
Soang	s ɔː ŋ
soange	s ɔː ŋ ə
sogen	s oː ɣ ə n
soogentien	s oː ɣ ə n t iˑ n
Sooke	s oː k ə
Soom	s oː m
Sound	s oː u̯ n d
spits	s p ɪ t s
Spitsmuze	s p ɪ t s m u s ə
Spitsmúus	s p ɪ t s m uː s
spreke	s p r eː k ə
Spräie	s p r ɛ ɪ̯ ə
Stede	s t eː d ə
Steden	s t eː d ə n
Steen	s t eː n
Steenpiepe	s t eː n p i p ə
Steenpiepen	s t eː n p i p ə n
Stik	s t ɪ k
Stoark	s t ɔː r k
Stok	s t ɔ k
Stom	s t ɔ m
Stomboom	s t ɔ m b oː m
Stoom	s t oː m
stounde	s t oː u̯ n d ə
strieke	s t r i k ə
Strukelje	s t r ʊ k ə l j ə
Sträite	s t r ɛ ɪ̯ t ə
Stäit	s t ɛ ɪ̯ t
Stääd	s t ɛː d
Stíekel	s t iː k ə l
Stíekele	s t iː k ə l ə
Stíekelswien	s t iː k ə l s v i n
Stíekelswiene	s t iː k ə l s v i n ə
Sude	s u d ə
suk	s ʊ k
sukke	s ʊ k ə
sukken	s ʊ k ə n
Sundai	s ʊ n d aː i̯
Sunderkloas	s ʊ n d ə r k l ɔː s
Sunderkloaseeuwend	s ʊ n d ə r k l ɔː s eː u̯ ə n t
Sunne	s ʊ n ə
sunt	s ʊ n t
Suster	s ʊ s t ə r
Suudaaste	s u d aː s t ə
Suudwääste	s u d v ɛː s t ə
sweer	s v eː r
Swien	s v i n
Swinneflaask	s v ɪ n ə f l aː s k
Swoalke	s v ɔː l k ə
Swoan	s v ɔː n
Swonne	s v ɔ n ə
Swoolke	s v oː l k ə
Swoon	s v oː n
Swoorm	s v oː r m
swoot	s v oː t
swot	s v ɔ t
Säge	s ɛː ɣ ə
Säi	s ɛ ɪ̯
Säid	s ɛ ɪ̯ d
Säidelsbíerig	s ɛ ɪ̯ d ə l s b iː r ɪ ɣ
säks	s ɛ k s
säkstien	s ɛ k s t iˑ n
sälven	s ɛ l v ə n
Sälver	s ɛ l v ə r
Sände	s ɛ n d ə
Sät	s ɛ t
sätte	s ɛ t ə
Säände	s ɛː n d ə
Säärke	s ɛː r k ə
Säärkenmúus	s ɛː r k ə n m uː s
säärm	s ɛː r m
Säärse	s ɛː r s ə
sääuwen	s ɛː u̯ ə n
Síes	s iː s
Síesbuutje	s iː s b u t j ə
Súun	s uː n
súurgje	s uː r ɣ j ə
t	ə t
takje	t a k j ə
Taks	t a k s
Tau	t aː u̯
Tejoater	t eː j ɔː t ə r
Tied	t i d
Tit	t ɪ t
tjo	t j ɔ
Tjoater	t j ɔː t ə r
tjoon	t j oː n
tjuk	t j ʊ k
toai	t ɔː ɪ̯
toanke	t ɔː ŋ k ə
Tone	t oː n ə
Tonk	t ɔ ŋ k
tonkje	t ɔ ŋ k j ə
Toom	t oː m
tou	t oː u̯
Tougoang	t oː u̯ ɣ ɔː ŋ
touhope	t oː u̯ h oː p ə
touhopewoonje	t oː u̯ h oː p ə v oː n j ə
Traast	t r aː s t
trjo	t r j ɔ
truch	t r ʊ x
truuije	t r uː i̯ j ə
träi	t r ɛ ɪ̯
Träistrik	t r ɛ ɪ̯ s t r ɪ k
Träitit	t r ɛ ɪ̯ t ɪ t
trättien	t r ɛ t i n
Tume	t u m ə
Tusk	t ʊ s k
Tuskedokter	t ʊ s k ə d ɔ k t ə r
Tuunsdai	t u n s d aː i̯
tweelich	t v eː l ɪ x
twelig	t v eː l ɪ ɣ
twintich	t v ɪ n t ɪ x
two	t v ɔ
twäin	t v ɛ ɪ̯ n
Twäintit	t v ɛ ɪ̯ n t ɪ t
Täisdai	t ɛ ɪ̯ s d aː i̯
Täk	t ɛ k
Tästamänt	t ɛ s t a m ɛ n t
tään	t ɛː n
Täärp	t ɛː r p
Tíerm	t iː r m
Tüdik	t yː d ɪ k
Ule	u l ə
ume	u m ə
umewöile	u m ə v œː i̯ l ə
un	ʊ n
undfange	ʊ n d f a ŋ ə
Undskeeldenge	ʊ n d s k eː l d ə ŋ ə
uum	u m
Uunglove	u n ɣ l oː v ə
uunmoanskelk	u n m ɔː n s k ə l k
Uuntonk	u n t ɔ ŋ k
uur	uː r
Uurgoang	u r ɣ ɔː ŋ
uursätte	u r s ɛ t ə
uursätte	u r s ɛ t ə
uurwinne	u r v ɪ n ə
uus	u s
uut	u t
Uutgoang	u t ɣ ɔː ŋ
uutkume	u t k u m ə
uutstounde	u t s t oː u̯ n d ə
uzen	u s ə n
wai	v aː i
wanner	v a n ə r
Wareld	v aː r ə l d
weze	v eː s ə
wie	v i
wieke	v i k ə
Wien	v i n
Wienfúgel	v i n f uː ɣ ə l
wier	v i r
wieruum	v i r u m
wiet	v i t
Wieuw	v i u̯
Wieuwljude	v i u̯ l j u d ə
Wieuwmoanske	v i u̯ m ɔː n s k ə
Wiezelke	v i s ə l k ə
wilkemen	v ɪ l k eː m ə n
Wilp	v ɪ l p
wilst	v ɪ l s t
winne	v ɪ n ə
wipje	v ɪ p j ə
wippelje	v ɪ p ə l j ə
Wipstäit	v ɪ p s t ɛ ɪ̯ t
wo	v oː
Woater	v ɔː t ə r
Woaterhanne	v ɔː t ə r h a n ə
wolle	v ɔ l ə
wonskje	v ɔ n s k j ə
Woold	v oː l d
woonje	v oː n j ə
woorm	v oː r m
Woud	v oː u̯ d
Woudebouk	v oː u̯ d ə b oː u̯ k
Wroute	v r oː u̯ t ə
Wrouten	v r oː u̯ t ə n
Wucht	v ʊ x t
Wud	v ʊ d
Wulf	v ʊ l f
Wurm	v ʊ r m
Wuttel	v ʊ t ə l
wäg	v ɛ ɣ
wäggunge	v ɛ ɣ ɣ ʊ ŋ ə
wäide	v ɛ ɪ̯ d ə
wäkke	v ɛ k ə
wäkker	v ɛ k ə r
wäl	v ɛ l
wäls	v ɛ l s
Wät	v ɛ t
wät	v ɛ t
wätje	v ɛ t j ə
Wätsteen	v ɛ t s t eː n
Wäänt	v ɛː n t
Wääste	v ɛː s t ə
Wäästfräislound	v ɛː s t f r ɛ ɪ̯ s l oː u̯ n d
Wíek	v iː k
wíeld	v iː l d
Wíelge	v iː l ɣ ə
Wíend	v iː n d
Wíendmäälne	v iː n d m ɛː l n ə
wíete	v iː t ə
wöile	v œː i̯ l ə
Wöilmuze	v œː i̯ l m u s ə
Wöilmúus	v œː i̯ l m uː s
Wúurm	v uː r m
wülkemen	v ʏ l k eː m ə n
wüüld	v yː l d
Wüülge	v yː l ɣ ə
ze	z ə
Äbbe	ɛ b ə
Äi	ɛ ɪ̯
Äirm	ɛ ɪ̯ r m
Äivend	ɛ ɪ̯ v ə n t
Äkker	ɛ k ə r
älk	ɛ l k
älkunaan	ɛ l k ʊ n aː n
älkuneen	ɛ l k ʊ n eː n
Ängel	ɛ ŋ ə l
ängelsk	ɛ ŋ ə l s k
Ängelsk	ɛ ŋ ə l s k
ätter	ɛ t ə r
ättertoanke	ɛ t ə r t ɔː ŋ k ə
ääng	ɛː ŋ
äärm	ɛː r m
Íerm	iː r m
íete	iː t ə
Íeten	iː t ə n
íeuwen	iː u̯ ə n
Íezel	iː s ə l
Íezele	iː s ə l ə
