अ	ə
अबीर	ə b i ɾ
अब्ज	ə b d͡ʑ ə
अब्दुल्ला	ə b d̪ u l l a
अभिक्रिया	ə bʱ i k ɾ i j a
अभिनय	ə bʱ i n ə j
अभिनेता	ə bʱ i n e t̪ a
अभिनेत्री	ə bʱ i n e t̪ ɾ i
अभिषेक	ə bʱ i ʂ e k
अभ्यासक्रम	ə bʱ j a s ə k ɾ ə m
अमरावती	ə m ɾ a ʋ ə t̪ i
अयना	ə j n a
अरुंद	ə ɾ u n d̪ ə
अर्थ	ə ɾ t̪ʰ ə
अल्लड	ə l l ə ɖ
अवकाश	ə ʋ k a ɕ
अवघड	ə ʋ ɡʱ ə ɖ
अश्रु	ə ɕ ɾ u
असे	ə s e
असे	ə s ə
अहमदनगर	ə ɦ m ə d̪ n ə ɡ ə ɾ
अहमदाबाद	ə ɦ m ə d̪ a b a d̪
आ	a
आंघोळ	a ŋ ɡʱ o ɭ̆
आंधळे	a n d̪ʱ ə ɭ̆ e
आंधळे	a n d̪ʱ ə ɭ̆ ə
आंबट	a m b ə ʈ
आंबा	a m b a
आई	a i
आकडा	a k ɖ a
आकाश	a k a ɕ
आकाशगंगा	a k a ɕ ɡ ə ŋ ɡ a
आकाशी	a k a ɕ i
आकृती	a k ɾ u t̪ i
आक्का	a k k a
आखणे	a kʰ ɳ e
आखणे	a kʰ ɳ ə
आग	a ɡ
आगगाडी	a ɡ ɡ a ɖ i
आगाऊ	a ɡ a u
आग्नेय	a ɡ n e j ə
आग्रा	a ɡ ɾ a
आचार्य	a t͡ɕ a ɾ j ə
आज	a d͡z
आजकाल	a d͡z k a l
आजमावणे	a d͡z m a ʋ ɳ e
आजमावणे	a d͡z m a ʋ ɳ ə
आजार	a d͡z a ɾ
आजारी	a d͡z a ɾ i
आजी	a d͡ʑ i
आजोबा	a d͡z o b a
आठ	a ʈʰ
आठवडा	a ʈʰ ə ʋ ɖ a
आठवण	a ʈʰ ʋ ə ɳ
आठवणे	a ʈʰ ə ʋ ɳ e
आठवणे	a ʈʰ ə ʋ ɳ ə
आठवे	a ʈʰ ʋ e
आठवे	a ʈʰ ʋ ə
आढळणे	a ɖʱ ə ɭ̆ ɳ e
आढळणे	a ɖʱ ə ɭ̆ ɳ ə
आण	a ɳ
आणि	a ɳ i
आणीबाणी	a ɳ i b a ɳ i
आता	a t̪ a
आत्महत्या	a t̪ m ə ɦ ə t̪ j a
आदर	a d̪ ə ɾ
आदर्श	a d̪ ə ɾ ɕ ə
आधी	a d̪ʱ i
आनंद	a n ə n d̪ ə
आनंददायी	a n ə n d̪ d̪ a j i
आपटे	a p ʈ e
आफ्रिका	a pʰ ɾ i k a
आभाळ	a bʱ a ɭ̆
आमटी	a m ʈ i
आम्ल	a m l ə
आम्ले	a m l e
आम्ले	a m l ə
आम्ही	a mʱ i
आयते	a j t̪ e
आयते	a j t̪ ə
आयुष्य	a j u ʂ j ə
आयुष्ये	a j u ʂ j e
आयुष्ये	a j u ʂ j ə
आर	a ɾ
आरसा	a ɾ s a
आरोग्य	a ɾ o ɡ j ə
आर्मेनिया	a ɾ m e n i j a
आलिंगन	a l i ŋ ɡ ə n
आळवणे	a ɭ̆ ə ʋ ɳ e
आळवणे	a ɭ̆ ə ʋ ɳ ə
आळशी	a ɭ̆ ɕ i
आळशीपणा	a ɭ̆ ɕ i p ə ɳ a
आळस	a ɭ̆ ə s
आवट	a ʋ ə ʈ
आवड	a ʋ ə ɖ
आवडणे	a ʋ ə ɖ ɳ e
आवाज	a ʋ a d͡z
आवृत्ती	a ʋ ɾ u t̪ t̪ i
आशा	a ɕ a
आशावाद	a ɕ a ʋ a d̪
आश्चर्य	a ɕ t͡ɕ ə ɾ j ə
आस	a s
आसाम	a s a m
आसामी	a s a m i
आसू	a s u
आस्तिक	a s t̪ i k
आस्तिकता	a s t̪ i k t̪ a
आस्मानी	a s m a n i
इ	i
इंगलंड	i ŋ ɡ l ə ɳ ɖ
इंग्रजी	i ŋ ɡ ɾ ə d͡ʑ i
इंग्लंड	i ŋ ɡ l ə ɳ ɖ ə
इंडोनेशिया	i ɳ ɖ o n e ɕ i j a
इंदूर	i n d̪ u ɾ
इंद्रधनुष्य	i n d̪ ɾ ə d̪ʱ n u ʂ j ə
इकडे	i k ɖ e
इकडे	i k ɖ ə
इजिप्त	i d͡ʑ i p t̪ ə
इतर	i t̪ ə ɾ
इतिहास	i t̪ i ɦ a s
इथे	i t̪ʰ e
इथे	i t̪ʰ ə
इमान	i m a n
इराक	i ɾ a k
इराण	i ɾ a ɳ
इलाज	i l a d͡z
इशारा	i ɕ a ɾ a
इसम	i s ə m
इस्पिक	i s p i k
इस्राइल	i s ɾ a i l
इस्रायल	i s ɾ a j ə l
इस्लाम	i s l a m
ई	iː
ईशान्य	i ɕ a n j ə
उ	u
उंच	u n t͡s ə
उंची	u n t͡ɕ i
उंच्या	u n t͡ɕ j a
उंट	u ɳ ʈ ə
उंबरठा	u m b ə ɾ ʈʰ a
उकरणे	u k ə ɾ ɳ e
उकरणे	u k ə ɾ ɳ ə
उकिरडा	u k i ɾ ɖ a
उखाणा	u kʰ a ɳ a
उगारणे	u ɡ a ɾ ɳ e
उगारणे	u ɡ a ɾ ɳ ə
उघडणे	u ɡʱ ə ɖ ɳ e
उघडणे	u ɡʱ ə ɖ ɳ ə
उच्चार	u t͡ɕ t͡ɕ a ɾ
उच्चारणे	u t͡ɕ t͡ɕ a ɾ ɳ e
उच्चारणे	u t͡ɕ t͡ɕ a ɾ ɳ ə
उजळणे	u d͡z ə ɭ̆ ɳ e
उजळणे	u d͡z ə ɭ̆ ɳ ə
उजवे	u d͡z ʋ e
उजवे	u d͡z ʋ ə
उजेड	u d͡ʑ e ɖ
उझबेकिस्तान	u d͡ʑʱ b e k i s t̪ a n
उटणे	u ʈ ɳ e
उटणे	u ʈ ɳ ə
उठणे	u ʈʰ ɳ e
उठणे	u ʈʰ ɳ ə
उठवणे	u ʈʰ ə ʋ ɳ e
उठवणे	u ʈʰ ə ʋ ɳ ə
उडणे	u ɖ ɳ e
उडणे	u ɖ ɳ ə
उड्डाण	u ɖ ɖ a ɳ
उणे	u ɳ e
उणे	u ɳ ə
उतरणे	u t̪ ə ɾ ɳ e
उतरणे	u t̪ ə ɾ ɳ ə
उतार	u t̪ a ɾ
उत्कंठावर्धक	u t̪ k ə ɳ ʈʰ a ʋ ə ɾ d̪ʱ ə k
उत्कृष्ट	u t̪ k ɾ u ʂ ʈ ə
उत्क्रांती	u t̪ k ɾ a n t̪ i
उत्तर	u t̪ t̪ ə ɾ
उत्पन्न	u t̪ p ə n n ə
उत्सव	u t̪ s ə ʋ
उत्साह	u t̪ s a ɦ ə
उत्साही	u t̪ s a ɦ i
उथळ	u t̪ʰ ə ɭ̆
उदजन	u d̪ d͡ʑ ə n
उदय	u d̪ ə j
उदास	u d̪ a s
उदाहरण	u d̪ a ɦ ɾ ə ɳ
उद्या	u d̪ j a
उद्योग	u d̪ j o ɡ
उधई	u d̪ʱ ə i
उधळणे	u d̪ʱ ə ɭ̆ ɳ e
उधळणे	u d̪ʱ ə ɭ̆ ɳ ə
उधेल	u d̪ʱ e l
उनाड	u n a ɖ
उन्हाळा	u nʱ a ɭ̆ a
उपचार	u p t͡ɕ a ɾ
उपनिषद	u p n i ʂ ə d̪
उपनिषद्	u p n i ʂ ə d̪
उमजणे	u m ə d͡z ɳ e
उमजणे	u m ə d͡z ɳ ə
उमटणे	u m ə ʈ ɳ e
उमटणे	u m ə ʈ ɳ ə
उमदे	u m d̪ e
उमदे	u m d̪ ə
उमलणे	u m ə l ɳ e
उमलणे	u m ə l ɳ ə
उमेद	u m e d̪
उरणे	u ɾ ɳ e
उरणे	u ɾ ɳ ə
उर्दू	u ɾ d̪ u
उल्हास	u lʱ a s
उल्हासनगर	u lʱ a s n ə ɡ ə ɾ
उशी	u ɕ i
उश्या	u ɕ j a
उष्टे	u ʂ ʈ e
उष्टे	u ʂ ʈ ə
उसळणे	u s ə ɭ̆ ɳ e
उसळणे	u s ə ɭ̆ ɳ ə
उस्मानाबाद	u s m a n a b a d̪
ऊ	u
ऊदबत्ती	u d̪ b ə t̪ t̪ i
ऊर्जा	u ɾ d͡ʑ a
ऋ	ɾ u
ऋण	ɾ u ɳ
ऋणी	ɾ u ɳ i
ऋतू	ɾ u t̪ u
ए	e
एक	e k
एकटा	e k ʈ a
एकत्र	e k ə t̪ ɾ ə
एकदा	e k d̪ a
एकवीस	e k ʋ i s
एकी	e k i
एकेचाळीस	e k e t͡ɕ a ɭ̆ i s
एकोणचाळीस	e k o ɳ t͡ɕ a ɭ̆ i s
एकोणतीस	e k o ɳ t̪ i s
एकोणपन्नास	e k o ɳ p ə n n a s
एकोणीस	e k o ɳ i s
एडमंटन	e ɖ m ə ɳ ʈ ə n
एप्रिल	e p ɾ i l
एस्टोनिया	e s ʈ o n i j a
ऐ	ə i
ऐंशी	ə i u ɕ i
ऐकणे	ə i k ɳ e
ऐकणे	ə i k ɳ ə
ऐक्य	ə i k j ə
ऑ	ɔ
ऑक्टोबर	ɔ k ʈ o b ə ɾ
ऑगस्ट	ɔ ɡ ə s ʈ ə
ओ	o
ओंगळ	o ŋ ɡ ə ɭ̆
ओंजळ	o n d͡z ə ɭ̆
ओघ	o ɡʱ
ओझरते	o d͡zʱ ə ɾ t̪ e
ओझरते	o d͡zʱ ə ɾ t̪ ə
ओटा	o ʈ a
ओढणे	o ɖʱ ɳ e
ओढणे	o ɖʱ ɳ ə
ओतणे	o t̪ ɳ e
ओतणे	o t̪ ɳ ə
ओथंबणे	o t̪ʰ ə m b ə ɳ e
ओथंबणे	o t̪ʰ ə m b ə ɳ ə
ओमान	o m a n
ओरपणे	o ɾ ə p ɳ e
ओरपणे	o ɾ ə p ɳ ə
ओलांडणे	o l a ɳ ɖ ə ɳ e
ओलांडणे	o l a ɳ ɖ ə ɳ ə
ओळ	o ɭ̆
ओळखणे	o ɭ̆ ə kʰ ɳ e
ओळखणे	o ɭ̆ ə kʰ ɳ ə
ओवा	o ʋ a
ओसंडणे	o s ə ɳ ɖ ə ɳ e
ओसंडणे	o s ə ɳ ɖ ə ɳ ə
ओसरणे	o s ə ɾ ɳ e
ओसरणे	o s ə ɾ ɳ ə
ओहायो	o ɦ a j o
औ	ə u
औरंगाबाद	ə u ɾ ə ŋ ɡ a b a d̪
औषध	ə u ʂ ə d̪ʱ
क	k ə
कंत्राट	k ə n t̪ ɾ a ʈ
कंत्राटदार	k ə n t̪ ɾ a ʈ d̪ a ɾ
कंदील	k ə n d̪ i l
कंबर	k ə m b ə ɾ
कचरा	k ə t͡s ɾ a
कचेरी	k ə t͡ɕ e ɾ i
कटि	k ə ʈ i
कट्यार	k ə ʈ j a ɾ
कठीण	k ə ʈʰ i ɳ
कडू	k ə ɖ u
कढी	k ə ɖʱ i
कण	k ə ɳ
कतार	k ə t̪ a ɾ
कत्तल	k ə t̪ t̪ ə l
कथा	k ə t̪ʰ a
कदाचित	k ə d̪ a t͡ɕ i t̪
कन्नड	k ə n n ə ɖ
कपडा	k ə p ɖ a
कपाट	k ə p a ʈ
कपाटे	k ə p a ʈ e
कपाटे	k ə p a ʈ ə
कपाळ	k ə p a ɭ̆
कपाळे	k ə p a ɭ̆ e
कपाळे	k ə p a ɭ̆ ə
कपोत	k ə p o t̪
कबुतर	k ə b u t̪ ə ɾ
कबूतर	k ə b u t̪ ə ɾ
कमळ	k ə m ə ɭ̆
कमाल	k ə m a l
कमी	k ə m i
करणे	k ə ɾ ɳ e
करणे	k ə ɾ ɳ ə
करवा	k ə ɾ ʋ a
कराची	k ə ɾ a t͡ɕ i
करुणा	k ə ɾ u ɳ a
कर्क	k ə ɾ k ə
कर्ता	k ə ɾ t̪ a
कर्तृत्व	k ə ɾ t̪ ɾ u t̪ ʋ ə
कर्बोदक	k ə ɾ b o d̪ ə k
कर्बोदके	k ə ɾ b o d̪ k e
कर्बोदके	k ə ɾ b o d̪ k ə
कर्म	k ə ɾ m ə
कलवार	k ə l ʋ a ɾ
कला	k ə l a
कलाकार	k ə l a k a ɾ
कलाल	k ə l a l
कलिंगड	k ə l i ŋ ɡ ə ɖ
कलिंगडे	k ə l i ŋ ɡ ɖ e
कल्लोळ	k ə l l o ɭ̆
कळणे	k ə ɭ̆ ɳ e
कळणे	k ə ɭ̆ ɳ ə
कळशी	k ə ɭ̆ ɕ i
कळी	k ə ɭ̆ i
कळ्या	k ə ɭ̆ j a
कवयित्री	k ə ʋ j i t̪ ɾ i
कवाईत	k ə ʋ a i t̪
कवि	k ə ʋ i
कविता	k ə ʋ i t̪ a
कवी	k ə ʋ i
कष्ट	k ə ʂ ʈ ə
कसे	k ə s e
कसे	k ə s ə
कसोटी	k ə s o ʈ i
कहाणी	k ə ɦ a ɳ i
का	k a
कांदा	k a n d̪ a
काका	k a k a
काकू	k a k u
कागद	k a ɡ ə d̪
काच	k a t͡s
काजळ	k a d͡z ə ɭ̆
काजवा	k a d͡z ʋ a
काठ	k a ʈʰ
काठी	k a ʈʰ i
काठ्या	k a ʈʰ j a
काढणे	k a ɖʱ ɳ e
काढणे	k a ɖʱ ɳ ə
काढा	k a ɖʱ a
कात्री	k a t̪ ɾ i
कान	k a n
कानपूर	k a n p u ɾ
कापड	k a p ə ɖ
कापडे	k a p ɖ e
कापडे	k a p ɖ ə
कापणे	k a p ɳ e
कापणे	k a p ɳ ə
कापूर	k a p u ɾ
कापूस	k a p u s
काफी	k a pʰ i
काम	k a m
कामगार	k a m ɡ a ɾ
काय	k a j
कायदा	k a j d̪ a
कायम	k a j ə m
कारखाना	k a ɾ kʰ a n a
कारण	k a ɾ ə ɳ
कारणे	k a ɾ ɳ e
कारणे	k a ɾ ɳ ə
कारले	k a ɾ l e
कारले	k a ɾ l ə
कारागीर	k a ɾ a ɡ i ɾ
कार्यक्रम	k a ɾ j ə k ɾ ə m
काल	k a l
काळ	k a ɭ̆
काळजी	k a ɭ̆ d͡ʑ i
काळवीट	k a ɭ̆ ʋ i ʈ
काळा	k a ɭ̆ a
काळीज	k a ɭ̆ i d͡z
काळे	k a ɭ̆ e
कावळा	k a ʋ ɭ̆ a
काव्य	k a ʋ j ə
काव्ये	k a ʋ j e
काव्ये	k a ʋ j ə
कासव	k a s ə ʋ
काही	k a ɦ i
किंमत	k i m m ə t̪
किंवा	k i u ʋ a
किडा	k i ɖ a
किडे	k i ɖ e
किडे	k i ɖ ə
किनारा	k i n a ɾ a
किमान	k i m a n
किरण	k i ɾ ə ɳ
किल्ला	k i l l a
किल्ली	k i l l i
किल्ल्या	k i l l j a
किल्वर	k i l ʋ ə ɾ
किवडा	k i ʋ ɖ a
की	k i
कीबोर्ड	k i b o ɾ ɖ ə
कीव	k i ʋ
कुंकू	k u ŋ k u
कुंकूं	k u ŋ k ũ
कुंभ	k u m bʱ ə
कुंभार	k u m bʱ a ɾ
कुटुंब	k u ʈ u m b ə
कुठे	k u ʈʰ e
कुतूहल	k u t̪ u ɦ ə l
कुत्रा	k u t̪ ɾ a
कुराण	k u ɾ a ɳ
कुऱ्हाड	k u ɾʱ a ɖ
कुलकर्णी	k u l k ə ɾ ɳ i
कुलपे	k u l p e
कुलपे	k u l p ə
कुलुपे	k u l u p e
कुलुपे	k u l u p ə
कुलूप	k u l u p
कुवेत	k u ʋ e t̪
केंद्र	k e n d̪ ɾ ə
केरळ	k e ɾ ə ɭ̆
केळं	k e ɭ̆ ə
केळे	k e ɭ̆ e
केळे	k e ɭ̆ ə
केशर	k e ɕ ə ɾ
केशरी	k e ɕ ɾ i
केस	k e s
कोकण	k o k ə ɳ
कोची	k o t͡ɕ i
कोटी	k o ʈ i
कोड	k o ɖ
कोडे	k o ɖ e
कोडे	k o ɖ ə
कोण	k o ɳ
कोणते	k o ɳ t̪ e
कोय	k o j
कोयता	k o j t̪ a
कोयती	k o j t̪ i
कोरणे	k o ɾ ɳ e
कोरणे	k o ɾ ɳ ə
कोरे	k o ɾ e
कोरे	k o ɾ ə
कोल	k o l
कोलकाता	k o l k a t̪ a
कोल्हापूर	k o lʱ a p u ɾ
कोळसा	k o ɭ̆ s a
कोवळे	k o ʋ ɭ̆ e
कोवळे	k o ʋ ɭ̆ ə
कोशिंबीर	k o ɕ i m b i ɾ
कोशीस	k o ɕ i s
क्रांती	k ɾ a n t̪ i
क्रूस	k ɾ u s
क्ष	k ʂ ə
क्षार	k ʂ a ɾ
क्षितिज	k ʂ i t̪ i d͡ʑ
क्षुल्लक	k ʂ u l l ə k
ख	kʰ ə
खचणे	kʰ ə t͡s ɳ e
खचणे	kʰ ə t͡s ɳ ə
खजूर	kʰ ə d͡z u ɾ
खटला	kʰ ə ʈ l a
खडू	kʰ ə ɖ u
खड्डा	kʰ ə ɖ ɖ a
खणणे	kʰ ə ɳ ɳ e
खणणे	kʰ ə ɳ ɳ ə
खत्रप	kʰ ə t̪ ɾ ə p
खदखदा	kʰ ə d̪ kʰ ə d̪ a
खपणे	kʰ ə p ɳ e
खपणे	kʰ ə p ɳ ə
खबर	kʰ ə b ə ɾ
खरे	kʰ ə ɾ e
खरे	kʰ ə ɾ ə
खरेदी	kʰ ə ɾ e d̪ i
खर्च	kʰ ə ɾ t͡s ə
खर्चणे	kʰ ə ɾ t͡s ə ɳ e
खर्चणे	kʰ ə ɾ t͡s ə ɳ ə
खलाशी	kʰ ə l a ɕ i
खांडणे	kʰ a ɳ ɖ ɳ e
खांडणे	kʰ a ɳ ɖ ɳ ə
खाऊ	kʰ a u
खाज	kʰ a d͡z
खाजगी	kʰ a d͡z ɡ i
खाजगीकरण	kʰ a d͡z ɡ i k ɾ ə ɳ
खाजणे	kʰ a d͡z ɳ e
खाजणे	kʰ a d͡z ɳ ə
खाजवणे	kʰ a d͡z ə ʋ ɳ e
खाजवणे	kʰ a d͡z ə ʋ ɳ ə
खाट	kʰ a ʈ
खाण	kʰ a ɳ
खाते	kʰ a t̪ e
खाते	kʰ a t̪ ə
खानदेश	kʰ a n d̪ e ɕ
खाना	kʰ a n a
खार	kʰ a ɾ
खारट	kʰ a ɾ ə ʈ
खाली	kʰ a l i
खास	kʰ a s
खिडकी	kʰ i ɖ k i
खिडक्या	kʰ i ɖ ə k j a
खिमा	kʰ i m a
खीर	kʰ i ɾ
खुजे	kʰ u d͡z e
खुजे	kʰ u d͡z ə
खुडणे	kʰ u ɖ ɳ e
खुडणे	kʰ u ɖ ɳ ə
खुद्द	kʰ u d̪ d̪ ə
खुर्ची	kʰ u ɾ t͡ɕ i
खुर्च्या	kʰ u ɾ t͡ɕ j a
खुळे	kʰ u ɭ̆ e
खुळे	kʰ u ɭ̆ ə
खुश	kʰ u ɕ
खूण	kʰ u ɳ
खून	kʰ u n
खेकडा	kʰ e k ɖ a
खेचणे	kʰ e t͡s ɳ e
खेचणे	kʰ e t͡s ɳ ə
खेडे	kʰ e ɖ e
खेडे	kʰ e ɖ ə
खेळणे	kʰ e ɭ̆ ɳ e
खेळणे	kʰ e ɭ̆ ɳ ə
खोचणे	kʰ o t͡s ɳ e
खोचणे	kʰ o t͡s ɳ ə
खोटे	kʰ o ʈ e
खोटे	kʰ o ʈ ə
खोडणे	kʰ o ɖ ɳ e
खोडणे	kʰ o ɖ ɳ ə
खोडरबर	kʰ o ɖ ə ɾ b ə ɾ
खोदणे	kʰ o d̪ ɳ e
खोदणे	kʰ o d̪ ɳ ə
खोली	kʰ o l i
ख्रिस्ती	kʰ ɾ i s t̪ i
ग	ɡ ə
गंधक	ɡ ə n d̪ʱ ə k
गंभीर	ɡ ə m bʱ i ɾ
गट	ɡ ə ʈ
गटार	ɡ ə ʈ a ɾ
गडबड	ɡ ə ɖ b ə ɖ
गडबडणे	ɡ ə ɖ b ə ɖ ɳ e
गडबडणे	ɡ ə ɖ b ə ɖ ɳ ə
गफलत	ɡ ə pʰ l ə t̪
गरज	ɡ ə ɾ ə d͡z
गरजणे	ɡ ə ɾ ə d͡z ɳ e
गरजणे	ɡ ə ɾ ə d͡z ɳ ə
गरीब	ɡ ə ɾ i b
गल्ली	ɡ ə l l i
गळणे	ɡ ə ɭ̆ ɳ e
गळणे	ɡ ə ɭ̆ ɳ ə
गळा	ɡ ə ɭ̆ a
गळे	ɡ ə ɭ̆ e
गळे	ɡ ə ɭ̆ ə
गवसणे	ɡ ə ʋ ə s ɳ e
गवसणे	ɡ ə ʋ ə s ɳ ə
गहिरे	ɡ ə ɦ i ɾ e
गहिरे	ɡ ə ɦ i ɾ ə
गहू	ɡ ə ɦ u
गांगरणे	ɡ a ŋ ɡ ə ɾ ɳ e
गांगरणे	ɡ a ŋ ɡ ə ɾ ɳ ə
गांड	ɡ a ɳ ɖ ə
गांडूळ	ɡ a ɳ ɖ u ɭ̆
गांभीर्य	ɡ a m bʱ i ɾ j ə
गाजणे	ɡ a d͡z ɳ e
गाजणे	ɡ a d͡z ɳ ə
गाजर	ɡ a d͡z ə ɾ
गाझियाबाद	ɡ a d͡zʱ i j a b a d̪
गाठ	ɡ a ʈʰ
गाठणे	ɡ a ʈʰ ɳ e
गाठणे	ɡ a ʈʰ ɳ ə
गाठोडे	ɡ a ʈʰ o ɖ e
गाठोडे	ɡ a ʈʰ o ɖ ə
गाढ	ɡ a ɖʱ
गाणे	ɡ a ɳ e
गाणे	ɡ a ɳ ə
गादी	ɡ a d̪ i
गाभा	ɡ a bʱ a
गाभारा	ɡ a bʱ a ɾ a
गाय	ɡ a j
गायक	ɡ a j ə k
गायिका	ɡ a j i k a
गार	ɡ a ɾ
गारुडी	ɡ a ɾ u ɖ i
गाल	ɡ a l
गिंडी	ɡ i ɳ ɖ i
गिधाड	ɡ i d̪ʱ a ɖ
गिळणे	ɡ i ɭ̆ ɳ e
गिळणे	ɡ i ɭ̆ ɳ ə
गुंतणे	ɡ u n t̪ ə ɳ e
गुंतणे	ɡ u n t̪ ə ɳ ə
गुंतवणे	ɡ u n t̪ ə ʋ ɳ e
गुंतवणे	ɡ u n t̪ ə ʋ ɳ ə
गुंफणे	ɡ u m pʰ ə ɳ e
गुंफणे	ɡ u m pʰ ə ɳ ə
गुज	ɡ u d͡z
गुजरात	ɡ u d͡z ɾ a t̪
गुजराती	ɡ u d͡z ɾ a t̪ i
गुढी	ɡ u ɖʱ i
गुण	ɡ u ɳ
गुणगुणणे	ɡ u ɳ ɡ u ɳ ɳ e
गुणगुणणे	ɡ u ɳ ɡ u ɳ ɳ ə
गुन्हा	ɡ u nʱ a
गुन्हेगार	ɡ u nʱ e ɡ a ɾ
गुरुवार	ɡ u ɾ u ʋ a ɾ
गुरू	ɡ u ɾ u
गुऱ्हाळ	ɡ u ɾʱ a ɭ̆
गुलाब	ɡ u l a b
गुलाबी	ɡ u l a b i
गुहा	ɡ u ɦ a
गूळ	ɡ u ɭ̆
गोंधळ	ɡ o n d̪ʱ ə ɭ̆
गोखले	ɡ o kʰ l e
गोठा	ɡ o ʈʰ a
गोड	ɡ o ɖ
गोडसे	ɡ o ɖ s e
गोणी	ɡ o ɳ i
गोफण	ɡ o pʰ ə ɳ
गोमांस	ɡ o m a u s ə
गोल	ɡ o l
गोष्ट	ɡ o ʂ ʈ ə
गोसावी	ɡ o s a ʋ i
ग्रंथ	ɡ ɾ ə n t̪ʰ ə
ग्रंथालय	ɡ ɾ ə n t̪ʰ a l ə j
ग्रह	ɡ ɾ ə ɦ ə
ग्वाल्हेर	ɡ ʋ a lʱ e ɾ
घ	ɡʱ ə
घटणे	ɡʱ ə ʈ ɳ e
घटणे	ɡʱ ə ʈ ɳ ə
घट्ट	ɡʱ ə ʈ ʈ ə
घट्टपणा	ɡʱ ə ʈ ʈ ə p ə ɳ a
घडणे	ɡʱ ə ɖ ɳ e
घडणे	ɡʱ ə ɖ ɳ ə
घड्याळ	ɡʱ ə ɖ j a ɭ̆
घड्याळे	ɡʱ ə ɖ j a ɭ̆ e
घड्याळे	ɡʱ ə ɖ j a ɭ̆ ə
घर	ɡʱ ə ɾ
घरं	ɡʱ ə ɾ ə
घरजावई	ɡʱ ə ɾ d͡z a ʋ ə i
घराणे	ɡʱ ə ɾ a ɳ e
घराणे	ɡʱ ə ɾ a ɳ ə
घरे	ɡʱ ə ɾ e
घरे	ɡʱ ə ɾ ə
घर्षण	ɡʱ ə ɾ ʂ ə ɳ
घाण	ɡʱ a ɳ
घाबरणे	ɡʱ a b ə ɾ ɳ e
घाबरणे	ɡʱ a b ə ɾ ɳ ə
घाम	ɡʱ a m
घार	ɡʱ a ɾ
घालणे	ɡʱ a l ɳ e
घालणे	ɡʱ a l ɳ ə
घासणे	ɡʱ a s ɳ e
घासणे	ɡʱ a s ɳ ə
घासलेट	ɡʱ a s l e ʈ
घुबड	ɡʱ u b ə ɖ
घुमट	ɡʱ u m ə ʈ
घुमणे	ɡʱ u m ɳ e
घुमणे	ɡʱ u m ɳ ə
घोडेस्वार	ɡʱ o ɖ e s ʋ a ɾ
घोष	ɡʱ o ʂ
घोषणा	ɡʱ o ʂ ɳ a
च	t͡s ə
च	t͡ɕ ə
चंदन	t͡ɕ ə n d̪ ə n
चंद्र	t͡ɕ ə n d̪ ɾ ə
चंद्रप्रकाश	t͡ɕ ə n d̪ ɾ ə p ɾ ə k a ɕ
चटई	t͡s ə ʈ ə i
चढणे	t͡s ə ɖʱ ɳ e
चढणे	t͡s ə ɖʱ ɳ ə
चमकणे	t͡s ə m ə k ɳ e
चमचा	t͡s ə m t͡s a
चमचा	t͡ɕ ə m t͡ɕ a
