ϣϩⲓϭ	ʃ h i c
ϣⲟϣⲙⲓ	ʃ o ʃ m iː
ϣⲟⲙⲧ	ʃ o m t
ϣⲱϣⲉⲛ	ʃ o ʃ e n
ϣⲱϣⲉⲛ	ʃ oː ʃ ə n
ϣⲱϣⲉⲛ	ʃ u ʃ a n
ϣⲱⲡⲓ	ʃ o p i
ϣⲱⲡⲓ	ʃ oː p ə
ϣⲱⲡⲓ	ʃ u b a
ϥⲁϩ	f a h
ϥⲧⲁⲩ	ʔ ə f tʼ a uː
ϥⲧⲟⲟⲩ	ʔ ə f t o w
ϥⲧⲟⲟⲩ	ʔ ə f tʼ o w
ϥⲧⲟⲩ	a f d u ʔ
ϥⲧⲟⲩ	e f t u
ϥⲧⲟⲩ	ə f tʼ uː ʔ
ϧⲁ	x a ʔ
ϧⲁⲗⲕⲓⲛ	x a l k i n
ϧⲁⲗⲕⲓⲛ	x a l kʼ iː n
ϧⲉⲛ	x ə n
ϧⲏⲧ	x a t
ϧⲏⲧ	x eː t
ϧⲏⲧ	x i t
ϧⲟⲩⲛ	x uː n
ϧⲣⲱⲟⲩ	x ɾ oː w
ϧⲱⲧⲉⲃ	x o t e b
ϧⲱⲧⲉⲃ	x oː t ə b
ϧⲱⲧⲉⲃ	x u d a b
ϩⲁϫⲓ	h a ʔ t͡ʃ ə
ϩⲁϭⲉ	h a ʔ kʲ ə
ϩⲁⲇⲏⲥ	h a d eː s
ϩⲁⲓ	h a i̯
ϩⲁⲗⲏⲧ	h a l eː t
ϩⲁⲙ	h a m
ϩⲁⲙⲉⲩ	h a m e u̯
ϩⲁⲟⲩⲧ	h a o u̯ t
ϩⲁⲣⲡⲟⲕⲣⲁⲧⲏⲥ	h a r p ɔ k r aː t ɛː s
ϩⲁⲩⲧ	h a u̯ t
ϩⲉⲙⲕⲓ	h a m k a
ϩⲉⲙⲕⲓ	h e m k i
ϩⲉⲙⲕⲓ	h e m k ə
ϩⲉⲙⲥⲓ	h e m s ə
ϩⲉⲣⲙⲁⲛⲟⲩⲡ	h ɛ r m a n u p
ϩⲉⲣⲙⲏⲥ	h ɛ ɾ m eː s
ϩⲉⲣⲟⲩⲱϫ	h ə ɾ w oː t͡ʃ
ϩⲑⲟ	ə h tʰ o ʔ
ϩⲕⲟ	ə h k ɔ
ϩⲗⲗⲁ	h ə l l a ʔ
ϩⲗⲗⲟ	h ə l l o ʔ
ϩⲗⲟϫ	e h l o ɡ
ϩⲗⲟϫ	ʔ a h l u ɟ
ϩⲗⲟϫ	ʔ ə h l o t͡ʃ
ϩⲗⲟϭ	ʔ ə h l o kʲ
ϩⲙⲟⲟⲥ	h m oː s
ϩⲛ	h ə n
ϩⲛⲕⲉ	h n̩ k ɛ
ϩⲛⲟⲩⲙ	h n u m
ϩⲟ	h o ʔ
ϩⲟⲓ	h o j
ϩⲟⲛⲃⲉ	h o n β ə
ϩⲟⲟⲩ	h ɔ w
ϩⲟⲟⲩ	h ɔː w
ϩⲟⲟⲩⲧ	h o u̯ t
ϩⲟⲣⲧϥ	h o ɾ t ə f
ϩⲟⲩⲛ	h uː n
ϩⲣⲙⲏⲥ	h ə ɾ m eː s
ϩⲣⲟⲟⲩ	h ɾ o w
ϩⲣⲱⲙⲏ	h r ɔː m ɛː
ϩⲱⲗ	h oː l
ϫⲁϥ	t͡ʃʼ a f
ϫⲁϥ	ɡ a f
ϫⲁϥϫⲓϥ	t͡ʃ a f t͡ʃʼ iː f
ϫⲁϥϫⲓϥ	ɟ a f ɟ i f
ϫⲁϥϫⲓϥ	ɡ a f d͡ʒ i f
ϫⲁϫⲓ	d͡ʒ a ʔ d͡ʒ a
ϫⲁϫⲓ	t͡ʃʼ a ʔ t͡ʃ ə
ϫⲁϫⲓ	ɡ a d͡ʒ i
ϫⲁⲁⲛⲉ	t͡ʃ a ʔ n ə
ϫⲁⲉⲓⲥ	t͡ʃ a i̯ s
ϫⲁⲓⲧ	t͡ʃʼ a i̯ t
ϫⲁⲙⲟⲩⲗ	t͡ʃ a m uː l
ϫⲁⲙⲟⲩⲗ	ɟ a m u l
ϫⲁⲙⲟⲩⲗ	ɡ a m u l
ϫⲁⲛⲓ	t͡ʃʼ a ʔ n ə
ϫⲁⲛⲓ	ɟ a ʔ n a
ϫⲁⲛⲓ	ɡ a n i
ϫⲉⲙⲫⲉϩ	d͡ʒ e ɱ f e h
ϫⲉⲙⲫⲉϩ	t͡ʃ ə m pʰ e h
ϫⲉⲙⲫⲉϩ	ɟ a m b a h
ϫⲉⲡ	d͡ʒ ə p
ϫⲉⲡ	t͡ʃ ə p
ϫⲉⲫⲣⲟ	kʲ ə pʰ r oː
ϫⲉⲫⲣⲟ	t͡ʃ ə pʰ r oː
ϫⲉⲫⲣⲟ	ʃ ə b r oː
ϫⲏϭⲉ	t͡ʃ eː kʲ ə
ϫⲓϫ	d͡ʒ i ɡ
ϫⲓϫ	t͡ʃʼ iː t͡ʃ
ϫⲓϫ	ɟ i ɟ
ϫⲓϫⲱⲓ	d͡ʒ i ɡ o ɪ̯
ϫⲓϫⲱⲓ	t͡ʃ iː t͡ʃʼ oː j
ϫⲓϫⲱⲓ	ɟ i ɟ u j
ϫⲓϭⲱⲓ	d͡ʒ i t͡ʃ o ɪ̯
ϫⲓϭⲱⲓ	t͡ʃ iː t͡ʃʰ oː j
ϫⲓϭⲱⲓ	ɟ i ʃ u j
ϫⲓⲕⲣⲓⲥ	d͡ʒ i k r i s
ϫⲓⲕⲣⲓⲥ	t͡ʃ i k r iː s
ϫⲓⲕⲣⲓⲥ	ɡ i k r i s
ϫⲓⲙⲓ	d͡ʒ i m i
ϫⲓⲙⲓ	t͡ʃʼ iː m ə
ϫⲓⲙⲓ	ɟ i m a
ϫⲓⲥⲉ	t͡ʃ iː s ə
ϫⲙⲡⲉϩ	t͡ʃ ə m p e h
ϫⲟⲉⲓⲥ	t͡ʃ o i̯ s
ϫⲟⲉⲓⲧ	t͡ʃ ɔ j t
ϫⲟⲙ	t͡ʃʼ o m
ϫⲟⲙ	ɟ u m
ϫⲟⲟⲙⲉ	t͡ʃʼ oː m e
ϫⲟⲩⲱⲧ	t͡ʃ w oː t
ϫⲫⲟⲓ	a ɟ b u j
ϫⲫⲟⲓ	e ɡ f o ɪ̯
ϫⲫⲟⲓ	ə t͡ʃ pʰ o j
ϫⲱ	t͡ʃʼ oː ʔ
ϫⲱϩⲙ	t͡ʃ o h m̩
ϫⲱⲃⲓ	t͡ʃʼ oː β ə
ϫⲱⲃⲓ	ɟ u w a
ϫⲱⲃⲓ	ɡ o v i
ϫⲱⲓⲗⲓ	t͡ʃʼ oː i̯ l ə
ϫⲱⲙ	t͡ʃʼ oː m
ϫⲱⲙ	ɟ u m
ϫⲱⲙ	ɡ o m
ϫⲱⲙⲓ	t͡ʃʼ oː m i
ϫⲱⲧ	t͡ʃʼ oː t
ϫⲱⲧ	ɟ u t
ϫⲱⲧ	ɡ o t
ϭⲁϫⲓϥ	kʲ a t͡ʃ iː f
ϭⲁⲓⲗⲓ	t͡ʃʼ aː i̯ l ə
ϭⲁⲙⲁⲩⲗⲉ	kʲ a m a u̯ l ə
ϭⲁⲙⲟⲩⲗ	kʲ a m uː l
ϭⲁⲣⲧⲉ	kʲ o r t e
ϭⲁⲣⲧⲉ	t͡ʃ o r t e
ϭⲃⲟⲓ	kʲ β o j
ϭⲉⲣϭⲏ	kʲ ə ɾ kʲ eː ʔ
ϭⲏϫⲓ	t͡ʃʰ eː t͡ʃ i
ϭⲏϫⲓ	ʃ aː ɟ i
ϭⲏϫⲓ	ʃ ɪ ɟ i
ϭⲓ	t͡ʃ i
ϭⲓ	t͡ʃʰ iː ʔ
ϭⲓϫⲱⲓ	kʲ iː t͡ʃ oː j
ϭⲓⲛⲉ	kʲ iː n ə
ϭⲓⲥⲓ	t͡ʃʰ iː s ə
ϭⲟⲓⲥ	t͡ʃ o ɪ̯ s
ϭⲟⲓⲥ	t͡ʃʰ o i̯ s
ϭⲟⲓⲥ	ʃ u i̯ s
ϭⲟⲣⲧⲉ	c o r t e
ϭⲟⲥϫⲉⲥ	t͡ʃ o z d͡ʒ e s
ϭⲟⲥϫⲉⲥ	t͡ʃʰ o s t͡ʃ ə s
ϭⲟⲥϫⲉⲥ	ʃ u s ɟ a s
ϭⲟⲧ	kʲ o t
ϭⲣⲏϫⲓ	t͡ʃ ɾ i d͡ʒ i
ϭⲣⲏϫⲓ	t͡ʃʰ ɾ eː t͡ʃ ə
ϭⲣⲏϫⲓ	ʃ ɾ a ɟ ə
ϭⲣⲏϭⲉ	kʲ ɾ eː kʲ ə
ϭⲱⲃⲉ	kʲ oː β ə
ϭⲱⲙ	kʲ oː m
ϭⲱⲙ	t͡ʃʰ oː m
ϭⲱⲛⲧ	t͡ʃʰ o n t
ϭⲱⲣϩ	kʲ oː ɾ ə h
ϭⲱⲱⲃⲉ	kʲ oː ʔ β ə
ϯ	d i
ϯ	t i
ϯϣⲁⲓⲣⲓ	t ə ʃ a ɪ r ə
ϯϩⲉ	t iː h ə
ϯⲉⲗⲗⲁⲥ	d e l l ɑ s
ϯⲕⲉϣⲣⲱⲙⲓ	t ə k ə ʃ ɾ oː m ə
ϯⲙⲓ	d i m a
ϯⲙⲓ	t i m i
ϯⲙⲓ	tʼ iː m ə
ϯⲟⲩ	tʼ iː w
ϯⲡⲉⲣⲥⲏⲥ	d ə b a r s i s
ϯⲡⲉⲣⲥⲏⲥ	t ə p ɛ r s e s
ϯⲡⲓ	d i b a
ϯⲡⲓ	t i p i
ϯⲡⲓ	tʼ iː p ə
ϯⲥⲃⲱ	t i e s v o
ϯⲥⲃⲱ	t i ʔ a s w u
ϯⲥⲃⲱ	t iː ʔ ə s β oː ʔ
ϯⲱⲟⲩ	t iː ʔ oː w
Ⲁⲑⲩⲛⲁ	a t h uː n a
ⲁϣⲓⲗⲓ	a ʃ iː l ə
ⲁϣⲓⲣⲉ	a ʃ iː r ə
ⲁϣⲓⲣⲓ	a ʃ iː ɾ ə
ⲁϧⲟ	a x o ʔ
ⲁϧⲱⲙ	a x oː m
ⲁϩⲁ	a h ə
ⲁϩⲏ	a h ɛː
ⲁϩⲓ	a ʔ h ə
ⲁϫⲡ	a c ə p
ⲁϫⲱ	a t͡ʃʼ oː ʔ
ⲁϭⲓⲛ	a t͡ʃ i n
ⲁϭⲓⲛ	a t͡ʃʰ iː n
ⲁϭⲓⲛ	a ʃ i n
ⲁϭⲟⲗⲧⲉ	a c ɔ l t ə
ⲁⲃⲟⲧ	a β ɔ t
ⲁⲃⲟⲧ	ɑ β o t , ɑ w o t
ⲁⲃⲱⲕ	a β oː k
ⲁⲇⲱⲛⲓⲥ	a d ɔː n i s
ⲁⲉⲓⲕ	a j k
ⲁⲑⲏⲛⲁ	a t h ɛː n a
ⲁⲑⲛⲁϩϯ	a tʰ n a h t ə
ⲁⲑⲱⲙ	a d u m
ⲁⲑⲱⲙ	a tʰ oː m
ⲁⲑⲱⲙ	a θ o m
ⲁⲓⲁⲓ	ɑ j ɑ j
ⲁⲓⲕ	a j k
ⲁⲓⲕ	aː i̯ k
ⲁⲗⲁⲁⲗⲓ	a l o ʔ l ə
ⲁⲗⲁⲗⲓ	a l a ʔ l i
ⲁⲗⲟϫ	a l o t͡ʃ
ⲁⲗⲟϫ	a l o ɡ
ⲁⲗⲟϫ	a l u ɟ
ⲁⲗⲟϭ	a l o kʲ
ⲁⲗⲟⲗⲓ	a l o ʔ l ə
ⲁⲗⲟⲩ	a l uː ʔ
ⲁⲗⲱⲙ	a l oː m
ⲁⲗⲱⲟⲩⲓ	a l oː w ə
ⲁⲙⲁϩⲓ	a m a h i
ⲁⲙⲁϩⲓ	a m a ʔ h a
ⲁⲙⲁϩⲓ	a m a ʔ h ə
ⲁⲙⲉⲛϯ	a m e n t ə
ⲁⲙⲗⲏ	a m l ɛ ʔ
ⲁⲙⲙⲱⲛ	a m ɔ n
ⲁⲙⲛⲧⲉ	a m n̩ t ə
ⲁⲙⲟⲩⲛ	a m uː n
ⲁⲙⲣⲉ	a m r a ʔ
ⲁⲙⲣⲉ	a m r e
ⲁⲙⲣⲉ	a m r e ʔ
ⲁⲙⲱⲛ	a m ɔː n
ⲁⲛⲁϣ	a n a ʃ
ⲁⲛⲁⳉ	a n a x
ⲁⲛⲍⲏⲃ	a n s eː b
ⲁⲛⲑⲁϣ	a n tʰ a ʃ
ⲁⲛⲟⲕ	a n ɔ k
ⲁⲛⲟⲛ	ʔ a n o n
ⲁⲛⲟⲩⲃ	a n u b
ⲁⲛⲟⲩⲡ	a n u p
ⲁⲛⲥⲏⲃⲉ	a n s eː β ə
ⲁⲛⲧⲁϣ	a n t a ʃ
ⲁⲛⲧⲱⲟⲩ	a n tʼ oː u̯
ⲁⲛⲧⲱⲣⲓ	a n tʼ oː ɾ ə
ⲁⲟⲩⲁⲛ	ɑ w ɑ n
ⲁⲟⲩⲏⲛ	a w e n
ⲁⲟⲩⲓⲛ	a w i n
ⲁⲟⲩⲓⲛ	a w iː n
ⲁⲡⲉ	a p e ʔ
ⲁⲣϣⲓⲛ	ʔ a ɾ ʃ iː n
ⲁⲣⲏⲥ	ɑ ɾ ɪ s
ⲁⲣⲏⲩ	a r eː w
ⲁⲣⲓⲁⲇⲛⲏ	a r i a d n ɛː
ⲁⲥⲓⲗⲱⲛ	ɑ s ɪ l oː n
ⲁⲥⲕⲗⲏⲡⲓⲟⲥ	a s k l e p i ɔ s
ⲁⲥⲡⲉ	a s p ə
ⲁⲥⲡⲓ	a s p ə
ⲁⲥⲫⲟⲩⲓ	a s pʰ w i
ⲁⲧϭⲛⲉ	a t t͡ʃ n e
ⲁⲧϭⲛⲉ	a t t͡ʃʰ n e ʔ
ⲁⲧϭⲛⲉ	a t ʃ n a ʔ
ⲁⲧⲟⲟⲩⲓ	a tʼ o ʔ w ə
ⲁⲧⲟⲩⲙ	a t u m
ⲁⲩⲗⲏ	a w l eː ʔ
ⲁⲩⲱ	a w oː
ⲁⲫⲉ	a f e
ⲁⲫⲉ	ʔ a b a ʔ
ⲁⲫⲉ	ʔ a pʰ e ʔ
ⲁⲫⲟⲧ	a b u t
ⲁⲫⲟⲧ	a pʰ o t
ⲁⲫⲣⲟⲇⲓⲧⲏ	a pʰ ɾ ɔ d iː t eː
ⲃⲁϣⲟⲩⲣ	β a ʃ uː r
ⲃⲁϩ	v a h
ⲃⲁϩⲁⲗ	b a h a l
ⲃⲁⲁⲙⲡⲉ	β a ʔ m p ə
ⲃⲁⲁⲣⲉ	β a ʔ ɾ ə
ⲃⲁⲣⲓ	v a r i
ⲃⲁⲣⲓ	w a ʔ ɾ a
ⲃⲁⲣⲓ	β a ʔ ɾ ə
ⲃⲁⲥⲛϭ	β a s ə n kʲ
ⲃⲉⲗⲗⲉ	β ə l l e ʔ
ⲃⲉⲗⲗⲏ	b ə l l ɛ ʔ
ⲃⲉⲛⲓⲡⲉ	β ə n iː p ə
ⲃⲉⲛⲓⲡⲓ	β ə n iː p ə
ⲃⲉⲣⲉϭⲱⲟⲩⲧ	β ə ɾ ə kʲ oː w t
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	v e r e t͡ʃ o u t s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	w a r a ʃ u w d s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	w æ r æ ʃ u w d s
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	β ə r ə t͡ʃʰ oː w t s
ⲃⲉⲣⲧ	v e r t
ⲃⲉⲣⲧ	w a ɾ t
ⲃⲉⲣⲧ	β e ɾ t
ⲃⲏ	β eː ʔ
ⲃⲏⲃ	v i b
ⲃⲏⲃ	w a w
ⲃⲏⲃ	β eː b
ⲃⲏⲃ	β eː β
ⲃⲏⲧ	β ɛ t
ⲃⲗⲗⲉ	v l̩ l ɛ
ⲃⲗⲗⲉⲉⲩ	v l̩ l ɛː u̯
ⲃⲗⲗⲏ	v l̩ l e
ⲃⲛⲛⲉ	β ə n n e ʔ
ⲃⲟⲛϯ	β o n t ə
ⲃⲣϭⲟⲟⲩⲧ	β ə ɾ kʲ o w t
ⲃⲱ	w oː , β oː
ⲃⲱⲕⲓ	v o k i
ⲃⲱⲕⲓ	w u k a
ⲃⲱⲕⲓ	β oː k ə
ⲅⲁⲓⲟⲥ	ɡ ɑ j o s
ⲅⲉⲃ	ɡ ɛː b
ⲅⲩⲡⲧⲓⲟⲥ	ɡ u p t iː o s
ⲇⲁⲅⲱⲛ	d a ɡ ɔː n
ⲇⲏⲙⲏⲧⲏⲣ	d eː m eː t eː ɾ
ⲇⲓⲟⲛⲏⲥⲟⲥ	d iː ɔ n ɛː s ɔ s
ⲇⲓⲟⲛⲩⲥⲟⲥ	d iː ɔ n uː s ɔ s
ⲉϩⲉ	a h ɛː
ⲉϩⲟⲟⲩ	ʔ ə h o w
ⲉϫⲱⲣϩ	a ɟ u ɾ h
ⲉϫⲱⲣϩ	e ɡ o r h
ⲉϫⲱⲣϩ	ə t͡ʃʼ oː ɾ h
ⲉⲃⲁⲗ	ə β a l
ⲉⲃⲓⲏⲛ	ʔ ə β j eː n
ⲉⲃⲓⲱ	ʔ ə β j oː ʔ
ⲉⲃⲟⲗ	a w u l
ⲉⲃⲟⲗ	e v o l
ⲉⲃⲟⲗ	ə β o l
ⲉⲃⲣⲏϫ	e v r i ɡ
ⲉⲃⲣⲏϫ	ʔ a w ɾ a ɟ
ⲉⲃⲣⲏϫ	ʔ ə β ɾ eː t͡ʃ
ⲉⲃⲣⲏϭⲉ	ə β ɾ eː kʲ ə
ⲉⲑⲃⲉ	ʔ ə tʰ β e ʔ
ⲉⲑⲱⲙ	e d u m
ⲉⲑⲱⲙ	e tʰ oː m
ⲉⲑⲱⲙ	e θ o m
ⲉⲓⲉⲣⲟ	j ə ɾ o ʔ
ⲉⲓⲟⲟⲣ	j ɔ ʔ r
ⲉⲓⲟⲩⲗ	ə j uː l
ⲉⲕⲓⲃⲉ	ʔ ə k iː β ə
ⲉⲕⲱⲧ	ə k oː t
ⲉⲗⲁⲁⲗⲓ	e l a ʔ a l i
ⲉⲗⲟⲟⲗⲉ	e l o ʔ o l ə
ⲉⲙⲓ	e ʔ m ə
ⲉⲙⲛⲁ	ʔ ə m n a ʔ
ⲉⲙⲛⲟⲩϯ	a m n u d a
ⲉⲙⲛⲟⲩϯ	e m n u t i
ⲉⲙⲛⲟⲩϯ	ə m n uː t ə
ⲉⲙⲛⲟⲩⲧ	a m n u d
ⲉⲙⲛⲟⲩⲧ	e m n u t
ⲉⲙⲛⲟⲩⲧ	ə m n uː t
ⲉⲙⲟⲩ	a m u
ⲉⲙⲟⲩ	e m u
ⲉⲙⲟⲩ	ʔ ə m uː ʔ
ⲉⲙⲡⲣⲱ	ə p m ɾ oː ʔ
ⲉⲙⲥⲁϩ	ə m s a h
ⲉⲛⲑⲱⲣⲓ	ə n t oː ɾ i
ⲉⲛⲕⲟⲧ	e n k o t
ⲉⲛⲕⲟⲧ	ʔ ə n kʼ o t
ⲉⲡⲓⲡ	æ p i p , æ b i b
ⲉⲡⲓⲡ	ə p iː p
ⲉⲡⲟⲓⲕⲓⲟⲛ	e p y k i o n
ⲉⲡⲟⲓⲕⲓⲟⲛ	ɛ b i kʲ o n
ⲉⲡⲟⲓⲕⲓⲟⲛ	ɛ p i kʲ o n
ⲉⲣⲃⲓⲛ	a ɾ w i n
ⲉⲣⲃⲓⲛ	e r v i n
ⲉⲣⲃⲓⲛ	ə ɾ β iː n
ⲉⲣⲃⲓⲥⲓ	a ɾ w i s a
ⲉⲣⲃⲓⲥⲓ	e r v i s i
ⲉⲣⲃⲓⲥⲓ	ə ɾ β iː s ə
ⲉⲣⲙⲁⲛⲟⲩⲃⲓⲥ	h ɛ r m a n u b i s
ⲉⲣⲙⲁⲫⲣⲟⲇⲓⲧⲟⲥ	ɛː r m a p h ɾ ɔ d iː t ɔ s
ⲉⲣⲙⲏⲥ	ɛ ɾ m eː s
ⲉⲣⲣⲟ	ə r r o ʔ
ⲉⲣⲱϯ	a ɾ u d a
ⲉⲣⲱϯ	e r o t i
ⲉⲣⲱϯ	ə ɾ oː t ə
ⲉⲥⲟⲩⲏⲣⲉ	eː s u ɛː r ə
ⲉⲥⲧⲓⲁ	ɛː s t i a
ⲍⲉⲟⲥ	z ə oː s
ⲍⲉⲩⲥ	z ə uː s
ⲍⲉⲩⲥⲁⲙⲙⲱⲛ	z ə u s a m ɔ n
ⲏϫⲓ	a ɟ a
ⲏϫⲓ	eː t͡ʃ ə
ⲏϫⲓ	i d͡ʒ i
ⲏϭⲉ	eː kʲ ə
ⲏⲣⲁ	eː ɾ a
ⲏⲣⲁⲕⲗⲁⲥ	e ɾ a k l a s
ⲏⲣⲁⲕⲗⲁⲥ	eː ɾ a k l a s
ⲏⲥⲉ	eː s ə
ⲏⲥⲓ	eː s ə
ⲏⲫⲁⲓⲥⲧⲟⲥ	ɛː p h a i s t oː s
ⲑⲁⲓ	tʰ a i̯
ⲑⲁⲩⲇ	tʰ aː w d
ⲑⲁⲩⲧ	tʰ aː w t
ⲑⲏⲟⲩ	tʰ eː w
ⲑⲓϧⲓ	d i x a
ⲑⲓϧⲓ	tʰ iː x ə
ⲑⲓϧⲓ	θ i x i
ⲑⲟ	t o
ⲑⲟⲟⲩⲧ	tʰ oː w t
ⲑⲟⲩⲏⲣⲓ	tʰ w eː ɾ ə
ⲑⲟⲩⲣⲏⲥ	tʰ uː ɾ eː s
ⲑⲟⲩⲱⲧ	tʰ w oː t
ⲑⲣⲁⲛ	tʰ r a n
ⲑⲱⲟⲩⲧ	d u w t
ⲑⲱⲟⲩⲧ	tʰ oː w t
ⲑⲱⲟⲩⲧ	θ o u t
ⲓϧ	ɪ x
ⲓϧ	ʔ iː x
ⲓⲁⲣⲟ	j a r o
ⲓⲁⲣⲟ	j a ɾ o ʔ
ⲓⲁⲣⲟ	j a ɾ u ʔ
ⲓⲁⲣⲟ	j æ ɾ u ʔ
ⲓⲉⲣⲁⲕⲗⲁⲥ	j ɛː ɾ a k l a s
ⲓⲗⲁⲗⲓ	i l a ʔ a l i
ⲓⲟϯ	j o ʔ t ə
ⲓⲣⲓⲥ	i ɾ i s
ⲓⲧⲉⲛ	ʔ iː t ə n
ⲓⲱⲓⲁⲥ	j oː j ɑ s
ⲓⲱⲥⲏⲡ	i ɔː s ɛ̌ː p
ⲓⲱⲥⲏⲫ	i ɔː s ɛ̌ː pʰ
ⲓⲱⲥⲏⲫ	j o s æ b
ⲓⲱⲧ	j oː t
ⲓⲱⲭⲣⲱⲟⲛ	j o k ɾ oː m
ⲕⲁϣ	k a ʃ
ⲕⲁϩⲓ	k a h i
ⲕⲁϩⲓ	k a ʔ h a
ⲕⲁϩⲓ	kʼ a ʔ h ə
ⲕⲁϩⲓⲣⲏ	k a h i r i
ⲕⲁϩⲓⲣⲏ	kʼ a ʔ h ə ɾ eː ʔ
ⲕⲁϩⲓⲣⲏ	ɡ a ʔ h a ɾ a
ⲕⲁϯ	k a t i
ⲕⲁϯ	kʼ a ʔ t ə
ⲕⲁϯ	ɡ a ʔ d a
ⲕⲁⲓ	c ɛ
ⲕⲁⲗⲗⲁⲉⲓⲛⲟⲥ	k ɑ l l ɑ j n o s
ⲕⲁⲥⲧⲣⲟⲛ	k a s t r ɔ n
ⲕⲉⲗⲗⲟⲩϫ	k ə l l uː t͡ʃ
ⲕⲉⲣⲥⲝ	k ɛ r s k s
ⲕⲉⲥⲧⲱⲛⲁⲣⲓⲟⲥ	k e s t oː n a r j o s
ⲕⲏⲙⲉ	k eː m ə
ⲕⲏⲙⲓ	k e m i
ⲕⲏⲣⲩⲝ	k ɛː r u k s
ⲕⲓⲃⲉ	k iː β ə
ⲕⲗⲏ	k l eː ʔ
ⲕⲙⲧⲟ	k m̩ t o ʔ
ⲕⲟⲣⲧⲓⲙⲟⲥ	k o ɾ d ɪ m o s
ⲕⲟⲩϫⲓ	k u d͡ʒ i
ⲕⲟⲩϫⲓ	k u ɟ i
ⲕⲟⲩϫⲓ	kʼ uː t͡ʃ ə
ⲕⲣⲟⲕⲟⲥ	k r oː k oː s
ⲕⲣⲱⲛⲟⲥ	k r oː n o s
ⲗϧⲏ	ʔ ə l x eː ʔ
ⲗⲁ	l a ʔ
ⲗⲁⲃⲟⲓ	l a β ɔ j
ⲗⲁⲙⲡⲓ	l a m p ə
ⲗⲱⲓϩⲓ	l o ɪ̯ h i
ⲗⲱⲓϩⲓ	l oː j h ə
ⲗⲱⲓϩⲓ	l u j h a
ⲙϫⲱⲗ	m̩ t͡ʃ o l
ⲙⲁϣϫ	m a ʃ t͡ʃ
ⲙⲁⲁϫⲉ	m a ʔ t͡ʃ ə
ⲙⲁⲓⲟⲥ	m ɑ j o s
ⲙⲁⲓⲧ	m a i̯ t
ⲙⲁⲛⲙⲟⲛ	m ɑ n m o n
ⲙⲁⲟⲩⲥⲉ	m a w s ə
ⲙⲁⲥⲓ	m a ʔ s ə
ⲙⲁⲧⲁⲓ	m a t a j
ⲙⲁⲧⲟⲓ	m a t ɔ j
ⲙⲁⲩ	m a v
ⲙⲁⲩ	m a w
ⲙⲉϫⲉ	m e e t͡ʃ e
ⲙⲉϭⲧⲱⲗ	m ə c t o l
ⲙⲉⲉϫⲉ	m e e t͡ʃ e
ⲙⲉⲉⲓ	m e e j
ⲙⲉⲉⲣⲉ	m e ʔ r ə
ⲙⲉⲓ	m a j ~ m a ʔ
ⲙⲉⲓ	m e j ~ m e ʔ
ⲙⲉⲓ	m e ɪ̯
ⲙⲉⲛⲣⲁϯ	m ə n ɾ a ʔ t ə
ⲙⲉⲛⲣⲓⲧ	m a n ɾ i t
ⲙⲉⲛⲣⲓⲧ	m e n r i t
