־יה	i ɟ ɟ ɔː
אכלה	ʔ ɔ χ l ɔː
אכלה	ʔ ɔː ɔ χ l ɔː
אכלה	ʔ ɔː χ æ l ɔː
אל	ʔ a l
אל	ʔ eː e l
אל	ʔ eː l
אל	ʔ æ l
אל	ʔ ɛ l
אלוהים	ʔ æ l eː h i m
אלוהים	ʔ ɛ l oː h iː m
אלטאי	ä l t ä j
אלף	ʔ æː l æ f
אלף	ʔ ɔː l æ f
אלף	ʔ ɔː l ɛ f
אלף	ʔ ɛː l ɛ f
אל״ף	ʔ ɔː l æ f
אל״ף	ʔ ɔː l ɛ f
אם	ʔ eː e m
אם	ʔ eː m
אם	ʔ i m
אם	ʔ iː m
אמה	ʔ a m m ɔː
אמש	ʔ æː m æ ʃ
אמש	ʔ ɛː m ɛ ʃ
אמת	ɛ m ɛ s
אמת	ʔ e m e t
אמת	ʔ e m e θ
אמת	ʔ æ m æː θ
אמת	ʔ ɛ m ɛː θ
אנו	ʔ ɔː n uː
אנוכי	ʔ aː n oː x iː
אנוכי	ʔ ɒː n ɒː k iˑ
אנוכי	ʔ ɔː n e χ iː
אנוכי	ʔ ɔː n eː χ iː
אנוכי	ʔ ɔː n oˑ χ iː
אנוכי	ʔ ɔː n ø χ iː
אנוכי	ʔ ɔː n øː χ iː
אנחנו	ʔ a n aː a ħ n uː
אנחנו	ʔ æ n æː ħ n u
אנחנו	ʔ æ n æː ħ n uː
אנחנו	ʔ ɒː n ɒː ɒ n n uˑ
אנטל	e̞ n ä t e̞ l
אנטל	ä n t ä l
אנטל	ä n ä t e̞ l
אנטל	ʔ ă n a tˤ tˤ eː l
אנטל	ʔ ɛ n n aː tˤ eː l
אני	ʔ a n iː
אני	ʔ æ n iː
אני	ʔ ɒː n iˑ
אסותא	a s u s ə
אסיר	ʔ ɔː s iː r
אסיר	ʔ ɔˑ s iː i rˤ
אסתר	e s t e j r
אסתר	e s t ə r
אף	ʔ a f
אף	ʔ aː f
אף	ʔ æː f
אפיקורוס	e p i k o ʁ o s
אפעה	ʔ æː f ʕ æː
אצבע	ʔ ɑ sˤ b æː ʕ
אצבע	ʔ ɛ sˤ b aː a ʕ
ארבה	ʔ a ʀ b ɔː
ארבה	ʔ a ʀ b ɛː
ארבה	ʔ æ r b æː
ארבה	ʔ æ r b ɔː
ארבע	ʔ a ʀ b aː a ʕ
ארבע	ʔ æ r b æː ʕ
ארבע	ʔ æ r b æˑ
ארבעה	ʔ a ʀ b ɔˑ ʕ ɔː
ארבעה	ʔ æ r b ɔ ʕ ɔː
ארבעה	ʔ æ r b ɔː ʕ ɔː
ארבעה	ʔ ɛ r b æː æˑ
ארבעים	ʔ a ʀ b ɔˑ ʕ iː i m
ארבעים	ʔ æ r b ɔː ʕ iː m
ארון	ʔ ɔː r øː n
ארון	ʔ ɔˑ ʀ oː o n
ארי	ʔ a ʀ iː
ארי	ʔ æ r iː
ארי	ʔ ă r iː
אריה	ʔ a r j eː
אריה	ʔ a ʀ j eː
אריה	ʔ æ r j eː
ארנב	ʔ a r n ɔː v
ארנב	ʔ ɑ rˤ n ɔː ɔ v
ארץ	ʔ æː r ɑ sˤ
ארץ	ʔ ɛː ʀ ɛ sˤ
אש	e̞ ʃ
אש	ʔ e ʃ
אש	ʔ eː e ʃ
אש	ʔ eː ʃ
אש	ʔ e̞ ʃ
אשה	ʔ i ʃ ʃ æː
אשה	ʔ i ʃ ʃ ɔː
אשה	ʔ i ʃ ʃ ɛː
אשון	e̞ ʃ u n
אשון	ä ʃ u n
אשון	ʔ ɔː ʃ uː n
אשון	ʔ ɛ̆ ʃ uː n
אשור	ʔ a ʃ ʃ u ʁː
אשכול	ʔ ɛ ʃ kʰ oː l
אשר	ʔ a ʃ ɛː ɛ ʀ
אשר	ʔ æ ʃ æː r
אשר	ʔ ɔː ʃ eː r
אשר	ʔ ɔˑ ʃ eː e ʀ
את	ʔ aː a tʰ
את	ʔ eː e θ
את	ʔ eː θ
את	ʔ æː tʰ
אתה	ʔ a t tʰ ɔː
אתה	ʔ æ t tʰ ɔː
אתון	ʔ ɔː θ øː n
אתון	ʔ ɔˑ θ oː o n
אתם	ʔ a t tʰ ɛː ɛ m
אתם	ʔ æ t t i m m æˑ
אתם	ʔ æ t tʰ æː m
אתן	ʔ a t tʰ ɛː ɛ n
אתן	ʔ æ t tʰ eː n
אתן	ʔ æ t tʰ æː n
אתן	ʔ ɛ t tʰ eː e n
בבל	b aː β ɛː l
בבל	b ɔː v æː l
בבל	b ɔː v ɛː l
בבלי	b ɔː v l iː
בבלי	b ɔː v æ l iː
בודקה	b u t k e̞
בוהן	b eː h æ n
בוהן	b oː h ɛ n
בוהן	b øː h æ n
בוקר	b oː q ɛ ʀ̟
בוריאטיה	b u ʁ̞ j ä t j ä
בושת	b oː ʃ ɛ θ
בושת	b øː ʃ æː θ
ביצה	b eː sˤ ɔː
בירות	b i ʁ̞ o̞ t
בישול	b i ʃ ʃ uː l
בית	b a j i t
בית	b a j i θ
בית	b a j s
בית	b aː j i θ
בית	b e t
בית	b e θ
בית	b eː θ
בית	b e̞ t
בית	b æ j i θ
בית	b ɐ i t
בית	b ɐ j i t
בית	b ɐ j i θ
בית	b ɑ j ɪ s
בית	b ɛ j s
בי״כ	b e̞ j t ‿ k n e̞ s e̞ t
בי״כ	b e̞ t ‿ k n e̞ s e̞ t
בן	b eː n
בסדר	b e̞ s e̞ d e̞ ʁ̞
בסדר	b æ s eː ð æ r
בצע	b æː sˤ æː ʕ
בקבקר	b a k b a k k a ʁ
בקבקר	b æ ʁ b æ ʁ æ r
בקבקר	b æː ɡ b æː ɡ ɡ æː r
בקר	b aː q aː r
בקר	b ɔː q ɔː ʀ
ברית	b a ʀ iː θ
ברית	b ə̆ r iː θ
בשן	b u ʃ u n
בשן	b ɔ ʃ ɔ n
בשר	b ɔ s ɔ r
בת	b a θ
בת	b aː θ
בת	b æː θ
בתים	b a t t i m
בתים	b ɔː t t i m
בתים	b ɔː t t iː m
בתים	b ə t ɪ m
גבעה	ɡ i v ʕ ɔː
גבר	ɡ ɛː v ɛ ʀ
גדול	ɡ ɔː ð oː o l
גדליה	ɡ æ ð æ l j ɔː
גדליה	ɡ ə ð a l j aː
גשן	d͡ʒ eː ʃ æ n
דבורה	d a v oː ʀ ɔː
דבורה	d æ v eː r ɔː
דבורה	d æ v øː r ɔː
דבר	d aː v aː r
דבר	d ɔː v ɔː ʀ
דברים	d v ɔ r ɪ m
דבשת	d a b b ɛː ʃ ɛ θ
דבשת	d æ b b æː ʃ æ θ
דג	d ɔː ʁ
דגה	d ɔː ʁ ɔː
דגש	d ä ɡ e̞ ʃ
דגש	d ɔː ɣ eː ʃ
דוב	d o v
דוב	d oː v
דוד	d eː ð
דוד	d oː ð
דוד	d uː ð
דוד	d øː ð
דוד	d ɔː v iː ð
דוד	d ɔː v ə d
דוד	d ɔː w iː ð
דולר	d o̞ l ä ʁ
דמוקרטיה	d e̞ m o̞ k ʁ ä t j ä
דנהבה	d i n h aː β a
דעת	d aː ʕ a θ
דרך	d ɛː ʀ̟ ɛ χ
הביס	h eː v iː s
הביס	h eː β iː s
הוא	h uː
הוא	ʔ uː uˑ
היא	h iː
היא	ʔ iː iˑ
היה	h ɔː j ɔː
הכין	h eː χ iː n
הלאה	h ɔː l ʔ ɔː
הלאה	ä l ä
הלאה	ɔ l ɔ
הלך	h ɔː l aː χ
הלך	h ɔː l æː χ
הלכה	a l a χ a
הלכה	a l χ a
הם	h eː e m
הם	h eː m
הם	ʔ i m m æˑ
המה	h eː e m m ɔː
המה	h eː m m ɔ
המה	h eː m m ɔː
המה	h ɔ m ɔː
המה	h ɔː m ɔː
המה	h ɔˑ m ɔː
המה	ʔ i m m æˑ
המון	h aː m oː n
המון	h ɔː m oː n
הן	h eː e n
הן	h eː n
הן	ʔ i n n æˑ
הסגביר	i z ɡ v i ʁ̞
הצחיק	h i s h i ʁ
הצחיק	h i sˤ ħ iː q
הצחיק	h i sˤ ħ iː ɡ
הצטחק	h i s t æ h e ʁ
הצטחק	h i sˤ tˤ ɑ ħ eː q
הצטחק	h i sˤ tˤ ɑ ħ eː ɡ
הקשיב	h i k s i v
הקשיב	h i q ʃ iː v
הר	h a ʀ̟
השחית	h i ʃ ħ iː θ
השתחוה	h i ʃ t aː ħ a v ɔː
השתחוה	h i ʃ t æː ħ æ w ɔː
התיז	h i t tʰ iː z
התיש	h i t tʰ iː ʃ
התלבש	h i θ l a b b eː ʃ
התלבש	h i θ l æ b b eː ʃ
ויאמר	v a j o ʊ m ɛ ʁ
ויאמר	w æː j j eː m æː r
ויקרא	v a ɟ ɟ i q ʀ ɔː
ויקרא	w a j j i q r ɔː
זאב	z e ʔ eː v
זה	z æ
זה	z æː
זה	z ɛː
זהיר	z a h i ʁ
זהיר	z a i ʁ
זוועה	z ə w aː ʕ aː
זוחת	z oː ħ i θ
זחלת	z o ħ ɛ l ɛ θ
זיעה	z eː ʕ ɔː
זעזע	z i ʕ z eː a ʕ
זרוע	z æ r ø w w æ ʕ
זרוע	z ɑ rˤ o w w a ʕ
זרוע	z ɑ rˤ oː a ʕ
זרוע	z ɑ rˤ oː w a ʕ
זרוע	z ɒː r uː
זרוע	z ɔː r u w w æ ʕ
זרוע	z ɔˑ ʀ u w w a ʕ
זרוע	z ɔˑ ʀ uː a ʕ
זרוע	z ɔˑ ʀ uː w a ʕ
זרח	z ɔː ʀ aː ħ
זרע	z eː r æˑ
זרע	z æː r æ ʕ
זרע	z ɒː r ɒˑ
זרע	z ɔː r æː ʕ
זרע	z ɔˑ ʀ aː a ʕ
זרע	z ɛː ʀ a ʕ
ח	ħ
ח	χ
חבל	ħ ɛː v ɛ l
חבר	ħ ɔː v eː e ʀ̟
חבר	χ aː β ɪː ɾ
חוב	ħ eː v
חוב	ħ oː o v
חוב	ħ øː v
חובה	ħ e v ɔː
חובה	ħ eː v ɔː
חובה	ħ oː v ɔː
חובה	ħ ø v ɔː
חובה	ħ øː v ɔː
חוה	ħ a v v ɔː
חוה	ħ ä v v ä
חוה	ħ ä w w äː
חוה	ħ æ w w ɔː
חוה	ħ ɐ v v ɐː
חוה	χ ɑ v ə
חוח	ħ oː a ħ
חוח	ʀ̥ o̞ ä ʀ̥
חוי	χ i v i
חוי	χ i w w iː
חום	ħ eː m
חום	ħ oː m
חום	ħ uː m
חום	ħ øː m
חומר	ħ oː m e r
חוף	ħ oː f
חורבן	ħ u r b ɔː n
חורבן	ħ u ʀ b ɔː n
חח	ʀ̥ ä ʀ̥
חי	ħ aː j
חי	ħ æː j
חיה	ħ a j j ɔː
חיה	ħ a ɟ ɟ ɔː
חיים	ħ a ɟ ɟ iː m
חיים	ħ æ j j iː m
חיים	χ a j i m
חיים	χ a j ɪ m
חכם	ħ ɑː x ɑː m
חלבנה	ħ æː l b æː n ɔː
חם	ħ aː m
חם	ħ æː m
חם	ħ ɔː m
חמאר	ħ m a r
חמאר	ħ m aː r
חמאר	ʀ̥ m ä ʁ̞
חמור	ħ a m oː ʀ
חמישה	ħ a m i ʃ ʃ ɔː
חמישה	ħ æ m i ʃ ʃ ɔː
חמישה	ʔ eː m i ʃ ʃ æˑ
חמצוואר	ʀ̥ ä m t͡s ä v ä ʁ̞
חמש	ħ ɔ m eː ʃ
חמש	ħ ɔː m eː ʃ
חמש	ħ ɔˑ m eː e ʃ
חמש	ʕ æ m m ə ʃ
חנות	ħ ɔː n uː θ
חסד	ħ ɛ s ɛ ð
חסקה	ħ a s a k a
חץ	ħ eː e sˤ
חץ	ħ eː sˤ
חרבן	ʀ̥ i ʁ̞ b e̞ n
חשבון	χ e̞ ʒ b o n
חשוב	χ ɔ ʃ ə v
חתול	ħ ɔː θ uː l
חתולה	ħ ă θ u l l ɔː
חתולה	ʀ̥ ä t u l ä
חתונה	ħ a θ u nː ɔː
טבול	t v u l
טבול	tˤ ă v uː l
טביליסי	d b i l i s i
טביליסי	t e b i l i s i
טביליסי	t i b i l i s i
טוב	tˤ oː β
טלה	tˤ ɔ l æː
טלה	tˤ ɔː l æː
טלה	tˤ ɔˑ l ɛː
יאור	j ŏ ʔ oː o ʀ̟
יבוס	j æ b u s
יבוס	j æ v u s
יבוס	j ə v iː s
יבוס	j ə β uː s
יבניה	j i v n i j u
יבניה	j iː β n i j j aː
יבניה	j iː β n ə i j j aː
יד	j aː ð
יד	j ɔː ð
ידיד	j ɔː ð iː ð
ידע	j a d̪ a ŋ
ידע	j e d̪ a ŋ
ידע	j ɔː ð äː ä ʕ
ידע	j ɛː ð ä ʕ
יהושע	j o h o ʃ u w w a ʕ
יהושע	j o h oː ʃ u w w a ʕ
יהושע	j o h oˑ ʃ uː a ʕ
יוחנן	j e ħ ɔ n ɔ n
יום	j oː m
יונה	j oː n ɔː
יחידות	j e ħ i d u t
יחס	j aː ħ a s
יחס	j æː ħ æ s
ייחס	j iː ħ eː s
ים	j aː m
ים	j ɔː m
יסכה	j i s k ɔː
יעקב	j aː ʕ a q oː v
יעקב	j æː ʕ æ q eː v
יעקב	j æː ʕ æ q øː v
יער	j aː ʕ a ʀ
יפת	j æː f æː θ
יצחק	j i s h ɒ ʁ
יצחק	j i sˤ ħ a kˤ
יצחק	j i sˤ ħ ɔː q
יצחק	j i sˤ ħ ɔː ɡ
יצחק	j i t͡s ħ a k
יצחק	j i t͡sˤ ħ a kˤ
יצחק	j ɪ t͡s χ ɔ k
יקותיאל	j e ʁ u t i ʔ e l
יקותיאל	j ə q uː θ iː ʔ i l
יראה	j i r ʔ aː
יראה	j i ʀ ʔ ɔː
ירושלים	j a ʀ uː ʃ ɔː l aː j i m
ירושלים	j æ r uː ʃ ɔː l æː j i m
ירח	j æː r æ ħ
ירח	j ɔː r e j j æ ħ
ירח	j ɔː ʀ eː a ħ
ירח	j ɛː ʀ a ħ
יש	j eː ʃ
ישוע	j e ʃ u w w æ ʕ
ישוע	j eː ʃ u w w æ ʕ
ישוע	j eˑ ʃ uː a ʕ
ישחק	j i s h ɒ ʁ
ישחק	j i s ħ ɔː q
ישחק	j i sˤ ħ ɔː q
ישחק	j i sˤ ħ ɔː ɡ
ישחק	j ɪ s χ ɔ k
ישמעאל	j i ʃ m ɔ e j l
ישמעאל	j i ʃ m ɔː ʕ eː l
ישראל	j i s r ɔː ʔ eː l
ישראל	j i s ʀ ɔː ʔ eː l
ישראל	j i ʃ r ɒː ʔ ə l
כבוד	k aː β oː ð
כבש	k aː β a ʃ
כבש	kʰ æː v æ s
כבש	kʰ ɔː v aː ʃ
כבש	kʰ ɛː v ɛ s
כוהן	k u e n
כוהן	k u h e n
כומז	k u m ä z
כומז	k uː m ɔː z
כותב	k oː θ eː v
כחול	k aː ħ oː l
כחול	kʰ ɔː ħ oː l
כיון	k eː w aː n
כיון	k i ɟ ɟ uː n
כיסא	k i s s eː
כיסא	kʰ i s s eː
כיפור	kʰ i p pʰ uː r
כיפור	kʰ i p pʰ uː ʀ
כל	kʰ eː l
כל	kʰ oː l
כל	kʰ øː l
כל	kʰ ɔ l
כלב	kʰ æː l æ v
כלבה	kʰ a l b ɔː
כלבה	kʰ æ l b ɔː
כלבות	kʰ a l ɔˑ v oː o θ
כלבות	kʰ æ l ɔ v eː θ
כלבות	kʰ æ l ɔ v øː θ
כלבות	kʰ æ l ɔː v eː θ
כלבות	kʰ æ l ɔː v øː θ
כלבים	kʰ a l ɔ v iː m
כלבים	kʰ a l ɔː v iː m
כלבים	kʰ a l ɔˑ v iː i m
כלה	kʰ a l l ɔː
כלה	kʰ æ l l ɔː
כליה	kʰ i l j ɔː
כמות	kʰ a m m uː θ
כמות	kʰ æ m m uː θ
כן	kʰ eː n
כנסיה	kʰ a n eː s i ɟ ɟ ɔː
כנסיה	kʰ æ n eː s i j j ɔː
כף	kʰ aː a f
כף	kʰ æː f
כפור	kʰ a f oː ʀ
כפור	kʰ æ f eː r
כפור	kʰ æ f øː r
כרם	kʰ ɛː ʀ ɛ m
כרע	kʰ ɔː r æː ʕ
כרע	kʰ ɔː ʀ aː ʕ
כתב	kʰ a t tʰ aː β
כתב	kʰ a t tʰ ɔː v
כתב	kʰ a θ ɔː v
כתב	kʰ e θ aː β
כתב	kʰ æ t tʰ ɔː v
כתב	kʰ æ θ ɔː v
כתב	kʰ ɔː θ aː v
כתב	kʰ ɔː θ æː v
לב	l eː e v
לב	l eː v
לביא	l aː v iː
לביא	l ɔː v iː
לבן	l aː β aː n
לבן	l ɔː v ɔː n
לו	l uː
לובן	l eː v æ n
לובן	l oː v ɛ n
לובן	l u b b aː n
לובן	l u b b æː n
לובן	l øː v æ n
לחם	l æː ħ æ m
לחם	l ɛː ħ ɛ m
ליבן	l i b b eː n
לילה	l ɔː j l ɔː
לימד	l e m m e ð
לימד	l i m m eː ð
לימוד	l i m m uː ð
לימודים	l e m m uː ð iː m
לימודים	l i m m uː ð iː m
ליש	l a j i ʃ
למד	l aː m a ð
למד	l ɔː m aː ð
למד	l ɔː m æː ð
למידה	l a m iː ð ɔː
למידה	l æ m iː ð ɔː
לשון	l aː ʃ oː n
לשון	l ɔː ʃ oː n
מאוד	m eː ʔ o d
מאוד	m o ʔ oː o ð
מאוד	m ø ʔ øː ð
מגדל	m i ʁ d ɔː l
מגן	m aː ʁ e n
מגן	m ɔː ʁ eː n
מדע	m ä d d ɔː ɔ ʕ
מדפסת	m a t p e s e t
מהר	m aː h a r
מהר	m ɔː h aː ʀ
מואב	m e ʔ ɔː v
מואב	m eː ʔ ɔː v
מואב	m oː ʔ aː β
מואב	m oˑ ʔ ɔː v
מואב	m ø ʔ ɔː v
מואב	m øː ʔ ɔː v
מוהר	m o h a r
מוהר	m oː h a ʀ
מוות	m ɔː v ɛ θ
מוות	m ɔː w æ θ
מוזיקה	m u z i ʁ ɒ
מוזיקה	m uː z iː q ɔː
מוזיקה	m uː z iː ɡ ɔː
מוח	m e w w æ ħ
מוח	m oː a ħ
מוח	m ø w w æ ħ
מוכן	m uː χ ɔː n
מוסיקה	m u s i ʁ ɒ
מוסיקה	m uː s iː q ɔː
מוסיקה	m uː s iː ɡ ɔː
מוקדון	m o q d oː n
מוקדון	m oː q ɔ̆ ð oː n
מוקדון	m o̞ k d o̞ n
מוקדון	m o̞ k e̞ d o̞ n
מוקדון	m o̞ ɡ d o̞ n
מוקדון	m u q d oː n
מוקדון	m u ɡ d o̞ n
מושלם	m u ʃ l ä m
מות	m uː θ
מחוז	m aː ħ oː z
מחוז	m ɔː ħ oː z
מטר	m aː tˤ aː r
מטר	m ɔː tˤ ɔː rˤ
מטרה	m ɑ tˤ tˤ ɔː r ɔː
מטרה	m ɑ tˤ tˤ ɔː ʀ ɔː
מים	m aː j i m
מים	m e m
מים	m æː j i m
מימונה	m i m u n ä
מין	m iː n
מיתה	m iː θ aː
מיתה	m iː θ ɔː
מכתב	m i χ t aː v
מכתב	m i χ tʰ ɔː v
מלח	m a l l ɔː ħ
מלח	m æ l l ɔː ħ
מלח	m æː l æ ħ
מלח	m ɛː l a ħ
מלחמה	m i l ħ ɔː m ɔː
מלך	m aː l a χ
מלך	m ɔː l aː χ
מלך	m ɛː l ɛ χ
מלכה	m a l k ɔː
מלקוש	m a l k e j ʃ
מלקוש	m æ l ɡ eː ʃ
מלקוש	m æ l ʁ o ʃ
מנהרה	m i n h ɔː r ɔː
מנהרה	m i n h ɔː ʀ ɔː
מניין	m i n j ə n
מעל	m eː ʕ a l
מעל	m eː ʕ aː l
מפתח	m æ f t eː j æ ħ
מצח	m e sˤ a ħ
מצח	m eː sˤ a ħ
מצחיק	m æ s h i ʁ
מצחיק	m ɑ sˤ ħ iː q
מצחיק	m ɑ sˤ ħ iː ɡ
מצרים	m i sˤ rˤ ɑː j i m
מרגלות	m æː r d͡ʒ æ l eː θ
מרק	m aː r aː q
משחית	m a ʃ ħ iː θ
משיח	m ɔː ʃ i j j æ ħ
משיח	m ɔː ʃ i ɟ ɟ a ħ
משיח	m ɔː ʃ iː j a ħ
משפט	m i ʃ pʰ ɔː tˤ
מת	m eː θ
נאץ	n i ʔ eː sˤ
נאץ	n ɔ ʔ a sˤ
נהג	n aː h a ɣ
נהוראי	n æ h eː r æː j
נהר	n ɔ h ɔ ʁ
נהר	n ɔː h ɔː ʀ̟
נוקד	n oː q eː ð
נזם	n e j z e m
נזם	n e̞ z e̞ m
נזם	n æ z æ m
נזם	n æ z æː m
נזם	n æː z æ m
נזם	n æː z æː m
נזם	n ɛː z ɛ m
נחושת	n o ħ oː ʃ ɛ θ
נחושת	n ə̆ ħ oː ʃ æ θ
נחלה	n a ħ a l ɔː
נחלה	n a ħ ă l aː
ניבול	n ɪ b ɫ̩
ניחוח	n i χ e j a χ
ניחוח	n iː ħ e w w æ ħ
ניחוח	n iː ħ oː w w a ħ
ניחוחי	n i χ e j χ i
נייר	n i j ɔː r
נייר	n i j ɔː ʀ
ניצח	n i sˤ sˤ e j j a ħ
ניצח	n i sˤ sˤ e ɟ ɟ a ħ
ניצח	n i sˤ sˤ eː a ħ
ניצח	n i sˤ sˤ eː j a ħ
נמל	n ɔː m eː l
נער	n aː ʕ a ʀ̟
נפש	n æː f æ ʃ
נפש	n ɛː f ɛ ʃ
נצח	n eː sˤ ɑ ħ
נצח	n ɑː sˤ ɑ ħ
נצח	n ɛː sˤ ɑ ħ
נקם	n ɒ ʁ æ m
סאה	s ə ʔ aː
סגד	s ɔː ʁ aː d
סגד	s ɔː ʁ æː d
סהר	s aː h a ʀ
סהר	s ä ä ɾ
סהר	s ä ä ʁ̞
סהר	s ä ʁ̞
סהר	s äː ʁ̞
סהר	s æ h æ r
סהר	s æ h æː r
סהר	s æː h æ r
סהר	s æː h æː r
סהרה	s aː h ă ʀ ɔː h
סהרה	s ä h ä ʁ̞ ä
סהרה	s ä ä ɾ ä
סהרה	s ä ä ɾ äː
סהרה	s ä ä ʁ̞ ä
סהרה	s ä ʁ̞ ä
סהרה	s äː ʁ̞ ä
סהרה	s æ h æ r ɔː h
סהרה	s æ h æː r ɔː h
סהרה	s æː h æ r ɔː h
סהרה	s æː h æː r ɔː h
סיב	s iː v
סיבה	s i b b ɔː
סיסרא	s i s e ʁ a
סיסרא	s i s ə r ɔ
סיסרא	s iː s ă r aː
סיף	s a j i f
סיף	s aː j i f
סיר	s i ɾ
סיר	s i ʁ
סנטר	s a n tˤ eː rˤ
סנטר	s æ n tˤ eː r
סערה	s ɔ ʕ ɔː r ɔː
סערה	s ɔ ʕ ɔː ʀ ɔː
ספר	s a f ɔː ʀ
ספר	s a p pʰ ɔː ʀ
ספר	s eː f æ r
ספר	s eː f ɛ ʀ
ספר	s æ f ɔː r
ספר	s æ p pʰ ɔː r
ספר	s ɔː f aː ʀ
ספר	s ɔː f æː r
ספרייה	s i f r i j j ɔː
ספרייה	s i f ʀ i ɟ ɟ ɔː
