Ischia	i ʃ c ə
jelare	j ə l a
jelare	ʃ ə l æ
jennero	d͡ʒ ɛ n ə r ə
jennero	j e n n ə r ə
jennero	ʃ i ĕ n n ə r ə
jettatore	j e t t a t oː r ə
jocare	j u k a
jodecare	j u r ə k a
jodece	j oː r ə t͡ʃ ə
jugo	j uː ɡ ə
jugo	j uː β ə
jugo	ʃ uː v ə
junno	j o n n ə
junno	j u n n ə
juoco	j w oː k ə
juoco	ʃ uː k ə
juorno	j u ə̆ r n ə
juorno	j w o r n ə
lassare	l a s s a
leggere	l ɛ d d͡ʒ ə
leggere	l ɛ d d͡ʒ ə r ə
lejere	l ɛ j ə r ə
lengua	l e ŋ ɡ w ə
levare	l ə v a
lietto	l i t t ə
lietto	l j e t t ə
ligno	l i ɲ ɲ ə
lloro	l l ɔː r ə
lopa	l oː p ə
lopa	l uː p ă
lotamma	l u t a m m ă
lovare	l u v a
luna	l uː n ɐ
luntano	l u n d aː n ə
luoco	l w oː k ə
luongo	l w o ŋ ɡ ə
luongo	l ɔ ŋ ɡ ə
lupo	l uː p ə
maneco	m aː n ə k ə
mangiare	m a ɲ d͡ʒ a
marito	m a r iː t ə
mazzecare	m a t t͡s ə k a
medullo	m ə d ʊ d d
medullo	m ə ɾ u l l ə
mele	m eː l ə
mele	m ɛː l ə
menì	m ə n i
mettere	m e t t ə
mettere	m e t t ə r ə
miedeco	m iː ə̆ d ə k ə
miedeco	m j eː r ə k ə
montone	m u n d oː n ə
morire	m u r i
morte	m ɔ r t ə
mostare	m u s t a
mparare	m b a r a
mprestare	m b r ə s t a
mugliera	m u ʝː ɛː r ɐ
munno	m u n n ə
muntagna	m u n d a ɲ ɲ ə
muollo	m u ŏ d d ə
muollo	m w o l l ə
muollo	m ɔ d d ə
muollo	m ɔ l l ə
muorto	m w o r t ə
muorto	m ɔ r t ə
natare	n a t a
nchiudere	ŋ k ç uː r ə r ə
nciarmare	ɲ d͡ʒ a r m a
nciarmo	ɲ d͡ʒ a r m ə
nepote	n ə p oː t ə
nfocare	ɱ f u k a
niro	n e ɣ ŭ r ə
niro	n eː r ə
niro	n eː u̯ r ə
niro	n iː r ə
niro	n ɛː u̯ r ă
nisciuno	n i ʃː uː n ɐ
noce	n oː t͡ʃ ə
noce	n ʊː t͡ʃ
nove	n oː v ə
nove	n ɔː v ə
ntofare	n t u f a
ntofato	n t u f aː t ə
ntossecare	n t u s s ə k a
nuosto	n w o s t ə
nuosto	n ɔ s t ə
nuovo	n oː v ə
nuovo	n uː ə̆ v ə
nuovo	n w oː v ə
nuovo	n ɔː v ə
ogna	o ɲ ɲ ə
ommo	ɔ m m ə
ordenare	u r d ə n a
osemare	u s ə m a
otto	ɔ t t ə
padula	p a ɾ uː l ă
panaro	p a n aː r ə
parere	p a r e
pavoruso	p a v ə r uː s ə
pecché	p ə k k e
pede	p eː d ə
pede	p iː ə̆ d ə
pede	p j eː ɾ ə
pede	p ɛː ɾ ə
pesce	p eː ʃ ə
pesce	p i ʃ
pesce	p ɛ ʃ
pesce	p ɛ ʃ ə
pilo	p iː l ə
piscopo	p i ʃ k o p ə
poco	p ɔː k ə
polezzare	p u l ə d d͡z a
portare	p u r t a
potere	p u t e
povero	p ɔː v ə r ə
preta	p r eː t ə
preta	p r ɛː t ə
prevete	p r ɛː v ə t ə
priato	p r i j ɑː t̪ ɐ
priezza	p r i j e t t͡s ɐ
producere	p r u r uː t͡ʃ ə r ə
proggettare	p r u d d͡ʒ ə t t a
puorco	p u ŏ r k
puorco	p w o r k ə
puteca	p u t eː k ə
quanno	k w a n n ə
quartino	k w a r t iː n ə
quatto	k w a t t ə
ranceto	r a ɲ d͡ʒ ə t ə
rancio	r a ɲ d͡ʒ ə
rapire	a p r i
rapire	r a p i
revotare	r ə v u t a
rota	r oː t ă
rota	r ɔː t ə
russo	r o s s ə
russo	r u s s ə
saciccio	s a t͡ʃ i t t͡ʃ ə
saciccio	s a u̯ t͡s i t t͡s
sango	s a ŋ k
sango	s a ŋ ɡ ə
santo	s a n d ə
sapere	s a p e
scarfare	ʃ k a r f a
scella	ʃ e ɫː ɐ
scetare	ʃ ə t a
sciarmare	ʃ a r m a
sciato	f j aː t ə
sciato	ʃ aː t ə
scioccare	ʃ o k k a
sciore	f j oː r ə
sciore	ʃ oː r ə
sciosciare	ʃ u ʃ ʃ a
scire	ʃ i
sciummo	ʃ u m m ə
sciuocco	ʃ w o k k ə
scorciare	ʃ k u r t͡ʃ a
scordare	ʃ k u r d a
scrammare	ʃ k r a m m a
scrivere	s k r iː v ə
scrivere	ʃ k r iː v ə
scrivere	ʃ k r iː v ə r ə
scuorno	ʃ k u o̯ r n ɐ
scuorno	ʃ k w o r n ɐ
scuto	ʃ k uː t ə
secare	s ə k a
sescare	s ə ʃ k a
sicco	s e k k ə
sicco	s i k k ə
sodare	s u d a
sodare	s u ɾ a
sonare	s u n a
sonnare	s u n n a
sorece	s oː r ə t͡ʃ ə
sorece	s ɔ r d͡ʒ ə
spantare	ʃ p a n d a
spartere	ʃ p a r t ə r ə
spata	ʃ p aː t ə
spingula	ʃ p i n ɡ ə l a
spostare	ʃ p u s t a
staggione	s t a d d͡ʒ oː n ə
stazzione	s t a t t͡s j oː n ə
stompagnare	s t u m p a ɲ ɲ a
stordo	ʃ t ɔ r d ə
stotare	s t u t a
strinto	ʃ t r i n d ə
strumiento	s t r u m j e n d ə
subbito	s u b b i t ə
subbito	s u b b ə t ə
suonno	s w o n n ə
surdo	s o r d ə
surdo	s u r d ə
tenere	t ə n e
tiempo	t i m b ə
tiempo	t j e m b ə
titto	t i t t ə
toccare	t u k k a
tozzoliare	t u t t͡s ə l j a
trasformare	t r a s f u r m a
trasire	t r a s i
trimone	t r ə m oː n ə̆
trimone	t r ɪ m o ʊ̯ n ə̆
trimone	t r ɪ m oː n ə̆
trimone	t r ɪ m ɑ ʊ̯ n ə̆
trovare	t r u v a
tunno	t o n n ə
tunno	t u n n ə
tuosto	t w o s t ə
turmiento	t u r m j e n d ə
uocchio	u ə̆ c c
uocchio	w o c c ə
uosemo	w oː s ə m ə
uosso	w o s s ə
uosso	ɔ s s ə̆
uovo	uː o v ə
uovo	uː ə̆ v ə
uovo	ɔː v ə
usare	u s a
vacante	v a k a n d ə
vaco	v ɑː k ə
vaje	v ɑː j ə
vaso	v aː s ə
vastare	v a s t a
vattere	v a t t ə
vattere	v a t t ə r ə
vecchia	v ɛ c c ə
vedere	v ə d e
vedere	v ə ð ɛ
vedere	v ə ɾ e
venire	v ə n i
veramente	v ɛ r ä m ɛ n̪ d̪ ɐ
vestuto	v ə s t uː t ə
viecchio	v j e c c ə
viecchio	v ɛ c c ə
viento	v i n d ə
viento	v j e n d ə
vierno	v i ə̆ r n ə
vierno	v j e r n ə
vino	v iː n ə
vippeto	v i p p ə t ə
vocca	v o k k ə
voce	v oː t͡ʃ ə
volare	v u l a
volere	v u l e
vollere	v o l l ə r ə
vollere	v u d d ə
vommecare	v u m m ə k a
vorpe	v o r p ă
votare	v u t a
vottare	v u t t a
votte	v o t t ə
votte	v u t t ə
vraccio	v r a t t͡s
vraccio	v r a t t͡ʃ ə
vuommeco	v w o m m ə k ə
vuosco	b ɔ ʃ k
vuosco	v ɔ s k
vuosco	v ɔ ʃ k
vuosco	w o ʃ k
vuosco	β w o ʃ k
vuosto	v u ŏ s t ə
vuosto	v w o s t ə
vuosto	v ɔ s t ə
zompare	t͡s u m b a
