ア	a̠
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
アナコンダ	a̠ n a̠ k õ̞ n d a̠
アナザー	a̠ n a̠ z a̠ː
アニオタ	a̠ ɲ̟ i o̞ t a̠
アニオン	a̠ ɲ̟ i õ̞ ɴ
アニバーサリー	a̠ ɲ̟ i b a̠ː s a̠ ɾʲ iː
アニマンガ	a̠ ɲ̟ i m ã̠ ŋ ɡ a̠
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニリン	a̠ ɲ̟ i ɾʲ ĩ ɴ
アネモネ	a̠ n e̞ m o̞ n e̞
アノア	a̠ n o̞ a̠
アノード	a̠ n o̞ː d o̞
アバサー	a̠ b a̠ s a̠ː
アバター	a̠ b a̠ t a̠ː
アバランチ	a̠ b a̠ ɾ ã̠ ɲ̟ t͡ɕ i
アバン	a̠ b ã̠ ɴ
アバーア	a̠ b a̠ː a̠
アバーヤ	a̠ b a̠ː j a̠
アパタイト	a̠ p a̠ t a̠ i t o̞
アパート	a̠ p a̠ː t o̞
アヒージョ	a̠ ç iː ʑ o̞
アビシニア	a̠ bʲ i ɕ i ɲ̟ i a̠
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アフォ	a̠ ɸ o̞
アヘアヘ	a̠ h e̞ a̠ h e̞
アベガー	a̠ b e̞ ɡ a̠ː
アペタイザー	a̠ p e̞ t a̠ i z a̠ː
アボカド	a̠ b o̞ k a̠ d o̞
アボジ	a̠ b o̞ ʑ i
アポ	a̠ p o̞
アポイントメント	a̠ p o̞ ĩ n t o̞ m ẽ̞ n t o̞
アポロー	a̠ p o̞ ɾ o̞ː
アマゾン	a̠ m a̠ z õ̞ ɴ
アマビエ	a̠ m a̠ bʲ i e̞
アミ	a̠ mʲ i
アミジン	a̠ mʲ i ʑ ĩ ɴ
アミド	a̠ mʲ i d o̞
アミノ	a̠ mʲ i n o̞
アミン	a̠ mʲ ĩ ɴ
アメピン	a̠ m e̞ pʲ ĩ ɴ
アメポチ	a̠ m e̞ p o̞ t͡ɕ i
アメリカ	a̠ m e̞ ɾʲ i k a̠
アメリカオオアカイカ	a̠ m e̞ ɾʲ i k a̠ o̞ː a̠ k a̠ i k a̠
アメリカン	a̠ m e̞ ɾʲ i k ã̠ ɴ
アメリカーノ	a̠ m e̞ ɾʲ i k a̠ː n o̞
アメーバ	a̠ m e̞ː b a̠
アヤトラ	a̠ j a̠ t o̞ ɾ a̠
アラゴン	a̠ ɾ a̠ ɡ õ̞ ɴ
アラサー	a̠ ɾ a̠ s a̠ː
アラザン	a̠ ɾ a̠ z ã̠ ɴ
アラジン	a̠ ɾ a̠ ʑ ĩ ɴ
アラニン	a̠ ɾ a̠ ɲ̟ ĩ ɴ
アラバマ	a̠ ɾ a̠ b a̠ m a̠
アラビア	a̠ ɾ a̠ bʲ i a̠
アラフォー	a̠ ɾ a̠ ɸ o̞ː
アラメダ	a̠ ɾ a̠ m e̞ d a̠
アラレガコ	a̠ ɾ a̠ ɾ e̞ ɡ a̠ k o̞
アラン	a̠ ɾ ã̠ ɴ
アラー	a̠ ɾ a̠ː
アリゲーター	a̠ ɾʲ i ɡ e̞ː t a̠ː
アリゾナ	a̠ ɾʲ i z o̞ n a̠
アリバイ	a̠ ɾʲ i b a̠ i
アレゴリー	a̠ ɾ e̞ ɡ o̞ ɾʲ iː
アレッポ	a̠ ɾ e̞ p̚ p o̞
アレンジ	a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
アロエ	a̠ ɾ o̞ e̞
アロマ	a̠ ɾ o̞ m a̠
アロン	a̠ ɾ õ̞ ɴ
アンカラ	ã̠ ŋ k a̠ ɾ a̠
アンカレジ	ã̠ ŋ k a̠ ɾ e̞ ʑ i
アンカー	ã̠ ŋ k a̠ː
アンギラ	ã̠ ŋʲ ɡʲ i ɾ a̠
アンケート	ã̠ ŋ k e̞ː t o̞
アンゴラ	ã̠ ŋ ɡ o̞ ɾ a̠
アンジョ	ã̠ ɲ̟ d͡ʑ o̞
アンソロジー	ã̠ ɰ̃ s o̞ ɾ o̞ ʑ iː
アンタナナリボ	ã̠ n t a̠ n a̠ n a̠ ɾʲ i b o̞
アンダー	ã̠ n d a̠ː
アンダーバー	ã̠ n d a̠ː b a̠ː
アンチノミー	ã̠ ɲ̟ t͡ɕ i n o̞ mʲ iː
アンチモン	ã̠ ɲ̟ t͡ɕ i m õ̞ ɴ
アンチョビ	ã̠ ɲ̟ t͡ɕ o̞ bʲ i
アンテナ	ã̠ n t e̞ n a̠
アンデレ	ã̠ n d e̞ ɾ e̞
アントシアニン	ã̠ n t o̞ ɕ i a̠ ɲ̟ ĩ ɴ
アントラセン	ã̠ n t o̞ ɾ a̠ s ẽ̞ ɴ
アントン	ã̠ n t õ̞ ɴ
アンド	ã̠ n d o̞
アンドラ	ã̠ n d o̞ ɾ a̠
アンドロイド	ã̠ n d o̞ ɾ o̞ i d o̞
アンドロゲン	ã̠ n d o̞ ɾ o̞ ɡ ẽ̞ ɴ
アンドロメダー	ã̠ n d o̞ ɾ o̞ m e̞ d a̠ː
アンナ	ã̠ nː a̠
アンパサンド	ã̠ m p a̠ s ã̠ n d o̞
アンフェタミン	ã̠ ɰ̃ ɸ e̞ t a̠ mʲ ĩ ɴ
アンペア	ã̠ m p e̞ a̠
アンマン	ã̠ mː ã̠ ɴ
アンモナイト	ã̠ mː o̞ n a̠ i t o̞
アンモニア	ã̠ mː o̞ ɲ̟ i a̠
アヴィニョン	a̠ bʲ i ɲ̟ õ̞ ɴ
アヴォカド	a̠ b o̞ k a̠ d o̞
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アーチ	a̠ː t͡ɕ i
アーチェリー	a̠ː t͡ɕ e̞ ɾʲ iː
アート	a̠ː t o̞
アーフェンピンシャー	a̠ː ɸ ẽ̞ m pʲ ĩ ɰ̃ ɕ a̠ː
アーヘン	a̠ː h ẽ̞ ɴ
アーメン	a̠ː m ẽ̞ ɴ
アーモンド	a̠ː m õ̞ n d o̞
アーヤ	a̠ː j a̠
イ	i
イアン	i ã̠ ɴ
イェ	j e̞
イェイ	j e̞ː
イェリヴァーレ	j e̞ ɾʲ i b a̠ː ɾ e̞
イエネコ	i e̞ n e̞ k o̞
イエベ	i e̞ b e̞
イエメン	i e̞ m ẽ̞ ɴ
イエロー	i e̞ ɾ o̞ː
イオタ	i o̞ t a̠
イオン	i õ̞ ɴ
イカーマ	i k a̠ː m a̠
イケオジ	i k e̞ o̞ ʑ i
イケボ	i k e̞ b o̞
イケメソ	i k e̞ m e̞ s o̞
イケメン	i k e̞ m ẽ̞ ɴ
イコノロジー	i k o̞ n o̞ ɾ o̞ ʑ iː
イコライザ	i k o̞ ɾ a̠ i z a̠
イコライザー	i k o̞ ɾ a̠ i z a̠ː
イソシアニド	i s o̞ ɕ i a̠ ɲ̟ i d o̞
イソロイシン	i s o̞ ɾ o̞ i ɕ ĩ ɴ
イタリア	i t a̠ ɾʲ i a̠
イタリアン	i t a̠ ɾʲ i ã̠ ɴ
イタリー	i t a̠ ɾʲ iː
イデア	i d e̞ a̠
イデオロギー	i d e̞ o̞ ɾ o̞ ɡʲ iː
イノベーション	i n o̞ b e̞ː ɕ õ̞ ɴ
イノンド	i n õ̞ n d o̞
イベ	i b e̞
イベンター	i b ẽ̞ n t a̠ː
イベント	i b ẽ̞ n t o̞
イペリット	i p e̞ ɾʲ i t̚ t o̞
イマジネーション	i m a̠ ʑ i n e̞ː ɕ õ̞ ɴ
イメソン	i m e̞ s õ̞ ɴ
イメチェン	i m e̞ t͡ɕ ẽ̞ ɴ
イメトレ	i m e̞ t o̞ ɾ e̞
イメージ	i m e̞ː ʑ i
イヤホン	i j a̠ h õ̞ ɴ
イヤンホホ	i j ã̠ ɰ̃ h o̞ h o̞
イラマチオ	i ɾ a̠ m a̠ t͡ɕ i o̞
イラロジ	i ɾ a̠ ɾ o̞ ʑ i
イラン	i ɾ ã̠ ɴ
イリノイ	i ɾʲ i n o̞ i
イロイロ	i ɾ o̞ i ɾ o̞
イン	ĩ ɴ
インカメ	ĩ ŋ k a̠ m e̞
インカメラ	ĩ ŋ k a̠ m e̞ ɾ a̠
インキ	ĩ ŋʲ kʲ i
インキー	ĩ ŋʲ kʲ iː
インゴット	ĩ ŋ ɡ o̞ t̚ t o̞
インサート	ĩ ɰ̃ s a̠ː t o̞
インジゴ	ĩ ɲ̟ d͡ʑ i ɡ o̞
インター	ĩ n t a̠ː
インターネット	ĩ n t a̠ː n e̞ t̚ t o̞
インターネットカフェ	ĩ n t a̠ː n e̞ t̚ t o̞ k a̠ ɸ e̞
インターハイ	ĩ n t a̠ː h a̠ i
インターホン	ĩ n t a̠ː h õ̞ ɴ
インチ	ĩ ɲ̟ t͡ɕ i
インテリ	ĩ n t e̞ ɾʲ i
インテリア	ĩ n t e̞ ɾʲ i a̠
インテリゲンチア	ĩ n t e̞ ɾʲ i ɡ ẽ̞ ɲ̟ t͡ɕ i a̠
インテリゲンチャ	ĩ n t e̞ ɾʲ i ɡ ẽ̞ ɲ̟ t͡ɕ a̠
インデヤン	ĩ n d e̞ j ã̠ ɴ
インデン	ĩ n d ẽ̞ ɴ
イントネーション	ĩ n t o̞ n e̞ː ɕ õ̞ ɴ
イントラネット	ĩ n t o̞ ɾ a̠ n e̞ t̚ t o̞
イントロ	ĩ n t o̞ ɾ o̞
インド	ĩ n d o̞
インドア	ĩ n d o̞ a̠
インドネシア	ĩ n d o̞ n e̞ ɕ i a̠
インナー	ĩ nː a̠ː
インハイ	ĩ ɰ̃ h a̠ i
インバータ	ĩ m b a̠ː t a̠
インフォ	ĩ ɰ̃ ɸ o̞
インフォメーション	ĩ ɰ̃ ɸ o̞ m e̞ː ɕ õ̞ ɴ
インポ	ĩ m p o̞
イー	iː
イータ	iː t a̠
エ	e̞
エアコン	e̞ a̠ k õ̞ ɴ
エイ	e̞ i
エイチ	e̞ i t͡ɕ i
エイト	e̞ i t o̞
エイミー	e̞ː mʲ iː
エイリアン	e̞ i ɾʲ i ã̠ ɴ
エキサイト	e̞ kʲ i s a̠ i t o̞
エキシビション	e̞ kʲ i ɕ i bʲ i ɕ õ̞ ɴ
エギンガー	e̞ ɡʲ ĩ ŋ ɡ a̠ː
エケチェン	e̞ k e̞ t͡ɕ ẽ̞ ɴ
エコ	e̞ k o̞
エコチェン	e̞ k o̞ t͡ɕ ẽ̞ ɴ
エコノミー	e̞ k o̞ n o̞ mʲ iː
エコロジー	e̞ k o̞ ɾ o̞ ʑ iː
エゴ	e̞ ɡ o̞
エゴサ	e̞ ɡ o̞ s a̠
エタン	e̞ t ã̠ ɴ
エチオピア	e̞ t͡ɕ i o̞ pʲ i a̠
エチレン	e̞ t͡ɕ i ɾ ẽ̞ ɴ
エチン	e̞ t͡ɕ ĩ ɴ
エッチ	e̞ t̚ t͡ɕ i
エテン	e̞ t ẽ̞ ɴ
エデン	e̞ d ẽ̞ ɴ
エトピリカ	e̞ t o̞ pʲ i ɾʲ i k a̠
エドガー	e̞ d o̞ ɡ a̠ː
エナジー	e̞ n a̠ ʑ iː
エナドリ	e̞ n a̠ d o̞ ɾʲ i
エニェ	e̞ ɲ̟ e̞
エバ	e̞ b a̠
エビゼ	e̞ bʲ i z e̞
エビマヨ	e̞ bʲ i m a̠ j o̞
エピソード	e̞ pʲ i̥ s o̞ː d o̞
エピペン	e̞ pʲ i p ẽ̞ ɴ
エベント	e̞ b ẽ̞ n t o̞
エホバ	e̞ h o̞ b a̠
エミー	e̞ mʲ iː
エラトー	e̞ ɾ a̠ t o̞ː
エラー	e̞ ɾ a̠ː
エリ	e̞ ɾʲ i
エリア	e̞ ɾʲ i a̠
エリサベト	e̞ ɾʲ i s a̠ b e̞ t o̞
エリトリア	e̞ ɾʲ i t o̞ ɾʲ i a̠
エリヤ	e̞ ɾʲ i j a̠
エリーゼ	e̞ ɾʲ iː z e̞
エリート	e̞ ɾʲ iː t o̞
エレガント	e̞ ɾ e̞ ɡ ã̠ n t o̞
エレキ	e̞ ɾ e̞ kʲ i
エレジー	e̞ ɾ e̞ ʑ iː
エレバン	e̞ ɾ e̞ b ã̠ ɴ
エレベーター	e̞ ɾ e̞ b e̞ː t a̠ː
エロ	e̞ ɾ o̞
エロゲ	e̞ ɾ o̞ ɡ e̞
エロコメ	e̞ ɾ o̞ k o̞ m e̞
エロビ	e̞ ɾ o̞ bʲ i
エンカ	ẽ̞ ŋ k a̠
エンコ	ẽ̞ ŋ k o̞
エンジョイ	ẽ̞ ɲ̟ d͡ʑ o̞ i
エンジン	ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
エンタメ	ẽ̞ n t a̠ m e̞
エンチャント	ẽ̞ ɲ̟ t͡ɕ ã̠ n t o̞
エントリー	ẽ̞ n t o̞ ɾʲ iː
エントリーシート	ẽ̞ n t o̞ ɾʲ iː ɕ iː t o̞
エントロピー	ẽ̞ n t o̞ ɾ o̞ pʲ iː
エンド	ẽ̞ n d o̞
エンドガミー	ẽ̞ n d o̞ ɡ a̠ mʲ iː
エー	e̞ː
エーアイ	e̞ː a̠ i
エーカー	e̞ː k a̠ː
エージェンシー	e̞ː ʑ ẽ̞ ɰ̃ ɕ iː
エージェント	e̞ː ʑ ẽ̞ n t o̞
エータ	e̞ː t a̠
オ	o̞
オア	o̞ a̠
オアハカ	o̞ a̠ h a̠ k a̠
オイタナジー	o̞ i t a̠ n a̠ ʑ iː
オイニー	o̞ i ɲ̟ iː
オウマー	o̞ː m a̠ː
オカピ	o̞ k a̠ pʲ i
オカリナ	o̞ k a̠ ɾʲ i n a̠
オガネソン	o̞ ɡ a̠ n e̞ s õ̞ ɴ
オガライト	o̞ ɡ a̠ ɾ a̠ i t o̞
オキシトシン	o̞ kʲ i ɕ i t o̞ ɕ ĩ ɴ
オケ	o̞ k e̞
オサゾン	o̞ s a̠ z õ̞ ɴ
オシキャット	o̞ ɕ i̥ kʲ a̠ t̚ t o̞
オセアニア	o̞ s e̞ a̠ ɲ̟ i a̠
オセロ	o̞ s e̞ ɾ o̞
オセロット	o̞ s e̞ ɾ o̞ t̚ t o̞
オゾン	o̞ z õ̞ ɴ
オタ	o̞ t a̠
オタリア	o̞ t a̠ ɾʲ i a̠
オットマン	o̞ t̚ t o̞ m ã̠ ɴ
オッパ	o̞ p̚ p a̠
オデッサ	o̞ d e̞ sː a̠
オデーサ	o̞ d e̞ː s a̠
オトウット	o̞ t o̞ː t̚ t o̞
オトメン	o̞ t o̞ m ẽ̞ ɴ
オナニー	o̞ n a̠ ɲ̟ iː
オナバレ	o̞ n a̠ b a̠ ɾ e̞
オナペット	o̞ n a̠ p e̞ t̚ t o̞
オナホ	o̞ n a̠ h o̞
オネェ	o̞ n e̞ː
オネエ	o̞ n e̞ː
オノマトペ	o̞ n o̞ m a̠ t o̞ p e̞
オハイオ	o̞ h a̠ i o̞
オハカ	o̞ h a̠ k a̠
オバマ	o̞ b a̠ m a̠
オバマケア	o̞ b a̠ m a̠ k e̞ a̠
オファー	o̞ ɸ a̠ː
オペ	o̞ p e̞
オペレッタ	o̞ p e̞ ɾ e̞ t̚ t a̠
オペレーション	o̞ p e̞ ɾ e̞ː ɕ õ̞ ɴ
オメガ	o̞ m e̞ ɡ a̠
オランダ	o̞ ɾ ã̠ n d a̠
オリエンテーション	o̞ ɾʲ i ẽ̞ n t e̞ː ɕ õ̞ ɴ
オリキャラ	o̞ ɾʲ i kʲ a̠ ɾ a̠
オリンピア	o̞ ɾʲ ĩ m pʲ i a̠
オレガノ	o̞ ɾ e̞ ɡ a̠ n o̞
オレゴン	o̞ ɾ e̞ ɡ õ̞ ɴ
オレッキエッテ	o̞ ɾ e̞ k̚ʲ kʲ i e̞ t̚ t e̞
オレンジ	o̞ ɾ ẽ̞ ɲ̟ d͡ʑ i
オンゲ	õ̞ ŋ ɡ e̞
オンゲー	õ̞ ŋ ɡ e̞ː
オンタリオ	õ̞ n t a̠ ɾʲ i o̞
オヴァ	o̞ b a̠
オー	o̞ː
オーガ	o̞ː ɡ a̠
オーガンジー	o̞ː ɡ ã̠ ɲ̟ d͡ʑ iː
オーキシン	o̞ː kʲ i ɕ ĩ ɴ
オーシャン	o̞ː ɕ ã̠ ɴ
オーダー	o̞ː d a̠ː
オーダーメイド	o̞ː d a̠ː m e̞ː d o̞
オーデ	o̞ː d e̞
オーデコロン	o̞ː d e̞ k o̞ ɾ õ̞ ɴ
オートバイ	o̞ː t o̞ b a̠ i
オートパイロット	o̞ː t o̞ p a̠ i ɾ o̞ t̚ t o̞
オートファジー	o̞ː t o̞ ɸ a̠ ʑ iː
オートマトン	o̞ː t o̞ m a̠ t õ̞ ɴ
オード	o̞ː d o̞
オーナー	o̞ː n a̠ː
オーバン	o̞ː b ã̠ ɴ
オーバー	o̞ː b a̠ː
オーバーコート	o̞ː b a̠ː k o̞ː t o̞
オーバーヒート	o̞ː b a̠ː ç iː t o̞
オーバーライン	o̞ː b a̠ː ɾ a̠ ĩ ɴ
オーボエ	o̞ː b o̞ e̞
オーボー	o̞ː b o̞ː
オーラ	o̞ː ɾ a̠
オーライ	o̞ː ɾ a̠ i
オーレ	o̞ː ɾ e̞
オーロラ	o̞ː ɾ o̞ ɾ a̠
カ	k a̠
カ゚	ŋ a̠
カァ	k a̠ː
カアバ	k a̠ a̠ b a̠
カイ	k a̠ i
カイマン	k a̠ i m ã̠ ɴ
カイロ	k a̠ i ɾ o̞
カイン	k a̠ ĩ ɴ
カオリャン	k a̠ o̞ ɾʲ ã̠ ɴ
カキコ	k a̠ kʲ i k o̞
カキタレ	k a̠ kʲ i t a̠ ɾ e̞
カシミア	k a̠ ɕ i mʲ i a̠
カジノ	k a̠ ʑ i n o̞
カセットデッキ	k a̠ s e̞ t̚ t o̞ d e̞ k̚ʲ kʲ i
カソード	k a̠ s o̞ː d o̞
カチオン	k a̠ t͡ɕ i õ̞ ɴ
カチンコ	k a̠ t͡ɕ ĩ ŋ k o̞
カッター	k a̠ t̚ t a̠ː
カット	k a̠ t̚ t o̞
カッパ	k a̠ p̚ p a̠
カテゴリ	k a̠ t e̞ ɡ o̞ ɾʲ i
カテゴリー	k a̠ t e̞ ɡ o̞ ɾʲ iː
カナキン	k a̠ n a̠ kʲ ĩ ɴ
カナダ	k a̠ n a̠ d a̠
カナリア	k a̠ n a̠ ɾʲ i a̠
カノア	k a̠ n o̞ a̠
カノン	k a̠ n õ̞ ɴ
カバー	k a̠ b a̠ː
カピタン	k a̠ pʲ i t ã̠ ɴ
カピバラ	k a̠ pʲ i b a̠ ɾ a̠
カフェ	k a̠ ɸ e̞
カフェオレ	k a̠ ɸ e̞ o̞ ɾ e̞
カフェテリア	k a̠ ɸ e̞ t e̞ ɾʲ i a̠
カフェモカ	k a̠ ɸ e̞ m o̞ k a̠
カフェラッテ	k a̠ ɸ e̞ ɾ a̠ t̚ t e̞
カホン	k a̠ h õ̞ ɴ
カポ	k a̠ p o̞
カマラ	k a̠ m a̠ ɾ a̠
カメオ	k a̠ m e̞ o̞
カメハメハ	k a̠ m e̞ h a̠ m e̞ h a̠
カメラ	k a̠ m e̞ ɾ a̠
カメラマン	k a̠ m e̞ ɾ a̠ m ã̠ ɴ
カメレオン	k a̠ m e̞ ɾ e̞ õ̞ ɴ
カラオケ	k a̠ ɾ a̠ o̞ k e̞
カラコ	k a̠ ɾ a̠ k o̞
カラコン	k a̠ ɾ a̠ k õ̞ ɴ
カラザ	k a̠ ɾ a̠ z a̠
カラチ	k a̠ ɾ a̠ t͡ɕ i
カラン	k a̠ ɾ ã̠ ɴ
カラー	k a̠ ɾ a̠ː
カリ	k a̠ ɾʲ i
カリオペー	k a̠ ɾʲ i o̞ p e̞ː
カリナン	k a̠ ɾʲ i n ã̠ ɴ
カレン	k a̠ ɾ ẽ̞ ɴ
カレンダー	k a̠ ɾ ẽ̞ n d a̠ː
カレー	k a̠ ɾ e̞ː
カロチン	k a̠ ɾ o̞ t͡ɕ ĩ ɴ
カロテノイド	k a̠ ɾ o̞ t e̞ n o̞ i d o̞
カロテン	k a̠ ɾ o̞ t ẽ̞ ɴ
カンタベリー	k ã̠ n t a̠ b e̞ ɾʲ iː
カンタータ	k ã̠ n t a̠ː t a̠
カンタービレ	k ã̠ n t a̠ː bʲ i ɾ e̞
カンチョー	k ã̠ ɲ̟ t͡ɕ o̞ː
カンテラ	k ã̠ n t e̞ ɾ a̠
カンデラ	k ã̠ n d e̞ ɾ a̠
カントリー	k ã̠ n t o̞ ɾʲ iː
カントン	k ã̠ n t õ̞ ɴ
カンパ	k ã̠ m p a̠
カンパラ	k ã̠ m p a̠ ɾ a̠
カンファン	k ã̠ ɰ̃ ɸ ã̠ ɴ
カンフェン	k ã̠ ɰ̃ ɸ ẽ̞ ɴ
カンペ	k ã̠ m p e̞
カンボジア	k ã̠ m b o̞ ʑ i a̠
カンマ	k ã̠ mː a̠
カヴァー	k a̠ b a̠ː
カヴィテ	k a̠ bʲ i t e̞
カー	k a̠ː
カーゲーベー	k a̠ː ɡ e̞ː b e̞ː
カーテン	k a̠ː t ẽ̞ ɴ
カーデ	k a̠ː d e̞
カート	k a̠ː t o̞
カートン	k a̠ː t õ̞ ɴ
カード	k a̠ː d o̞
カードキー	k a̠ː d o̞ kʲ iː
カードリーダー	k a̠ː d o̞ ɾʲ iː d a̠ː
カーナビ	k a̠ː n a̠ bʲ i
カーネーション	k a̠ː n e̞ː ɕ õ̞ ɴ
カーヒー	k a̠ː ç iː
カーペット	k a̠ː p e̞ t̚ t o̞
カーラー	k a̠ː ɾ a̠ː
カーリー	k a̠ː ɾʲ iː
ガ	ɡ a̠
ガイア	ɡ a̠ i a̠
ガイジ	ɡ a̠ i ʑ i
ガイド	ɡ a̠ i d o̞
ガイドライン	ɡ a̠ i d o̞ ɾ a̠ ĩ ɴ
ガザ	ɡ a̠ z a̠
ガジェット	ɡ a̠ ʑ e̞ t̚ t o̞
ガセ	ɡ a̠ s e̞
ガセネタ	ɡ a̠ s e̞ n e̞ t a̠
ガソリン	ɡ a̠ s o̞ ɾʲ ĩ ɴ
ガター	ɡ a̠ t a̠ː
ガチ	ɡ a̠ t͡ɕ i
ガチンコ	ɡ a̠ t͡ɕ ĩ ŋ k o̞
ガトー	ɡ a̠ t o̞ː
ガバ	ɡ a̠ b a̠
ガボローネ	ɡ a̠ b o̞ ɾ o̞ː n e̞
ガボン	ɡ a̠ b õ̞ ɴ
ガリア	ɡ a̠ ɾʲ i a̠
ガレット	ɡ a̠ ɾ e̞ t̚ t o̞
ガレージ	ɡ a̠ ɾ e̞ː ʑ i
ガロン	ɡ a̠ ɾ õ̞ ɴ
ガン	ɡ ã̠ ɴ
ガンビア	ɡ ã̠ m bʲ i a̠
ガンマ	ɡ ã̠ mː a̠
ガーゼ	ɡ a̠ː z e̞
ガーター	ɡ a̠ː t a̠ː
ガーデン	ɡ a̠ː d ẽ̞ ɴ
ガード	ɡ a̠ː d o̞
ガードマン	ɡ a̠ː d o̞ m ã̠ ɴ
ガーナ	ɡ a̠ː n a̠
ガーネット	ɡ a̠ː n e̞ t̚ t o̞
キ	kʲ i
キ゚	ŋʲ i
キ゚ャ	ŋʲ a̠
キェ	kʲ e̞
キガリ	kʲ i ɡ a̠ ɾʲ i
キサンテン	kʲ i s ã̠ n t ẽ̞ ɴ
キセノン	kʲ i̥ s e̞ n õ̞ ɴ
キチン	kʲ i t͡ɕ ĩ ɴ
キッシンジャー	kʲ i ɕː ĩ ɲ̟ d͡ʑ a̠ː
キッチン	kʲ i t̚ t͡ɕ ĩ ɴ
キッチンカー	kʲ i t̚ t͡ɕ ĩ ŋ k a̠ː
キット	kʲ i t̚ t o̞
キッパー	kʲ i p̚ p a̠ː
キト	kʲ i t o̞
キナゾリン	kʲ i n a̠ z o̞ ɾʲ ĩ ɴ
キニーネ	kʲ i ɲ̟ iː n e̞
キネシン	kʲ i n e̞ ɕ ĩ ɴ
キネマ	kʲ i n e̞ m a̠
キノキサリン	kʲ i n o̞ kʲ i s a̠ ɾʲ ĩ ɴ
キノリン	kʲ i n o̞ ɾʲ ĩ ɴ
キノン	kʲ i n õ̞ ɴ
キビバイト	kʲ i bʲ i b a̠ i t o̞
キビビット	kʲ i bʲ i bʲ i t̚ t o̞
キマイラ	kʲ i m a̠ i ɾ a̠
キメラ	kʲ i m e̞ ɾ a̠
キモオタ	kʲ i m o̞ o̞ t a̠
キャ	kʲ a̠
キャサリン	kʲ a̠ s a̠ ɾʲ ĩ ɴ
キャッサバ	kʲ a̠ sː a̠ b a̠
キャッチ	kʲ a̠ t̚ t͡ɕ i
キャッチホン	kʲ a̠ t̚ t͡ɕ i̥ h õ̞ ɴ
キャッチャー	kʲ a̠ t̚ t͡ɕ a̠ː
キャット	kʲ a̠ t̚ t o̞
キャノン	kʲ a̠ n õ̞ ɴ
キャバレー	kʲ a̠ b a̠ ɾ e̞ː
キャパ	kʲ a̠ p a̠
