A	æ
aḥlḥul	a ħ l ħ u l
aḥḍṛun	a ħ dˤ rˤ u n
aṣmmiḍ	a sˤ mː i dˤ
aẓ	a zˤ
aẓalim	a zˤ a l i m
aẓarif	a zˤ a r i f
aẓlmaḍ	a zˤ l m a dˤ
aẓmmẓl	a zˤ mː zˤ l
aẓnkʷḍ	a zˤ n kʷ dˤ
aẓrf	a zˤ r f
aẓru	a zˤ r u
aẓru	a zˤ rˤ u
aẓum	a zˤ u m
aẓur	a zˤ u r
aẓuṛ	a zˤ u rˤ
aẓṛu	a zˤ rˤ u
baqcic	b a q ʃ i ʃ
bara	b a r a
bayyuṛ	b a jː u rˤ
bbaqqi	bː a qː i
bbi	bː i
bdd	b dː
bnadm	b n a d m
bnu	b n u
bzg	b z ɡ
cc	ʃː
ddin	dː i n
ddnb	dː n b
ddr	dː r
ddu	dː u
faw	f a w
fiss	f i sː
fk	f k
fulki	f u l k i
ggawr	ɡː a w r
giḍ	ɡ i dˤ
gmi	ɡ m i
gnu	ɡ n u
gr	ɡ r
grs	ɡ r s
gru	ɡ r u
gʷdl	ɡʷ d l
gʷlmim	ɡʷ l m i m
gʷmr	ɡʷ m r
id	i d
idammn	i d a mː n
ifis	i f i s
ifiw	i f i w
ifr	i f r
ifri	i f r i
igidr	i ɡ i d r
ignna	i ɡ nː a
igr	i ɡ r
igzul	i ɡ z u l
ikikr	i k i k r
iktur	i k t u r
ikṛuẓ	i k rˤ u zˤ
ilel	i l ə l
ilf	i l f
ilm	i l m
ils	i l s
iman	i m a n
imgr	i m ɡ r
imi	i m i
imikk	i m i kː
imim	i m i m
imirkidu	i m i r k i d u
imkli	i m k l i
imnsi	i m n s i
imsid	i m s i d
imɣi	i m ɣ i
imɣur	i m ɣ u r
imẓiy	i m zˤ i j
ini	i n i
inna	i nː a
irdn	i r d n
irgazn	i r ɡ a z n
iri	i r i
isdid	i s d i d
isk	i s k
iskr	i s k r
isli	i s l i
ism	i s m
ismiḍ	i s m i dˤ
ismḍl	i s m dˤ l
itri	i t r i
ixcin	i χʷ ʃ i n
ixf	i χ f
ixss	i χ sː
izikr	i z i k r
izimmr	i z i mː r
izm	i z m
izwur	i z w u r
iɣar	i ɣ a r
iɣd	i ɣ d
iɣil	i ɣ i l
iɣrm	i ɣ r m
iɣzif	i ɣ z i f
iḍ	i dˤ
iḍni	i dˤ n i
iẓiy	i zˤ i j
jdr	ʒ d r
kcm	k ʃ m
kkuṣṭ	kː u sˤ tˤ
kkuẓ	kː u zˤ
kmi	k m i
kra	k r a
kraḍ	k r a dˤ
kraṭṭ	k r a tˤ tˤ
krz	k r z
ks	k s
kḍu	k dˤ u
kṛaḍ	k rˤ a dˤ
lbḥṛ	l b ħ rˤ
ldi	l d i
lfakit	l f a k i t
lfḍur	l f dˤ u r
lifbita	l i f b i t a
litcin	l i t ʃ i n
ljdid	l ʒ d i d
llɣ	lː ɣ
lmd	l m d
lmɣrib	l m ɣ r i b
ls	l s
lɛfit	l ʕ f i t
lḥrf	l ħ r f
mani	m a n i
manik	m a n i k
mayad	m a j a d
mgr	m ɡ r
middn	m i dː n
mmaɣ	mː a ɣ
mmiggir	mː i ɡː i r
mmt	mː t
mnnaw	m nː a w
mraw	m r a w
mrrakʷc	m rˤ rˤ a kʷ ʃ
mun	m u n
mḍl	m dˤ l
mṛṛakʷc	m rˤ rˤ a kʷ ʃ
n	n
ni	n i
nkr	n k r
nkr	n k rˤ
nnukmu	nː u k m u
ntu	n t u
nw	n w
nɣ	n ɣ
prɛu	p r ʕ u
qqar	qː a rˤ
qqd	qː d
qqn	qː n
qqu	qː u
rar	r a r
rg	r ɡ
rku	r k u
rɣ	r ɣ
sa	s a
sawl	s a w l
sin	s i n
skr	s k r
sksu	s k s u
slk	s l k
slla	s lː a
smmus	s mː u s
smmust	s mː u s t
snat	s n a t
ssfld	sː f l d
ssfḍ	sː f dˤ
ssimana	sː i m a n a
ssird	sː i r d
ssn	sː n
stara	s t a r a
su	s u
suḍ	s u dˤ
swingm	s w i n ɡ m
sḍis	s dˤ i s
sḍiṣ	s dˤ i sˤ
tabubbat	t a b u bː a t
taclḥiyt	t a ʃ l ħ i j t
tadawt	t a d a w t
taddagt	t a dː a ɡ t
taddart	t a dː a r t
tadunt	t a d u n t
tafasa	t a f a s a
tafaska	t a f a s k a
tafukt	t a f u k t
tagant	t a ɡ a n t
taggunt	t a ɡː u n t
taggurt	t a ɡː u r t
taglayt	t a ɡ l a j t
taguri	t a ɡ u r i
tagut	t a ɡ u t
tajṛṛumt	t a ʒ rˤ rˤ u m t
takat	t a k a t
takflawt	t a k f l a w t
talima	t a l i m a
tallacunt	t a lː a ʃ u n t
tam	t a m
tamazirt	t a m a z i r t
tamda	t a m d a
tamdint	t a m d i n t
tamiwt	t a m i w t
tammnt	t a mː n t
tamttant	t a m tː a n t
tamurt	t a m u r t
tamɣart	t a m ɣ a r t
tamɣra	t a m ɣ r a
tamṭṭut	t a m tˤ tˤ u t
tanirt	t a n i r t
tanmmirt	t a n mː i r t
tantala	t a n t a l a
tarubi	t a r u b i
tasa	t a s a
tasarut	t a s a r u t
taskla	t a s k l a
tawkka	t a w kː a
tawlẓit	t a w l zˤ i t
tawwuri	t a wː u r i
taxyamt	t a χ j a m t
tayda	t a j d a
tayri	t a j r i
tazzwit	t a zː w i t
taɣart	t a ɣ a r t
tiddi	t i dː i
tifawt	t i f a w t
tifiyyi	t i f i jː i
tifrkkit	t i f r kː i t
tigmmi	t i ɡ mː i
tigẓẓlt	t i ɡ zˤ zˤ l t
tili	t i l i
tilintit	t i l i n t i t
tilkit	t i l k i t
timssi	t i m sː i
timzgida	t i m z ɡ i d a
timɣilt	t i m ɣ i l t
tinxrt	t i n χ r t
tinzrt	t i n z r t
tirgit	t i r ɡ i t
tislit	t i s l i t
tisnt	t i s n t
tixsi	t i χ s i
tiɣssa	t i ɣ sː a
tiṭṭ	t i tˤ tˤ
ttahl	tː a h l
tuga	t u ɡ a
tumẓin	t u m zˤ i n
turt	t u r t
tẓa	t zˤ a
uccn	u ʃː n
udad	u d a d
uday	u d a j
udm	u d m
ul	u l
umlil	u m l i l
unfus	u n f u s
urgaz	u r ɡ a z
urti	u r t i
urɣ	u r ɣ
usɛu	u s ʕ u
ut	u t
uzzal	u zː a l
x	χ
xcn	χʷ ʃ n
xmj	χ m ʒ
xttad	χ tː a d
xttann	χ tː a nː
xujmu	χ u ʒ m u
yan	j a n
yat	j a t
yaḍnin	j a dˤ n i n
zund	z u n d
Ġ	ɣ
ġ	ɣ
Š	ʃ
š	ʃ
Ɛ	ʢ
Ɣ	ɣ
ɛ	ʢ
ɛcrin	ʕ ʃ r i n
ɣ	ɣ
ɣassad	ɣ a sː a d
ɣayad	ɣ a j a d
ɣayann	ɣ a j a nː
ɣid	ɣ i d
ɣinn	ɣ i nː
ɣr	ɣ r
ɣrs	ɣ r s
ɣus	ɣ u s
ɣus	ɣʷ s
ɣz	ɣ z
Ḍ	dˤ
ḍ	dˤ
ḍuwr	dˤ u w rˤ
ḍṛ	dˤ rˤ
ḍṣṣa	dˤ sˤ sˤ a
Ḥ	ħ
ḥ	ħ
ḥasb	ħ a s b
ḥfu	ħ f u
ḥukku	ħ u kː u
Ṣ	sˤ
ṣ	sˤ
ṣifr	sˤ i f rˤ
ṣḥu	sˤ ħ u
ṣṣabun	sˤ sˤ a b u n
ṣṣafḍ	sˤ sˤ a f dˤ
Ṭ	tˤ
ṭ	tˤ
ṭṭajin	tˤ tˤ a ʒ i n
ṭṭaṣ	tˤ tˤ a sˤ
ṭṭḍ	tˤ tˤ dˤ
Ẓ	zˤ
ẓ	zˤ
ẓil	zˤ i l
ẓm	zˤ m
ẓmmẓl	zˤ mː zˤ l
ẓr	zˤ r
ẓr	zˤ rˤ
ẓẓall	zˤː a lˤː
