Ahad	a h a d
balkun	b a l k u n
balobalo	b a l o b a l o
bangbang	b a ŋ b a ŋ
bangku	b ä ŋ k u
bangsa	b a ŋ s a
banusa	b a n u s a
bao	b a o
baracinta	b a ɾ a t͡ʃ i n t a
barajaha	b a ɾ a d͡ʒ a h a
barakati	b a ɾ a k a t i
bareas	b a ɾ e a s
barhala	b a ɾ h a l a
bari	b a ɾ i
baro	b a ɾ o
barobaro	b a ɾ o b a ɾ o
bas	b a s
baso	b a s o
bastel	b a s t e l
bata	b a t a
batabata	b a t a b a t a
bataka	b a t a k a
bati	b a t i
batibati	b a t i b a t i
batinga	b a t i ŋ a
bau	b a u
baulaco	b a u l a t͡ʃ o
bawa	b a w a
baya	b a j a
bayai	b a j a i
bebe	b e b e
bece	b e t͡ʃ e
begebege	b e ɡ e b e ɡ e
belabela	b e l a b e l a
beleki	b e l e k i
belo	b e l o
bendi	b e n d i
benga	b e ŋ a
bengabenga	b e ŋ a b e ŋ a
beno	b e n o
besabesa	b e s a b e s a
besi	b e s i
besibesi	b e s i b e s i
betabeta	b e t a b e t a
bete	b e t e
beto	b e t o
betobeto	b e t o b e t o
betu	b e t u
biau	b i a u
bibi	b i b i
bibilatu	b i b i l a t u
bicanga	b i t͡ʃ a ŋ a
bidadari	b i d a d a ɾ i
bidi	b i d i
bidibidi	b i d i b i d i
bido	b i d o
bidobido	b i d o b i d o
bifi	b i f i
bika	b i k a
biki	b i k i
bilolo	b i l o l o
bilus	b i l u s
bira	b i ɾ a
biraro	b i ɾ a ɾ o
biri	b i ɾ i
biru	b i ɾ u
biu	b i u
bobai	b o b a i
bobaku	b o b a k u
bobane	b o b a n e
bobapo	b o b a p o
bobara	b o b a ɾ a
bobato	b o b a t o
bobatu	b o b a t u
bobenga	b o b e ŋ a
bobengka	b o b e ŋ k a
bobero	b o b e ɾ o
bobeto	b o b e t o
bobiki	b o b i k i
boboa	b o b o a
boboho	b o b o h o
boboresu	b o b o ɾ e s u
boboso	b o b o s o
bobudo	b o b u d o
bobufu	b o b u f u
bodiga	b o d i ɡ a
bofo	b o f o
bogaboga	b o ɡ a b o ɡ a
boho	b o h o
boi	b o i
boiboi	b o i b o i
boke	b o k e
boki	b o k i
boko	b o k o
boku	b o k u
bola	b o l a
bolebole	b o l e b o l e
boleu	b o l e u
boloasu	b o l o a s u
bolobolo	b o l o b o l o
bolohi	b o l o h i
boloi	b o l o i
bololo	b o l o l o
bolote	b o l o t e
bolutu	b o l u t u
bonci	b o ɲ c i
bongo	b o ŋ o
bonofo	b o n o f o
boraka	b o ɾ a k a
boresu	b o ɾ e s u
boriki	b o ɾ i k i
boro	b o ɾ o
borooli	b o ɾ o o l i
borua	b o ɾ u a
bose	b o s e
boso	b o s o
bosoke	b o s o k e
bosusu	b o s u s u
boteko	b o t e k o
boti	b o t i
botoboto	b o t o b o t o
botolino	b o t o l i n o
bua	b u a
buale	b u a l e
buano	b u a n o
buanona	b u a n o n a
buasau	b u a s a u
buau	b u a u
bubira	b u b i ɾ a
bubu	b u b u
budo	b u d o
budu	b u d u
bue	b u e
buebue	b u e b u e
buka	b u k a
buki	b u k i
bukubuku	b u k u b u k u
bula	b u l a
bulia	b u l i a
bungsalak	b u ŋ s a l a k
buo	b u o
burede	b u ɾ e d e
burhaso	b u ɾ h a s o
buro	b u ɾ o
buroburo	b u ɾ o b u ɾ o
buru	b u ɾ u
busa	b u s a
busengi	b u s e ŋ i
busu	b u s u
butu	b u t u
butue	b u t u e
buya	b u j a
cako	t͡ʃ a k o
cangkir	t͡ʃ a ŋ k i ɾ
cidako	t͡ʃ i d a k o
cipo	t͡ʃ i p o
coklat	t͡ʃ o k l a t
difutu	d i f u t u
dofola	d o f o l a
doko	d o k o
dokter	d o k t e ɾ
dolosi	d o l o s i
dongodongo	d o ŋ o d o ŋ o
dopola	d o p o l a
dowong	d o w o ŋ
dowora	d o w o ɾ a
duko	d u k o
dupa	d u p a
duto	d u t o
el	ʔ e l
elaela	e l a e l a
elel	ʔ e l ʔ e l
eli	ʔ e l i
elieli	ʔ e l i ʔ e l i
ember	e m b e ɾ
ena	e n a
faeda	f a e d aː
fael	f a e l
fahe	f a h e
fahefahe	f a h e f a h e
fai	f a i
faida	f a i d aː
faja	f a d͡ʒ a
fajaro	f a d͡ʒ a ɾ o
fajaru	f a d͡ʒ a ɾ u
faka	f a k a
fako	f a k o
fala	f a l a
falafala	f a l a f a l a
falalamo	f a l a l a m o
falalom	f a l a l o m
falamoi	f a l a m o i
fallamo	f a l l a m o
falo	f a l o
falofalo	f a l o f a l o
fandun	f a n d u n
fane	f a n e
faneti	f a n e t i
fangare	f a ŋ a ɾ e
fangoto	f a ŋ a t o
fanili	f a n i l i
fanyira	f a ɲ i ɾ a
fao	f a o
fara	f a ɾ a
farfuji	f a ɾ f u d͡ʒ i
fasik	f a s i k
fati	f a t i
fato	f a t o
fatu	f a t u
fea	f e a
fela	f e l a
feneti	f e n e t i
feno	f e n o
fero	f e ɾ o
festa	f e s t a
fetefete	f e t e f e t e
feto	f e t o
fifi	f i f i
fikafika	f i k a f i k a
fikir	f i k i ɾ
fiko	f i k o
filutu	f i l u t u
fini	f i n i
fira	f i ɾ a
firi	f i ɾ i
firman	f i ɾ m a n
fis	f i s
fiyau	f i j a u
fodi	f o d i
fofau	f o f a u
fofi	f o f i
fofoheka	f o f o h e k a
fofoki	f o f o k i
foforai	f o f o ɾ a i
fofuru	f o f u ɾ u
foheka	f o h e k a
foke	f o k e
fokifoki	f o k i f o k i
foloi	f o l o i
forai	f o ɾ a i
fores	f o ɾ e s
foriki	f o ɾ i k i
foro	f o ɾ o
forok	f o ɾ o k
fororo	f o ɾ o ɾ o
foto	f o t o
foturu	f o t u ɾ u
foufou	f o u f o u
fugu	f u ɡ u
fukafuka	f u k a f u k a
fulaja	f u l a d͡ʒ a
fuling	f u l i ŋ
fuma	f u m a
funana	f u n a n a
fuo	f u o
fuohate	f u o h a t e
furaga	f u ɾ a ɡ a
furasa	f u ɾ a s a
furu	f u ɾ u
futa	f u t a
futulobi	f u t u l o b i
gaha	ɡ a h a
gam	ɡ a m
gamu	ɡ a m u
gan	ɡ a n
gasi	ɡ a s i
geresi	ɡ e ɾ e s iː
gosora	ɡ o s o ɾ a
guum	ɡ u u m
guumi	ɡ u u m i
hito	h i t o
hohe	h o h e
ing	i ŋ
ingi	i ŋ i
iskolar	i s k o l a ɾ
jaga	d͡ʒ a ɡ a
jaha	d͡ʒ a h a
jingutu	d͡ʒ i ŋ u t u
jojo	d͡ʒ o d͡ʒ o
jongutu	d͡ʒ o ŋ u t u
joou	d͡ʒ oː u
jou	d͡ʒ oː u
kadatu	k a d a t u
kadatung	k a d a t u ŋ
kaitara	k a ʔ i t a ɾ a
kakus	k a k u s
kanang	k a n a ŋ
kanyigo	k a ɲ i ɡ o
kartas	k a ɾ t a s
kas	k a s
kaso	k a s o
kios	k i o s
kobori	k o b o ɾ i
kokahu	k o k a h u
kuraci	k u ɾ a t͡ʃ i
kurusi	k u ɾ u s iː
lako	l a k o
laku	l a k u
lefer	l e f e ɾ
lekaleka	l e k a l e k a
lele	l e l e
ligua	l i ɡ u a
lila	l i l a
listrik	l i s t ɾ i k
lofonita	l o f o n i t a
mai	m a i
malam	m a l a m
malo	m a l o
mancia	m a n t͡ʃ i a
mango	m a ŋ o
mia	m i a
mina	m i n a
miri	m i ɾ i
modiri	m o d i ɾ i
mokumoku	m o k u m o k u
musi	m u s i
nanasi	n a n a s i
nantaika	n a n t a ʔ i k a
nasi	n a s i
ngana	ŋ a n a
ngofa	ŋ o f a
ngofajaro	ŋ o f a d͡ʒ a ɾ o
ngofajaru	ŋ o f a d͡ʒ a ɾ u
ngofangare	ŋ o f a ŋ a ɾ e
ngon	ŋ o n
ngoni	ŋ o n i
ngoto	ŋ o t o
ngun	ŋ u n
ngunu	ŋ u n u
niscaya	n i s t͡ʃ a j a
nita	n i t a
nitaika	n i t a i k a
nunasi	n u n a s i
nyao	ɲ a o
ori	o ɾ i
oti	o t i
pamarenta	p a m a ɾ e n t a
papaa	p a p aː
pasi	p a s i
pesta	p e s t a
pete	p e t e
pilo	p i l o
piring	p i ɾ i ŋ
ponoso	p o n o s o
putra	p u t ɾ a
raai	ɾ a ʔ a i
raba	ɾ a b a
rabana	ɾ a b a n a
raca	ɾ a t͡ʃ a
radis	ɾ a d i s
raga	ɾ a ɡ a
ragerage	ɾ a ɡ e ɾ a ɡ e
rairai	ɾ a i ɾ a i
rajabau	ɾ a d͡ʒ a b a u
raka	ɾ a k a
raki	ɾ a k i
rako	ɾ a k o
raku	ɾ a k u
ram	ɾ a m
rambega	ɾ a m b e ɡ a
rambuta	ɾ a m b u t a
rangi	ɾ a ŋ i
rano	ɾ a n o
rantaka	ɾ a n t a k a
rapi	ɾ a p i
rapu	ɾ a p u
rararara	ɾ a ɾ a ɾ a ɾ a
raru	ɾ a ɾ u
rasai	ɾ a s a i
rato	ɾ a t o
rau	ɾ a u
rawu	ɾ a w u
rehe	ɾ e h e
rei	ɾ e i
reka	ɾ e k a
rengke	ɾ e ŋ k e
reno	ɾ e n o
reo	ɾ e o
repa	ɾ e p a
rete	ɾ e t e
ria	ɾ i a
riha	ɾ i h a
riki	ɾ i k i
rio	ɾ i o
ripo	ɾ i p o
riri	ɾ i ɾ i
rogi	ɾ o ɡ i
rogu	ɾ o ɡ u
rok	ɾ o k
roka	ɾ o k a
ronga	ɾ o ŋ a
rongge	ɾ o ŋ ɡ e
roraka	ɾ o ɾ a k a
rorako	ɾ o ɾ a k o
rorano	ɾ o ɾ a n o
rorasa	ɾ o ɾ a s a
rorebe	ɾ o ɾ e b e
roriha	ɾ o ɾ i h a
rorio	ɾ o ɾ i o
rorum	ɾ o ɾ u m u
rorumu	ɾ o ɾ u m u
roso	ɾ o s o
rotarota	ɾ o t a ɾ o t a
ruahe	ɾ u a h e
rube	ɾ u b e
ruci	ɾ u t͡ʃ i
rufu	ɾ u f u
rugi	ɾ u ɡ i
rugo	ɾ u ɡ o
ruheka	ɾ u h e k a
ruturutu	ɾ u t u ɾ u t u
sabab	s a b a b
sababu	s a b a b u
sabandar	s a b a n d a r
sabarara	s a b a ɾ a ɾ a
sabea	s a b e a
sabi	s a b i
sabua	s a b u a
sadu	s a d u
sagu	s a ɡ u
sagusagu	s a ɡ u s a ɡ u
sahada	s a h a d a
sahadat	s a h a d a t
sahasaha	s a h a s a h a
sahe	s a h e
sahinggasahingga	s a h i ŋ ŋ a s a h i ŋ ŋ a
sahu	s a h u
sai	s a i
saihu	s a i h u
saki	s a k i
sakisi	s a k i s iː
sako	s a k o
sala	s a l a
salafidi	s a l a f i d i
salaika	s a l a i k a
salak	s a l a k
salamadaji	s a l a m a d a d͡ʒ i
salese	s a l e s e
salimuli	s a l i m u l i
sama	s a m a
samasama	s a m a s a m a
sambiki	s a m b i k i
same	s a m e
sanang	s a n a ŋ
sandal	s a n d a l
sandrei	s a n d ɾ e i
sanga	s a ŋ a
sangkari	s a ŋ k a ɾ i
sangkola	s a ŋ k o l a
sangkole	s a ŋ k o l e
sangosango	s a ŋ o s a ŋ o
sangusangu	s a ŋ u s a ŋ u
sanoto	s a n o t o
sapi	s a p i
sara	s a ɾ a
saraa	s a ɾ a a
saragi	s a ɾ a ɡ i
saraweta	s a ɾ a w e t a
sarita	s a ɾ i t a
saro	s a ɾ o
sarosaro	s a ɾ o s a ɾ o
saru	s a ɾ u
sasa	s a s a
sasaranga	s a s a r a ŋ a
sasi	s a s i
sasu	s a s u
satanya	s a t a ɲ a
sataru	s a t a ɾ uː
satenga	s a t e ŋ a
satiru	s a t i ɾ u
sau	s a u
sauba	s a u b a
sawang	s a w a ŋ
saya	s a j a
se	s e
sedu	s e d u
seho	s e h o
seiklas	s e i k l a s
selo	s e l o
sema	s e m a
sena	s e n a
seng	s e ŋ
sepa	s e p a
setang	s e t a ŋ
seteru	s e t e ɾ uː
sewa	s e w a
sia	s i a
siafu	s i a f u
sianaro	s i a n a ɾ o
siasia	s i a s i a
siba	s i b a
sibinyafo	s i b i ɲ a f o
sibuk	s i b u k
sibusibu	s i b u s i b u
sidi	s i d i
sido	s i d o
sifo	s i f o
sifutu	s i f u t u
sigi	s i ɡ i
siham	s i h a m
sihisihi	s i h i s i h i
siho	s i h o
sikilwak	s i k i l w a k
sikola	s i k o l a
sikuda	s i k u d a
silagi	s i l a ɡ i
silet	s i l e t
siliba	s i l i b a
simamo	s i m a m o
singoro	s i ŋ o ɾ o
sinole	s i n o l e
sinsara	s i n s a ɾ a
sio	s i o
sirasira	s i ɾ a s i ɾ a
sirato	s i ɾ a t o
sirete	s i ɾ e t e
siru	s i ɾ u
sisi	s i s i
sita	s i t a
sitingki	s i t i ŋ k i
siu	s i u
siusiu	s i u s i u
skola	s k o l a
soanyie	s o a ɲ i e
soasoa	s o a s o a
sobat	s o b a t
sodidi	s o d i d i
sodihi	s o d i h i
soe	s o e
sofi	s o f i
sofu	s o f u
sofutu	s o f u t u
sogili	s o ɡ i l i
sogo	s o ɡ o
soha	s o h a
sohi	s o h i
soki	s o k i
soloba	s o l o b a
solodadu	s o l o d a d u
sololo	s o l o l o
som	s o m
soma	s o m a
sompo	s o m p o
sonanga	s o n a ŋ a
sone	s o n e
songara	s o ŋ a ɾ a
sonoto	s o n o t o
sonyiha	s o ɲ i h a
sopa	s o p a
sopi	s o p i
sorang	s o ɾ a ŋ
sorangi	s o ɾ a ŋ i
sore	s o ɾ e
soro	s o ɾ o
sorogogo	s o ɾ o ɡ o ɡ o
soropa	s o ɾ o p a
soru	s o ɾ u
sosadu	s o s a d u
sosaha	s o s a h a
sosala	s o s a l a
sosara	s o s a ɾ a
sose	s o s e
soseba	s o s e b a
sosere	s o s e ɾ e
sosifo	s o s i f o
soso	s o s o
sosolo	s o s o l o
sosoma	s o s o m a
sosone	s o s o n e
sosonita	s o s o n i t a
sosonoto	s o s o n o t o
sosoro	s o s o ɾ o
sosoru	s o s o ɾ u
sosua	s o s u a
sosudo	s o s u d o
sosugo	s o s u ɡ o
sousou	s o u s o u
souyu	s o u y u
sowange	s o w a ŋ e
soweko	s o w e k o
sowohi	s o w o h i
spit	s p i t
stager	s t a ɡ e ɾ
stambul	s t a m b u l
sua	s u a
suak	s u a k
suasua	s u a s u a
suba	s u b a
subasuba	s u b a s u b a
subu	s u b u
sufinga	s u f i ŋ a
sugo	s u ɡ o
sui	s u i
sukare	s u k a ɾ e
suku	s u k u
sukur	s u k u ɾ
sule	s u l e
sulesule	s u l e s u l e
suling	s u l i ŋ
sume	s u m e
sumesume	s u m e s u m e
sumpi	s u m p i
suna	s u n a
sung	s u ŋ
sungi	s u ŋ i
suo	s u o
supi	s u p i
supu	s u p u
surat	s u ɾ a t
suro	s u ɾ o
surosuro	s u ɾ o s u ɾ o
surugogo	s u ɾ u ɡ o ɡ o
surumpeta	s u ɾ u m p e t a
susa	s u s a
susai	s u s a i
susua	s u s u a
susun	s u s u n
susuramo	s u s u r a m o
sutara	s u t a ɾ aː
suwisa	s u w i s a
taadim	t a a d i m
tabadiku	t a b a d i k u
tabako	t a b a k o
tabalai	t a b a l a i
tabi	t a b i
tabisasu	t a b i s a s u
tabo	t a b o
tabu	t a b u
tada	t a d a
tadu	t a d u
tafi	t a f i
tafu	t a f u
taga	t a ɡ a
tagalinga	t a ɡ a l i ŋ a
tagalngana	t a ɡ a l ŋ a n a
tagalolo	t a ɡ a l o l o
tagetage	t a ɡ e t a ɡ e
tago	t a ɡ o
tahi	t a h i
taho	t a h o
tahu	t a h u
tahun	t a h u n
tai	t a i
taja	t a d͡ʒ a
takome	t a k o m e
takua	t a k u a
talabu	t a l a b u
talaga	t a l a ɡ a
talaki	t a l a k i
talam	t a l a m
talat	t a l a t
tale	t a l e
talibagu	t a l i b a ɡ u
tamate	t a m a t e
tambaga	t a m b a ɡ a
tambaru	t a m b a ɾ u
tamo	t a m o
tana	t a n a
tango	t a ŋ o
taniru	t a n i ɾ u
tapa	t a p a
tapak	t a p a k
tapar	t a p a ɾ
tapaya	t a p a y a
tarate	t a ɾ a t e
taratib	t a ɾ a t i b
tare	t a ɾ e
tarigu	t a ɾ i ɡ u
tarima	t a ɾ i m a
taropo	t a ɾ o p o
tarpopo	t a ɾ p o p o
tarupa	t a ɾ u p a
tarusi	t a ɾ u s i
tas	t a s
tasa	t a s a
tasmin	t a s m i n
tata	t a t a
tatabako	t a t a b a k o
tatabola	t a t a b o l a
tatabuan	t a t a b u a n
tatabuang	t a t a b u a ŋ
tatameri	t a t a m e ɾ i
tatapa	t a t a p a
tato	t a t o
tau	t a u
tauja	t a u d͡ʒ a
tautau	t a u t a u
tawasela	t a w a s e l a
tebu	t e b u
tede	t e d e
tee	t eː
tego	t e ɡ o
tegotego	t e ɡ o t e ɡ o
tela	t e l a
telefon	t e l e f o n
temo	t e m o
teo	t e o
teoteo	t e o t e o
tera	t e ɾ a
teru	t e ɾ u
tes	t e s
tetateta	t e t a t e t a
tete	t e t e
tetu	t e t u
tiadi	t i a d i
tiana	t i a n a
tiba	t i b a
tibako	t i b a k o
tibi	t i b i
tibitibi	t i b i t i b i
tibo	t i b o
tidalo	t i d a l o
tide	t i d e
tifa	t i f a
tifo	t i f o
tigalo	t i ɡ a l o
tigo	t i ɡ o
tika	t i k a
tike	t i k e
tiki	t i k i
tila	t i l a
tilatila	t i l a t i l a
tim	t i m
timau	t i m a u
timu	t i m u
tinggalu	t i ŋ ɡ a l u
tingi	t i ŋ i
tino	t i n o
tiro	t i ɾ o
titi	t i t i
toa	t o a
toca	t o t͡ʃ a
todoha	t o d o h a
toduku	t o d u k u
tofa	t o f a
tofahe	t o f a h e
tofan	t o f a n
tofangi	t o f a ŋ i
tofo	t o f o
tofoma	t o f o m a
tofore	t o f o r e
tofu	t o f u
tofuko	t o f u k o
togu	t o ɡ u
tohe	t o h e
toho	t o h o
tohoko	t o h o k o
tohoso	t o h o s o
tokalo	t o k a l o
toki	t o k i
toko	t o k o
tolabane	t o l a b a n e
tolabutu	t o l a b u t u
tolagumi	t o l a ɡ u m i
tolofuku	t o l o f u k u
tolole	t o l o l e
tolu	t o l u
toma	t o m a
tometome	t o m e t o m e
tomo	t o m o
ton	t o n
toniru	t o n i ɾ u
topa	t o p a
topo	t o p o
torara	t o ɾ a ɾ a
torari	t o ɾ a ɾ i
tore	t o ɾ e
toreba	t o ɾ e b a
tori	t o ɾ i
torifa	t o ɾ i f a
torifu	t o ɾ i f u
torihi	t o ɾ i h i
toropo	t o ɾ o p o
toru	t o ɾ u
totara	t o t a ɾ a
totea	t o t e a
toteo	t o t e o
toti	t o t i
totifa	t o t i f a
toto	t o t o
totofuko	t o t o f u k o
totofuku	t o t o f u k u
touko	t o u k o
touru	t o u ɾ u
towongi	t o w o ŋ i
trali	t ɾ a l i
trek	t ɾ e k
tuala	t u a l a
tuba	t u b a
tubele	t u b e l e
tubo	t u b o
tubu	t u b u
tubutubu	t u b u t u b u
tuda	t u d a
tudu	t u d u
tuduku	t u d u k u
tufa	t u f a
tufang	t u f a ŋ
tufu	t u f u
tuga	t u ɡ a
tugubadi	t u ɡ u b a d i
tuguhera	t u ɡ u h e ɾ a
tugunyira	t u ɡ u ɲ i ɾ a
tugurofu	t u ɡ u ɾ o f u
tuku	t u k u
tum	t u m
tumbak	t u m b a k
tumrafu	t u m ɾ a f u
tumu	t u m u
tumurafu	t u m u ɾ a f u
tungi	t u ŋ i
tuo	t u o
turaba	t u ɾ a b a
turege	t u ɾ e ɡ e
turi	t u ɾ i
turu	t u r u
turupopo	t u r u p o p o
tutang	t u t a ŋ
tutango	t u t a ŋ o
tuteba	t u t e b a
tutu	t u t u
ua	u a
ube	u b e
uboubo	u b o u b o
uci	ʔ u t͡ʃ i
uda	u d a
udara	u d a ɾ a
udi	u d i
ufa	u f a
ufe	u f e
ugauga	u ɡ a u ɡ a
uge	u ɡ e
uhi	u h i
uju	u d͡ʒ u
ujuuju	u d͡ʒ u ʔ u d͡ʒ u
uku	u k u
ula	u l a
ulu	u l u
ume	u m e
umur	u m u ɾ
una	u n a
upa	u p a
upas	u p a s
uri	u ɾ i
uru	u ɾ u
use	ʔ u s e
usipera	u s i p e ɾ a
usu	u s u
usus	u s u s
uto	u t o
utu	u t u
utusan	u t u s a n
wa	w a
wadaka	w a d a k a
waho	w a h o
wakowako	w a k o w a k o
wale	w a l e
walirang	w a l i ɾ a ŋ
walu	w a l u
wange	w a ŋ e
wangu	w a ŋ u
wari	w a ɾ i
waring	w a ɾ i ŋ
waringi	w a ɾ i ŋ i
warna	w a ɾ n a
warong	w a ɾ u ŋ
wase	w a s e
wasu	w a s u
wati	w a t i
weku	w e k u
wele	w e l e
widu	w i d u
wigo	w i ɡ o
wigowigo	w i ɡ o w i ɡ o
wiguwigu	w i ɡ u w i ɡ u
wiji	w i d͡ʒ i
wilu	w i l u
wiro	w i ɾ o
woha	w o h a
wohe	w o h e
woka	w o k a
wokawoka	w o k a w o k a
wola	w o l a
wolseika	w o l s e i k a
woma	w o m a
wonge	w o ŋ e
wongewonge	w o ŋ e w o ŋ e
wora	w o ɾ a
woro	w o ɾ o
wosa	w o s a
wosawosa	w o s a w o s a
woto	w o t o
wotu	w o t u
woworo	w o w o ɾ o
wudi	w u d i
wuhi	w u h i
wuna	w u n a
wutu	w u t u
ya	j a
yaara	j aː ɾ a
yabayaba	j a b a j a b a
yaha	j a h a
yahu	j a h u
yai	j a i
yang	j a ŋ
yapa	j a p a
yare	j a ɾ e
yaru	j a ɾ u
yaya	j a j a
yobo	j o b o
yogo	j o ɡ o
yogoyogo	y o ɡ o y o ɡ o
yon	j o n
yora	j o ɾ a
yoyo	j o j o
yoyoga	j o j o ɡ a
yoyogo	j o j o ɡ o
yoyolidara	j o j o l i d a ɾ a
yufa	j u f a
