A	ə
haʻalele	h ɐ ʔ ə l ɛ l ɛ
haʻalulu	h ɐ ʔ ə l u l u
hāʻāpuka	h aː ʔ aː p u k ə
hāʻawe	h aː ʔ aː ɐ ʋ e
hāʻawi	h aː ʔ ɐ ʋ i
haʻawina	h ɐ ʔ ə ʋ i n ə
haʻihaʻi	h ə ʔ i h ɐ ʔ i
haʻiinoa	h ə ʔ i i n o w ə
Haʻikū	h ɐ ʔ i k uː
haʻina	h ə ʔ i n ə
haʻuki	h ə ʔ u t i
haʻupoho	h ɐ ʔ u p o h o
hea	h ɛ j ə
heahea	h ɛ j ə h ɛ j ə
Healani	h ɛ j ə l ɐ n i
Hebera	h ɛ p ɛ l ə
Heberona	h ɛ p ɛ l o n ə
heheʻe	h ɛ h ɛ ʔ ɛ
heihei	h e j h ɛ j
hekehi	h ɛ k ɛ h i
Hekekia	h ɛ k ɛ t i j ə
hēkī	h eː t iː
helahela	h ɛ l ə h ɛ l ə
hele	h ɛ l ɛ
heleāiʻa	h ɛ l ɛ j aː i ʔ ə
heleāwai	h ɛ l ɛ j aː ʋ ɐ j
heleāwai	h ɛ l ɛ j aː ʋ ɛ j
Helena	h ɛ l ɛ n ə
Helene	h ɛ l ɛ n ɛ
Heleʻekela	h e l e ʔ ɛ k ɛ l ə
helo	h ɛ l o
helu	h ɛ l u
heluhelu	h ɛ l u h ɛ l u
hema	h ɛ m ə
hemahema	h ɛ m ə h ɛ m ə
hemolele	h e m o l ɛ l ɛ
hene	h ɛ n ɛ
henehene	h ɛ n ɛ h ɛ n ɛ
Henelē	h e n ɛ l eː
henua	h e n u w ə
heo	h ɛ j o
hepa	h ɛ p ə
heu	h ɛ w
hewa	h ɛ ʋ ə
Hezekia	h ɛ k ɛ t i j ə
heʻe	h ɛ ʔ ɛ
hiamoe	h i j ə m o w e
hihiawai	h i h i j ə ʋ ɐ j
hihiawai	h i h i j ə ʋ ɛ j
hihio	h i h i j o
hikaluhi	h i k ə l u h i
hiki	h i t i
hikiāloa	h i t i j aː l o w ə
hikina	h i t i n ə
hīkiʻi	h iː t i ʔ i
hilinaʻi	h i l i n ɐ ʔ i
hīmeni	h iː m ɛ n i
hina	h i n ə
Hina	h i n ə
hinahina	h i n ə h i n ə
hinakā	h i n ə k aː
Hinaliʻi	h i n ə l i ʔ i
hīnano	h iː n ɐ n o
hīnaʻi	h iː n ɐ ʔ i
hio	h i j o
hiō	h i j oː
hipa	h i p ə
hiu	h j u
hiwa	h i ʋ ə
Hiʻiaka	h i ʔ i j ɐ k ə
Hiʻilani	h i ʔ i l ɐ n i
hiʻohiʻona	h i ʔ o h i ʔ o n ə
hiʻona	h i ʔ o n ə
hoa	h o w ə
hoai	h o w ɐ j
hoai	h o w ɛ j
hoakipa	h o w ə t i p ə
hoana	h o w ɐ n ə
hoe	h o w e
hoehoe	h o w e h o w e
hohoki	h o h o t i
hoikiuna	h o̯ i t j u n ə
hoki	h o t i
hokua	h o k u w ə
hōkūhele	h oː k uː h ɛ l ɛ
Hōkūlani	h oː k uː l ɐ n i
Hōkūloa	h oː k uː l o w ə
hōkūnaʻi	h oː k uː n ɐ ʔ i
Hōkūʻula	h oː k uː ʔ u l ə
hola	h o l ə
Hōlani	h oː l ɐ n i
holoāiʻa	h o l o w aː i ʔ ə
holoholona	h o l o h o l o n ə
hōloʻa	h oː l o ʔ ə
Honokaona	h o n o k ɐ o̯ n ə
honua	h o n u w ə
hopena	h o p ɛ n ə
hou	h o w
hōʻae	h oː ʔ ɐ e̯
hoʻāhiahi	h o ʔ aː h i j ɐ h i
hōʻai	h oː ʔ ɐ j
hōʻai	h oː ʔ ɛ j
hōʻaiā	h oː ʔ ɐ j j aː
hōʻaiā	h oː ʔ ɛ j j aː
hōʻaiʻē	h oː ʔ ɐ j ʔ eː
hōʻaiʻē	h oː ʔ ɛ j ʔ eː
hōʻaka	h oː ʔ ɐ k ə
hōʻakaʻaka	h oː ʔ ɐ k ə ʔ ɐ k ə
hoʻākoakoa	h o ʔ aː k o w ə k o w ə
hoʻākua	h o ʔ aː k u w ə
hoʻāla	h o ʔ ɐ l ə
hōʻalo	h oː ʔ ɐ l o
hōʻano	h oː ʔ ɐ n o
hōʻaumoe	h oː ʔ ɐ w m o w e
hōʻaumoe	h oː ʔ ɔ w m o w e
hōʻauʻau	h oː ʔ ɐ w ʔ ɐ w
hōʻauʻau	h oː ʔ ɔ w ʔ ɔ w
hoʻaʻā	h o ʔ ə ʔ aː
hōʻelemakule	h oː ʔ ɛ l ɛ m ə k u l e
hoʻohae	h o ʔ o h ɐ e̯
hoʻohaku	h o ʔ o h ɐ k u
hoʻohala	h o ʔ o h ɐ l ə
hoʻohalahala	h o ʔ o h ɐ l ə h ɐ l ə
hoʻohālāwai	h o ʔ o h aː l aː ʋ ɐ j
hoʻohālāwai	h o ʔ o h aː l aː ʋ ɛ j
hoʻohāliu	h o ʔ o h aː l j u
hoʻohana	h o ʔ o h ɐ n ə
hoʻohanini	h o ʔ o h ə n i n i
hoʻohanohano	h o ʔ o h ɐ n o h ɐ n o
hoʻohaole	h o ʔ o h ɐ o̯ l e
hoʻohaʻalulu	h o ʔ o h ə ʔ ə l u l u
hoʻohele	h o ʔ o h ɛ l ɛ
hoʻohelehele	h o ʔ o h e l ɛ h ɛ l ɛ
hoʻoheu	h o ʔ o h ɛ w
hoʻoheʻe	h o ʔ o h ɛ ʔ ɛ
hoʻohina	h o ʔ o h i n ə
hoʻohui	h o ʔ o h u w i
hōʻoia	h oː ʔ o̯ i j ə
hoʻoikaika	h o ʔ o w i k ɐ j k ə
hoʻoikaika	h o ʔ o w i k ɛ j k ə
hoʻoilo	h o ʔ o w i l o
hoʻokae	h o ʔ o k ɐ e̯
hoʻokahua	h o ʔ o k ə h u w ə
hoʻokala	h o ʔ o k ɐ l ə
hoʻokali	h o ʔ o k ɐ l i
hoʻokamaliʻi	h o ʔ o k ɐ m ə l i ʔ i
hoʻokani	h o ʔ o k ɐ n i
hoʻokaʻa	h o ʔ o k ɐ ʔ ə
hoʻokaʻawale	h o ʔ o k ɐ ʔ ə ʋ ɐ l e
hoʻokaʻukaʻu	h o ʔ o k ɐ ʔ u k ɐ ʔ u
hoʻokipa	h o ʔ o t i p ə
hoʻokiʻekiʻe	h o ʔ o t i ʔ e t i ʔ e
hoʻokolohua	h o ʔ o k o l o h u w ə
hoʻokua	h o ʔ o k u w ə
hoʻokuaʻāina	h o ʔ o k u w ə ʔ aː j n ə
hoʻōla	h o ʔ oː l ə
hoʻolaka	h o ʔ o l ɐ k ə
hoʻolaukōnā	h o ʔ o l ɐ w k oː n aː
hoʻolaukōnā	h o ʔ o l ɔ w k oː n aː
hoʻolaulā	h o ʔ o l ɐ w l aː
hoʻolaulā	h o ʔ o l ɔ w l aː
hoʻolawe	h o ʔ o l ɐ ʋ e
hoʻolei	h o ʔ o l ɛ j
Hoʻoleilana	h o ʔ o l e j l ɐ n ə
hoʻolimalima	h o ʔ o l i m ə l i m ə
hoʻomaha	h o ʔ o m ɐ h ə
hoʻomaikaʻi	h o ʔ o m ɐ j k ɐ ʔ i
hoʻomaikaʻi	h o ʔ o m ɛ j k ɐ ʔ i
hoʻomaka	h o ʔ o m ɐ k ə
hoʻomakaʻu	h o ʔ o m ə k ɐ ʔ u
hoʻomake	h o ʔ o m ɐ k e
hoʻomākeʻaka	h o ʔ o m aː k e ʔ ɐ k ə
hoʻomakua	h o ʔ o m ə k u w ə
hoʻomale	h o ʔ o m ɐ l e
hoʻomalihini	h o ʔ o m ɐ l i h i n i
hoʻomalolo	h o ʔ o m ə l o l o
hoʻomana	h o ʔ o m ɐ n ə
hoʻomanaʻo	h o ʔ o m ə n ɐ ʔ o
hoʻomanō	h o ʔ o m ə n oː
hoʻomaopopo	h o ʔ o m ɐ o̯ p o p o
hoʻomaʻalahi	h o ʔ o m ɐ ʔ ə l ɐ h i
hoʻomaʻamaʻa	h o ʔ o m ɐ ʔ ə m ɐ ʔ ə
hoʻomaʻau	h o ʔ o m ə ʔ ɐ w
hoʻomaʻau	h o ʔ o m ə ʔ ɔ w
hoʻomaʻemaʻe	h o ʔ o m ɐ ʔ e m ɐ ʔ e
hoʻomaʻi	h o ʔ o m ɐ ʔ i
hoʻomāʻona	h o ʔ o m aː ʔ o n ə
hoʻomikanele	h o ʔ o m i k ə n ɛ l ɛ
hoʻomoana	h o ʔ o m o w ɐ n ə
hoʻomoʻa	h o ʔ o m o ʔ ə
hōʻona	h oː ʔ o n ə
hoʻōnaha	h o ʔ oː n ɐ h ə
hoʻonalu	h o ʔ o n ɐ l u
hoʻonani	h o ʔ o n ɐ n i
hoʻonaʻauao	h o ʔ o n ə ʔ ɐ w w ɐ o̯
hoʻonaʻauao	h o ʔ o n ə ʔ ɔ w w ɐ o̯
hoʻonaʻaupō	h o ʔ o n ə ʔ ɐ w p oː
hoʻonaʻaupō	h o ʔ o n ə ʔ ɔ w p oː
hōʻonaʻona	h oː ʔ o n ə ʔ o n ə
hoʻōnea	h o ʔ oː n ɛ j ə
hoʻoneo	n ɛ j o
hoʻoneʻe	h o ʔ o n ɛ ʔ ɛ
hoʻonuha	h o ʔ o n u h ə
hoʻonui	h o ʔ o n u w i
hoʻonuinui	h o ʔ o n u w i n u w i
hoʻopae	h o ʔ o p ɐ e̯
hoʻopalaka	h o ʔ o p ə l ɐ k ə
hoʻopālua	h o ʔ o p aː l u w ə
hoʻopau	h o ʔ o p ɐ w
hoʻopau	h o ʔ o p ɔ w
hoʻopāweo	h o ʔ o p aː ʋ ɛ j o
hoʻopaʻa	h o ʔ o p ɐ ʔ ə
hoʻopaʻahao	h o ʔ o p ɐ ʔ ə h ɐ o̯
hoʻopaʻanaʻau	h o ʔ o p ɐ ʔ ə n ə ʔ ɐ w
hoʻopaʻanaʻau	h o ʔ o p ɐ ʔ ə n ə ʔ ɔ w
hoʻopaʻapū	h o ʔ o p ɐ ʔ ə p uː
hoʻopelapela	h o ʔ o p ɛ l ə p ɛ l ə
hoʻopilikia	h o ʔ o p i l i t i j ə
hoʻopio	h o ʔ o p i j o
hoʻopoe	h o ʔ o p o w e
hoʻopōhaku	h o ʔ o p oː h ɐ k u
hoʻopōʻai	h o ʔ o p oː ʔ ɐ j
hoʻopōʻai	h o ʔ o p oː ʔ ɛ j
hoʻopuka	h o ʔ o p u k ə
hoʻouluhua	h o ʔ o u l u h u w ə
hoʻowahine	h o ʔ o ʋ ə h i n e
hoʻowela	h o ʔ o ʋ ɛ l ə
hoʻowīwī	h o ʔ o ʋ iː ʋ iː
hoʻoʻulaʻula	h o ʔ o ʔ u l ə ʔ u l ə
hua	h u w ə
huakaʻi	h u w ə k ɐ ʔ i
huakō	h u w ə k oː
huaʻōlelo	h u w ə ʔ oː l ɛ l o
hue	h u w e
hui	h u w i
huila	h u w i l ə
huinahā	h u w i n ə h aː
huinakolu	h u w i n ə k o l u
huki	h u t i
hukialewa	h u t i j ə l ɛ ʋ ə
hula	h u l ə
huliāmahi	h u l i j aː m ɐ h i
hulina	h u l i n ə
Hulinea	h u l i n ɛ j ə
humuhumunukunukuāpuaʻa	h u m u h u m u n u k u n u k u w aː p u w ɐ ʔ ə
huna	h u n ə
hunahuna	h u n ə h u n ə
Hunakalia	h u n ə k ə l i j ə
huʻa	h u ʔ ə
huʻahuʻa	h u ʔ ə h u ʔ ə
ia	i j ə
iā	i j aː
iākala	i j aː k ɐ l ə
Iakopa	i j ə k o p ə
Iakopo	i j ə k o p o
ianakama	i j ɐ n ə k ɐ m ə
Ianuali	i j ə n u w ɐ l i
Iapa	i j ɐ p ə
Iāpana	i j aː p ɐ n ə
iaʻu	i j ɐ ʔ u
Ielukalema	i e l u k ə l ɛ m ə
Iemene	i ɛ m ɛ n ɛ
Ieremia	i e l e m i j ə
ihoiho	i h o w i h o
ihola	i h o l ə
ihona	i h o n ə
Ikaika	i k ɐ j k ə
Ikaika	i k ɛ j k ə
ikaika	i k ɐ j k ə
ikaika	i k ɛ j k ə
ikehu	i k ɛ h u
ikiiki	i t i i t i
ilelo	i l ɛ l o
ilina	i l i n ə
Iloano	i l o w ɐ n o
inoa	i n o w ə
inumia	i n u m i j ə
Ioane	i j o w ɐ n e
Ioba	i j o p ə
Iokepa	i j o k ɛ p ə
Iona	i j o n ə
Ioredāne	i j o l e k aː n e
Ioʻela	i j o ʔ ɛ l ə
Iuda	j u k ə
Iulai	j u l ɐ j
Iulai	j u l ɛ j
Iune	j u n e
iwa	i ʋ ə
iwakālua	i ʋ ə k aː l u w ə
iwi	i ʋ i
iʻa	i ʔ ə
ka	k ə
kaena	k ɐ e̯ n ə
kaha	k ɐ h ə
kahahānai	k ə h ə h aː n ɐ j
kahahānai	k ə h ə h aː n ɛ j
kahakaha	k ə h ə k ɐ h ə
kahakai	k ə h ə k ɐ j
kahakai	k ə h ə k ɛ j
kahakō	k ə h ə k oː
Kahalaomāpuana	k ə h ɐ l ə o m aː p u w ɐ n ə
Kahale	k ə h ɐ l e
Kahananui	k ə h ɐ n ə n u w i
kahaone	k ɐ h ə o n e
kahawai	k ɐ h ə ʋ ɐ j
kahawai	k ɐ h ə ʋ ɛ j
Kahaʻi	k ə h ɐ ʔ i
kahe	k ɐ h e
kāhea	k aː h ɛ j ə
Kahealani	k ə h ɛ j ə l ɐ n i
Kahele	k ə h ɛ l ɛ
kāhewa	k aː h ɛ ʋ ə
kahi	k ɐ h i
Kahiki	k ə h i t i
kahiki	k ə h i t i
kahiko	k ə h i k o
kahikolu	k ɐ h i k o l u
Kahoʻolawe	k ə h o ʔ o l ɐ ʋ e
kahu	k ɐ h u
kahua	k ə h u w ə
kahuapaʻa	k ə h u w ə p ɐ ʔ ə
Kahue	k ə h u w e
Kahula	k ə h u l ə
Kahului	k ə h u l u w i
kahuna	k ə h u n ə
kai	k ɐ j
kai	k ɛ j
Kai	k ɐ j
Kai	k ɛ j
kaikaina	k ə j k ɐ j n ə
kaikaina	k ə j k ɛ j n ə
kaikamahine	k ɐ j k ə m ə h i n e
kaikamahine	k ɛ j k ə m ə h i n e
Kaikana	k ə j k ɐ n ə
kaikoʻeke	k ɐ j k o ʔ ɛ k ɛ
kaikoʻeke	k ɛ j k o ʔ ɛ k ɛ
kaikuahine	k ɐ j k u w ə h i n e
kaikuahine	k ɛ j k u w ə h i n e
kaikuaʻana	k ɐ j k u w ə ʔ ɐ n ə
kaikuaʻana	k ɛ j k u w ə ʔ ɐ n ə
kaikunāne	k ɐ j k u n aː n e
kaikunāne	k ɛ j k u n aː n e
Kaila	k ɐ j l ə
Kaila	k ɛ j l ə
Kailani	k ə j l ɐ n i
Kaimana	k ə j m ɐ n ə
kaimana	k ə j m ɐ n ə
kaina	k ɐ j n ə
kaina	k ɛ j n ə
Kainalu	k ə j n ɐ l u
Kainoa	k ə j n o w ə
Kainui	k ə j n u w i
kainui	k ə j n u w i
kaioke	k ə j j o k e
Kaipo	k ɐ j p o
Kaipo	k ɛ j p o
Kaiwi	k ɐ j ʋ i
Kaiwi	k ɛ j ʋ i
kaka	k ɐ k ə
Kaka	k ɐ k ə
kakahiaka	k ɐ k ə h i j ɐ k ə
Kakalameko	k ə k ə l ə m ɛ k o
Kakalia	k ə k ə l i j ə
Kakalina	k ə k ə l i n ə
kakalina	k ə k ə l i n ə
kākau	k aː k ɐ w
kākau	k aː k ɔ w
kākela	k aː k ɛ l ə
kāki	k aː t i
kākini	k aː t i n i
kākou	k aː k o w
kala	k ɐ l ə
Kala	k ɐ l ə
Kalā	k ə l aː
Kalai	k ə l ɐ j
Kalai	k ə l ɛ j
kālai	k aː l ɐ j
kālai	k aː l ɛ j
Kalaikona	k ə l ə j k o n ə
kalaima	k ə l ɐ j m ə
kalaima	k ə l ɛ j m ə
kalaina	k ə l ɐ j n ə
kalaina	k ə l ɛ j n ə
kalaiwa	k ə l ɐ j ʋ ə
kalaiwa	k ə l ɛ j ʋ ə
kalaka	k ə l ɐ k ə
kalakala	k ɐ l ə k ɐ l ə
Kalalaina	k ə l ə l ɐ j n ə
Kalalaina	k ə l ə l ɛ j n ə
Kalama	k ə l ɐ m ə
kalame	k ə l ɐ m e
Kalani	k ə l ɐ n i
kalapuna	k ə l ə p u n ə
Kalawaiʻa	k ɐ l ə ʋ ɐ j ʔ ə
Kalawaiʻa	k ɐ l ə ʋ ɛ j ʔ ə
Kalaʻi	k ə l ɐ ʔ i
Kale	k ɐ l e
Kalehua	k ɐ l e h u w ə
Kalei	k ə l ɛ j
Kaleialoha	k ə l ɛ j j ə l o h ə
Kaleikaumaka	k ə l ɛ j k ə w m ɐ k ə
Kaleiokalani	k ə l ɛ j j o k ə l ɐ n i
kālele	k aː l ɛ l ɛ
kālelei	k aː l ɛ l ɛ j
Kalema	k ə l ɛ m ə
Kalena	k ə l ɛ n ə
kalenekalio	k ə l e n e k ə l i j o
Kaleo	k ə l ɛ j o
Kaleolani	k ə l ɛ j o l ɐ n i
kālepa	k aː l ɛ p ə
Kaleponi	k ə l e p o n i
kali	k ɐ l i
Kalia	k ə l i j ə
Kalikimaka	k ə l i t i m ɐ k ə
Kaliko	k ə l i k o
Kalili	k ə l i l i
kalima	k ə l i m ə
kalipuna	k ə l i p u n ə
Kaliʻa	k ə l i ʔ ə
kalo	k ɐ l o
Kalolaina	k ə l o l ɐ j n ə
Kalolaina	k ə l o l ɛ j n ə
kaloline	k ə l o l i n e
Kālona	k aː l o n ə
Kalua	k ə l u w ə
kālua	k aː l u w ə
kālualua	k aː l u w ə l u w ə
kalukalu	k ɐ l u k ɐ l u
kama	k ɐ m ə
Kama	k ɐ m ə
Kamabodia	k ə m ə p o t i j ə
Kamāhana	k ɐ m aː h ɐ n ə
Kamahiʻai	k ə m ɐ h i ʔ ɐ j
Kamahiʻai	k ə m ɐ h i ʔ ɛ j
Kamaile	k ə m ɐ j l e
Kamaile	k ə m ɛ j l e
Kamaka	k ə m ɐ k ə
Kamaki	k ə m ɐ t i
kamakuaka	k ɐ m ə k u w ɐ k ə
Kamala	k ə m ɐ l ə
Kamalani	k ə m ə l ɐ n i
Kamalei	k ə m ə l ɛ j
kamaliʻi	k ɐ m ə l i ʔ i
kamani	k ə m ɐ n i
Kamapuaʻa	k ɐ m ə p u w ɐ ʔ ə
kāmaʻa	k aː m ɐ ʔ ə
kamaʻāina	k ɐ m ə ʔ aː j n ə
Kameāloha	k ə m e j aː l o h ə
Kamehameha	k ə m ɛ h ə m ɛ h ə
kamepiula	k ə m e p j u l ə
kamepuila	k ɐ m e p u w i l ə
Kamila	k ə m i l ə
Kamoʻoalewa	k ə m o ʔ o w ə l ɛ ʋ ə
kāna	k aː n ə
kanaka	k ə n ɐ k ə
Kanakā	k ə n ə k aː
Kanaloa	k ɐ n ə l o w ə
kanaluna	k ɐ n ə l u n ə
Kanani	k ə n ɐ n i
Kanapela	k ə n ə p ɛ l ə
kanapī	k ə n ə p iː
kānāwai	k aː n aː ʋ ɐ j
kānāwai	k aː n aː ʋ ɛ j
Kanekaka	k ə n e k ɐ k ə
kani	k ɐ n i
Kanikau	k ɐ n i k ɐ w
Kanikau	k ɐ n i k ɔ w
kanikau	k ɐ n i k ɐ w
kanikau	k ɐ n i k ɔ w
Kanimeki	k ə n i m ɛ t i
Kanoa	k ə n o w ə
Kanoelani	k ə n o w e l ɐ n i
kao	k ɐ o̯
Kaomaʻaikū	k ə o̯ m ə ʔ ə j k uː
kaona	k ɐ o̯ n ə
kapa	k ɐ p ə
Kapalakiko	k ə p ə l ə t i k o
Kapalua	k ə p ə l u w ə
Kapeka	k ə p ɛ k ə
Kāpena	k aː p ɛ n ə
kāpena	k aː p ɛ n ə
Kaperenauma	k ə p e l e n ɐ w m ə
Kaperenauma	k ə p e l e n ɔ w m ə
Kapika	k ə p i k ə
kapikala	k ɐ p i k ɐ l ə
Kapiʻolani	k ə p i ʔ o l ɐ n i
Kapono	k ə p o n o
Kapua	k ə p u w ə
kapuahi	k ɐ p u w ɐ h i
Kapule	k ə p u l e
Katala	k ə k ɐ l ə
kau	k ɐ w
kau	k ɔ w
kāu	k aː w
kaua	k ɐ w w ə
