𐌀	a
𐌀𐌍𐌉𐌀𐌗𐌄𐌑	a n i a χ e z
𐌀𐌏𐌖𐌌𐌉𐌂𐌀	a θ u m i c a
𐌀𐌏𐌖𐌌𐌉𐌂𐌔	a θ u m i c s
𐌀𐌐𐌀	ɑ p ə
𐌀𐌐𐌉	i p a
𐌀𐌐𐌉𐌀𐌍𐌀	a p i a n a
𐌀𐌐𐌉𐌓𐌄	a p i r e
𐌀𐌐𐌉𐌓𐌄𐌔	a p i r e s
𐌀𐌓𐌆𐌍𐌀	a r z n a
𐌀𐌓𐌆𐌍𐌄𐌀𐌋	a r z n e a̯ l
𐌀𐌓𐌆𐌍𐌄𐌉	a r z n e i̯
𐌀𐌓𐌆𐌍𐌉	a r z n i
𐌀𐌓𐌆𐌍𐌉𐌔	a r z n i s
𐌀𐌕𐌉	ɑ t ɪ
𐌀𐌕𐌉𐌀𐌋	a t i a̯ l
𐌀𐌕𐌓𐌀𐌍𐌄	a t r a n e
𐌀𐌕𐌓𐌀𐌍𐌄𐌔	a t r a n e s
𐌀𐌕𐌓𐌉𐌖𐌌	a t r i u m
𐌀𐌗𐌉𐌋𐌀𐌔	a χ i l a s
𐌀𐌗𐌉𐌋𐌄	a χ i l e
𐌀𐌗𐌉𐌋𐌄𐌉	a χ i l e i̯
𐌀𐌗𐌋𐌀𐌄	a χ l a e̯
𐌀𐌗𐌋𐌄	a χ l e
𐌀𐌗𐌌𐌄𐌌𐌓𐌖𐌍	a χ m e m r u n
𐌀𐌗𐌍𐌀𐌋	a χ n a l
𐌀𐌗𐌍𐌄𐌉	a χ n e i
𐌀𐌗𐌍𐌉	a χ n i
𐌀𐌗𐌓𐌖𐌌	a χ r u m
𐌀𐌗𐌖	a χ u
𐌀𐌗𐌖𐌀𐌋	a χ u a l
𐌀𐌗𐌖𐌉	a χ u i
𐌀𐌗𐌖𐌋𐌄	a χ u l e
𐌀𐌚𐌓	a f r
𐌀𐌚𐌖𐌓	a f u r
𐌁𐌀𐌋𐌕𐌄𐌀	b a l t e a
𐌁𐌄𐌓𐌂𐌏𐌌𐌔𐌍𐌀	b e r c o m s n a
𐌂𐌀𐌄	k a e̯
𐌂𐌀𐌄𐌔	c a e s
𐌂𐌀𐌅𐌄	k a w e
𐌂𐌀𐌅𐌄𐌈	k a w e tʰ
𐌂𐌀𐌅𐌔𐌀	c a v s a
𐌂𐌀𐌍𐌋𐌀𐌔	c a n l a s
𐌂𐌀𐌏𐌍𐌀	c a θ n a
𐌂𐌀𐌏𐌍𐌀𐌋	c a θ n a l
𐌂𐌀𐌏𐌍𐌉	c a θ n i
𐌂𐌀𐌏𐌍𐌉𐌔	c a θ n i s
𐌂𐌀𐌔𐌔𐌉𐌃𐌀	c a s s i d a
𐌂𐌀𐌔𐌔𐌉𐌔	c a s s i s
𐌂𐌀𐌔𐌕𐌂𐌄	c a s t c e
𐌂𐌀𐌕𐌍𐌉𐌔	c a t n i s
𐌂𐌉	k i
𐌄𐌉𐌔	e j s
𐌄𐌉𐌔𐌍𐌀	e j s n a
𐌄𐌐𐌉	i p e
𐌄𐌔𐌀𐌋	e s a l
𐌅𐌄𐌓𐌔𐌄	u̯ e r s e
𐌅𐌄𐌕𐌖𐌔	v e t u s
𐌅𐌉𐌊𐌖	v i c u
𐌆𐌀𐌋	t͡s a l
𐌆𐌀𐌌𐌀𐌈𐌉	t͡s a m a tʰ i
𐌆𐌀𐌌𐌈𐌉𐌂	t͡s a m tʰ i k
𐌇𐌀𐌋𐌊	h a l k
𐌇𐌀𐌋𐌗𐌆𐌀	h a l kʰ z a
𐌇𐌀𐌋𐌗𐌆𐌄	h a l kʰ t͡s e
𐌇𐌀𐌍𐌉𐌐𐌀𐌋𐌖𐌔𐌂𐌋𐌄	h a n i p a l u s k l e
𐌈𐌖	tʰ u
𐌈𐌖𐌍	tʰ u n
𐌉𐌂𐌀𐌐	i c a p
𐌊𐌉	k i
𐌋𐌖𐌂𐌖𐌌𐌏𐌍𐌄𐌔	l u c u m o n e s
𐌋𐌖𐌂𐌖𐌌𐌖	l u c u m u
𐌋𐌖𐌄𐌀	l u e a
𐌋𐌖𐌐	l u p
𐌋𐌖𐌐𐌖	l u p u
𐌌𐌀𐌙	m a kʰ
𐌌𐌄𐌕𐌖𐌔	m e t u s
𐌍𐌄𐌓𐌉	n e ɾ ɪ
𐌐𐌄𐌓𐌂𐌖𐌌𐌔𐌍𐌀	p e r c u m s n a
𐌑𐌀	ʃ a
𐌑𐌄𐌙	s e χ
𐌔𐌄𐌔𐌄	s e s e
𐌗𐌉𐌋𐌀𐌔	χ i l a s
𐌘𐌄𐌓𐌔𐌖	pʰ e r s u
𐌚𐌀𐌂𐌀	f a k a
