กรัด	k r ʌ t̚
กฺูลา	ɡ u l a
เกรอเบา	k r ə b ʌ w
เกอญิ	k ə ɲ ɪ ʔ
เกอดัย	k ə d ʌ j
เกอตับ	k ə t ʌ p̚
เกอมัก	k ə m ʌ k̚
เกอมูดี	k ə m u d i
เกอเมียน	k ə m i ə̯ n
เกา	k ʌ w
เกฺอตะฮ	ɡ ə t ʌ h
เกฺอตาวะ	ɡ ə t a w ʌ ʔ
เกฺอนัก	ɡ ə n ʌ k̚
เกฺอนีรา	ɡ ə n i r a
เกฺอเบอ	ɡ ə b ɤ
โกปี	k o p i
เคอนัม	kʰ ə n ʌ m
งางา	ŋ a ŋ a
งาจิ	ŋ a c ɪ ʔ ~ ŋ a t͡ɕ ɪ ʔ
งาเญน	ŋ a ɲ e n ~ ŋ a ɲ ɪ n
งาเญาะฮ	ŋ a ɲ ɔ h
งาแญน	ŋ a ɲ ɛ n
งาตอยจ	ŋ a t ɔ i̯ ʔ
งารอยจ	ŋ a r ɔ i̯ ʔ
งูเตะ	ŋ u t e ʔ ~ ŋ u t ɪ ʔ
จะจะ	c ʌ ʔ c ʌ ʔ ~ t͡ɕ ʌ ʔ t͡ɕ ʌ ʔ
จะจิก	c ʌ ʔ c ɪ k̚ ~ t͡ɕ ʌ ʔ t͡ɕ ɪ k̚
จับ	c ʌ p̚ ~ t͡ɕ ʌ p̚
จัยจ	c ʌ i̯ ʔ ~ t͡ɕ ʌ i̯ ʔ
จาปะฮ	c a p ʌ h ~ t͡ɕ a p ʌ h
จารา	c a r a ~ t͡ɕ a r a
จาเระ	c a r e ʔ ~ c a r ɪ ʔ ~ t͡ɕ a r e ʔ ~ t͡ɕ a r ɪ ʔ
จีเจด	c i c e t̚ ~ c i c ɪ t̚ ~ t͡ɕ i t͡ɕ e t̚ ~ t͡ɕ i t͡ɕ ɪ t̚
จูโจะฮ	c u c o h ~ c u c ʊ h ~ t͡ɕ u t͡ɕ o h ~ t͡ɕ u t͡ɕ ʊ h
เจรอปู	c r ə p u ~ t͡ɕ r ə p u
เจรอเมน	c r ə m e n ~ c r ə m ɪ n ~ t͡ɕ r ə m e n ~ t͡ɕ r ə m ɪ n
เจองัน	c ə ŋ ʌ n ~ t͡ɕ ə ŋ ʌ n
เจอบุ	c ə b u ʔ ~ t͡ɕ ə b u ʔ
เจอมางี	c ə m a ŋ i ~ t͡ɕ ə m a ŋ i
เจอลุ	c ə l u ʔ ~ t͡ɕ ə l u ʔ
แจ	c ɛ ~ t͡ɕ ɛ
โจะบัด	c o ʔ b ʌ t̚ ~ t͡ɕ o ʔ b ʌ t̚
เชอนีง	cʰ ə n ɪ ŋ ~ t͡ɕʰ ə n ɪ ŋ
ซรัย	s r ʌ j
ซากฺี	s a ɡ i
ซาเกะ	s a k e ʔ ~ s a k ɪ ʔ
ซาตัด	s a t ʌ t̚
ซาเบะ	s a b e ʔ ~ s a b ɪ ʔ
ซาปัก	s a p ʌ k̚
ซาปา	s a p a
ซามะ	s a m ʌ ʔ
ซามา	s a m a
ซาโมยจ	s a m o i̯ ʔ
ซายัก	s a j ʌ k̚
ซารัก	s a r ʌ k̚
ซาเราะ	s a r ɔ ʔ
ซาละฮ	s a l ʌ h
ซาเลด	s a l e t̚ ~ s a l ɪ t̚
ซาวารา	s a w a r a
ซาโวะฮ	s a w o h
ซีกู	s i k u
ซีงะฮ	s i ŋ ʌ h
ซีงี	s i ŋ i
ซีเซ	s i s e
ซีดี	s i d i
ซีตา	s i t a
ซีปากู	s i p a k u
ซีโปยจ	s i p o i̯ ʔ
ซีเระฮ	s i r e h ~ s i r ɪ h
ซูกา	s u k a
ซูงัย	s u ŋ ʌ j
ซูโงะฮ	s u ŋ o h ~ s u ŋ ʊ h
ซูดะฮ	s u d ʌ h
ซูดู	s u d u
ซูเปะ	s u p e ʔ ~ s u p ɪ ʔ
ซูรัยจ	s u r ʌ i̯ ʔ
ซูโรยจ	s u r o i̯ ʔ
ซูโระฮ	s u r o h ~ s u r ʊ h
ซูโละฮ	s u l o h ~ s u l ʊ h
ซูวัยจ	s u w ʌ i̯ ʔ
เซอกัยจ	s ə k ʌ i̯ ʔ
เซองะ	s ə ŋ ʌ ʔ
เซอโตน	s ə t o n ~ s ə t ʊ n
เซอโนะ	s ə n o ʔ
เซอเบอลัยฮ	s ə b ə l ʌ i̯ h
เซอปูโละฮ	s ə p u l o h ~ s ə p u l ʊ h
เซอมะฮ	s ə m ʌ h
เซอมียา	s ə m i j a
เซอมีลัด	s ə m i l ʌ t̚
ญาญี	ɲ a ɲ i
ญาแญะ	ɲ a ɲ ɛ ʔ
ญาโตะ	ɲ a t o ʔ
ญามัน	ɲ a m ʌ n
ญาเมาะ	ɲ a m ɔ ʔ
ญาแระ	ɲ a r ɛ ʔ
ญาวา	ɲ a w a
ญาเวาะ	ɲ a w ɔ ʔ
ดะฮ	d ʌ h
ดักดัก	d ʌ k̚ d ʌ k̚
ดากฺู	d a ɡ u
ดาดา	d a d a
ดาตัก	d a t ʌ k̚
ดาปิก	d a p ɪ k̚
ดามัล	d a m ʌ ɭ
ดาเมอ	d a m ɤ
ดาระฮ	d a r ʌ h
ดาลับ	d a l ʌ p̚
ดาวัย	d a w ʌ j
ดาโวด	d a w o t̚ ~ d a w ʊ t̚
ดาฮัด	d a h ʌ t̚
ดีนิง	d i n ɪ ŋ
ดีฮา	d i h a
ดือนียา	d ɨ n i j a ~ d ə n i j a
ดูโดะ	d u d o ʔ ~ d u d ʊ ʔ
ดูรี	d u r i
ดูลี	d u l i
ดูลู	d u l u
ดูวา	d u w a
ดูเวะ	d u w e ʔ ~ d u w ɪ ʔ
เดอเงอ	d ə ŋ ɤ
เดอนัก	d ə n ʌ k̚
เดอปา	d ə p a
เดะ	d e ʔ ~ d ɪ ʔ
เดียด	d i ə̯ t̚
ตรก	t r o k̚ ~ t r ʊ k̚
ตรอก	t r ɔ k̚
ตลีงา	t l i ŋ a
ตัง	t ʌ ŋ
ตาโกยจ	t a k o i̯ ʔ
ตางัน	t a ŋ ʌ n
ตางา	t a ŋ a
ตาญก	t a ɲ o k̚
ตาญา	t a ɲ a
ตาโญก	t a ɲ o k̚ ~ t a ɲ ʊ k̚
ตานะฮ	t a n ʌ h
ตานา	t a n a
ตาปิฮ	t a p ɪ h
ตาปี	t a p i
ตามาตา	t a m a t a
ตาแมะ	t a m ɛ ʔ
ตายฺับ	t a ɟ ʌ p̚
ตารา	t a r a
ตารี	t a r i
ตาโระ	t a r o ʔ ~ t a r ʊ ʔ
ตาโระฮ	t a r o h ~ t a r ʊ h
ตาลับ	t a l ʌ p̚
ตาลี	t a l i
ตาฮด	t a h o t̚ ~ t a h ʊ t̚
ตาฮัด	t a h ʌ t̚
ตาฮู	t a h u
ตีกอ	t i k ɔ
ตีกฺา	t i ɡ a
ตีโนะ	t i n o ʔ ~ t i n ʊ ʔ
ตีมอน	t i m ɔ n
ตีมะฮ	t i m ʌ h
ตีเมอ	t i m ɤ
ตีเมา	t i m ʌ w
ตีรับ	t i r ʌ p̚
ตูโกด	t u k o t̚ ~ t u k ʊ t̚
ตูดก	t u d o k̚ ~ t u d ʊ k̚
ตูโดก	t u d o k̚ ~ t u d ʊ k̚
ตูนู	t u n u
ตูบา	t u b a
ตูปัย	t u p ʌ j
ตูโปะ	t u p o ʔ ~ t u p ʊ ʔ
ตูโมะฮ	t u m o h ~ t u m ʊ h
ตูโยฺะฮ	t u ɟ o h ~ t u ɟ ʊ h ~ t u d͡ʒ o h ~ t u d͡ʒ ʊ h
ตูรด	t u r o t̚ ~ t u r ʊ t̚
ตูโรยจ	t u r o i̯ ʔ ~ t u r ʊ i̯ ʔ
ตูลก	t u l o k̚ ~ t u l ʊ k̚
ตูละ	t u l ʌ ʔ
ตูลัก	t u l ʌ k̚
ตูลี	t u l i
ตูฮัด	t u h ʌ t̚
ตูฮา	t u h a
ตูเฮอ	t u h ɤ
ตูโฮะ	t u h o ʔ ~ t u h ʊ ʔ
เตด	t e t̚ ~ t ɪ t̚
เตอกัด	t ə k ʌ t̚
เตอกฺีรี	t ə ɡ i r i
เตองะฮ	t ə ŋ ʌ h
เตอบัก	t ə b ʌ k̚
เตอบู	t ə b u
เตอเบะ	t ə b e ʔ ~ t ə b ɪ ʔ
เตอปัยจ	t ə p ʌ i̯ ʔ
เตอมากฺา	t ə m a ɡ a
เตอรีเตะ	t ə r i t e ʔ ~ t ə r i t ɪ ʔ
เตอเลอ	t ə l ɤ
เตอโละ	t ə l o ʔ ~ t ə l ʊ ʔ
ทก	tʰ o k̚
ทานี	tʰ a n i
ทายุ	tʰ a j u ʔ
ทาโยะ	tʰ a j o ʔ ~ tʰ a j ʊ ʔ
ทุย	tʰ ʊ j
นอ	n ɔ
นะ	n ʌ ʔ
นังกฺรี	n ʌ ŋ ɡ r i
นังนัยฮ	n ʌ ŋ n ʌ i̯ h
นัม	n ʌ m
นากา	n a k a
นาแงะฮ	n a ŋ ɛ h
นาซี	n a s i
นาตี	n a t i
นานะ	n a n ʌ ʔ
นานะฮ	n a n ʌ h
นามา	n a m a
นารี	n a r i
นีกะฮ	n i k ʌ h
นีเดะฮ	n i d e h ~ n i d ɪ h
นีบีนี	n i b i n i
นีปิฮ	n i p ɪ h
นุยฮ	n u i̯ h
นูตู	n u t u
นูนัง	n u n ʌ ŋ
บรัยจ	b r ʌ i̯ ʔ
บรัยฮ	b r ʌ i̯ h
บราซา	b r a s a
บรานี	b r a n i
บรี	b r i
บรีบรี	b r i b r i
บรูตัด	b r u t ʌ t̚
บรูวัก	b r u w ʌ k̚
บโระ	b r o ʔ ~ b r ʊ ʔ
บลาเยอ	b l a j ɤ
บลูมา	b l u m a
บวยจ	b u ə̯ i̯ ʔ
บัยจ	b ʌ i̯ ʔ
บากัก	b a k ʌ k̚
บากฺัด	b a ɡ ʌ t̚
บาเกะ	b a k e ʔ ~ b a k ɪ ʔ
บางัยจ	b a ŋ ʌ i̯ ʔ
บาจัด	b a c ʌ t̚
บาจา	b a c a ~ b a t͡ɕ a
บาซะฮ	b a s ʌ h
บาญะ	b a ɲ ʌ ʔ
บาดัด	b a d ʌ t̚
บาตัน	b a t ʌ n
บาตู	b a t u
บาเตน	b a t e n ~ b a t ɪ n
บาโตะ	b a t o ʔ
บานา	b a n a
บาบี	b a b i
บายฺิ	b a ɟ ɪ ʔ ~ b a d͡ʒ ɪ ʔ
บายฺู	b a ɟ u
บาระฮ	b a r ʌ h
บารัก	b a r ʌ k̚
บารัยจ	b a r ʌ i̯ ʔ
บารี	b a r i
บารู	b a r u
บาลัก	b a l ʌ k̚
บาลัย	b a l ʌ j
บาลิ	b a l ɪ ʔ
บาวะฮ	b a w ʌ h
บาวา	b a w a
บาฮายา	b a h a j a
บาฮู	b a h u
บาโฮะ	b a h o ʔ
บีดิก	b i d ɪ k̚
บีตัก	b i t ʌ k̚
บีนี	b i n i
บีเบ	b i b e
บูกัด	b u k ʌ t̚
บูกิ	b u k ɪ ʔ
บูกุยฮ	b u k u i̯ h
บูกู	b u k u
บูเกะ	b u k e ʔ ~ b u k ɪ ʔ
บูงา	b u ŋ a
บูงี	b u ŋ i
บูตา	b u t a
บูโตด	b u t o t̚ ~ b u t ʊ t̚
บูเนาะฮ	b u n ɔ h
บูบู	b u b u
บูโบะ	b u b o ʔ ~ b u b ʊ ʔ
บูมอ	b u m ɔ
บูมอล	b u m ɔ ɭ
บูรก	b u r o k̚ ~ b u r ʊ k̚
บูริ	b u r ɪ ʔ
บูโระ	b u r o ʔ ~ b u r ʊ ʔ
บูลัด	b u l ʌ t̚
บูลี	b u l i
บูลู	b u l u
บูเลอ	b u l ɤ
บูโละฮ	b u l o h ~ b u l ʊ h
บูวะฮ	b u w ʌ h
เบอกาจะ	b ə k a c ʌ ʔ
เบอกฺาญะ	b ə ɡ a ɲ ʌ ʔ
เบอเกฺาะ	b ə ɡ ɔ ʔ
เบอซี	b ə s i
เบอเซอ	b ə s ɤ
เบอตก	b ə t o k̚ ~ b ə t ʊ k̚
เบอตาฮัด	b ə t a h ʌ t̚
เบอติฮ	b ə t ɪ h
เบอนัว	b ə n u ə̯
เบอนา	b ə n a
เบอนาตัก	b ə n a t ʌ k̚
เบอแนะฮ	b ə n e h ~ b ə n ɪ h
เบอปากัย	b ə p a k ʌ j
เบอแยะ	b ə j ɛ ʔ
เบอลี	b ə l i
เบอเละฮ	b ə l e h ~ b ə l ɪ h
เบาะฮ	b ɔ h
แบะ	b ɛ ʔ
โบะ	b o ʔ ~ b ʊ ʔ
ปรัก	p r ʌ k̚
ปราฮู	p r a h u
ปลาโนะ	p l a n o ʔ
ปลีตา	p l i t a
ปะ	p ʌ ʔ
ปัยจ	p ʌ i̯ ʔ
ปากู	p a k u
ปากฺี	p a ɡ i
ปาคัยจ	p a kʰ ʌ i̯ ʔ
ปาจัก	p a c ʌ k̚
ปาซัก	p a s ʌ k̚
ปาญัก	p a ɲ ʌ k̚
ปาดัก	p a d ʌ k̚
ปาดี	p a d i
ปาตัย	p a t ʌ j
ปาโตยจ	p a t o i̯ ʔ
ปานะฮ	p a n ʌ h
ปาปัด	p a p ʌ t̚
ปารัก	p a r ʌ k̚
ปารี	p a r i
ปาลัยฮ	p a l ʌ i̯ h
ปาลา	p a l a
ปาลู	p a l u
ปาโวะฮ	p a w o h
ปาฮับ	p a h ʌ p̚
ปาฮัยจ	p a h ʌ i̯ ʔ
ปาฮา	p a h a
ปาฮาฆิ	p a h a ɡ ɪ ʔ
ปาเฮะ	p a h e ʔ ~ p a h ɪ ʔ
ปี	p i
ปีเกาะ	p i k ɔ ʔ
ปีงัก	p i ŋ ʌ k̚
ปีซัก	p i s ʌ k̚
ปีเซา	p i s ʌ w
ปีตู	p i t u
ปีนัง	p i n ʌ ŋ
ปีปี	p i p i
ปีระ	p i r ʌ ʔ
ปูกัยจ	p u k ʌ i̯ ʔ
ปูซัยจ	p u s ʌ i̯ ʔ
ปูตุยฮ	p u t u i̯ h
ปูเตะฮ	p u t e h ~ p u t ɪ h
ปูลัก	p u l ʌ k̚
ปูลิก	p u l ɪ k̚
ปูเลา	p u l ʌ w
ปูโลยจ	p u l o i̯ ʔ ~ p u l ʊ i̯ ʔ
ปูโฮด	p u h o t̚ ~ p u h ʊ t̚
เปอกฺัก	p ə ɡ ʌ k̚
เปอจะฮ	p ə c ʌ h
เปอญู	p ə ɲ u
เปอโดะ	p ə d o ʔ ~ p ə d ʊ ʔ
เปอตี	p ə t i
เปอนอฮ	p ə n ɔ h
เปอนานา	p ə n a n a
โปรยจ	p r o i̯ ʔ ~ p r ʊ i̯ ʔ
พลอก	pʰ l ɔ k̚
พากฺิ	pʰ a ɡ ɪ ʔ
พาซา	pʰ a s a
พาดัก	pʰ a d ʌ k̚
พาเพะ	pʰ a pʰ e ʔ ~ pʰ a pʰ ɪ ʔ
พุพุ	pʰ u ʔ pʰ u ʔ
ฟีม	f i m
เฟด	f e t̚
แฟบ	f ɛ p̚
มด	m o t̚ ~ m ʊ t̚
มรับ	m r ʌ p̚
มรากะ	m r a k ʌ ʔ
มราตะ	m r a t ʌ ʔ
มรีงัย	m r i ŋ ʌ j
มะ	m ʌ ʔ
มัยฮ	m ʌ i̯ h
มากัด	m a k ʌ t̚
มาโกะ	m a k o ʔ ~ m a k ʊ ʔ
มาจัก	m a c ʌ k̚
มาซะ	m a s ʌ ʔ
มาซับ	m a s ʌ p̚
มาเซด	m a s e t̚ ~ m a s ɪ t̚
มาโซะ	m a s o ʔ ~ m a s ʊ ʔ
มาตะฮ	m a t ʌ h
มาตา	m a t a
มาทู	m a tʰ u
มานี	m a n i
มาเนะฮ	m a n e h ~ m a n ɪ h
มาเรอมา	m a r ə m a
มาแระฮ	m a r ɛ h
มาลับ	m a l ʌ p̚
มีญะ	m i ɲ ʌ ʔ
มีตา	m i t a
มียา	m i j a
มีระฮ	m i r ʌ h
มือนาแงฮ	m ɨ n a ŋ ɛ h ~ m ə n a ŋ ɛ h
มูคา	m u kʰ a
มูดา	m u d a
มูมู	m u m u
มูโลยจ	m u l o i̯ ʔ ~ m u l ʊ i̯ ʔ
เมอเลา	m ə l ʌ w
เมียว	m i ə̯ w
โมะ	m o ʔ ~ m ʊ ʔ
ยับ	j ʌ p̚
ยาโกฺะ	j a ɡ o ʔ
ยางัน	j a ŋ ʌ n
ยาตก	j a t o k ~ j a t ʊ k
ยาลา	j a l a
ยฺราวัยจ	ɟ r a w ʌ i̯ ʔ ~ d͡ʒ r a w ʌ i̯ ʔ
ยฺัวะ	ɟ u ə̯ ʔ
ยฺางัน	ɟ a ŋ ʌ n ~ d͡ʒ a ŋ ʌ n
ยฺาดี	ɟ a d i
ยฺารบ	ɟ a r o p̚ ~ ɟ a r ʊ p̚ ~ d͡ʒ a r o p̚ ~ d͡ʒ a r ʊ p̚
ยฺารี	ɟ a r i ~ d͡ʒ a r i
ยฺาลัด	ɟ a l ʌ t̚
ยฺาวา	ɟ a w a
ยฺาฮัยจ	ɟ a h ʌ i̯ ʔ ~ d͡ʒ a h ʌ i̯ ʔ
ยฺาเฮะ	ɟ a h e ʔ ~ ɟ a h ɪ ʔ
ยฺีรัยจ	ɟ i r ʌ i̯ ʔ ~ d͡ʒ i r ʌ i̯ ʔ
ยฺูกฺา	ɟ u ɡ a
เยฺรา	ɟ r ʌ w ~ d͡ʒ r ʌ w
โยะฮ	j o h
รอยจ	r ɔ i̯ ʔ
รากฺา	r a ɡ a
ราโจด	r a c o t̚ ~ r a c ʊ t̚ ~ r a t͡ɕ o t̚ ~ r a t͡ɕ ʊ t̚
ราซา	r a s a
ราดารา	r a d a r a
ราตุยฮ	r a t ʊ i̯ h
รามัย	r a m ʌ j
ราโมยจ	r a m o i̯ ʔ
รีกฺะ	r i ɡ a ʔ ~ r i ɡ ʌ ʔ
รีโบยจ	r i b o i̯ ʔ ~ r i b ʊ i̯ ʔ
รีฮัน	r i h ʌ n
รูเงก	r u ŋ e k̚ ~ r u ŋ ɪ k̚
รูซา	r u s a
รูโซะ	r u s o ʔ ~ r u s ʊ ʔ
รูโปยจ	r u p o i̯ ʔ ~ r u p ʊ i̯ ʔ
รูมด	r u m o t̚ ~ r u m ʊ t̚
รูมะฮ	r u m ʌ h
เรอนัก	r ə n ʌ k̚
เรอมัก	r ə m ʌ k̚
แระกฺีแระ	r ɛ ʔ ɡ i r ɛ ʔ
ละอูละ	l ʌ ʔ ʔ u l ʌ ʔ
ลัมโพง	l ʌ m pʰ o ŋ
ลัยจ	l ʌ i̯ ʔ
ลัวะ	l u ə̯ ʔ
ลากี	l a k i
ลากฺี	l a ɡ i
ลากฺู	l a ɡ u
ลาเงา	l a ŋ ʌ w
ลาแงะ	l a ŋ ɛ ʔ
ลาดา	l a d a
ลาตอ	l a t ɔ
ลานะ	l a n ʌ ʔ
ลาปัด	l a p ʌ t̚
ลาเปอ	l a p ɤ
ลามูลา	l a m u l a
ลายัล	l a j ʌ ɭ
ลาเยอ	l a j ɤ
ลาวัด	l a w ʌ t̚
ลาโวยจ	l a w o i̯ ʔ
ลาโวะ	l a w o ʔ ~ l a w ʊ ʔ
ลิด	l i t̚ ~ l ɪ t̚
ลีดะฮ	l i d ʌ h
ลีปัด	l i p ʌ t̚
ลีปัยฮ	l i p ʌ i̯ h
ลีมา	l i m a
ลีเมา	l i m ʌ w
ลียา	l i j a
ลีเลด	l i l e t̚ ~ l i l ɪ t̚
ลีฮัยจ	l i h ʌ i̯ ʔ
ลีเฮ	l i h e
ลูโตยจ	l u t o i̯ ʔ ~ l u t ʊ i̯ ʔ
ลูนัยฮ	l u n ʌ i̯ h
ลูปา	l u p a
ลูเปอ	l u p ɤ
ลูมัยจ	l u m ʌ i̯ ʔ
ลูเมาะฮ	l u m ɔ h
ลูลู	l u l u
เลองัน	l ə ŋ ʌ n
เลอซก	l ə s o k̚ ~ l ə s ʊ k̚
เลอปัยจ	l ə p ʌ i̯ ʔ
เลอมู	l ə m u
วะตู	w ʌ ʔ t u
วัยจ	w ʌ i̯ ʔ
วายัก	w a j ʌ k̚
วี	w i
อาเกอ	ʔ a k ɤ
อาเกะ	ʔ a k e ʔ ~ ʔ a k ɪ ʔ
อาแงน	ʔ a ŋ ɛ n
อาซะ	ʔ a s ʌ ʔ
อาซะฮ	ʔ a s ʌ h
อาซับ	ʔ a s ʌ p̚
อาซู	ʔ a s u
อาดา	ʔ a d a
อาตัยจ	ʔ a t ʌ i̯ ʔ
อาตัยฮ	ʔ a t ʌ i̯ h
อาปัล	a p ʌ ɭ
อาปี	ʔ a p i
อาเปอ	a p ɤ
อาเมด	ʔ a m e t̚ ~ ʔ a m ɪ t̚
อาเย	ʔ a j e
อาเยน	a j e n ~ a j ɪ n
อารอก	ʔ a r ɔ k̚
อาระ	ʔ a r ʌ ʔ
อารี	ʔ a r i
อีกัด	ʔ i k ʌ t̚
อีกัยจ	ʔ i k ʌ i̯ ʔ
อีเกอ	ʔ i k ɤ
อีงัยจ	ʔ i ŋ ʌ i̯ ʔ
อีซี	ʔ i s i
อีตัด	ʔ i t ʌ t̚
อีติ	ʔ i t ɪ ʔ
อีริ	ʔ i r ɪ ʔ
อูจะ	ʔ u c ʌ ʔ
อูซิ	ʔ u s ɪ ʔ
อูโดะฮ	u d o h ~ u d ʊ h
อูตก	ʔ u t o k̚
อูบัด	ʔ u b ʌ t̚
อูบัยจ	ʔ u b ʌ i̯ ʔ
อูปัด	ʔ u p ʌ t̚
อูมอล	ʔ u m ɔ l
อูมะ	ʔ u m ʌ ʔ
อูแยะ	ʔ u j ɛ ʔ
อูรัก	ʔ u r ʌ k̚
อูรัยจ	ʔ u r ʌ i̯ ʔ
อูเลอ	ʔ u l ɤ
แอบเปิน	ʔ ɛ p̚ p ɤ n
โอะ	ʔ o ʔ ~ ʔ ʊ ʔ
ฮยู	h j u
ฮลอด	h l ɔ t̚
ฮลัก	h l ʌ k̚
ฮวยจ	h u ə̯ i̯ ʔ
ฮอย	h ɔ j
ฮางัยจ	h a ŋ ʌ i̯ ʔ
ฮาญอยจ	h a ɲ ɔ i̯ ʔ
ฮาดะ	h a d ʌ ʔ
ฮาตะ	h a t ʌ ʔ
ฮาตี	h a t i
ฮาตู	h a t u
ฮาบิฮ	h a b ɪ h
ฮาบู	h a b u
ฮายับ	h a j ʌ p̚
ฮารัก	h a r ʌ k̚
ฮาลุยฮ	h a l u i̯ h
ฮาลู	h a l u
ฮีดก	h i d o k̚ ~ h i d ʊ k̚
ฮีโดะ	h i d o ʔ ~ h i d ʊ ʔ
ฮีตับ	h i t ʌ p̚
ฮูตัก	h u t ʌ k̚
ฮูตัด	h u t ʌ t̚
ฮูบี	h u b i
ฮูมา	h u m a
ฮูยฺัด	h u ɟ ʌ t̚
ฮูรัก	h u r ʌ k̚
ฮูลัยจ	h u l ʌ i̯ ʔ
ฮูลู	h u l u
แฮ	h ɛ
