აბ	a b
გუჯარ	ɡ u d͡ʒ a r
გუჲზნაყ	ɡ u i̯ z n a qʼ
დაბაღ	d a b a ɣ
დაბხანა	d a b x a n a
დად	d a d
დად	d aː d
დავ	d a ʋ
დავდარებ	d a ʋ d a r e b
დავთარ	d a ʋ t a r
დავლ	d a ʋ l
დაზგ	d a z ɡ
დათთეჼ	d a tː ẽ
დალ	d a l
დალაქ	d a l a k
დალე	d a l ĕ
დალე̆	d a l ĕ
დამბაჩ	d a m b a t͡ʃ
დამბლ	d a m b l
დამღ	d a m ɣ
დარ	d a r
დარაბ	d a r a b
დარაჯ	d a r a d͡ʒ
დარბაზ	d a r b a z
დარდ	d a r d
დარიშხაჼ	d a r i ʃ x ã
დაფ	d a p
დაფხეჼ	d a p x ẽ
დაყო	d a qʼ ŏ
დაშნ	d a ʃ n
დაცუჼ	d a t͡s ũ
დაწიჼ	d a t͡sʼ ĩ
დახაჸო	d a x a ʔ ŏ
დახკო	d a x kʼ ŏ
დახხეჼ	d a xː ẽ
დაჲრ	d a j r
დე	d e
დევ	d e ʋ
დიკ	d i kʼ
დოკ	d o kʼ
დოლ	d o l
დოს	d o s
დოშ	d o ʃ
დოშაქ	d o ʃ a k
დოხკ	d o x kʼ
დოხტურ	d o x tʼ u r
დოჼ	d õ
დუმაჸო	d u m a ʔ ŏ
დუქაჼ	d u k ã
დუღაბ	d u ɣ a b
დჵეჸ	d ʡ e ʔ
დჵივჸ	d ʡ i v ʔ
ეკალ	e kʼ a l
ენდრო	e n d r ŏ
ენძლაჸო	e n d͡z l a ʔ ŏ
ეპისკოპოზ	e pʼ i s kʼ o pʼ o z
ერკვერცხ	e r kʼ ʋ e r t͡s x
ეშმაჸო	e ʃ m a ʔ ŏ
ეცაჼ	e t͡s ã
ეჭვ	e t͡ʃʼ ʋ
ეჲ	e i̯
ეჲჭვეჼ	e j t͡ʃʼ ʋ ẽ
ეჲჼ	ẽ i̯
ეჼ	ẽ
ვად	ʋ a d
ვაზ	ʋ a z
ვალ	ʋ a l
ვაჟკაც	ʋ a ʒ kʼ a t͡s
ვაჟკაცობ	ʋ a ʒ kʼ a t͡s o b
ვარამ	ʋ a r a m
ვარაუდ	ʋ a r a u d
ვარდ	ʋ a r d
ვარცლ	ʋ a r t͡s l
ვაშლაჸო	ʋ a ʃ l a ʔ ŏ
ვაჭარ	ʋ a t͡ʃʼ a r
ვაჲრაჸო	ʋ a j r a ʔ ŏ
ვედრ	ʋ e d r
ვენაჴ	ʋ e n a q
ვერს	ʋ e r s
ვერხ	ʋ e r x
ვერხვ	ʋ e r x ʋ
ვეფხვ	ʋ e p x ʋ
ვექილ	ʋ e k i l
ვექსილ	ʋ e k s i l
ვეძ	ʋ e d͡z
ვეჯ	ʋ e d͡ʒ
ვეჼ	ʋ ẽ
ვირ	v i r
ვორლʻ	v o r ɬ
ზად	z a d
ზავთ	z a ʋ t
ზარ	z a r
ზარალ	z a r a l
ზარბაზაჼ	z a r b a z ã
ზარვანდ	z a r ʋ a n d
ზაუმბლაკ	z a ŭ m b l a kʼ
ზაქ	z a k
ზედაშ	z e d a ʃ
ზეთ	z e t
ზვარ	z ʋ a r
ზიკ	z i kʼ
ზოდ	z o d
ზოკო	z o kʼ ŏ
ზოლ	z o l
ზონარ	z o n a r
ზოქ	z o k
ზურგელ	z u r ɡ e l
ზურნ	z u r n
ზღვა	z ɣ ʋ a
თაბახ	t a b a x
თავად	t a ʋ a d
თავთავ	t a ʋ t a ʋ
თავთუხ	t a ʋ t u x
თავლ	t a ʋ l
თათრაჸო	t a t r a ʔ ŏ
თამბაქო	t a m b a k ŏ
თამსუქ	t a m s u k
თანამდებობ	t a n a m d e b o b
თანგირ	t a n ɡ i r
თაობ	t a o b
თარ	t a r
თარაზო	t a r a z ŏ
თარგმაჼ	t a r ɡ m ã
თარეშ	t a r e ʃ
თარო	t a r ŏ
თაღ	t a ɣ
თაღარ	t a ɣ a r
თაღლით	t a ɣ l i t
თელ	t e l
თემ	t e m
თეფ	t e p
თეფშ	t e p ʃ
თექ	t e k
თიბათვე	t i b a t ʋ ĕ
თივთიკ	t i ʋ t i kʼ
თითბერ	t i t b e r
თილისმაჼ	t i l i s m ã
თიჴ	t i q
თოკ	t o kʼ
თორნე	t o r n ĕ
თოფ	t o p
თოფრ	t o p r
თოქმაჩ	t o k m a t͡ʃ
თოხლო	t o x l ŏ
თოჴ	t o q
თუჲხი̆	t u i̯ x ĭ
თხო	t x o
იმდეჼ	i m d ẽ
ისს	i s s
იტტ	i tʼ tʼ
იჼ	ĩ
კავ	kʼ a u̯
კარცხილ	kʼ a r t͡s x i l
კატეჼ	kʼ a tʼ ẽ
კაწე	kʼ a t͡sʼ ĕ
კეჭ	kʼ e t͡ʃʼ
კვირაჸო	kʼ v i r a ʔ ŏ
კნათ	kʼ n a t
კორკოტ	kʼ o r kʼ o tʼ
კურ	kʼ u r
კუჲტი	kʼ u j tʼ ĭ
კჵაკამ	kʼ ʡ a kʼ a m
ლʼ	ɬ
ლავ	l a v
ლათთ	l a tː
ლამ	l a m
ლარკ	l a r kʼ
ლახუჼ	l a x ũ
ლაჰʼე	l a ħ ĕ
ლაჲთთნო	l a i̯ tː n o
ლიშაჼ	l i ʃ ã
მადელ	m a d e l
მათხ	m a t x
მაკეჼ	m a kʼ ẽ
მალʻაჼ	m a ɬ ã
მალიჼ	m a l ĩ
მანდილ	m a n d i l
მარ	m a r
მარაგ	m a r a ɡ
მარგალიტ	m a r ɡ a l i tʼ
მარგლიტ	m a r ɡ l i tʼ
მასორ	m a s o r
მატეჼ	m a tʼ ẽ
მაყოლ	m a qʼ o l
მაციჼ	m a t͡s ĩ
მაწ	m a t͡sʼ
მაწრიჼ	m a t͡sʼ r ĩ
მაწრო	m a t͡sʼ r ŏ
მაჭ	m a t͡ʃʼ
მაჲჴი̆	m a i̯ q ĭ
მაჴაწ	m a q a t͡sʼ
მელʻაჼ	m e ɬ ã
მოთთ	m o tː
მორლʻ	m o r ɬ
მოტტ	m o tːʼ
მოწ	m o t͡sʼ
მოხ	m oː x
მოხკ	m o x kʼ
მურაბ	m u r a b
მუსტიჼ	m u s tʼ ĩ
მუჰʼ	m u ħ
მუჲტი	m u j tʼ ĭ
ნავ	n a ʋ
ნან	n a n
ნან	n aː n
ნაყბისტ	n a qʼ b i s tʼ
ნაჩხ	n a t͡ʃ x
ნახ	n a x
ნიტტ	n i tːʼ
ნიყ	n i qʼ
ნიწყ	n i t͡sʼ qʼ
ნჵაპ	n ʕ a pʼ
ნჵაჲჸსაჼ	n ʡ a j ʔ s ã
ნჵაჸიჰʼ	n ʡ a ʔ i
ნჵაჸიჰʼ	n ʡ a ʔ i ħ
ოუ	o u̯
ოუჼ	õ u̯
ოჲ	o i̯
ოჲჼ	õ i̯
ოჸ	o ʔ
ოჼ	õ
პარასკ	pʼ a r a s kʼ
პაჲპროზ	pʼ a i̯ pʼ r o z
პაჲპრუზ	pʼ a i̯ pʼ r u z
პეჲნცა	pʼ e j n t͡s a
პჵენტო	pʼ ʡ e n tʼ ŏ
ჟიჼ	ʒ ĩ
ჟომეჼ	ʒ o m ẽ
რვეულ	r v e u l
საგ	s a ɡ
სანი	s a n i
სასახლე	s a s a x l ĕ
საყურე	s a qʼ u r ĕ
საჼ	s ã
სიმაჲრტყლი	s i m a i̯ r tʼ qʼ l ĭ
სიმინდ	s i m i n d
სიძე	s i d͡z ĕ
სკა	s kʼ a
სკოლ	s kʼ o l
სო	s o
სტაბო	s tʼ a b o
სტაფილო	s tʼ a p i l ŏ
სტაჲფლაჸო	s tʼ a j p l a ʔ ŏ
ტათებ	tʼ a t e b
ტარკ	tʼ a ɾ kʼ
ტარხუჼ	tʼ a r x ũ
ტატეჼ	tʼ a tʼ ẽ
ტეჼ	tʼ ẽ
ტყა	tʼ qʼ a
უბეჲდრობ	u b e i̯ d r o b
უბიდრობ	u b iː d r o b
ულაყ	u l a qʼ
ურწაჼ	u r t͡sʼ ã
უჲ	u i̯
უჲჼ	ũ i̯
უჼ	ũ
ფარდ	p a r d
ფისო	p i s ŏ
ფსიკ	p s i kʼ
ფსტუ	p s tʼ u
ფშა	p ʃ a
ფშელ	p ʃ eː l
ფხაკალ	p x a kʼ a l
ფხი	p x i
ფჰʼიტ	p ħ i tʼ
ფჰʼო	p ħ o
ფჰʼუ	p ħ u
ქანიზ	k a n i z
ქეჼ	k ẽ
ქინძ	k i n d͡z
ქო	k o
ქოთამ	k o t a m
ქოკ	k o kʼ
ქორ	k o r
ქორთო	k o r t ŏ
ქოჭ	k o t͡ʃʼ
ქუდ	k u d
ქუჲრი	k u i̯ r ĭ
ყაკ	qʼ a kʼ
ყაღ	qʼ a ɣ
შაბათ	ʃ a b a t
შაბაშ	ʃ a b a ʃ
შვრივ	ʃ v r i v
ში	ʃ i
შინა	ʃ i n aː
შიჼ	ʃ ĩ
შორშაჼ	ʃ o r ʃ ã
შურ	ʃ u r
შუშ	ʃ u ʃ
ჩა	t͡ʃ a
ჩენჩო	t͡ʃ e n t͡ʃ ŏ
ჩიხირთმ	t͡ʃ i x i r t m
ჩო	t͡ʃ o
ცა	t͡s a
ცარკ	t͡s a r kʼ
ცაცხო	t͡s a t͡s x ŏ
ციცო	t͡s i t͡s ŏ
ცოკალ	t͡s o kʼ a l
ცჰʼა	t͡s ħ a
ცჰʼანა	t͡s ħ a n aː
ძმარ	d͡z m a r
წასტ	t͡sʼ a s tʼ
წაჲბლი	t͡sʼ a i̯ b l ĭ
წე	t͡sʼ e
წეგდალაჼ	t͡sʼ e ɡ d a l ã
წეგდაჼ	t͡sʼ e ɡ d ã
წეგეჼ	t͡sʼ e ɡ ẽ
წეჲგი	t͡s e i̯ ɡ ĭ
წიბო	t͡sʼ i b ŏ
წუთ	t͡sʼ u t
ჭარე	t͡ʃʼ a r ĕ
ჭიმ	t͡ʃʼ i m
ჭუკ	t͡ʃʼ u kʼ
ჭუჲ	t͡ʃʼ u j
ხაჼ	x ã
ხეჼ	x ẽ
ხი	x i
ხკო	x kʼ o
ხომალდ	x o m a l d
ჯიჯი	d͡ʒ i d͡ʒ ĭ
ჯოგ	d͡ʒ o ɡ
ჰʼ	ħ
ჰʼაწუკ	ħ a t͡sʼ u kʼ
ჰʼუჼ	ħ ũ
ჰ’ეტტ	ħ e tːʼ
ჲ	j
ჲეგ	j e ɡ
ჲეთთ	j e tː
ჲეთხ	j e t x
ჲეხკ	j e x kʼ
ჲოლ	j o l
ჲოპყ	j o pʼ qʼ
ჲორღ	j o r ɣ
ჲუბ	j u b
ჲჵივჸა	j ʡ i v ʔ aː
ჴ	qʰ
ჴა	q a
ჴადალ	q a d a l
ჴავ	q a v
ჴაუ̆ჴუ̆	q a ŭ q ŭ
ჴერ	q e ɾ
ჴო	q o
ჴო	q oː
ჴოგ	q o ɡ
ჵ	ʕ
ჸ	ʔ
ჺა	ʕ a
ჺამ	ʕ a m
ჺაჲჰკი	ʕ a j h kʼ i
