A	a
Beasain	b e a s̺ a i̯ n
Belgika	b e l ɡ i k a
Berastegi	b e ɾ a s̺ t e ɡ i
Bergara	b e r ɡ a ɾ a
Bernedo	b e r n e d o
Bidarte	b i d a r t e
Bielorrusia	b i e l o r u s̺ i a
Bilbo	b i l b o
Bizkaia	b i s̺ k a i̯ a
Bizkaia	b i s̻ k a i̯ a
Bolibar	b o l i b a r
Bulgaria	b u l ɡ a ɾ i a
Bulgarian	b u l ɡ a ɾ i a n
C	k
C	s̻
Cancer	k a n s̺ e r
Cancer	k a n s̻ e r
Capricornus	k a p r i k o r n u s̺
Corpus	k o r p u s̺
D	d e
Danimarka	d a n i m a r k a
Donostia	d o n o s̺ t i a
E	e
Eder	e d e r
Edorta	e d o r t a
Eguberri	e ɡ u b e r i
Eibar	e i̯ b a r
Ekuador	e k w a d o r
Elexpuru	e l e ʃ p u ɾ u
Elgoibar	e l ɡ o i̯ b a r
Enara	e n a ɾ a
Eneko	e n e k o
Errenteria	e r e n t e ɾ i a
Errumania	e r u m a n i a
Errusia	e r u s̺ i a
Ertzaintza	e r t͡s̻ a i̯ n t͡s̻ a
Eskibel	e s̺ k i b e l
Eskozia	e s̺ k o s̻ i a
Eslovakia	e s̺ l o b a k i a
Eslovenia	e s̺ l o b e n i a
Espainia	e s̺ p a i̯ n i a
Espainia	e s̺ p a ɲ i a
Estonia	e s̺ t o n i a
Estoniako	e s̺ t o n i a k o
Estonian	e s̺ t o n i a n
Etsai	e t͡s̺ a i̯
Etxague	e t͡ʃ a ɡ u e
Etxano	e t͡ʃ a n o
Euskadi	e u̯ s̺ k a d i
Euskaltzaindia	e u̯ s̺ k a l t͡s̻ a i̯ n d i a
Euzkadi	e u̯ s̻ k a d i
Ezkibel	e s̺ k i b e l
Ezkibel	e s̻ k i b e l
Ezpeleta	e s̺ p e l e t a
Ezpeleta	e s̻ p e l e t a
Eztegui	e s̻ t e ɡ u i̯
F	e f e
Filipinak	f i l i p i n a k
Finlandia	f i n l a n d i a
Frantzia	f r a n t͡s̻ i a
G	ɡ e
GGI	ɡ e ɡ e i
Galdakao	ɡ a l d a k a o
Gales	ɡ a l e s̺
Garbiñe	ɡ a r b i ɲ e
Garikoitz	ɡ a ɾ i k o i̯ t͡s̻
Garizuma	ɡ a ɾ i s̻ u m a
Gasteiz	ɡ a s̺ t e i̯ s̺
Gasteiz	ɡ a s̺ t e i̯ s̻
Gaztela	ɡ a s̺ t e l a
Gaztela	ɡ a s̻ t e l a
Gebara	ɡ e b a ɾ a
Georgia	ɡ e o r ɡ i a
Geraxane	ɡ e ɾ a ʃ a n e
German	ɡ e r m a n
Germana	ɡ e r m a n a
Gernika	ɡ e r n i k a
Getaria	ɡ e t a ɾ i a
Ghana	ɡ a n a
Ghanan	ɡ a n a n
Gil	ɡ i l
Gilermo	ɡ i l e r m o
Gilermo	ɡ i ʎ e r m o
Gillermo	ɡ i ʎ e r m o
Ginea	ɡ i n e a
Gipuzkoa	ɡ i p u s̺ k o a
Gipuzkoa	ɡ i p u s̻ k o a
Gipuzkoan	ɡ i p u s̻ k o a n
Giralda	ɡ i ɾ a l d a
Gisela	ɡ i s̺ e l a
Gixane	ɡ i ʃ a n e
Gizakunde	ɡ i s̺ a k u n d e
Gizakunde	ɡ i s̻ a k u n d e
Gizane	ɡ i s̺ a n e
Gizane	ɡ i s̻ a n e
Godantzia	ɡ o d a n t͡s̻ i a
Goikoetxea	ɡ o i̯ k o e t͡ʃ e a
Gorka	ɡ o r k a
Gorospe	ɡ o ɾ o s̺ p e
Grezia	ɡ r e s̺ i a
Grezia	ɡ r e s̻ i a
H	a t͡ʃ e
H	h a t͡ʃ e
Hendaia	e n d a i̯ a
Hendaia	h e n d a i̯ a
Herbehereak	e r b e ɾ e a k
Herbehereak	h e r b e h e ɾ e a k
Hungaria	h u n ɡ a ɾ i a
Hungaria	u n ɡ a ɾ i a
Hungariako	h u n ɡ a ɾ i a k o
Hungariako	u n ɡ a ɾ i a k o
Hungarian	h u n ɡ a ɾ i a n
Hungarian	u n ɡ a ɾ i a n
I	i
Ibarreta	i b a r e t a
Idiazabal	i d i a s̺ a b a l
Idiazabal	i d i a s̻ a b a l
Iker	i k e r
Ilargia	i l a r ɡ i a
Ilargia	i ʎ a r ɡ i a
Imanol	i m a n o l
India	i n d i a
Ingalaterra	i n ɡ a l a t e r a
Iran	i ɾ a n
Iratxe	i ɾ a t͡ʃ e
Irlanda	i r l a n d a
Irulegi	i ɾ u l e ɡ i
Iruña	i ɾ u ɲ a
Iruñea	i ɾ u ɲ e a
Islandia	i s̺ l a n d i a
Italia	i t a l i a
Italian	i t a l i a n
Itsasu	i t͡s̺ a s̺ u
Itsasu	i t͡s̻ a s̺ u
Iturralde	i t u r a l d e
Itxaso	i t͡ʃ a s̺ o
Itziar	i t͡s̻ i a r
Izaro	i s̺ a ɾ o
Izaro	i s̻ a ɾ o
Iñaki	i ɲ a k i
J	j o t a
J	x o t a
Japonia	d͡ʒ a p o n i a
Japonia	j a p o n i a
Japonia	ɟ a p o n i a
Jaungoikoa	d͡ʒ a u̯ n ɡ o i̯ k o a
Jaungoikoa	j a u̯ n ɡ o i̯ k o a
Jaungoikoa	x a u̯ n ɡ o i̯ k o a
Jaungoikoa	ɟ a u̯ n ɡ o i̯ k o a
Jon	d͡ʒ o n
Jon	j o n
Jon	ɟ o n
Jone	d͡ʒ o n e
Jone	j o n e
Jone	ɟ o n e
Jordania	d͡ʒ o r d a n i a
Jordania	j o r d a n i a
Jordania	x o r d a n i a
Jordania	ɟ o r d a n i a
Jugoslavia	d͡ʒ u ɡ o s̺ l a b i a
Jugoslavia	j u ɡ o s̺ l a b i a
Jugoslavia	ɟ u ɡ o s̺ l a b i a
Jugoslavian	j u ɡ o s̺ l a b i a n
Julen	d͡ʒ u l e n
Julen	j u l e n
Julen	ɟ u l e n
K	k a
Kamerun	k a m e ɾ u n
Kanbodia	k a m b o d i a
Karmele	k a r m e l e
Karramarroa	k a r a m a r o a
Kartago	k a r t a ɡ o
Katalunia	k a t a l u n i a
Kazakhstan	k a s̺ a x s̺ t a n
Kazakhstan	k a s̻ a k s̺ t a n
Kazakhstan	k a s̻ a x s̺ t a n
Kepa	k e p a
Kirgizistan	k i r ɡ i s̺ i s̺ t a n
Kirgizistan	k i r ɡ i s̻ i s̺ t a n
Koldo	k o l d o
Kordoba	k o r d o b a
Kroazia	k r o a s̺ i a
Kroazia	k r o a s̻ i a
Kuba	k u b a
L	e l e
LAIA	l a i̯ a
Labaien	l a b a i̯ e n
Laos	l a o s̺
Lardizabal	l a r d i s̺ a b a l
Lardizabal	l a r d i s̻ a b a l
Lasarte	l a s̺ a r t e
Legarda	l e ɡ a r d a
Legazpi	l e ɡ a s̺ p i
Legazpi	l e ɡ a s̻ p i
Lehen	l e h e n
Lehen	l e n
Lekubarri	l e k u b a r i
Lekunberri	l e k u m b e r i
Leonora	l e o n o ɾ a
Leopoldo	l e o p o l d o
Lerate	l e ɾ a t e
Letizia	l e t i s̺ i a
Letizia	l e t i s̻ i a
Letonia	l e t o n i a
Leza	l e s̺ a
Leza	l e s̻ a
Lezaeta	l e s̺ a e t a
Lezaeta	l e s̻ a e t a
Lezana	l e s̺ a n a
Lezana	l e s̻ a n a
Lezeta	l e s̺ e t a
Lezeta	l e s̻ e t a
Lezo	l e s̺ o
Lezo	l e s̻ o
Libano	l i b a n o
Libe	l i b e
Lide	l i d e
Lidia	l i d i a
Lierni	l i e r n i
Lilian	l i l i a n
Lino	l i n o
Lionel	l i o n e l
Lirain	l i ɾ a i̯ n
Lisabe	l i s̺ a b e
Lituania	l i t u a n i a
Lituania	l i t w a n i a
Lizardi	l i s̺ a r d i
Lizardi	l i s̻ a r d i
Lizarra	l i s̺ a r a
Lizarra	l i s̻ a r a
Luhuso	l u h u s̺ o
Luhuso	l u s̺ o
Lurra	l u r a
Luxenburgo	l u k s̺ e m b u r ɡ o
M	e m e
Madariaga	m a d a ɾ i a ɡ a
Madril	m a d r i l
Maite	m a i̯ t e
Makaronesia	m a k a ɾ o n e s̺ i a
Makea	m a k e a
Mali	m a l i
Malin	m a l i n
Malta	m a l t a
Maroko	m a ɾ o k o
Mayte	m a i̯ t e
Mendiola	m e n d i o l a
Mendoza	m e n d o s̺ a
Mendoza	m e n d o s̻ a
Miarritze	m i a r i t͡s̻ e
Mikel	m i k e l
Miren	m i ɾ e n
Moldavia	m o l d a b i a
Moldavian	m o l d a b i a n
Mongolia	m o n ɡ o l i a
N	e n e
Nafarroa	n a f a r o a
Norvegia	n o r b e ɡ i a
O	o
OHE	o b j e k t u e ɡ a l a ɾ i e s̻ e s̻ a ɡ u n
OHE	o b j e k t u h e ɡ a l a ɾ i e s̻ e s̻ a ɡ u n
OHE	o e
OHE	o h e
Olano	o l a n o
Olarte	o l a r t e
Ondarroa	o n d a r o a
Orendain	o ɾ e n d a i̯ n
Orreaga	o r e a ɡ a
Oñati	o ɲ a t i
P	p e
Palestina	p a l e s̺ t i n a
Pandora	p a n d o ɾ a
Peirahorada	p e i̯ ɾ a h o ɾ a d a
Peirahorada	p e i̯ ɾ a o ɾ a d a
Petri	p e t r i
Pirinioak	p i ɾ i n i o a k
Polonia	p o l o n i a
Polonian	p o l o n i a n
Portugal	p o r t u ɡ a l
Q	k u
R	e r e
S	e s̺ e
Sabin	s̺ a b i n
Salaberria	s̺ a l a b e r i a
San	s̺ a n
Sarriegi	s̺ a r i e ɡ i
Satan	s̺ a t a n
Serbia	s̺ e r b i a
Singapur	s̺ i n ɡ a p u r
Sofokles	s̺ o f o k l e s̺
Suedia	s̺ u e d i a
Suitza	s̺ u i̯ t͡s̻ a
T	t e
Ternua	t e r n u a
Transnistria	t r a n s̺ n i s̺ t r i a
Tunisia	t u n i s̺ i a
Tunisian	t u n i s̺ i a n
Turkia	t u r k i a
Txile	t͡ʃ i l e
Txina	t͡ʃ i n a
U	u
Ubalde	u b a l d e
Ugalde	u ɡ a l d e
Ukraina	u k r a i̯ n a
Ukrainan	u k r a i̯ n a n
Unai	u n a i̯
Urizaharra	u ɾ i s̺ a r a
Urizaharra	u ɾ i s̻ a h a r a
Urizaharra	u ɾ i s̻ a r a
V	u b e
Valentzia	b a l e n t͡s̻ i a
Vietnam	b i e t n a m
W	u b e b i k o i̯ t͡s̻
Wikiztegia	w i k i s̺ t e ɡ i a
Wikiztegia	w i k i s̻ t e ɡ i a
X	i ʃ a
Xabier	ʃ a b i e r
Xelena	ʃ e l e n a
Xemein	ʃ e m e i̯ n
Ximena	ʃ i m e n a
Ximon	ʃ i m o n
Ximun	ʃ i m u n
Xobadin	ʃ o b a d i n
Xuban	ʃ u b a n
Xuntako	ʃ u n t a k o
Y	i ɡ r e k o
Z	s̻ e t a
Zabala	s̺ a b a l a
Zabala	s̻ a b a l a
Zaldarriaga	s̺ a l d a r i a ɡ a
Zaldarriaga	s̻ a l d a r i a ɡ a
Zaldibar	s̺ a l d i b a r
Zaldibar	s̻ a l d i b a r
Zangoza	s̺ a n ɡ o s̺ a
Zangoza	s̻ a n ɡ o s̻ a
Zarautz	s̺ a ɾ a u̯ t͡s̻
Zarautz	s̻ a ɾ a u̯ t͡s̻
Zipre	s̺ i p r e
Zipre	s̻ i p r e
Zornotza	s̺ o r n o t͡s̻ a
Zornotza	s̻ o r n o t͡s̻ a
Zubiaga	s̺ u b i a ɡ a
Zubiaga	s̻ u b i a ɡ a
Zubiri	s̺ u b i ɾ i
Zubiri	s̻ u b i ɾ i
Zulueta	s̺ u l u e t a
Zulueta	s̻ u l u e t a
Zumarraga	s̺ u m a r a ɡ a
Zumarraga	s̻ u m a r a ɡ a
Zuraide	s̺ u ɾ a i̯ d e
Zuraide	s̻ u ɾ a i̯ d e
Zuriñe	s̺ u ɾ i ɲ e
Zuriñe	s̻ u ɾ i ɲ e
Zuñiga	s̺ u ɲ i ɡ a
Zuñiga	s̻ u ɲ i ɡ a
a	a
aba	a b a
ababor	a b a b o r
abade	a b a d e
abadegai	a b a d e ɡ a i̯
abadegintza	a b a d e ɡ i n t͡s̻ a
abadeki	a b a d e k i
abadesa	a b a d e s̺ a
abadetar	a b a d e t a r
abadetasun	a b a d e t a s̺ u n
abadetu	a b a d e t u
abadetza	a b a d e t͡s̻ a
abadia	a b a d i a
abadot	a b a d o t
abagune	a b a ɡ u n e
abail	a b a i̯ l
abaila	a b a i̯ l a
abaila	a b a ʎ a
abaildu	a b a i̯ l d u
abaildura	a b a i̯ l d u ɾ a
abakando	a b a k a n d o
abako	a b a k o
abal	a b a l
abalatu	a b a l a t u
abaldun	a b a l d u n
abalkide	a b a l k i d e
abandonatu	a b a n d o n a t u
abandonu	a b a n d o n u
abangoardia	a b a n ɡ o a r d i a
abangoardismo	a b a n ɡ o a r d i s̺ m o
abangoardista	a b a n ɡ o a r d i s̺ t a
abant	a b a n t
abantada	a b a n t a d a
abantaila	a b a n t a i̯ l a
abantaila	a b a n t a ʎ a
abantailatsu	a b a n t a i̯ l a t͡s̺ u
abantailatsu	a b a n t a ʎ a t͡s̺ u
abantailatsu	a b a n t a ʎ a t͡s̻ u
abantailatu	a b a n t a i̯ l a t u
abantailatu	a b a n t a ʎ a t u
abantailatuki	a b a n t a i̯ l a t u k i
abantailatuki	a b a n t a ʎ a t u k i
abantailos	a b a n t a i̯ l o s̺
abantailos	a b a n t a ʎ o s̺
abantailoski	a b a n t a i̯ l o s̺ k i
abantailoski	a b a n t a ʎ o s̺ k i
abantari	a b a n t a ɾ i
abantean	a b a n t e a n
abantzamendu	a b a n t͡s̻ a m e n d u
abantzatu	a b a n t͡s̻ a t u
abantzu	a b a n t͡s̻ u
abantzuño	a b a n t͡s̻ u ɲ o
abao	a b a o
abar	a b a r
abaraska	a b a ɾ a s̺ k a
abaritz	a b a ɾ i t͡s̻
abarizia	a b a ɾ i s̺ i a
abarizia	a b a ɾ i s̻ i a
abarizti	a b a ɾ i s̺ t i
abarizti	a b a ɾ i s̻ t i
abarka	a b a r k a
abarkadun	a b a r k a d u n
abarkagile	a b a r k a ɡ i l e
abarkagile	a b a r k a ɡ i ʎ e
abarkagin	a b a r k a ɡ i n
abarkagintza	a b a r k a ɡ i n t͡s̻ a
abarkari	a b a r k a ɾ i
abarketa	a b a r k e t a
abarketari	a b a r k e t a ɾ i
abaro	a b a ɾ o
abarotsu	a b a ɾ o t͡s̺ u
abarotsu	a b a ɾ o t͡s̻ u
abarrakitu	a b a r a k i t u
abarreria	a b a r e ɾ i a
abarreztatu	a b a r e s̺ t a t u
abarreztatu	a b a r e s̻ t a t u
abarrots	a b a r o t͡s̺
abarrots	a b a r o t͡s̻
abartegi	a b a r t e ɡ i
abartsu	a b a r t͡s̺ u
abartsu	a b a r t͡s̻ u
abartu	a b a r t u
abata	a b a t a
abatari	a b a t a ɾ i
abatz	a b a t͡s̻
abdikatu	a b d i k a t u
abdikazio	a b d i k a s̺ i o
abdikazio	a b d i k a s̻ i o
abdomen	a b d o m e n
abdukzio	a b d u k s̺ i o
abdukzio	a b d u k s̻ i o
abegi	a b e ɡ i
abegikor	a b e ɡ i k o r
abegitsu	a b e ɡ i t͡s̺ u
abegitsu	a b e ɡ i t͡s̻ u
abelazkuntza	a b e l a s̺ k u n t͡s̻ a
abelazkuntza	a b e l a s̻ k u n t͡s̻ a
abelbide	a b e l b i d e
abelburu	a b e l b u ɾ u
abeldar	a b e l d a r
abeldun	a b e l d u n
abeletxe	a b e l e t͡ʃ e
abelgorri	a b e l ɡ o r i
abelgorriki	a b e l ɡ o r i k i
abeltegi	a b e l t e ɡ i
abeltzain	a b e l t͡s̻ a i̯ n
abeltzainak	a b e l t͡s̻ a i̯ n a k
abeltzainak	a b e l t͡s̻ a ɲ a k
abeltzaini	a b e l t͡s̻ a i̯ n i
abeltzaini	a b e l t͡s̻ a ɲ i
abeltzainik	a b e l t͡s̻ a i̯ n i k
abeltzainik	a b e l t͡s̻ a ɲ i k
abeltzaintza	a b e l t͡s̻ a i̯ n t͡s̻ a
abemaria	a b e m a ɾ i a
abemarietako	a b e m a ɾ i e t a k o
abendu	a b e n d u
abenka	a b e n k a
abentura	a b e n t u ɾ a
abenturazale	a b e n t u ɾ a s̺ a l e
abenturazale	a b e n t u ɾ a s̻ a l e
aberasbide	a b e ɾ a s̺ b i d e
aberasgarri	a b e ɾ a s̺ ɡ a r i
aberaskeria	a b e ɾ a s̺ k e ɾ i a
aberasketa	a b e ɾ a s̺ k e t a
aberaski	a b e ɾ a s̺ k i
aberaskume	a b e ɾ a s̺ k u m e
aberastasun	a b e ɾ a s̺ t a s̺ u n
aberaste	a b e ɾ a s̺ t e
aberastu	a b e ɾ a s̺ t u
aberats	a b e ɾ a t͡s̺
aberats	a b e ɾ a t͡s̻
abere	a b e ɾ e
aberekeria	a b e ɾ e k e ɾ i a
abereki	a b e ɾ e k i
aberekoi	a b e ɾ e k o i̯
aberetasun	a b e ɾ e t a s̺ u n
aberetiar	a b e ɾ e t i a r
aberetu	a b e ɾ e t u
aberetzar	a b e ɾ e t͡s̻ a r
aberezale	a b e ɾ e s̺ a l e
aberezale	a b e ɾ e s̻ a l e
aberezko	a b e ɾ e s̺ k o
aberezko	a b e ɾ e s̻ k o
aberrazio	a b e r a s̻ i o
aberri	a b e r i
aberrigabe	a b e r i ɡ a b e
aberriratu	a b e r i ɾ a t u
abertzale	a b e r t͡s̻ a l e
abertzalego	a b e r t͡s̻ a l e ɡ o
abertzalekeria	a b e r t͡s̻ a l e k e ɾ i a
abertzaletasun	a b e r t͡s̻ a l e t a s̺ u n
abertzaletu	a b e r t͡s̻ a l e t u
abes	a b e s̺
abesbatza	a b e s̺ b a t͡s̻ a
abeslari	a b e s̺ l a ɾ i
abestalde	a b e s̺ t a l d e
abestaldi	a b e s̺ t a l d i
abeste	a b e s̺ t e
abesten	a b e s̺ t e n
abesti	a b e s̺ t i
abestu	a b e s̺ t u
abestuko	a b e s̺ t u k o
abia	a b i a
abiaburu	a b i a b u ɾ u
abiada	a b i a d a
abiadan	a b i a d a n
abiadura	a b i a d u ɾ a
abiagailu	a b i a ɡ a i̯ l u
abiagailu	a b i a ɡ a ʎ u
abiagune	a b i a ɡ u n e
abialdi	a b i a l d i
abiamen	a b i a m e n
abian	a b i a n
abiapuntu	a b i a p u n t u
abiarazi	a b i a ɾ a s̺ i
abiarazi	a b i a ɾ a s̻ i
abiarazle	a b i a ɾ a s̺ l e
abiarazle	a b i a ɾ a s̻ l e
abiasari	a b i a s̺ a ɾ i
abiatu	a b i a t u
abiatzaile	a b i a t͡s̻ a i̯ l e
abiatzaile	a b i a t͡s̻ a ʎ e
abiazio	a b i a s̻ i o
abil	a b i l
abildu	a b i l d u
abilezia	a b i l e s̻ i a
abilidade	a b i l i d a d e
abilki	a b i l k i
abiltasun	a b i l t a s̺ u n
abio	a b i o
abioneta	a b i o n e t a
abisal	a b i s̺ a l
abisatu	a b i s̺ a t u
abisu	a b i s̺ u
abitu	a b i t u
abixoi	a b i ʃ o i̯
abizari	a b i s̺ a ɾ i
abizari	a b i s̻ a ɾ i
abizen	a b i s̻ e n
abkhazera	a b k a s̻ e ɾ a
abkhazera	a b x a s̺ e ɾ a
abkhazera	a b x a s̻ e ɾ a
abkhaziar	a b x a s̻ i a r
abkhaziera	a b k a s̻ i e ɾ a
abkhaziera	a b x a s̺ i e ɾ a
abkhaziera	a b x a s̻ i e ɾ a
ablatibo	a b l a t i b o
ablazio	a b l a s̻ i o
aboatu	a b o a t u
abokatu	a b o k a t u
abokatuk	a b o k a t u k
abokaturik	a b o k a t u ɾ i k
abokatutza	a b o k a t u t͡s̻ a
abolitu	a b o l i t u
abolizio	a b o l i s̻ i o
abolizionismo	a b o l i s̻ i o n i s̺ m o
abolizionista	a b o l i s̺ i o n i s̺ t a
abolizionista	a b o l i s̻ i o n i s̺ t a
abonamendu	a b o n a m e n d u
abonatu	a b o n a t u
abondo	a b o n d o
abonitu	a b o n i t u
abonu	a b o n u
abordatu	a b o r d a t u
abordatze	a b o r d a t͡s̻ e
aborigen	a b o ɾ i ɡ e n
aborin	a b o ɾ i n
aborritu	a b o r i t u
abortatu	a b o r t a t u
abortatze	a b o r t a t͡s̻ e
abortu	a b o r t u
abortza	a b o r t͡s̻ a
abrasio	a b r a s̺ i o
abrigo	a b r i ɡ o
abrigu	a b r i ɡ u
abrikot	a b r i k o t
abrikotondo	a b r i k o t o n d o
abruska	a b r u s̺ k a
absente	a b s̺ e n t e
absentismo	a b s̺ e n t i s̺ m o
absentzia	a b s̺ e n t͡s̻ i a
abside	a b s̺ i d e
absolbitu	a b s̺ o l b i t u
absolutibo	a b s̺ o l u t i b o
absolutismo	a b s̺ o l u t i s̺ m o
absolutista	a b s̺ o l u t i s̺ t a
absolutu	a b s̺ o l u t u
absolutuki	a b s̺ o l u t u k i
absolututasun	a b s̺ o l u t u t a s̺ u n
absoluzio	a b s̺ o l u s̻ i o
absorbatu	a b s̺ o r b a t u
absortzio	a b s̺ o r t͡s̻ i o
abstenitu	a b s̺ t e n i t u
abstentzio	a b s̺ t e n t͡s̻ i o
abstinentzia	a b s̺ t i n e n t͡s̻ i a
abstinentzia	a b s̺ t i ɲ e n t͡s̻ i a
abstraitu	a b s̺ t r a i̯ t u
abstraktu	a b s̺ t r a k t u
abstrakzio	a b s̺ t r a k s̺ i o
abstrakzio	a b s̺ t r a k s̻ i o
absurdo	a b s̺ u r d o
abu	a b u
aburna	a b u r n a
aburu	a b u ɾ u
aburukide	a b u ɾ u k i d e
aburumenka	a b u ɾ u m e n k a
aburuz	a b u ɾ u s̺
aburuz	a b u ɾ u s̻
abusatu	a b u s̺ a t u
abusu	a b u s̺ u
abuztu	a b u s̺ t u
abuztu	a b u s̻ t u
abzesu	a b s̺ e s̺ u
abzesu	a b s̻ e s̺ u
abzisa	a b s̺ i s̺ a
abzisa	a b s̻ i s̺ a
accesit	a k s̺ e s̺ i t
accesit	a k s̻ e s̺ i t
adabaki	a d a b a k i
adabakitu	a d a b a k i t u
adabatu	a d a b a t u
adabegi	a d a b e ɡ i
adabegitsu	a d a b e ɡ i t͡s̺ u
adabegitsu	a d a b e ɡ i t͡s̻ u
adabeso	a d a b e s̺ o
adaburu	a d a b u ɾ u
adaburutu	a d a b u ɾ u t u
adagio	a d a ɡ i o
adaje	a d a x e
adaje	a d a ʒ e
adakera	a d a k e ɾ a
adaki	a d a k i
adakitu	a d a k i t u
adaptatu	a d a p t a t u
adar	a d a r
adarbakar	a d a r b a k a r
adarbakoitz	a d a r b a k o i̯ t͡s̻
adardun	a d a r d u n
adargabe	a d a r ɡ a b e
adarjotzaile	a d a r d͡ʒ o t͡s̻ a ʎ e
adarjotzaile	a d a r j o t͡s̻ a ʎ e
adarjotzaile	a d a r x o t͡s̻ a ʎ e
adarjotzaile	a d a r ɟ o t͡s̻ a i̯ l e
adarjotze	a d a r d͡ʒ o t͡s̻ e
adarjotze	a d a r j o t͡s̻ e
adarjotze	a d a r x o t͡s̻ e
adarjotze	a d a r ɟ o t͡s̻ e
adarka	a d a r k a
adarkada	a d a r k a d a
adarkadura	a d a r k a d u ɾ a
adarkari	a d a r k a ɾ i
adarkatu	a d a r k a t u
adarki	a d a r k i
adarmotz	a d a r m o t͡s̻
adaro	a d a ɾ o
adarreko	a d a r e k o
adarrondo	a d a r o n d o
adarrondotsu	a d a r o n d o t͡s̺ u
adarrondotsu	a d a r o n d o t͡s̻ u
adartsu	a d a r t͡s̺ u
adartsu	a d a r t͡s̻ u
adartu	a d a r t u
adarzabal	a d a r s̺ a b a l
adarzabal	a d a r s̻ a b a l
adasdun	a d a s̺ d u n
adastu	a d a s̺ t u
adats	a d a t͡s̺
adats	a d a t͡s̻
adausi	a d a u̯ s̺ i
adausika	a d a u̯ s̺ i k a
adaxka	a d a ʃ k a
adberbial	a d b e r b i a l
adberbio	a d b e r b i o
adegi	a d e ɡ i
adei	a d e i̯
adeitasun	a d e i̯ t a s̺ u n
adeitasunez	a d e i̯ t a s̺ u n e s̺
adeitasunez	a d e i̯ t a s̺ u n e s̻
adeitasunezko	a d e i̯ t a s̺ u n e s̺ k o
adeitasunezko	a d e i̯ t a s̺ u n e s̻ k o
adeitsu	a d e i̯ t͡s̺ u
adeitsu	a d e i̯ t͡s̻ u
adeitsuki	a d e i̯ t͡s̺ u k i
adeitsuki	a d e i̯ t͡s̻ u k i
adelatu	a d e l a t u
adelazale	a d e l a s̻ a l e
adelu	a d e l u
adenina	a d e n i n a
adi	a d i
adia	a d i a
adiabatiko	a d i a b a t i k o
adiagile	a d i a ɡ i l e
adiagile	a d i a ɡ i ʎ e
adiaka	a d i a k a
adiakari	a d i a k a ɾ i
adiakatu	a d i a k a t u
adian	a d i a n
adibide	a d i b i d e
adibidetegi	a d i b i d e t e ɡ i
adibidez	a d i b i d e s̺
adibidez	a d i b i d e s̻
adiera	a d i e ɾ a
adierabakar	a d i e ɾ a b a k a r
