अन्न	ə n nᵊ
हिनि	ɦ ɪ n ɪ̆
हिनि	ɦ ɪ ɪ n
हिनें	ɦ ɪ n ẽː
हुनकर	ɦ ʊ nᵊ k ə ɾ
हुनका	ɦ ʊ nᵊ k aː
हुनकाल	ɦ ʊ nᵊ k aː l
हुनकें	ɦ ʊ nᵊ k ẽː
हुनि	ɦ ʊ n ɪ̆
हुनि	ɦ ʊ ɪ n
ॳ	ᵊ
ॴ	a
ꣾ	ə ĕ
ꣾ	ɛ
