Ёма	j o m a
вӧскресенньӧ	ʋ ɘ s k r e ɕ e ɲː ɘ
вӧт	ʋ ɘ t
вӧтны	ʋ ɘ t n ɯ
вӧӧ	ʋ ɘː
гаг	ɡ a ɡ
гадь	ɡ a ɟ
гаж	ɡ a ʒ
гажа	ɡ a ʒ a
гач	ɡ a t͡ɕ
геб	ɡ e b
гез	ɡ e z
гезъяс	ɡ e z j a s
география	ɡ e o ɡ r a f i j a
гоб	ɡ o b
гож	ɡ o ʒ
гожӧм	ɡ o ʒ ɘ m
гоз	ɡ o z
гозъя	ɡ o z j a
голя	ɡ o ʎ a
горда	ɡ o r d a
горс	ɡ o r s
горт	ɡ o r t
грезд	ɡ r e z d
гурина	ɡ u r i n a
гыж	ɡ ɯ ʒ
гыр	ɡ ɯ r
гырд	ɡ ɯ r d
гырк	ɡ ɯ r k
гырся	ɡ ɯ r ɕ a
гырысь	ɡ ɯ r ɯ ɕ
гыч	ɡ ɯ t͡ɕ
гӧг	ɡ ɘ ɡ
гӧгинь	ɡ ɘ ɡ i ɲ
гӧгӧра	ɡ ɘ ɡ ɘ r a
гӧлӧс	ɡ ɘ l ɘ s
гӧн	ɡ ɘ n
гӧнец	ɡ ɘ ɲ e t͡s
гӧп	ɡ ɘ p
гӧр	ɡ ɘ r
гӧрд	ɡ ɘ r d
гӧсть	ɡ ɘ s c
гӧстя	ɡ ɘ s c a
гӧтыр	ɡ ɘ t ɯ r
гӧтыра	ɡ ɘ t ɯ r a
да	d a
дав	d a ʋ
дас	d a s
дворец	d ʋ o r e t͡s
декабр	ɟ e k a b
джадж	d͡ʒ a d͡ʒ
джек	d͡ʒ e k
джодж	d͡ʒ o d͡ʒ
джуджда	d͡ʒ u d͡ʒ d a
джуджыд	d͡ʒ u d͡ʒ ɯ d
джын	d͡ʒ ɯ n
дзодзӧг	d͡ʑ o d͡ʑ ɘ ɡ
дзонь	d͡ʑ o ɲ
дзоридз	d͡ʑ o r i d͡ʑ
диагональ	ɟ i a ɡ o n a ʎ
диаметр	ɟ i a m e t ɘ r
додь	d o ɟ
доз	d o z
дон	d o n
дор	d o r
дорын	d o r ɯ n
дорӧс	d o r ɘ s
дроб	d r o b
дрӧб	d r ɘ b
дрӧбитны	d r ɘ b i t n ɯ
дуль	d u ʎ
дуриан	d u r i a n
дыш	d ɯ ʃ
дядь	ɟ a ɟ
ді	d i
еджыд	j e d͡ʒ ɯ d
ен	j e n
енманӧй	j e n m a n ɘ j
енэж	j e n e ʒ
жель	ʒ e ʎ
животнӧй	ʒ i ʋ o t n ɘ j
жыр	ʒ ɯ r
жӧник	ʒ ɘ ɲ i k
зарни	z a r ɲ i
зверь	z ʋ e r
зеп	ʑ e p
зильгыны	ʑ i ʎ ɡ ɯ n ɯ
зилькнитны	zʲ i lʲ k nʲ i t n ɨ
змей	z m e j
знаменатель	z n a m e n a c e ʎ
зоб	z o b
зон	z o n
зонка	z o n k a
зыр	z ɯ r
зэр	z e r
зі	z i
зіб	z i b
зіль	z i ʎ
зілюн	z i ʎ u n
зӧр	z ɘ r
и	i
ид	i d
идз	i d͡ʑ
из	i z
история	i s t o r i j a
ичинь	i t͡ɕ i ɲ
июль	i j u ʎ
июнь	i j u ɲ
йидны	j i d n ɯ
йиді	j i d i
йыв	j ɯ ʋ
йӧв	j ɘ ʋ
йӧгра	j ɘ ɡ r a
йӧз	j ɘ z
йӧзви	j ɘ z ʋ i
йӧй	j ɘ j
йӧктыны	j ə k t ɨ n ɨ
йӧюк	j ɘ j u k
кага	k a ɡ a
кад	k a d
канава	k a n a ʋ a
кань	k a ɲ
каньпи	k a ɲ p i
кар	k a r
картафель	k a r t a f e ʎ
картупель	k a r t u p e ʎ
кась	k a ɕ
катша	k a t͡ʃ a
катшаанӧй	k a t͡ʃ a ʔ a n ɘ j
квайт	k ʋ a j t
квайтымын	k ʋ a j t ɯ m ɯ n
кев	k e ʋ
кер	k e r
керка	k e r k a
ки	k i
кидас	k i d a s
кись	k i ɕ
ключ	k ʎ u t͡ɕ
книга	k ɲ i ɡ a
ков	k o ʋ
ковны	k o ʋ n ɯ
код	k o d
кодзны	k o d͡ʑ n ɯ
кодзув	k o d͡ʑ u ʋ
кодзувкот	k o d͡ʑ u ʋ k o t
кодкӧ	k o d k ɘ
кодсюрӧ	k o d ɕ u r ɘ
кодыр	k o d ɯ r
кодь	k o ɟ
коді	k o d i
коз	k o z
козин	k o ʑ i n
койны	k o j n ɯ
кок	k o k
коксяр	k o k ɕ a r
коль	k o ʎ
кольк	k o ʎ k
коми	k o m i
комиасьны	k o m i a ɕ n ɯ
комын	k o m ɯ n
кор	k o r
корек	k o r e k
кос	k o s
кось	k o ɕ
котӧртны	k o t ə r t n ɨ
куз	k u z
кузь	k u ʑ
кузя	k u ʑ a
куим	k u i m
кук	k u k
кукань	k u k a ɲ
куканя	k u k a ɲ a
кулӧм	k u l ɘ m
кути	k u c i
кутны	k u t n ɯ
кутю	k u c u
кутян	k u c a n
кы	k ɯ
кыв	k ɯ ʋ
кывны	k ɯ ʋ n ɯ
кывчукӧр	k ɯ ʋ t͡ɕ u k ɘ r
кыдз	k ɯ d͡ʑ
кыз	k ɯ z
кыза	k ɯ z a
кызта	k ɯ z t a
кызь	k ɯ ʑ
кый	k ɯ j
кык	k ɯ k
кымӧс	k ɯ m ɘ s
кыны	k ɯ n ɯ
кынь	k ɯ ɲ
кыр	k ɯ r
кырныш	k ɯ r n ɯ ʃ
кыс	k ɯ s
кытш	k ɯ t͡ʃ
кычан	k ɯ t͡ɕ a n
кычи	k ɯ t͡ɕ i
кыы	k ɯː
кыыны	k ɯː n ɯ
кӧв	k ɘ ʋ
кӧин	k ɘ i n
кӧинпи	k ɘ i n p i
кӧкъямыс	k ɘ k j a m ɯ s
кӧкъямысдас	k ɘ k j a m ɯ s d a s
кӧр	k ɘ r
кӧрт	k ɘ r t
кӧч	k ɘ t͡ɕ
кӧчиль	k ɘ t͡ɕ i ʎ
лап	l a p
лапӧд	l a p ɘ d
ласича	l a ɕ i t͡ɕ a
латшӧг	l a t͡ʃ ɘ ɡ
лев	ʎ e ʋ
леденец	ʎ e ɟ e ɲ e t͡s
лек	ʎ e k
лов	l o ʋ
лоны	l o n ɯ
лоо	l oː
лоп	l o p
лудік	l u d i k
лук	l u k
лун	l u n
лунвыв	l u n ʋ ɯ ʋ
лы	l ɯ
лыд	l ɯ d
лыддьыны	l ɯ ɟː ɯ n ɯ
лым	l ɯ m
лыс	l ɯ s
льӧб	ʎ ɘ b
льӧм	ʎ ɘ m
лэбач	l e b a t͡ɕ
лэбзьыны	l e b zʲ ɨ n ɨ
лэбны	l e b n ɯ
лӧдз	l ɘ d͡ʑ
ма	m a
май	m a j
малязі	m a ʎ a z i
малямуш	m a ʎ a m u ʃ
мам	m a m
мамук	m ɑ m u k
манак	m a n a k
марксизм	m a r k ɕ i z ɘ m
март	m a r t
ме	m e
мед	m e d
медводдза	m e d ʋ o d͡ʑː a
мек	m e k
мел	m e l
менам	m e n a m
ми	m i
мич	m i t͡ɕ
мича	m i t͡ɕ a
млекопитающӧй	m ʎ e k o p i t a j u ʃː ɘ j
мог	m o ɡ
мойд	m o j d
море	m o r e
морт	m o r t
мортанӧй	m o r t a n ɘ j
мортвиысь	m o r t ʋ i ɯ ɕ
мортсёйысь	m o r t ɕ o j ɯ ɕ
му	m u
мукӧд	m u k ɘ d
мунны	m u nː ɨ
мус	m u s
муса	m u s a
мусук	m u s u k
мый	m ɯ j
мыйкӧ	m ɯ j k ɘ
мыйсюрӧ	m ɯ j ɕ u r ɘ
мыльк	m ɯ ʎ k
мыр	m ɯ r
мыш	m ɯ ʃ
мӧвп	m ə v p
мӧд	m ɘ d
мӧдны	m ɘ d n ɯ
мӧс	m ɘ s
мӧсвидзысь	m ɘ s ʋ i d͡ʑ ɯ ɕ
на	n a
найӧ	n a j ɘ
нальк	n a ʎ k
народ	n a r o d
небӧг	ɲ e b ɘ ɡ
невеста	ɲ e ʋ e s t a
нек	ɲ e k
некод	ɲ e k o d
некымын	ɲ e k ɯ m ɯ n
нелямын	ɲ e ʎ a m ɯ n
неп	ɲ e p
нефть	ɲ e f c
низь	ɲ i ʑ
ним	ɲ i m
нин	ɲ i n
нинӧм	ɲ i n ɘ m
нитш	ɲ i t͡ʃ
ноко	n o k o
ном	n o m
ноябр	n o j a b
ныв	n ɯ ʋ
нывбаба	n ɯ ʋ b a b a
нывка	n ɯ ʋ k a
ныланӧй	n ɯ l a n ɘ j
ныр	n ɯ r
ныы	n ɯː
ньыв	ɲ ɯ ʋ
ньывк	ɲ ɯ ʋ k
ньӧв	ɲ ɘ ʋ
нэм	n e m
нюусись	ɲ uː ɕ i ɕ
нянь	ɲ a ɲ
нёль	ɲ o ʎ
нӧб	n ɘ b
нӧд	n ɘ d
нӧдкыв	n ɘ d k ɯ ʋ
нӧк	n ɘ k
об	o b
ов	o ʋ
овмӧс	o ʋ m ɘ s
овны	o ʋ n ɯ
ог	o ɡ
оз	o z
октябр	o k c a b
олан	o l a n
оланныд	o l ɑ nː ɨ d
олӧм	o l ɘ m
омӧль	o m ɘ ʎ
он	o n
ооны	oː n ɯ
ош	o ʃ
падеж	p a ɟ e ʒ
пар	p a r
парма	p a r m a
партия	p a r c i j a
паськыд	p a ɕ k ɯ d
пасьта	p a ɕ t a
пашкан	p a ʃ k a n
пев	p e ʋ
пей	p e j
пекнича	p e k ɲ i t͡ɕ a
пель	p e ʎ
пеля	p e ʎ a
первой	p e r ʋ o j
петас	p e t a s
печкыны	p e t͡sʲ k ɨ n ɨ
пи	p i
пианӧй	p i a n ɘ j
пив	p i ʋ
пивер	p i ʋ e r
пивиысь	p i ʋ i ɯ ɕ
пилот	p i l o t
пингвин	p i n ɡ ʋ i n
пингвинпи	p i n ɡ ʋ i n p i
пинь	p i ɲ
письмӧ	p i ɕ m ɘ
пиук	p i u k
плӧтник	p l ɘ t ɲ i k
повны	p o v n ɨ
пож	p o ʒ
поз	p o z
поле	p o ʎ e
поль	p o ʎ
польӧ	p o ʎ ɘ
полярнӧй	p o ʎ a r n ɘ j
пом	p o m
помка	p o m k a
пон	p o n
понпи	p o n p i
поп	p o p
пороз	p o r o z
порсь	p o r ɕ
порсьпи	p o r ɕ p i
пос	p o s
преник	p r e ɲ i k
пруд	p r u d
пу	p u
пув	p u ʋ
пуд	p u d
пуж	p u ʒ
пур	p u r
пурт	p u r t
пуртӧс	p u r t ɘ s
пуу	p uː
пывсьыны	p ɯ ʋ ɕ ɯ n ɯ
пывсян	p ɯ ʋ ɕ a n
пыд	p ɨ d
пыдна	p ɯ d n a
пыдын	p ɨ d ɨ n
пыдӧс	p ɯ d ɘ s
пыж	p ɯ ʒ
пызан	p ɯ z a n
пызь	p ɯ ʑ
пыш	p ɯ ʃ
пыысян	p ɯː ɕ a n
пятница	p a t ɲ i t͡s a
пӧв	p ɘ ʋ
пӧдруга	p ɘ d r u ɡ a
пӧк	p ɘ k
пӧлтинник	p ɘ l c i ɲː i k
пӧль	p ɘ ʎ
пӧрт	p ɘ r t
пӧръявны	p ɘ r j a ʋ n ɯ
пӧръясьны	p ɘ r j a ɕ n ɯ
пӧръясян	p ɘ r j a ɕ a n
пӧсь	p ɘ ɕ
пӧч	p ɘ t͡ɕ
равнина	r a ʋ ɲ i n a
рас	r a s
регыд	r e ɡ ɨ d
резӧб	r e z ɘ b
республика	r e s p u b ʎ i k a
рос	r o s
рот	r o t
роч	r o t͡ɕ
рочавны	r o t͡ɕ a ʋ n ɯ
рочасьны	r o t͡ɕ a ɕ n ɯ
рочӧдны	r o t͡ɕ ɘ d n ɯ
руд	r u d
руч	r u t͡ɕ
ручиль	r u t͡ɕ i ʎ
рысь	r ɯ ɕ
рыт	r ɯ t
рытыв	r ɯ t ɯ ʋ
рытыввыв	r ɯ t ɯ ʋ ʋ ɯ ʋ
сад	s a d
садь	s a ɟ
садьмыны	s a ɟ m ɯ n ɯ
сан	s a n
свод	s ʋ o d
сентябр	ɕ e n c a b
сер	ɕ e r
середа	ɕ e r e d a
си	ɕ i
сизим	ɕ i ʑ i m
сизимдас	ɕ i ʑ i m d a s
сикт	ɕ i k t
син	ɕ i n
синкым	ɕ i n k ɯ m
синлап	ɕ i n l a p
синлыс	ɕ i n l ɯ s
сир	ɕ i r
сись	ɕ i ɕ
слӧн	s l ɘ n
соболь	s o b o ʎ
сов	s o v
сод	s o d
сок	s o k
сос	s o s
среда	s r e d a
став	s t a ʋ
стрӧпилӧ	s t r ɘ p i l ɘ
субӧта	s u b ɘ t a
сувтны	s u ʋ t n ɯ
судно	s u d n o
сук	s u k
сунис	s u nʲ i s
суоми	s u o m i
сур	s u r
сутны	s u t n ɯ
сы	s ɯ
сьывны	ɕ ɯ ʋ n ɯ
сьыыны	ɕ ɯː n ɯ
сьӧд	ɕ ɘ d
сьӧдбӧж	ɕ ɘ d b ɘ ʒ
сьӧкта	ɕ ɘ k t a
сьӧкыд	sʲ ə k ɨ d
сьӧла	ɕ ɘ l a
сьӧлӧм	ɕ ɘ l ɘ m
сьӧм	ɕ ɘ m
сьӧмӧс	ɕ ɘ m ɘ s
сэк	s e k
сэки	s e k i
сэтшӧм	s e t͡ʃ ɘ m
сюв	ɕ u ʋ
сюзь	ɕ u ʑ
сюн	ɕ u n
сюр	ɕ u r
сюра	ɕ u r a
сюрс	ɕ u r s
сям	ɕ a m
сё	ɕ o
сёйны	ɕ o j n ɯ
сёйысь	ɕ o j ɯ ɕ
сёр	ɕ o r
сёрни	ɕ o r ɲ i
сёрӧн	sʲ o r ə n
сі	s i
сійӧ	s i j ɘ
сім	s i m
сӧн	s ɘ n
сӧп	s ɘ p
та	t ɑ
таб	t a b
таз	t a z
тайӧ	t ɑ j ə
талун	t a l u n
татшӧм	t a t͡ʃ ɘ m
телефон	c e ʎ e f o n
тигр	c i ɡ ɘ r
топӧдны	t o p ɘ d n ɯ
тор	t o r
тош	t o ʃ
тув	t u ʋ
тувсов	t u ʋ s o ʋ
туй	t u j
тулан	t u l a n
тулыс	t u l ɯ s
тупыль	t u p ɨ lʲ
тури	t u r i
турипи	t u r i p i
туркмен	t u r k m e n
туусоо	t uː s oː
тшак	t͡ʃ a k
тшыг	t͡ʃ ɯ ɡ
тшӧг	t͡ʃ ə ɡ
тшӧка	t͡ʃ ɘ k a
тшӧтшыд	t͡ʃ ɘ t͡ʃ ɯ d
ты	t ɯ
тыв	t ɯ ʋ
тырп	t ɯ r p
тысяча	t ɯ ɕ a t͡ɕ a
тыш	t ɯ ʃ
тыы	t ɯː
тьӧт	c ɘ t
тэ	t e
тэнад	t e n a d
тюлень	c u ʎ e ɲ
тявгыны	tʲ ɑ v ɡ ɨ n ɨ
тявзыны	tʲ ɑ v z ɨ n ɨ
ті	t i
тӧб	t ɘ b
тӧв	t ɘ ʋ
тӧвар	t ɘ ʋ a r
тӧдны	t ɘ d n ɯ
тӧлун	t ɘ l u n
тӧлысь	t ɘ l ɯ ɕ
тӧрыт	t ə r ɨ t
ув	u ʋ
увт	u ʋ t
увтыс	u ʋ t ɯ s
удж	u d͡ʒ
узьны	u ʑ n ɯ
уксус	u k s u s
ун	u n
уна	u n a
унай	u n a j
уньӧ	u ɲ ɘ
унінь	u n i ɲ
ур	u r
ус	u s
утка	u t k a
уткаавны	u t k a ʔ a ʋ n ɯ
уткаасьны	u t k a ʔ a ɕ n ɯ
уткапи	u t k a p i
учение	u t͡ɕ e ɲ i j e
учитель	u t͡ɕ i c e ʎ
февраль	p e ʋ r a ʎ
финн	f i n
флаг	f l a ɡ
флаг	p l a ɡ
футбол	f u t b o l
чаг	t͡ɕ a ɡ
чаль	t͡ɕ a ʎ
чань	t͡ɕ a ɲ
чача	t͡ɕ a t͡ɕ a
челядь	t͡ɕ e ʎ a ɟ
черань	t͡ɕ e r a ɲ
чери	t͡ɕ e r i
четверг	t͡ɕ e t ʋ e r ɡ
чипам	t͡ɕ i p a m
чирк	t͡ɕ i r k
чож	t͡ɕ o ʒ
чожинь	t͡ɕ o ʒ i ɲ
чой	t͡ɕ o j
чом	t͡ɕ o m
чошӧ	t͡ɕ o ʃ ɘ
чув	t͡ɕ u ʋ
чуж	t͡ɕ u ʒ
чужмӧр	t͡ɕ u ʒ m ɘ r
чужӧм	t͡ɕ u ʒ ɘ m
чукчи	t͡ɕ u k t͡ɕ i
чукӧр	t͡ɕ u k ɘ r
чукӧртны	t͡ɕ u k ɘ r t n ɯ
чукӧртчыны	t͡ɕ u k ɘ r t t͡ɕ ɯ n ɯ
чунь	t͡sʲ u nʲ
чуньяс	t͡sʲ u nʲ j ɑ s
чуш	t͡ɕ u ʃ
чышъян	t͡ɕ ɯ ʃ j a n
чӧд	t͡ɕ ɘ d
чӧр	t͡ɕ ɘ r
чӧрӧс	t͡ɕ ɘ r ɘ s
чӧскыд	t͡ɕ ɘ s k ɯ d
чӧсмасьны	t͡ɕ ɘ s m a ɕ n ɯ
шайт	ʃ a j t
шег	ʃ e ɡ
школа	ʃ k o l a
шляпа	ʃ ʎ a p a
шоколад	ʃ o k o l a d
шом	ʃ o m
шомйӧв	ʃ o m j ɘ ʋ
шомӧс	ʃ o m ɘ s
шонді	ʃ o n d i
шоч	ʃ o t͡ɕ
шуд	ʃ u d
шы	ʃ ɯ
шыд	ʃ ɯ d
шыдӧс	ʃ ɯ d ɘ s
щель	ʃː e ʎ
ыб	ɯ b
ывла	ɯ ʋ l a
ыджда	ɯ d͡ʒ d a
ыджыд	ɯ d͡ʒ ɯ d
ыж	ɯ ʒ
ылна	ɯ l n a
ылын	ɨ l ɨ n
ыстыны	ɨ s t ɨ n ɨ
эг	e ɡ
эж	e ʒ
эз	e z
эм	e m
эн	e n
энлы	e n l ɯ
энлӧй	e n l ɘ j
энь	e ɲ
энька	e ɲ k a
ю	j u
югӧр	j u ɡ ɘ r
юк	j u k
юны	j u n ɯ
юр	j u r
юрси	j u r ɕ i
юсь	j u ɕ
яг	j ɑ ɡ
яеснича	j a j e s ɲ i t͡ɕ a
яй	j a j
январ	j a n ʋ a r
яран	j a r a n
ясыд	j a s ɯ d
ёг	j o ɡ
ён	j o n
ёна	j o n a
ёрт	j o r t
ӧ	ɘ
ӧд	ɘ d
ӧкмыс	ɘ k m ɯ s
ӧкмысдас	ɘ k m ɯ s d a s
ӧні	ɘ n i
ӧти	ɘ c i
ӧтик	ɘ c i k
ӧткымын	ɘ t k ɯ m ɯ n
ӧш	ɘ ʃ
ӧшинь	ɘ ʃ i ɲ
ӧшпи	ɘ ʃ p i
