ABŞ	ɑ b ʃ
abırsızcasına	ɑ b ɯ r s ɯ z d͡z ɑ s ɯ n ɑ
abırsızcasına	ɑ b ɯ r s ɯ z d͡ʒ ɑ s ɯ n ɑ
ac	a d͡z
ac	ɑ d͡z
ac	ɑ d͡ʒ
ac	ɑ ʒ
aciz	ɑː d͡z i z
aciz	ɑː d͡z ɯ z
aciz	ɑː d͡ʒ i z
aciz	ɑː d͡ʒ ɯ z
aclıq	ɑ d͡z ɫ ɯ χ
aclıq	ɑ d͡ʒ ɫ ɯ χ
aclıq	ɑ ʒ d ɯ χ
aclıq	ɑ ʒ ɫ ɯ χ
acı	ɑ d͡z ɯ
acı	ɑ d͡ʒ ɯ
acınacaqlı	ɑ d͡z ɯ n ɑ d͡z ɑ ɣ ɫ ɯ
acınacaqlı	ɑ d͡ʒ ɯ n ɑ d͡ʒ ɑ ɣ ɫ ɯ
ad	ɑ d
ada	ɑ d ɑ
adaş	ɑ d ɑ ʃ
adbaad	ɑ d b ɑˀ ɑ d
addım	ɑ dː ɯ m
addımlamaq	ɑ dː ɯ m ɫ ɑ m ɑ x
adlanmaq	ɑ d ɫ ɑ mː ɑ χ
adət	ɑː d æ t
aftafa	ɑ f t ɑ f a
afət	ɑː f æ t
aidiyyət	ɑ i d i j æ t
ailə	ɑ i l æ
aktivləşdirmək	ɑ k t i v l æ ʃ t i r m æ k
aktyor	ɑ k t j o r
alagöz	ɑ ɫ ɑ ɟ œ z
aldanmaq	ɑ ɫ d ɑ n m ɑ χ
aldanmaq	ɑ ɫː ɑ n m ɑ χ
aldatmaq	ɑ ɫ d ɑ t m ɑ χ
aldatmaq	ɑ ɫː ɑ t m ɑ χ
ali	ɑː l i
alim	ɑː l i m
alma	ɑ ɫ m ɑ
almaq	ɑ ɫ m ɑ χ
almaz	ɑ ɫ m ɑ z
alov	ɑ ɫ o v
alovlu	ɑ ɫ o v ɫ u
alqış	ɑ ɫ ɡ ɯ ʃ
alqış	ɑ ɫ ɣ ɯ ʃ
alqışlamaq	ɑ ɫ ɡ ɯ ʃ ɫ ɑ m ɑ χ
alqışlamaq	ɑ ɫ ɣ ɯ ʃ ɫ ɑ m ɑ χ
alt	ɑ ɫ t
altmış	ɑ ɫ t m ɯ ʃ
altmışıncı	ɑ l t m ɯ ʃ ɯ n d͡ʒ ɯ
altı	ɑ ɫ tʰ ɯ
altıncı	ɑ l t ɯ n d͡ʒ ɯ
altında	ɑ ɫ t ɯ n d ɑ
alver	ɑ l v e r
alınma	ɑ ɫ ɯ mː ɑ
alınma	ɑ ɫ ɯ n m ɑ
alınmaq	ɑ l ɯ n m ɑ χ
alınmaq	ɑ ɫ ɯ mː ɑ χ
alış	ɑ ɫ ɯ ʃ
alışmaq	ɑ ɫ ɯ ʃ m ɑ χ
aləm	ɑː l æ m
alət	ɑː l æ t
amal	ɑ m ɑ ɫ
amansız	ɑ m ɑ n s ɯ z
amcıq	ɑ m d͡z ɯ χ
amcıq	ɑ m d͡ʒ ɯ χ
amcıqgöz	ɑ m d͡z ɯ ɣ d͡ʒ œ z
amcıqgöz	ɑ m d͡ʒ ɯ ɣ ɟ œ z
amma	ɑ m b ɑ
amma	ɑ mː ɑ
ana	ɑ n ɑ
ancaq	ɑ n d͡z ɑ χ
ancaq	ɑ n d͡ʒ ɑ χ
and	ɑ n d
andız	ɑ n d ɯ z
anlamaq	ɑ n ɫ ɑ m ɑ χ
anlayış	ɑ n ɫ ɑ j ɯ ʃ
anmaq	ɑ mː ɑ χ
anmaq	ɑ n m ɑ χ
anormal	ɑ n o r m ɑ ɫ
anqut	ɑ ɴ ɡ u t
anqutboğaz	ɑ ɴ ɡ u t b o ɣ ɑ z
anqırmaq	ɑ n ɡ ɯ r m ɑ χ
antigen	ɑ n t i d͡ʒ e n
antigen	ɑ n t i ɟ e n
anım	ɑ n ɯ m
aparmaq	ɑ p ɑ r m ɑ χ
aqibət	ɑ ɡ iː b æ t
ara	ɑ r ɑ
araba	ɑ r ɑ b ɑ
arabir	ɑ r ɑ b i r
arada	ɑ r ɑ d ɑ
aram	ɑ r ɑ m
aramgah	ɑ r ɑ m ɟ ɑ h
arasında	ɑ r ɑ s ɯ n d ɑ
arayış	ɑ r ɑ j ɯ ʃ
araşdırmaq	ɑ r ɑ ʃ d ɯ r m ɑ χ
araşdırmaq	ɑ r ɑ ʃ t ɯ r m ɑ χ
ard	ɑ r d
arlanmaq	ɑ rː ɑ mː ɑ x
artist	ɑ r t i s t
artmaq	ɑ r t m ɑ χ
artıq	ɑ r t ɯ χ
arvad	ɑ r v ɑ d
arxac	ɑ r x ɑ d͡z
arxac	ɑ r x ɑ d͡ʒ
arxadaş	ɑ r χ ɑ d ɑ ʃ
arxaik	ɑ r χ ɑ i c
arxalanmaq	ɑ r x a ɫ ɑ mː ɑ x
arxalanmaq	ɑ r x a ɫ ɑ n m ɑ x
arxasında	ɑ r χ ɑ s ɯ n d ɑ
arxiv	ɑ r χ i v
arxiyepiskop	ɑ r x i j e p i s k o p
arğac	ɑ r ɣ ɑ d͡z
arğac	ɑ r ɣ ɑ d͡ʒ
arı	ɑ r ɯ
arıq	ɑ r ɯ ɣ
arıqlamaq	ɑ r ɯ ɣ ɫ ɑ m ɑ χ
arıquşu	ɑ r ɯ ɡ u ʃ u
asanlıq	ɑ s ɑ n ɫ ɯ χ
asanlıq	ɑ s ɑ nː ɯ χ
asqırmaq	ɑ s k ɯ r m ɑ χ
asqırmaq	ɑ s ɡ ɯ r m ɑ χ
astana	ɑ s t ɑ n a
astanasında	ɑ s t ɑ n ɑ s ɯ n d a
asudə	ɑ s uː d æ
asılı	ɑ s ɯ ɫ ɯ
asılılıq	ɑ s ɯ ɫ ɯ ɫ ɯ χ
ata	ɑ t ɑ
atelye	ɑ t e l j e
atlanmaq	ɑ t ɫ ɑ n m ɑ χ
atlanmaq	ɑ tː ɑ mː ɑ χ
atmaq	ɑ t m ɑ χ
atmosfer	ɑ t m o s f e r
atqı	ɑ t k ɯ
atqı	ɑ t ɡ ɯ
atım	ɑ t ɯ m
auditoriya	ɑ u d i t o r i j ɑ
avam	ɑ v ɑ m
avar	ɑ v ɑ r
avara	ɑ v ɑ r ɑ
avarçı	ɑ v ɑ r t͡s ɯ
avarçı	ɑ v ɑ r t͡ʃ ɯ
avarçəkən	ɑ v ɑ r t͡s æ t͡ʃ æ n
avarçəkən	ɑ v ɑ r t͡ʃ æ k æ n
avqust	ɑ v ɡ u s t
avro	ɑ v r o
avtomatik	a f t o m a t i c
avtoqraf	ɑ f t o ɡ r a f
avtoş	ɑ f t o ʃ
axmaq	ɑ χ m ɑ χ
axsamaq	ɑ χ s ɑ m ɑ χ
axta	ɑ χ t ɑ
axtalamaq	ɑ χ t ɑ ɫ ɑ m ɑ χ
axtarmaq	ɑ χ t ɑ r m ɑ χ
axtarış	ɑ χ t ɑ r ɯ ʃ
axtaçı	ɑ χ t ɑ t͡s ɯ
axtaçı	ɑ χ t ɑ t͡ʃ ɯ
axund	ɑ χ u n d
axın	ɑ χ ɯ n
axır	ɑ χ ɯ r
axşam	a χ ʃ a m
ayaq	ɑ j ɑ χ
ayaqqabı	ɑ j ɑ kː ɑ b ɯ
ayaqqabı	ɑ j ɑ χ k ɑ b ɯ
ayaqqabı	ɑ j ɑ χ ɡ ɑ b ɯ
ayaqyalın	ɑ j ɑ ɣ j ɑ ɫ ɯ n
ayaqyolu	ɑ j ɑ ɣ j o l u
ayaz	ɑ j ɑ z
aydın	ɑ j d ɯ n
aydınlıq	ɑ j d ɯ n ɫ ɯ χ
ayin	ɑː j i n
aylanmaq	ɑ j ɫ ɑ mː ɑ χ
aylanmaq	ɑ j ɫ ɑ n m ɑ χ
aylıq	ɑ j ɫ ɯ χ
ayran	ɑ j r ɑ n
aysberq	ɑ j s b e r ɡ
aysız	ɑ j s ɯ z
ayğır	ɑ j ɣ ɯ r
ayılmaq	ɑ j ɯ ɫ m ɑ χ
ayıq	ɑ j ɯ χ
ayıqlıq	ɑ j ɯ ɣ ɫ ɯ χ
ayırmaq	ɑ j ɯ r m ɑ χ
az	ɑ z
azad	ɑ z ɑ d
azadlıq	ɑ z ɑ d ɫ ɯ χ
azalmaq	ɑ z ɑ ɫ m ɑ χ
azlıq	ɑ z d ɯ χ
azlıq	ɑ z ɫ ɯ χ
azmaq	ɑ z m ɑ χ
azyaşlı	ɑ z j ɑ ʃ ɫ ɯ
azğın	ɑ z ɣ ɯ n
azı	ɑ z ɯ
açar	h ɑ t͡s ɑ r
açar	ɑ t͡s ɑ r
açar	ɑ t͡ʃ ɑ r
açmaq	ɑ t͡s m ɑ χ
açmaq	ɑ t͡ʃ m ɑ χ
açmaq	ɑ ʃ m ɑ χ
açılmaq	ɑ t͡s ɯ ɫ m ɑ χ
açılmaq	ɑ t͡ʃ ɯ ɫ m ɑ χ
açılış	ɑ t͡s ɯ l ɯ ʃ
açılış	ɑ t͡ʃ ɯ l ɯ ʃ
açıq	ɑ t͡s ɯ χ
açıq	ɑ t͡ʃ ɯ χ
açıqca	ɑ t͡s ɯ ɣ d͡z ɑ
açıqca	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açıqça	ɑ t͡ʃ ɯ ɣ d͡ʒ ɑ
açıqça	ɑ t͡ʃ ɯ χ t͡ʃ ɑ
ağac	ɑ ɣ ɑ d͡z
ağac	ɑ ɣ ɑ d͡ʒ
ağac	ɑ ɣ ɑ ʃ
ağacdələn	ɑ ɣ ɑ d ʒ d æ l æ n
ağartı	ɑ ɣ ɑ r t ɯ
ağbirçək	ɑ ɣ b i r t͡s æ t͡ʃ
ağbirçək	ɑ ɣ b i r t͡ʃ æ c
ağlabatmaz	ɑ ɣ ɫ ɑ b a ɯ t m ɑ z
ağlama	ɑ ɣ ɫ ɑ m ɑ
ağlamaq	ɑ ɣ ɫ ɑ m ɑ χ
ağlamaq	ɑː ɫ ɑ m ɑ χ
ağlasığmaz	ɑ ɣ ɫ a s ɯ ɣ m ɑ z
ağqoval	ɑ ɣ ɡ o v ɑ ɫ
ağrı	ɑ ɣ r ɯ
ağrımaq	ɑ ɣ r ɯ m ɑ χ
ağrısız	ɑ ɣ r ɯ s ɯ z
ağuş	ɑ ɣ u ʃ
ağzıbütöv	ɑ ɣ z ɯ b y t œ v
ağzıbütöv	ɑ ɣ z ɯ p y t œ v
ağı	ɑ ɣ ɯ
ağıl	ɑ ɣ ɯ ɫ
ağıllı	ɑ ɣ ɯ ɫː ɯ
ağır	ɑ ɣ ɯ r
ağız	ɑ ɣ ɯ z
ağızlıq	ɑ ɣ ɯ z d ɯ χ
ağızlıq	ɑ ɣ ɯ z ɫ ɯ χ
aş	ɑ ʃ
aşağı	ɑ ʃ ɑ ɣ ɯ
aşağı	ɑ ʃː ɑ ɣ ɯ
aşiq	ɑː ʃ i ɡ
aşpaz	ɑ ʃ p ɑ z
aşğal	ɑ ʃ ɣ ɑ ɫ
aşı	ɑ ʃ ɯ
aşılamaq	ɑ ʃ ɯ ɫ ɑ m ɑ χ
aşıq	ɑ ʃ ɯ x
aşırım	ɑ ʃ ɯ r ɯ m
baba	b ɑ b ɑ
babasil	b ɑ b ɑ s i l
bacanaq	b ɑ d͡z ɑ n ɑ χ
bacanaq	b ɑ d͡ʒ ɑ n ɑ χ
bacanaq	b ɑ ʒ ɑ n ɑ χ
bacarmaq	b ɑ d͡z ɑ r m ɑ χ
bacarmaq	b ɑ d͡ʒ ɑ r m ɑ χ
bacı	b ɑ d͡z ɯ
bacı	b ɑ d͡ʒ ɯ
bacı	b ɑ ʒ ɯ
badımcan	b ɑ d ɯ m d͡z ɑ n
badımcan	b ɑ d ɯ m d͡ʒ ɑ n
baha	b ɑ h ɑ
bahadır	b ɑ h ɑ d ɯ r
bahalı	b ɑ h ɑ ɫ ɯ
bahar	b ɑ h ɑ r
bahar	b ɑ h ɑ r̥
bakir	b ɑː c i r
bakir	b ɑː t͡ʃ i r
bakirə	b ɑː c i r æ
bakirə	b ɑː t͡ʃ i r æ
bal	b ɑ ɫ
bala	b ɑ ɫ ɑ
balaban	b ɑ ɫ ɑ b ɑ n
balaca	b ɑ ɫ ɑ d͡z ɑ
balaca	b ɑ ɫ ɑ d͡ʒ ɑ
balalayka	b ɑ ɫ ɑ ɫ ɑ j k ɑ
balaq	b ɑ ɫ ɑ x
baldız	b ɑ ɫ d ɯ z
baltalamaq	b ɑ l t ɑ l ɑ m ɑ χ
balı	b ɑː ɫ ɯ
balıq	b ɑ ɫ ɯ x
balıqçı	b ɑ l ɯ χ t͡s ɯ
balıqçı	b ɑ l ɯ χ t͡ʃ ɯ
balış	b ɑ ɫ ɯ ʃ
balışüzü	b ɑ ɫ ɯ ʃ y z y
bandaj	b ɑ n d ɑ ʒ
bandotdel	b ɑ n d o t d e l
bandotdel	b ɑ n d ɑ t d e l
bani	b ɑː n i
baqaj	b ɑ ɡ a ʒ
baqajnik	b ɑ ɡ a ʒ n i c
barama	b ɑ r ɑ m ɑ
bariqa	b ɑ r i ɡ ɑ
barmaq	b ɑ r m ɑ χ
barmaqlamaq	b ɑ r m ɑ ɣ l ɑ m ɑ χ
barmaqlıq	b ɑ r m ɑ ɣ ɫ ɯ χ
baron	b ɑ r o n
barı	b ɑ r ɯ
barışmaq	b ɑ r ɯ ʃ m ɑ χ
barədə	b ɑː r æ d æ
basdırmaq	b ɑ s d ɯ r m ɑ χ
basketbolçu	b ɑ s k e t b o ɫ t͡s u
basketbolçu	b ɑ s k e t b o ɫ t͡ʃ u
basmaq	b ɑ s m ɑ χ
basılmaz	b ɑ s ɯ ɫ m ɑ z
bataq	b ɑ t ɑ χ
baxmaq	b ɑ χ m ɑ χ
baxmayaraq	b ɑ χ m ɑ j ɑ r ɑ χ
baxmayaraq	b ɑ χ m ɯ j ɑ r ɑ χ
baxtalamaq	b ɑ χ d ɑ ɫ ɑ m ɑ ɣ
bayaq	b ɑ j ɑ χ
bayat	b ɑ j ɑ t
bayağı	b ɑ j ɑ ɣ ɯ
bayquş	b e j ɣ u ʃ
bayquş	b ɑ j ɡ u ʃ
bayraq	b ɑ j r ɑ χ
bazarlıq	b ɑ z ɑ r ɫ ɯ x
bazarlıq	b ɑ z ɑ rː ɯ x
bazlıq	b ɑ z d ɯ χ
bazlıq	b ɑ z ɫ ɯ χ
bağ	b ɑ ɣ
bağana	b ɑ ɣ ɑ n ɑ
bağban	b ɑ ɣ b ɑ n
bağlama	b ɑ ɣ ɫ ɑ m ɑ
bağlamaq	b ɑ ɣ ɫ ɑ m ɑ χ
bağlanmaq	b ɑ ɣ ɫ ɑ mː ɑ χ
bağlanmaq	b ɑ ɣ ɫ ɑ n m ɑ χ
bağlantı	b ɑ ɣ ɫ ɑ n t ɯ
bağlı	b ɑ ɣ l ɯ
bağır	b ɑ ɣ ɯ r
bağırmaq	b ɑ ɣ ɯ r m ɑ χ
bağırsaq	b ɑ ɣ ɯ r s ɑ χ
bağışlamaq	b æː ʃ l æ m ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ t ɑ m ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ ɫ ɑ m ɑ χ
bağışlamaq	b ɑː ʃ l ɑ m ɑ χ
bağışlamaq	p a ɣ ɨ ç l ɛ m a x
baş	b ɑ ʃ
başdaşı	b ɑ ʃ d ɑ ʃ ɯ
başlamaq	b ɑ ʃ t ɑ m ɑ χ
başlamaq	b ɑ ʃ ɫ ɑ m ɑ χ
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡z
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡ʒ
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡z
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡ʒ
başqa	b ɑ ʃ k ɑ
başqa	b ɑ ʃ ɡ ɑ
başsağlığı	b ɑ ʃ s ɑ ɣ ɫ ɯ ɣ ɯ
başçı	b ɑ ʃ t͡s ɯ
başçı	b ɑ ʃ t͡ʃ ɯ
başında	b ɑ ʃ ɯ n d ɑ
beh	b e j
belibağlı	b e l i b ɑ ɣ ɫ ɯ
belə	b e l æ
benzin	b e n z i n
betər	b e t æ r
beyin	b e i n
beyin	b e j i n
beynəlxalq	b e j n æ l χ ɑ l ɡ
beynəlxalq	b e j n æ l χ ɑ l χ
beynəlxalq	b e j n ɑ ɫ χ ɑ l ɡ
beynəlxalq	b e j n ɑ ɫ χ ɑ l χ
beyt	b e j t
bezmək	b e z m æ j
bezmək	b e z m æ k
beşbarmaq	b e ʃ b ɑ r m ɑ χ
beşbetər	b e ʃ b e t æ r
beşbetər	b e ʃ p æ t æ r
beşik	b e ʃ i j
beşik	b e ʃ i k
beşik	b e ʃ i ç
beşinci	b e ʃ i n d͡ʒ i
bibi	b i b i
bibioğlu	b i b i o ɣ ɫ u
bibiqızı	b i b i ɡ ɯ z ɯ
bibər	b i b æ ɾ
biganə	b i ɟ ɑː n æ
bilgi	b i l ɟ i
bilik	b i l i c
bilik	b i l i j
bilik	b i l i ç
bilmək	b i l m e j
bilmək	b i l m æ j
bilmək	b i l m æ k
bilmək	b i l m ɑ χ
bilmək	b y l m ɑ χ
bioloji	b i o l o ʒ ɯ
biqeyrət	b i ɡ e j r æ t
bir	b i r
biraz	b i r ɑ z
bircə	b i r d͡z æ
bircə	b i r d͡ʒ æ
birdən	b i r d æ n
birgə	b i r ɟ æ
birinci	b i r i m d͡z i
birinci	b i r i n d͡z i
birinci	b i r i n d͡ʒ i
birisigün	b i r i s i ɟ y n
birisigün	b y r s y ɟ y n
birlikdə	b i r l i k d æ
birlikdə	b i r l i k t æ
birləşdirmək	b i r l æ ʃ d i r m æ j
birləşdirmək	b i rː æ ʃ d i r m æ j
birləşmək	b i r l æ ʃ m æ j
birləşmək	b i rː æ ʃ m æ j
bit	b i t
bitirmək	b i t i r m æ j
bitirmək	b i t i r m æ k
bitirmək	b i t i r m æ t͡ʃ
bitişik	b i t i ʃ i k
bitmək	b i t m e j
bitmək	b i t m æ j
bitmək	b i t m æ k
bitmək	b i t m ɑ χ
biyabanlıq	b i j ɑ b ɑ n ɫ ɯ χ
biyabanlıq	b i j ɑ b ɑ nː ɯ χ
biyabanlıq	b i j ɑ v ɑ nː ɯ χ
biçin	b i t͡s i n
biçin	b i t͡ʃ i n
bişirmək	b i ʃ i r m æ k
bişirmək	p i ʃ i r m e j
bişirmək	p i ʃ i r m æ k
bişirmək	p i ʃ i r m ɑ χ
bişmək	b i ʃ m æ k
bişmək	p i ʃ m e j
bişmək	p i ʃ m æ k
bişmək	p i ʃ m ɑ χ
bişərəf	b i ʃ æ r æ f
bolluq	b o ɫː u χ
boran	b o r r ɑ n
borc	b o r d͡z
borc	b o r d͡ʒ
boru	b o r u
boyalamaq	b o j ɑ ɫ ɑ m ɑ χ
boyamaq	b o j ɑ m ɑ χ
boyaqotu	b o j ɑ ɣ o t u
boyun	b o j u n
boyunca	b o j u n d͡z ɑ
boyunca	b o j u n d͡ʒ ɑ
boyunduruq	b o j u n d u r u χ
bozbaş	b o z b ɑ ʃ
boğaz	b o ɣ ɑ z
boğmaq	b o ɣ m ɑ χ
boğulmaq	b o ɣ u ɫ m ɑ χ
boş	b o ʃ
boşalmaq	b o ʃ ɑ ɫ m ɑ χ
boşanmaq	b o ʃ ɑ mː ɑ χ
boşqab	b o ʃ ɡ ɑ b
boşqab	b o ʃ ɡ ɑ b̥
boşqab	b u ʃ ɣ a b
brilyant	b ɾ ɪ l j ɑ n t
bucaq	b u d͡z ɑ χ
bucaq	b u d͡ʒ ɑ χ
budaq	b u d ɑ χ
bugün	b u ɟ y n
bugün	b y j y n
bugün	b y ɟ y n
bulamaq	b ʊ ɫ ɑ m ɑ χ
bulanlıq	b u ɫ ɑ n ɫ ɯ χ
bulanlıq	b u ɫ ɑ nː ɯ χ
bulanıq	b u l ɑ n ɯ χ
bulmaq	b u ɫ m ɑ χ
bunca	b u n d͡z ɑ
bunca	b u n d͡ʒ ɑ
burada	b u r ɑ d ɑ
buradan	b u r d ɑ n
buradan	b u r ɑ d ɑ n
buraxmaq	b u r ɑ χ m ɑ χ
burda	b u ɾ d ɑ
burmaq	b u r m ɑ χ
burun	b u r u n
burğac	b u r ɣ ɑ d͡z
burğac	b u r ɣ ɑ d͡ʒ
butulka	b u t ɯ ɫ k a
butulka	b u t ɯ ɫ kʲ æ
butulka	p u t u l k a
butulka	p u t u l kʲ æ
butulka	p u t ɯ l k a
butulka	p u t ɯ l kʲ æ
buxaq	b u χ ɑ χ
buxur	b u x u r
buynuz	b u j n u z
buyruq	b u j r u x
buyurmaq	b u j u r m ɑ χ
buzlu	b u z ɫ u
buzov	b u z o v
buzov	b z ɔ w
buğur	b u ɣ u r
buğur	b ɯ ɣ ɯ r
böhran	b œ h r ɑ n
bölmə	b œ l m æ
börk	b ø ɾ t̚
börk	b œ r c
böyründə	b œ j r y n d æ
böyük	b œ j y c
böyümək	b œ j y m æ c
böyür	b œ j y r
böyürmək	b œ j y r m æ j
böyürmək	b œ j y r m æ k
böyürmək	b œ j y r m æ ç
böyürtkən	b œ j y r t c æ n
böyütmək	b œ j y t m æ k
böyələk	b œ j æ l æ c
bükmək	b y h m ɑ χ
bükmək	b y k m æ j
bükmək	b y k m æ k
bükmək	b y t͡ʃ m æ t͡ʃ
bükmək	b y ç m ɑ χ
bülbül	b y l b y l
bülöv	b y l œ v
bülövləmək	b y l œ v l æ m æ k
bünyad	b y n j ɑ d
bünövrə	b y n œ v r æ
bütpərəst	b y t p æ r æ s t
bütöv	p y̥ t œ v
bütün	p y̥ t y n
bıçaq	b ɯ t͡ʃ ɑ χ
bıçaq	p t͡s ɑ χ
bıçaq	p t͡ʃ ɑ χ
bıçaq	p ɯ t͡s ɑ χ
bıçaq	p ɯ t͡ʃ ɑ χ
bədbin	b æ d b i n
bədən	b æ d æ n
bəhrə	b æ h r æ
bəkarət	b æ kʲ ɑː r æ t
bəkarət	b æ t͡ʃ ɑː r æ t
bəla	b æ ɫ ɑ
bəlağət	b æ ɫ ɑː ɣ æ t
bəlağətli	b æ ɫ ɑː ɣ æ t l i
bəlağətli	b æ ɫ ɑː ɣ æ tː i
bəlgə	b æ l i j æ
bəlgə	b æ l ɟ æ
bəlkə	b æ l k æ
bəlkə	b æ l k æ m
bəlkə	b æ r k æ
bəlğəm	b æ l ɣ æ m
bələd	b æ l æ d
bələdçi	b æ l æ d t͡s i
bələdçi	b æ l æ d t͡ʃ i
bənd	b æ n d
bəniz	b æ n i z
bəniz	b æ ŋ i z
bənna	b æ nː ɑ
bənzər	b æ n z æ r
bənzərsiz	b æ n z æ r s i z
bənövşə	b æ n œ v ʃ æ
bənövşəyi	b æ n œ v ʃ æ j i
bənək	b æ n æ j
bənək	b æ n æ ç
bərabər	b æ r ɑː b æ r
bərbər	b æ r b æ ɾ
bərbər	b æ r b æ ɾ̥
bərk	b æ r k
bərk	b æ ɾ t̚
bərkdən	b æ r k d æ n
bərkdən	b æ r k t æ n
bərpa	b æ r p ɑ
bərəkallah	b æ r æ c ɑ nː ɑ h
bərəkallah	b æ r æ c ɑ ɫː ɑ h
bərəkət	b æ r æ c æ t
bərəkət	b æ r æ t͡ʃ æ t
bəsləmək	b æ s l æ m æ k
bəsləmək	b æ s t æ m æ j
bəsləmək	b æ s t æ m æ k
bəstə	b æ s t æ
bətn	b æ t n̩
bəxt	b æ χ t
bəxtəvər	b æ χ t æ v æ r
bəxşiş	b æ x ʃ i ʃ
bəz	b æ z
bəzi	b æ z i
bəzən	b æː z æ n
bəşər	b æ ʃ æ r
cadu	d͡z ɑː d u
cadu	d͡ʒ ɑː d u
calamaq	d͡z ɑ ɫ ɑ m ɑ χ
calamaq	d͡ʒ ɑ ɫ ɑ m ɑ χ
calaq	d͡z ɑ ɫ ɑ x
calaq	d͡ʒ ɑ ɫ ɑ x
camaat	d͡z ɑ m ɑ h ɑ t
camaat	d͡z ɑ m ɑ ɑ t
camaat	d͡ʒ ɑ m ɑ h ɑ t
camaat	d͡ʒ ɑ m ɑ ɑ t
can	d͡z ɑ n
can	d͡ʒ ɑ n
canavar	d͡z ɑ n ɑ v ɑ r
canavar	d͡ʒ ɑ n ɑ v ɑ r
cangüdən	d͡z ɑ n d͡ʒ y d æ n
cangüdən	d͡ʒ ɑ n ɡ y d æ n
canlandırmaq	d͡z ɑ n ɫ ɑ n d ɯ r m ɑ x
canlandırmaq	d͡ʒ ɑ n ɫ ɑ n d ɯ r m ɑ x
casus	d͡z ɑː s u s
casus	d͡ʒ ɑː s u s
cavab	d͡z ɑ v ɑ b
cavab	d͡ʒ ɑ v ɑ b
cavablandırmaq	d͡z ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavablandırmaq	d͡ʒ ɑ v ɑ b ɫ ɑ n d ɯ r m ɑ χ
cavan	d͡z ɑ v ɑ n
cavan	d͡ʒ ɑ v ɑ n
cavanlıq	d͡z ɑ v ɑ n ɫ ɯ χ
cavanlıq	d͡z ɑ v ɑ nː ɯ χ
cavanlıq	d͡ʒ ɑ v ɑ n ɫ ɯ χ
cavanlıq	d͡ʒ ɑ v ɑ nː ɯ χ
cazibə	d͡z ɑː z i b æ
cazibə	d͡ʒ ɑː z i b æ
cib	d͡z i b
cib	d͡ʒ i b
ciddi	d͡ʒ i dː i
