ʼนะ	ˀn a ʔ
เบ̱ลิก	ᵐb l ə k
เบ̱ิญ	ᵐb ə ɲ
เบิก	ɓ ə k
เปรฮ	p r e h
เประ	p r e ʔ
เปรีย	p r i a̯
เปลฮ	p l e h
เปละ	p l e ʔ
เปลีย	p l i a̯
เปิง	p ə ŋ
เปียง	p i a̯ ŋ
เปือน	p ɨ a̯ n
เปือฮ	p ɨ a̯ h
เปือะ	p ɨ a ʔ
เพรือ	pʰ r ɨ a̯
เพลือ	pʰ l ɨ a̯
เฟือะ	f ɨ a̯ ʔ
เรฮ	r e h
เลม	l e m
เลฮ	l e h
เลิจ	l ə c
เวียก	w i a̯ k
เวือฮ	w ɨ a̯ h
เอบ	ʔ e p
เอาะ	ʔ ɔ ʔ
เอีย	ʔ i a̯
เอียฮ	ʔ i a̯ h
เฮงาะ	ŋ̊ ɔ ʔ
เฮละ	l̥ e ʔ
เฮลาะ	l̥ ɔ ʔ
เฮลิจ	l̥ ə c
เฮาะ	h ɔ ʔ
เฮิง	h ə ŋ
แʼม	ˀm ɛ
แด	ɗ ɛ
แดม	ɗ ɛ m
แต	t ɛ
แนม	n ɛ m
แนมเบ̱ระ	n ɛ mᵐ b r e ʔ
แนมเบ̱ละ	n ɛ mᵐ b l e ʔ
แบ̱ญ	ᵐb ɛ ɲ
แป	p ɛ
แรฮ	r ɛ h
แลจ	l ɛ c
แลฮ	l ɛ h
แว	w ɛ
แอ	ʔ ɛ
แฮ	h ɛ
แฮลจ	l̥ ɛ c
แฮละ	l̥ ɛ ʔ
โʼมะ	ˀm o ʔ
โกก	k o k
โคระ	kʰ r o ʔ
โคละ	kʰ l o ʔ
โคะ	kʰ o ʔ
โฆ̱ง	ᵑɡ o ŋ
โจง	c o ŋ
โชะ	cʰ o ʔ
โซงะ	s o ŋ a ʔ
โซจ	s o c
โซม	s o m
โซะ	s o ʔ
โญม	ɲ o m
โญะ	ɲ o ʔ
โดะ	ɗ o ʔ
โต	t o
โตม	t o m
โปง	p o ŋ
โปฮ	p o h
โมง	m o ŋ
โยง	j o ŋ
โยะ	j o ʔ
โฮมะ	m̥ o ʔ
