अ	ɐ
अंजन	ɐ̃ n d͡ʒ ɐ̃ n
अंजलि	ɐ̃ n d͡ʒ ɐ l iː
अंजाम	ɐ̃ n d͡ʒ ä̃ː m
अंजीर	ɐ̃ n d͡ʒ iː ɾ
अंजु	ɐ̃ n d͡ʒ uː
अंजुली	ɐ̃ n d͡ʒ ʊ l iː
अंटार्कटिक	ɐ̃ ɳ ʈ äː ɾ k ɐ ʈ ɪ k
अंटार्कटिका	ɐ̃ ɳ ʈ äː ɾ k ʈ ɪ k äː
अंटार्टिका	ɐ̃ ɳ ʈ äː ɾ ʈ ɪ k äː
अंड	ɐ̃ ɳ ɖ
अंडकोष	ɐ̃ ɳ ɖ k oː ʃ
अंडमान	ɐ̃ ɳ ɖ ɐ m ä̃ː n
अंडा	ɐ̃ ɳ ɖ äː
अंडाकार	ɐ̃ ɳ ɖ äː k äː ɾ
अंडाशय	ɐ̃ ɳ ɖ äː ʃ ɐ j
अंडाशयो	ɐ̃ ɳ ɖ äː ʃ j oː
अंडाशयों	ɐ̃ ɳ ɖ äː ʃ j õː
अंडोरा	ɐ̃ ɳ ɖ oː ɾ äː
अंत	ɐ̃ n̪ t̪
अंतः	ɐ̃ n̪ t̪ ɛ
अंतः	ɐ̃ n̪ t̪ ɛ ɦ
अंतःक्षेप	ɐ̃ n̪ t̪ ɛ k ʃ eː p
अंतःक्षेप	ɐ̃ n̪ t̪ ɛ ɦ k ʃ eː p
अंतःपुर	ɐ̃ n̪ t̪ ɛ p ʊ ɾ
अंतःपुर	ɐ̃ n̪ t̪ ɛ ɦ p ʊ ɾ
अंतःस्रावी	ɐ̃ n̪ t̪ ɛ s ɾ äː ʋ iː
अंतःस्रावी	ɐ̃ n̪ t̪ ɛ ɦ s ɾ äː ʋ iː
अंतड़ी	ɐ̃ n̪ t̪ ɽ iː
अंततः	ɐ̃ n̪ t̪ ɐ t̪ ɛ
अंततः	ɐ̃ n̪ t̪ ɐ t̪ ɛ ɦ
अंतम	ɐ̃ n̪ t̪ ɐ̃ m
अंतर	ɐ̃ n̪ t̪ ɐ ɾ
अंतरंगता	ɐ̃ n̪ t̪ ɐ ɾ ɐ̃ ŋ ɡ t̪ äː
अंतरजाल	ɐ̃ n̪ t̪ ɐ ɾ d͡ʒ äː l
अंतरण	ɐ̃ n̪ t̪ ɾ ɐ̃ ɳ
अंतरतारकीय	ɐ̃ n̪ t̪ ɾ ɐ t̪ äː ɾ k iː jᵊ
अंतरराष्ट्रीय	ɐ̃ n̪ t̪ ɐ r r äː ʂ ʈ ɾ iː jᵊ
अंतरराष्ट्रीयता	ɐ̃ n̪ t̪ ɐ r r äː ʂ ʈ ɾ iː j t̪ äː
अंतरा	ɐ̃ n̪ t̪ ɐ ɾ äː
अंतरा	ɐ̃ n̪ t̪ ɾ äː
अंतराल	ɐ̃ n̪ t̪ ɐ ɾ äː l
अंतरिक्ष	ɐ̃ n̪ t̪ ɐ ɾ ɪ k ʃ
अंतरिक्ष	ɐ̃ n̪ t̪ ɾ ɪ k ʃ
अंतरिक्षयानिकी	ɐ̃ n̪ t̪ ɾ ɪ k ʃ ɐ j äː n ɪ k iː
अंतरिम	ɐ̃ n̪ t̪ ɾ ɪ̃ m
अंतर्कालीन	ɐ̃ n̪ t̪ ɐ ɾ k äː l ĩː n
अंतर्गत	ɐ̃ n̪ t̪ ɐ ɾ ɡ ɐ t̪
अंतर्जातीय	ɐ̃ n̪ t̪ ɐ ɾ d͡ʒ äː t̪ iː jᵊ
अंतर्जाल	ɐ̃ n̪ t̪ ɐ ɾ d͡ʒ äː l
अंतर्ज्ञान	ɐ̃ n̪ t̪ ɐ ɾ ɡ j ä̃ː n
अंतर्देशीय	ɐ̃ n̪ t̪ ɐ ɾ d̪ eː ʃ iː jᵊ
अंतर्धान	ɐ̃ n̪ t̪ ɐ ɾ d̪ʱ ä̃ː n
अंतर्निहित	ɐ̃ n̪ t̪ ɐ ɾ n ɪ ɦ ɪ t̪
अंतर्भूमि	ɐ̃ n̪ t̪ ɐ ɾ bʱ uː m iː
अंतर्भौम	ɐ̃ n̪ t̪ ɐ ɾ bʱ ɔ̃ː m
अंतर्महाविद्यालय	ɐ̃ n̪ t̪ ɐ ɾ m ɐ ɦ äː ʋ ɪ d̪ j äː l ɐ j
अंतर्यामी	ɐ̃ n̪ t̪ ɐ ɾ j äː m iː
अंतर्राष्ट्रीय	ɐ̃ n̪ t̪ ɐ r r äː ʂ ʈ ɾ iː jᵊ
अंतर्वासी	ɐ̃ n̪ t̪ ɐ ɾ ʋ äː s iː
अंतर्विषयक	ɐ̃ n̪ t̪ ɐ ɾ ʋ ɪ ʃ j ɐ k
अंतर्विषयकता	ɐ̃ n̪ t̪ ɐ ɾ ʋ ɪ ʃ j ɐ k t̪ äː
अंतस्तल	ɐ̃ n̪ t̪ ɐ s t̪ ɐ l
अंतहीन	ɐ̃ n̪ t̪ʰ ĩː n
अंताक्षरी	ɐ̃ n̪ t̪ äː k ʃ ɐ ɾ iː
अंतिम	ɐ̃ n̪ t̪ ɪ̃ m
अंतिमेत्थम्	ɐ̃ n̪ t̪ ɪ m eː t̪̚ t̪ʰ ɐ̃ m
अंतीम	ɐ̃ n̪ t̪ ĩː m
अंत्यलक	ɐ̃ n̪ t̪ j ɐ l ɐ k
अंत्येष्टि	ɐ̃ n̪ t̪ j eː ʂ ʈ iː
अंत्र	ɐ̃ n̪ t̪ ɾᵊ
अंदर	ɐ̃ n̪ d̪ ɐ ɾ
अंदरुनी	ɐ̃ n̪ d̪ ɐ ɾ ʊ n iː
अंदलुस	ɐ̃ n̪ d̪ ɐ l ʊ s
अंदाज	ɐ̃ n̪ d̪ äː d͡ʒ
अंदाज	ɐ̃ n̪ d̪ äː z
अंदाज़	ɐ̃ n̪ d̪ äː d͡ʒ
अंदाज़	ɐ̃ n̪ d̪ äː z
अंदाज़ा	ɐ̃ n̪ d̪ äː d͡ʒ äː
अंदाज़ा	ɐ̃ n̪ d̪ äː z äː
अंदेशा	ɐ̃ n̪ d̪ eː ʃ äː
अंद्रियास	ɐ̃ n̪ d̪ ɾ i j äː s
अंधकार	ɐ̃ n̪ d̪ʱ k äː ɾ
अंधकारमय	ɐ̃ n̪ d̪ʱ k äː ɾ m ɐ j
अंधकारो	ɐ̃ n̪ d̪ʱ k äː ɾ oː
अंधकारों	ɐ̃ n̪ d̪ʱ k äː ɾ õː
अंधड़	ɐ̃ n̪ d̪ʱ ɐ ɽ
अंधभक्त	ɐ̃ n̪ d̪ʱ bʱ ɐ k t̪
अंधभक्ति	ɐ̃ n̪ d̪ʱ bʱ ɐ k t̪ iː
अंधभक्ती	ɐ̃ n̪ d̪ʱ bʱ ɐ k t̪ iː
अंधविश्वास	ɐ̃ n̪ d̪ʱ ʋ ɪ ʃ ʋ äː s
अंधविश्वासी	ɐ̃ n̪ d̪ʱ ʋ ɪ ʃ ʋ äː s iː
अंधा	ɐ̃ n̪ d̪ʱ äː
अंधाधुंध	ɐ̃ n̪ d̪ʱ äː d̪ʱ ʊ̃ n̪ d̪ʱ
अंधापन	ɐ̃ n̪ d̪ʱ äː p ɐ̃ n
अंधियारा	ɐ̃ n̪ d̪ʱ i j äː ɾ äː
अंधेर	ɐ̃ n̪ d̪ʱ eː ɾ
अंधेरा	ɐ̃ n̪ d̪ʱ eː ɾ äː
अंबर	ɐ̃ m b ɐ ɾ
अंबा	ɐ̃ m b äː
अंबानी	ɐ̃ m b äː n iː
अंबालिका	ɐ̃ m b äː l ɪ k äː
अंबिका	ɐ̃ m b ɪ k äː
अंबु	ɐ̃ m b uː
अंबुज	ɐ̃ m b ʊ d͡ʒ
अंबुपति	ɐ̃ m b ʊ p t̪ iː
अंभ	ɐ̃ m bʱ
अंश	ɐ̃ ɲ ʃ
अंशकालिक	ɐ̃ ɲ ʃ k äː l ɪ k
अंशतः	ɐ̃ ɲ ʃ t̪ ɛ
अंशतः	ɐ̃ ɲ ʃ t̪ ɛ ɦ
अंशधारी	ɐ̃ ɲ ʃ d̪ʱ äː ɾ iː
अंशुक	ɐ̃ ɲ ʃ ʊ k
अंशुमान	ɐ̃ ɲ ʃ ʊ m ä̃ː n
अंशुल	ɐ̃ ɲ ʃ ʊ l
अः	ɛ
अः	ɛ ɦ
अऊत	ɐ uː t̪
अए	ɐ eː
अक	ɐ k
अकंप	ɐ k ɐ̃ m p
अकड़	ɐ k ɐ ɽ
अकड़न	ɐ k ɽ ɐ̃ n
अकड़ना	ɐ k ɐ ɽ n äː
अकथ	ɐ k ɐ t̪ʰ
अकथनीय	ɐ k ɐ t̪ʰ n iː jᵊ
अकथित	ɐ k ɐ t̪ʰ ɪ t̪
अकथ्य	ɐ k ɐ t̪ʰ jᵊ
अकनून	ɐ k n ũː n
अकन्या	ɐ k ɐ̃ ɲ j äː
अकर्म	ɐ k ɐ ɾ m
अकर्मक	ɐ k ɐ ɾ m ɐ k
अकर्मण्यता	ɐ k ɐ ɾ m ɐ̃ ɳ j ɐ t̪ äː
अकल	ɐ k ɐ l
अकल्पनीय	ɐ k ɐ l p ɐ n iː jᵊ
अकस्मात्	ɐ k ɐ s m äː t̪
अक़ल	ɐ k ɐ l
अक़ल	ɐ q ɐ l
अक़्ल	ɐ k l
अक़्ल	ɐ k ɐ l
अक़्ल	ɐ q l
अक़्ल	ɐ q ɐ l
अक़्लमंद	ɐ k lᵊ m ɐ̃ n̪ d̪
अक़्लमंद	ɐ k ɐ l m ɐ̃ n̪ d̪
अक़्लमंद	ɐ q lᵊ m ɐ̃ n̪ d̪
अक़्लमंद	ɐ q ɐ l m ɐ̃ n̪ d̪
अकाज	ɐ k äː d͡ʒ
अकादमिक	ɐ k äː d̪ m ɪ k
अकादमी	ɐ k äː d̪ m iː
अकार	ɐ k äː ɾ
अकारण	ɐ k äː ɾ ɐ̃ ɳ
अकारथ	ɐ k äː ɾ ɐ t̪ʰ
अकार्बनिक	ɐ k äː ɾ b ɐ n ɪ k
अकाल	ɐ k äː l
अकिता	ɐ k ɪ t̪ äː
अकुलाना	ɐ k ʊ l äː n äː
अकूत	ɐ k uː t̪
अकृतज्ञ	ɐ k ɾ ɪ t̪ ɐ ɡ jᵊ
अकृतज्ञता	ɐ k ɾ ɪ t̪ ɐ ɡ j ɐ t̪ äː
अकेला	ɐ k eː l äː
अकेलापन	ɐ k eː l äː p ɐ̃ n
अकेली	ɐ k eː l iː
अकेले	ɐ k eː l eː
अक्कद	ɐ k̚ k ɐ d̪
अक्कदी	ɐ k̚ k ɐ d̪ iː
अक्काद	ɐ k̚ k äː d̪
अक्कादी	ɐ k̚ k äː d̪ iː
अक्कास	ɐ k̚ k äː s
अक्कासी	ɐ k̚ k äː s iː
अक्खड़	ɐ k̚ kʰ ɐ ɽ
अक्खा	ɐ k̚ kʰ äː
अक्टूबर	ɐ k ʈ uː b ɐ ɾ
अक्तूबर	ɐ k t̪ uː b ɐ ɾ
अक्नून	ɐ k n ũː n
अक्रा	ɐ k ɾ äː
अक्रिय	ɐ k ɾ i jᵊ
अक्ल	ɐ k l
अक्ल	ɐ k ɐ l
अक्लमंद	ɐ k lᵊ m ɐ̃ n̪ d̪
अक्लमंद	ɐ k ɐ l m ɐ̃ n̪ d̪
अक्लमंद	ɐ q lᵊ m ɐ̃ n̪ d̪
अक्लमंद	ɐ q ɐ l m ɐ̃ n̪ d̪
अक्लान्त	ɐ k l ä̃ː n̪ t̪
अक्ष	ɐ k ʃ
अक्षत	ɐ k ʃ ɐ t̪
अक्षम	ɐ k ʃ ɐ̃ m
अक्षमता	ɐ k ʃ ɐ̃ m t̪ äː
अक्षम्य	ɐ k ʃ ɐ̃ m jᵊ
अक्षर	ɐ k ʃ ɐ ɾ
अक्षरारंभ	ɐ k ʃ ɐ ɾ äː ɾ ɐ̃ m bʱ
अक्षरो	ɐ k ʃ ɐ ɾ oː
अक्षरों	ɐ k ʃ ɐ ɾ õː
अक्षांश	ɐ k ʃ ä̃ː ɲ ʃ
अक्षुण्ण	ɐ k ʃ ʊ̃ ɳ
अक्षुण्ण	ɐ k ʃ ʊ̃ ɳː
अक्षुण्णता	ɐ k ʃ ʊ̃ ɳ ɳ ɐ t̪ äː
अक्षुण्णताएँ	ɐ k ʃ ʊ̃ ɳ ɳ ɐ t̪ äː ẽː
अक्षुण्णताओ	ɐ k ʃ ʊ̃ ɳ ɳ ɐ t̪ äː oː
अक्षुण्णताओं	ɐ k ʃ ʊ̃ ɳ ɳ ɐ t̪ äː õː
अक्स	ɐ k s
अक्सर	ɐ k s ɐ ɾ
अखंड	ɐ kʰ ɐ̃ ɳ ɖ
अखंडता	ɐ kʰ ɐ̃ ɳ ɖ t̪ äː
अखज	ɐ kʰ ɐ d͡ʒ
अखबार	ɐ kʰ b äː ɾ
अखबार	ɐ x b äː ɾ
अखबारो	ɐ kʰ b äː ɾ oː
अखबारो	ɐ x b äː ɾ oː
अखबारों	ɐ kʰ b äː ɾ õː
अखबारों	ɐ x b äː ɾ õː
अखरना	ɐ kʰ ɐ ɾ n äː
अखरोट	ɐ kʰ ɾ oː ʈ
अखरोटी	ɐ kʰ ɾ oː ʈ iː
अखरोटो	ɐ kʰ ɾ oː ʈ oː
अखरोटों	ɐ kʰ ɾ oː ʈ õː
अख़बार	ɐ kʰ b äː ɾ
अख़बार	ɐ x b äː ɾ
अख़बारवाला	ɐ kʰ b äː ɾ ʋ äː l äː
अख़बारवाला	ɐ x b äː ɾ ʋ äː l äː
अख़बारो	ɐ kʰ b äː ɾ oː
अख़बारो	ɐ x b äː ɾ oː
अख़बारों	ɐ kʰ b äː ɾ õː
अख़बारों	ɐ x b äː ɾ õː
अख़रोट	ɐ kʰ ɾ oː ʈ
अख़रोट	ɐ x ɾ oː ʈ
अख़लाक़	ɐ kʰ l äː k
अख़लाक़	ɐ x l äː q
अख़लाक़	ɪ kʰ l äː k
अख़लाक़	ɪ x l äː q
अख़्ज़र	ɐ kʰ d͡ʒ ɐ ɾ
अख़्ज़र	ɐ x z ɐ ɾ
अख़्तर	ɐ kʰ t̪ ɐ ɾ
अख़्तर	ɐ x t̪ ɐ ɾ
अखाड़ा	ɐ kʰ äː ɽ äː
अखाड़े	ɐ kʰ äː ɽ eː
अखिल	ɐ kʰ ɪ l
अखिलेश	ɐ kʰ ɪ l eː ʃ
अगणित	ɐ ɡ ɐ ɳ ɪ t̪
अगम्यता	ɐ ɡ ɐ̃ m j ɐ t̪ äː
अगर	ɐ ɡ ɐ ɾ
अगरचे	ɐ ɡ ɐ ɾ t͡ʃ eː
अगरतला	ɐ ɡ ɐ ɾ t̪ ɐ l äː
अगरबत्तियाँ	ɐ ɡ ɐ ɾ b ɐ t̪̚ t̪ i j ä̃ː
अगरबत्तियो	ɐ ɡ ɐ ɾ b ɐ t̪̚ t̪ i j oː
अगरबत्तियों	ɐ ɡ ɐ ɾ b ɐ t̪̚ t̪ i j õː
अगरबत्ती	ɐ ɡ ɐ ɾ b ɐ t̪̚ t̪ iː
अगला	ɐ ɡ l äː
अगले	ɐ ɡ l eː
अगवा	ɐ ɡ w äː
अगवाड़ा	ɐ ɡ w äː ɽ äː
अगवाड़े	ɐ ɡ w äː ɽ eː
अगवाड़ों	ɐ ɡ w äː ɽ õː
अगवानी	ɐ ɡ w äː n iː
अगस्त	ɐ ɡ ɐ s t̪
अगहन	ɐ ɡ ɦ ɐ̃ n
अगहन	ɐ ɡʱ ɐ̃ n
अग़वा	ɐ ɡ w äː
अग़वा	ɐ ɣ ʋ äː
अगाऊ	ɐ ɡ äː uː
अगिन	ɐ ɡ ɪ̃ n
अगुआ	ɐ ɡ ʊ äː
अगोचर	ɐ ɡ oː t͡ʃ ɐ ɾ
अगोरना	ɐ ɡ oː ɾ n äː
अग्नि	ɐ ɡ n iː
अग्निकांड	ɐ ɡ n ɪ k ä̃ː ɳ ɖ
अग्निदाह	ɐ ɡ n ɪ d̪ äːʱ
अग्निपरीक्षा	ɐ ɡ n ɪ p ɐ ɾ iː k ʃ äː
अग्निशमन	ɐ ɡ n ɪ ʃ m ɐ̃ n
अग्निशस्त्र	ɐ ɡ n ɪ ʃ ɐ s t̪ ɾᵊ
अग्निशामक	ɐ ɡ n ɪ ʃ äː m ɐ k
अग्निसात्	ɐ ɡ n ɪ s äː t̪
अग्निहोत्री	ɐ ɡ n ɪ ɦ oː t̪ ɾ iː
अग्न्याशय	ɐ ɡ n j äː ʃ ɐ j
अग्रच्छद	ɐ ɡ ɾ ɐ t̚ t͡ʃʰ ɐ d̪
अग्रज	ɐ ɡ ɾ ɐ d͡ʒ
अग्रजा	ɐ ɡ ɾ ɐ d͡ʒ äː
अग्रजाएँ	ɐ ɡ ɾ ɐ d͡ʒ äː ẽː
अग्रजाओ	ɐ ɡ ɾ ɐ d͡ʒ äː oː
अग्रजाओं	ɐ ɡ ɾ ɐ d͡ʒ äː õː
अग्रजो	ɐ ɡ ɾ ɐ d͡ʒ oː
अग्रजों	ɐ ɡ ɾ ɐ d͡ʒ õː
अग्रणी	ɐ ɡ ɾ ɐ ɳ iː
अग्रवाल	ɐ ɡ ɾᵊ ʋ äː l
अग्रसर	ɐ ɡ ɾ ɐ s ɐ ɾ
अग्रहायण	ɐ ɡ ɾ ɐ ɦ äː j ɐ̃ ɳ
अग्रिम	ɐ ɡ ɾ ɪ̃ m
अग्रिमता	ɐ ɡ ɾ ɪ̃ m t̪ äː
अघाना	ɐ ɡʱ äː n äː
अघुलनशील	ɐ ɡʱ ʊ l ɐ̃ ɲ ʃ iː l
अघुलनशीलता	ɐ ɡʱ ʊ l ɐ̃ ɲ ʃ iː l t̪ äː
अङ्गमर्दन	ɐ̃ ŋ ɡ ɐ m ɐ ɾ d̪ ɐ̃ n
अचंभा	ɐ t͡ʃ ɐ̃ m bʱ äː
अचंभित	ɐ t͡ʃ ɐ̃ m bʱ ɪ t̪
अचकन	ɐ t͡ʃ k ɐ̃ n
अचर	ɐ t͡ʃ ɐ ɾ
अचरज	ɐ t͡ʃ ɾ ɐ d͡ʒ
अचल	ɐ t͡ʃ ɐ l
अचानक	ɐ t͡ʃ äː n ɐ k
अचार	ɐ t͡ʃ äː ɾ
अचूक	ɐ t͡ʃ uː k
अचेत	ɐ t͡ʃ eː t̪
अच्छा	ɐ t̚ t͡ʃʰ äː
अच्छाई	ɐ t̚ t͡ʃʰ äː iː
अच्छापन	ɐ t̚ t͡ʃʰ äː p ɐ̃ n
अछना	ɐ t͡ʃʰ n äː
अछूत	ɐ t͡ʃʰ uː t̪
अछूता	ɐ t͡ʃʰ uː t̪ äː
अजगर	ɐ d͡ʒ ɡ ɐ ɾ
अजगरी	ɐ d͡ʒ ɡ ɐ ɾ iː
अजदहा	ɐ d͡ʒ d̪ ɐ ɦ äː
अजनबियत	ɐ d͡ʒ n ɐ b i j ɐ t̪
अजनबियों	ɐ d͡ʒ n ɐ b i j õː
अजनबी	ɐ d͡ʒ n ɐ b iː
अजब	ɐ d͡ʒ ɐ b
अजमान	ɐ d͡ʒ m ä̃ː n
अजमेर	ɐ d͡ʒ m eː ɾ
अजमोद	ɐ d͡ʒ m oː d̪
अजय	ɐ d͡ʒ ɐ j
अजवाइन	ɐ d͡ʒ ʋ äː ɪ̃ n
अज़	ɐ d͡ʒ
अज़	ɐ z
अज़दहा	ɐ d͡ʒ d̪ ɐ ɦ äː
अज़दहा	ɐ z d̪ ɐ ɦ äː
अज़रबैजान	ɐ d͡ʒ ɐ ɾ b ɛː d͡ʒ ä̃ː n
अज़रबैजान	ɐ z ɐ ɾ b ɛː d͡ʒ ä̃ː n
अज़रबैजानी	ɐ d͡ʒ ɐ ɾ b ɛː d͡ʒ äː n iː
अज़रबैजानी	ɐ z ɐ ɾ b ɛː d͡ʒ äː n iː
अज़ान	ɐ d͡ʒ ä̃ː n
अज़ान	ɐ z ä̃ː n
अज़ाब	ɐ d͡ʒ äː b
अज़ाब	ɐ z äː b
अज़ीज़	ɐ d͡ʒ iː d͡ʒ
अज़ीज़	ɐ z iː z
अज़ीम	ɐ d͡ʒ ĩː m
अज़ीम	ɐ z ĩː m
अज़ेरी	ɐ d͡ʒ eː ɾ iː
अज़ेरी	ɐ z eː ɾ iː
अजाइब	ɐ d͡ʒ äː ɪ b
अजागरूकता	ɐ d͡ʒ äː ɡ ɾ uː k t̪ äː
अजातशत्रु	ɐ d͡ʒ äː t̪ ʃ ɐ t̪ ɾ uː
अजान	ɐ d͡ʒ ä̃ː n
अजायबघर	ɐ d͡ʒ äː j ɐ b ɡʱ ɐ ɾ
अजिल्द	ɐ d͡ʒ ɪ l d̪
अजी	ɐ d͡ʒ iː
अजीत	ɐ d͡ʒ iː t̪
अजीब	ɐ d͡ʒ iː b
अजीर्ण	ɐ d͡ʒ iː ɾ ɳ
