Aafang	ɑː v̥ ɑ ŋ
ich	i x
ich	i ʃ
ich	iː
iigsee	iː k s eː
ir	i r
kän	k x æ n
laa	l ɑː
lache	l a χ ə
lade	l ɑ d̥ ə
lang	l ɑ ŋ
lauffe	l æ ʊ fː ə
letscht	l e t ʃ t
liachtaschtänerisch	l i a χ t a ʃ t æ n ə r ɪ ʃ
lieb	l i ə p
ligge	l i ɡː ə
liide	l iː d ə
liisli	l iː s l i
lose	l o z ə
lose	l ɔ z ə
luege	l u ə ɡ̥ ə
lupfe	l u p͡f ə
läse	l æ z ə
läse	l æː z ə
lüpfe	l ʏ p͡f ə
lüüte	l yː t ə
mache	m ɑ x ə
massehaft	m ɑ sː ə h ɑ f t
massewiis	m ɑ sː ə ʋ iː s
mega	m e ɡ̊ ɑ
mega	m e ɡ̊ ə
mega	m eː ɡ̊ ɑ
merci	m ɛ r s i
messi	m ɛ s i
metzge	m e t t s ɡ ə
miin	m iː n
mir	m i r
mir	m ə r
mir	m ɪː r
mitenand	m i t ə n ɑ n d
moorn	m oː r n
moorn	m ɔː r n
mängist	m æ ŋ i s t
määr	m ɛː r
natüürlich	n ɑ t yː r l i x
nett	n e t
nie	n i ə
nin	n i n
nine	n i n ə
no	n ɔ
normaalerwiis	n ɔ r m ɑː l ə r ʋ iː s
nu	n u
nume	n u m ə
näime	n æ i̯ m ə
näimehäär	n æ i̯ m ə h ɛː r
näimis	n æ ɪ m i s
nöi	n ø ɪ
nüme	n y m ə
nüün	n yː n
nüünzg	n yː n t s k
nüüt	n yː t
ocht	ɔ x t
ooni	oː n i
passiere	p ɑ s s i ə r ə
pflääge	p f l æː ɡ ə
rauche	r æ u x ə
rigle	r i ɡ l ə
riibe	r iː b ə
rode	r o d ə
schade	ʃ ɑ d ə
schaffe	ʒ̊ ɑ f ə
schiebe	ʃ i ə b ə
schier	ʃ i ə r
schlaaffe	ʃ l ɑː fː ə
schlafe	ʃ l ɑ f ə
schlucke	ʃ l u k χ ə
schlucke	ʃ l u ɡ̊ː ə
schpile	ʃ p i l ə
schriibe	ʃ r iː b ə
schwele	ʃ v e l ə
schwiizerisch	ʃ ʋ i t͡s ə r ɪ ʃ
schäme	ʃ æ m ə
schüüch	ʃ yː x
seckle	s e k͡x l ə
seer	s eː r
seggle	s e ɡ̊ː l ə
sibe	z i b ə
sii	s iː
siin	s iː n
singe	s i ŋ ə
spräite	ʃ p r æ ɪ t ə
staa	ʃ t ɑː
steerbe	ʃ t ɛː r b ə
stuune	ʃ t uː n ə
sueche	s u ə x ə
sus	s u s
sus	s ʊ s
susch	s u ʃ
susch	s ʊ ʃ
suscht	s u ʃ t
suscht	s ʊ ʃ t
sächs	s æ x s
tobe	t o b̥ ə
triibe	t r iː b ə
trinke	t r i ŋ k x ə
tööde	t øː d ə
tünn	t y nː
tüür	t yː r
tüütsch	t yː t ʃ
u	ʊ
umenand	u m ə n ɑ n d̥
use	u z ə
uu	uː
uufluege	uː f l u ə̯ ɡ̊ ə
uufschriibe	uː f ʃ r iː b ə
uuftue	uː f t u ə
uusgsee	uː z̥ k s eː
uushalte	uː s h ɑ l t ə
uusriibe	uː s r iː b ə
vercheert	f ə r χ eː r t
vier	f i ə r
waas	v ɑː
wüsse	v y sː ə
z	t͡s
zale	t s ɑ l ə
zeerscht	t͡s eː r ʃ t
zuelose	t s u ə l o z ə
zuelose	t s u ə l ɔ z ə
zwänzg	t s v æ n t s k
zäme	t s æ m ə
zää	t s æː
Äigeschaft	æ i ɡ ə ʃ ɒ f t
Ängländer	æ ŋ l æ n d ə r
Ätti	æ t t i
ässe	æ s ə
äxgüsi	æ k s ɡ y z i
èèrnscht	ɛː r n ʃ t
ìsch	ɪ ʃ
öi	ø i
öis	ø i s
öise	ø i z ə
öppe	ø pː ə
öpper	ø pː ə r
öpperem	ø pː ə r ə m
öppisem	ø pː i s m̩
öppisem	ø pː i s ə m
