آسف	æː s ɪ f
برتقان	b o ɾ t o ʔ ɑː n
برواز	b e ɾ w æː z
بطريق	b a tˤ r iː q
بقدونس	b æ ʔ d uː n ɪ s
بكرة	b o k ɾ ɑ
بلد	b æ l æ d
بلطجي	b ɑ l tˤ ɑ ɡ i
بلكونة	b æ l æ k oː n æ
بنطلون	b ɑ n tˤ ɑ l o̞ː n
بيرة	b iː ɾ æ
بيه	b eː
بيه	b eː h
ت	e t
ت	t
ت	t e
ت	ɪ t
تحفة	t o ħ f æ
تخويل	t æ x w iː l
تخين	t e x iː n
تربيزة	t ɑ r ɑ b eː z ɑ
تربيزة	t ɑ r ɑ b iː z ɑ
ترجم	t æ ɾ ɡ ɪ m
تسعة	t ɪ s ʕ æ
تسعين	t ɪ s ʔ iː n
تعبان	t æ ʕ b æː n
تعبان	t ɪ ʕ b æː n
تقيل	t ɪ ʔ iː l
تلفزيون	t ɪ l ɪ f ɪ z j oː n
تلڤزيون	t ɪ l ɪ f ɪ z j oː n
تلڤزيون	t ɪ l ɪ v ɪ z j oː n
تمنين	t æ m æ n iː n
توبة	t oː b æ
تي	t i
تي	tʲ i
تي	t͡ʃ i
تيل	t iː l
جاب	ɡ æː b
جد	ɡ e d
جد	ɡ æ d
جد	ɡ æ dː
جد	ɡ æ dː e
جد	ɡ ɪ dː
جد	ɡ ɪ dː e
جراچ	ɡ ɑ r ɑː ʃ
جراچ	ɡ ɑ r ɑː ʒ
جزر	ɡ ɑ z ɑ r
جزمة	ɡ æ z m æ
جلد	ɡ e l d
جلود	ɡ ɪ l uː d
جمباز	ɡ o m b ɑː z
جمبري	ɡ æ m b æ r i
جمجمة	ɡ o m ɡ o m æ
جنزاري	ɡ e n z æː r i
جنينة	ɡ e n eː n æ
جنينة	ɡ u n eː n æ
جنيه	ɡ ɪ n eː
جنيه	ɡ ɪ n eː h
جه	ɡ e
جه	ɡ e h
جه	ɡ æ
جه	ɡ æː
جه	ɡ ɪ
جه	ɡ ɪ h
جوز	ɡ oː z
جوز	ɡ æ wː ɪ z
حاجة	ħ aː d͡ʒ a
حاجة	ħ æː ɡ æ
حارة	ħ ɑː ɾ ɑ
حتى	ħ æ tː ɜ
حج	ħ æ ɡ
حج	ħ æ ɡː
حج	ħ æ ɡː e
حجازي	ħ ɪ ɡ æː z iː
حدا	h æ d æ
حداشر	ħ ɪ d ɑː ʃ ɑ ɾˤ
حديد	ħ ɜ d iː d
حديدة	ħ ɜ d iː d ɜ
حضرتك	ħ ɑ d r e t æ k
حضرتك	ħ ɑ d r e t ɪ k
حضرتك	ħ ɑ dˤ r e t æ k
حضرتك	ħ ɑ dˤ r e t ɪ k
حلاق	ħ æ l l æː ʔ
حلزون	ħ æ l æ z oː n
حلوم	ħ æ l l uː m
حما	ħ æ m ɜ
حمار	ħ m ɑː r
حمار	ħ m ɑː rˤ
حمار	ħ ʊ m ɑː r
حمار	ħ ʊ m ɑː rˤ
حمام	ħ æ m m æː m
حنش	ħ æ n æ ʃ
حنطور	ħ ɑ n tˤ uː ɾ
حيط	ħ eː tˤ
حيطة	ħ eː tˤ ɑ
خال	x æː l
خالص	x ɑː l e sˤ
خالص	x ɑː ɫ e sˤ
خامس	x æː m ɪ s
خد	x æ d
خد	x æ dː
خد	x æ dː e
خفاش	x u f f æː ʃ
خماسين	x æ m æ s iː n
خمسة	x æ m s æ
خمسين	x æ m s iː n
خول	x æ w æ l
دبانة	d e b b æː n æ
دقن	d æ ʔ n
دقيق	d e ʔ iː ʔ
دقيق	d i ʔ iː ʔ
دقيق	d ɑ q iː q
دكتور	d ʊ k t oː r
دكر	d ɑ k ɑ ɾ
دلوقت	d e l w æ ʔ t
دلوقتي	d e l w æ ʔ t i
دم	d æ m
دم	d æ mː
دم	d æ mː e
دنيا	d e n j ɜ
دنيا	d o n j ɜ
ده	d æ
ده	d æ h
دور	d oː r
ديموقراطية	d ɪ m o q r ɑ tˤ i j j æ
ديموقراطية	d ɪ m u q r ɑ tˤ i j j æ
ذكي	z æ k i
ذهبى	z æ h æ b i
راجل	ɾ ɑː ɡ ɪ l
راح	r ɑː ħ
راديو	r æ d j u
راديو	r ɑ d j o
راديو	r ɑ d j u
راس	ɾ ɑː s
رامي	ɾ æː m i
رامي	ɾ ɑː m i
ربع	ɾ o b ʕ
رتم	ɾ e t m
رجع	r e ɡ e ʕ
رجع	r æ ɡ ɜ ʕ
رجع	r æ ɡː ɜ ʔ
رقبة	r æ ʔ æ b æ
رقم	r ɑ q ɑ m
رقم	r ɑ qː ɑ m
رن	r æ n
رن	r æ nː
رن	r æ nː e
زبادي	z a b æː d i
زعل	z e ʕ e l
زعل	z æ ʕ ɜ l
زعل	z æ ʕː ɜ l
زود	z æ wː e d
زي	z æ j
سأل	s æ ʔ æ l
سؤال	s u ʔ æː l
ساب	s æː b
ساقع	s æː ʔ e ʕ
سبتمبر	s e b t a m b e ɾ
سبع	s æ b ʕ
سبعين	s æ b ʔ iː n
سبيط	s o bː eː tˤ
ست	s e t
ست	s ɪ tː
ست	s ɪ tː e
ستين	s ɪ tː iː n
سرق	s æ r æ ʔ
سرير	s ɪ ɾ iː ɾ
سقع	s e ʔ e ʕ
سقع	s æ ʔ æ ʕ
سكس	s e k s
سكن	s a k a n
سكن	s i k i n
سمك	s o m k
سنة	s a n e
سنة	s a n e h
سنة	s o nː æ
سنة	s æ n æ
سنة	s ɪ nː æ
سيخ	s iː x
ش	e ʃ
ش	ʃ
ش	ʃ i
ش	ʒ
شاذ	ʃ æ zː e
شاكوش	ʃ æ k uː ʃ
شال	ʃ æː l
شبت	ʃ æ b æ t
شتر	ʃ ɑ t ɑ ɾ
شخر	ʃ ɑ x ɑ ɾ
شخر	ʃ ɑ xː ɑ ɾ
شر	ʃ ɑ ɾ
شراب	ʃ o ɾˤ ɑː b
شراب	ʃ ɑ ɾˤ ɑː b
شرب	ʃ ɪ ɾ ɪ b
شغال	ʃ æ ɣ ɣ æː l
شقة	ʃ æ ʔ ʔ æ
شقلب	ʃ a ʔ l e b
شقلباز	ʃ ɑ ɡ l ɑ b ɑː z
شقلباز	ʃ ɑ ʔ l ɑ b ɑː z
شكرا	ʃ o k ɾ ɑ n
شكمان	ʃ æ k m æː n
شكمان	ʃ æ k æ m æː n
شكمان	ʃ ʊ k m æː n
شلتة	ʃ æ l t æ
شماعة	ʃ æ m m æː ʕ æ
شمال	ʃ ɪ m æː l
شنطة	ʃ ɑ n tˤ ɑ
صبغ	s æ b æ ɣ
صبغ	sˤ ɑ b ɑ ɣ
صوت	sˤ ɑ wː ɑ t
صوت	sˤ ɑ wː ɑ tˤ
ضحك	d e ħ k
ضحك	d æ ħ ħ æ k
ضحك	dˤ ɑ ħ ħ ɑ k
ضحكة	d e ħ k æ
طازة	tˤ ɑː z ɑ
طبنجة	tˤ ɑ b ɑ n ɡ ɑ
طفل	tˤ ɪ f l
طماطم	tˤ ɑ m ɑː tˤ ɪ m
طنط	tˤ ɑ n tˤ
طنط	tˤ ɑ n tˤ e
طويل	tˤ ɑ w iː l
طيب	tˤ ɑ j j ɪ b
طير	tˤ ɘː r
طير	tˤ ɨː r
طيز	tˤ iː z
عاش	ʕ æː ʃ
عاصمة	ʕ ɑː sˤ ɪ m æ
عبنول	ʕ æ b n æ wː æ l
عدى	ʕ æ dː æ
عربية	ʔ ɑ ɾ ɑ b e j j ɑ
عرقسوس	ʕ ɪ r ɡ s uː s
عرقسوس	ʕ ɪ r ʔ e s uː s
عصفور	ʕ ɑ sˤ f ʉː r
عصير	ʕ ɑ sˤ iː ɾ
عضم	ʕ ɑ dˤ m
علاقة	ʕ e l ɑː q ɑ
علاقة	ʕ æ l l æː ʔ a
علاولة	ʕ æ l æː w l e
علاولة	ʕ æ l æː w l æ
علشان	ʕ æ l æ ʃ æː n
عم	ʕ æ m
عم	ʕ æ mː
عم	ʕ æ mː e
عمل	ʕ æ m ɜ l
عمل	ʕ ɪ m e l
عمنول	ʕ æ m n æ wː æ l
عناب	ʕ ɪ nː æː b
عنوان	ʕ e n w æː n
عيان	ʔ æ jː æː n
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيط	ʕ ɑ jː ɑ tˤ
عيل	ʕ æ jː e l
عيلة	ʕ eː l æ
عين	ʕ eː n
غابة	ɣ æː b æ
فارسي	f æ ɾ s i
فبراير	f e b ɾ ɑː j e ɾ
فراولة	f i ɾ ɑ w l ɑ
فراولة	f ɑ ɾ ɑ w l ɑ
فرخة	f æ ɾ χ æ
فرفش	f æ ɾ f e ʃ
فضح	f ɑ dˤ ɑ ħ
فهم	f ɪ h ɪ m
فوطة	f uː tˤ ɑ
في	f i
في	f iː
في	f ɪ
قاع	q ɑː ʕ
قال	ʔ æː l
قاموس	q ɑ m uː s
قدام	ʔ ʊ d d æ m
قراءة	q e ɾ ɑː ʔ ɑ
قراية	ʔ e ɾ æː j æ
قرش	ɡ a ɾ æ ʃ
قرش	ɡ i ɾ ʃ
قرش	ʔ e ɾ ʃ
قرش	ʔ æ ɾ æ ʃ
قرص	ɡ ɑ ɾˤ ɑ sˤ
قرص	ʔ ɑ ɾ ɑ sˤ
قرفة	ʔ ɪ ɾ f æ
قزاز	ʔ e z æː z
قزاز	ʔ æ zː æː z
قصاد	ʔ o sˤ ɑː dˤ
قطة	ʔ ʊ tˤː ɑ
قطيفة	ʔ ɑ tˤ iː f ɑ
قعد	ʔ æ ʕ æ d
قعر	ʔ ɑ ʕ ɾ
قمر	ʔ ɑ m ɑ r
قهوة	æ h w ɜ
قهوة	ʔ æ h w ɜ
قوام	ʔ æ w æː m
قورة	ʔ uː r ɑ
قوطة	ʔ uː tˤ ɑ
قوقعة	kˤ ɑ w kˤ ɑ ʕ ɑ
قوقعة	q ɑ w q ɑ ʕ ɑ
قوي	q ɑ w i
قوي	ɡ a w i
قوي	ʔ æ w i
كابوريا	k æ b o ɾ j æ
كادو	k æ d o
كان	k æː n
كباريه	k æ b æ ɾ eː
كباية	k e b b æː j æ
كباية	k o b b æː j æ
كبير	k ɪ b iː r
كبير	ɡ b iː r
كتب	k æ t æ b
كركديه	k æ ɾ k æ d e
كل	k o l
كل	k o lː
كل	k o lː e
كلة	k o l l æ
كلمة	k e l m æ
كلوت	k o l o t
كنبة	k æ n æ b æ
كورة	k oː ɾ ɑ
كويس	k u w æ j j ɪ s
كويس	k w æ j j ɪ s
كيس	k iː s
كيچي	k iː ʒ i
لام	l æː m
لب	l e b
لبوة	l æ b w æ
لخبط	l ɑ x b ɑ tˤ
لسا	l e s s æ
لف	l æ f
لف	l æ fː
لف	l æ fː e
لم	l æ m
لنج	l æ n ɡ
لو	l æ w
لولا	l oː l ɜ
لولا	l æ w l ɜ
ليه	l eː
ليه	l eː h
مات	m æː t
ماتريكس	m æ t ɾ e k s
ماتش	m ɑ t ʃ
ماتور	m æ t oː ɾ
مارس	m æː r i s
ماركه	m æ r k æ
ماس	m æː s
ماما	m ɑː m ɑ
مايو	m æː j o
مايوه	m æ j j oː
مايوه	m æ j j oː h
مت	m æ t
متانة	m æ t æː n æ
متر	m e t ɾ
مترو	m e t ɾ o
متريس	m æ t ɾ iː s
متع	m o t æ ʕ
متع	m æ t t æ ʕ
متعة	m o t ʕ æ
متور	m o t oː ɾ
متور	m æ t oː ɾ
متين	m æ t iː n
مجد	m æ ɡ d
مجد	m æ ɡː e d
مجرم	m o ɡ r ɪ m
مجري	m æ ɡ æ ɾ i
مجرية	m æ ɡ æ ɾ i jː æ
مجرية	m ɑ ɡ ɑ ɾ i jː ɑ
مجريين	m æ ɡ æ ɾ i jː iː n
مجريين	m ɑ ɡ ɑ ɾ i jː iː n
مجيد	m æ ɡ iː d
محل	m æ h æ l l
مدام	m ɜ d æː m
مدلية	m æ d ɪ l j æː
مراة	m e r ɑː t
مرة	m ɑ r ɑ
مرة	m ɑ rː ɑ
مرش	m ɑ r ʃ
مرك	m ɑ r k
مرهق	m o ɾ h ɑ q
مرهق	m o ɾ h ɪ q
مريض	m ɑ ɾ iː dˤ
مزبوط	m ɑ zˤ b uː tˤ
مزيكا	m æ z z iː k æ
مستكة	m ɪ s t ɪ k æ
مسطرة	m æ sˤ tˤ ɑ ɾˤ ɑ
مشروع	m ɑ ʃ r uː ʕ
مصري	m ɑ sˤ rˤ i
مصفوفة	m ɑ sˤ f uː f ɑ
مطبخ	m ɑ tˤ b ɑ x
معلش	m ɜ ʕ l e ʃː
معلقة	m æ ʔ l æ ɡ e
معلقة	m æ ʔ l æ ɡ æ
معلقة	m æ ʔ l æ ʔ æ
مغرفة	m æ ɣ ɾ ɑ f ɑ
مقص	m æ ʔ ɑ sˤ
مقلي	m æ ʔ l i
مكتبة	m æ k t æ b æ
مكنة	m æ k ɜ n ɜ
ملاك	m æ l æː k
مليان	m æ l j æː n
مملكة	m æ m l æ k æ
مناخير	m æ n æ x iː ɾ
منع	m æ n æ ʕ
منع	m æ n ʕ
منين	m ɪ n eː n
موبایل	m ʊ b ɑ j e l
موبيليا	m o b e l j æ
موتور	m o t oː ɾ
موتوسيكل	m o t o s e k l
موتوسيكل	m o t o s e k l e
موتوسيكل	m o t͡s e k l
موتوسيكل	m o t͡s e k l e
موتوسيكل	m ʊ t ʊ s e k l
موتوسيكل	m ʊ t ʊ s e k l e
موتوسيكل	m ʊ t͡s e k l
موتوسيكل	m ʊ t͡s e k l e
موميا	m u m j æ
موڤ	m oː f
موڤ	m oː v
موڤي	m oː f i
موڤي	m oː v i
مية	m ɑ jː ɑ
مية	m ɪ jː æ
ميت	m iː t
ميت	m æ jː e t
ميتين	m ɜ jː ɪ t iː n
ميكروباص	m ɪ k r ʊ b ɑː sˤ
ميلاد	m ɪ l æː d
مين	m iː n
نام	n æ mː
ناو	n æː w
نبيت	n e b iː t
نتاية	n e t æː j æ
نجمة	n ɪ ɡ m æ
نرجس	n æ r ɡ e s
نفع	n e f e ʕ
نفع	n æ f ɜ ʕ
نوفمبر	n o f a m b e ɾ
نوڤمبر	n o v æ m b e ɾ
هانم	h æː n e m
هانم	h æː n ɪ m
هاوهاو	h ɑ w h ɑ w
هدوم	h ɪ d uː m
هدوم	h ʊ d uː m
واحد	w æː ħ ɪ d
والله	w ɑ ɫː ɑ h i
ودان	w ɪ d æ n
ودن	w ɪ d n
وش	w ɪ ʃ
وش	w ɪ ʃː
وش	w ɪ ʃː e
وعد	w æ ʕ d
وعد	w æ ʕ æ d
ولادة	w æ l l æː d æ
ويكة	w eː k æ
يحرر	j e ħ ɑ ɾ ɾ ɑ ɾ
يع	j æ ʕ
ين	eː n
ين	iː n
يناير	j æ n æː j e ɾ
ينف	j e n e f
يوليو	j o l j o
يونيو	j o n j o
يويو	j oː j o
يويو	j oː j u
يويو	j uː j u
ڤيروس	v ɜ j r uː s
