ԱԱ	ɑ ɑ́
Ալթըբարմագյան	ɑ l tʰ ə b ɑ ɾ m ɑ ɡ j ɑ́ n
Ալթըբարմաքյան	ɑ l tʰ ə b ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթըփարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ ɡ j ɑ́ n
Ալթըփարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ́ n
Ալթիպարմաղյան	ɑ l tʰ i p ɑ ɾ m ɑ ʁ j ɑ́ n
Ալժիր	ɑ l ʒ í ɾ
Ալինա	ɑ l i n ɑ́
Ալինա	ɑ l í n ɑ
Ալիստեր	ɑ́ l i s t e ɾ
Ալիև	ɑ l í j e v
Ալլա	ɑ lː ɑ́
Ալլահ	ɑ lː ɑ́ h
Ալկայոս	ɑ l k ɑ j ó s
Ալկիբիադես	ɑ l k i b i j ɑ d é s
Ալկման	ɑ l k m ɑ́ n
Ալկմենե	ɑ l k m é n e
Ալմաթի	ɑ l m ɑ tʰ í
Ալյասկա	ɑ l j ɑ́ s k ɑ
Ալպեր	ɑ l p é ɾ
Ալջունիդ	ɑ l d͡ʒ u n í d
Ալվարդ	ɑ l v ɑ́ ɾ tʰ
Ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ́
Ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ́ kʰ
Ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ í
Ախուրյան	ɑ χ u ɾ j ɑ́ n
Ահարոն	ɑ h ɑ ɾ ó n
Ահարոնյան	ɑ h ɑ ɾ o n j ɑ́ n
Ահրիման	ɑ h ɾ i m ɑ́ n
Աղաթոն	ɑ ʁ ɑ tʰ ó n
Աղայան	ɑ ʁ ɑ j ɑ́ n
Աղաջանյան	ɑ ʁ ɑ d͡ʒ ɑ n j ɑ́ n
Աղասի	ɑ ʁ ɑ s í
Աղաֆոն	ɑ ʁ ɑ f ó n
Աղդամ	ɑ ʁ d ɑ́ m
Աղձնիք	ɑ ʁ d͡z n í kʰ
Աղջայան	ɑ ʁ d͡ʒ ɑ j ɑ́ n
Աղվան	ɑ ʁ v ɑ́ n
Աղվանք	ɑ ʁ v ɑ́ ŋ kʰ
Աճառյան	ɑ t͡ʃ ɑ r j ɑ́ n
Աճեմյան	ɑ t͡ʃ e m j ɑ́ n
Ամազոն	ɑ m ɑ z ó n
Ամալյա	ɑ m ɑ l j ɑ́
Ամանոս	ɑ m ɑ n ó s
Ամանոր	ɑ m ɑ n ó ɾ
Ամբակում	ɑ m b ɑ k ú m
Ամերիկա	ɑ m e ɾ i k ɑ́
Ամերիկա	ɑ m é ɾ i k ɑ
Ամերիկայի	ɑ m e ɾ i k ɑ j í
Ամիրան	ɑ m i ɾ ɑ́ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ́ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ́ n
Ամիրյան	ɑ m i ɾ j ɑ́ n
Ամման	ɑ mː ɑ́ n
Ամուդարյա	ɑ m u d ɑ ɾ j ɑ́
Ամուր	ɑ m ú ɾ
Ամուրի	ɑ m u ɾ í
Ամստերդամ	ɑ m s t e ɾ d ɑ́ m
Այծեղջյուր	ɑ j t͡s e ʁ d͡ʒ j ú ɾ
Այծեմնիկ	ɑ j t͡s e m n í k
Այուբյան	ɑ j u b j ɑ́ n
Այսրկովկաս	ɑ j s ə ɾ k o f k ɑ́ s
Այվազյան	ɑ j v ɑ z j ɑ́ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ́ t
Անադիր	ɑ n ɑ d í ɾ
Անակ	ɑ n ɑ́ k
Անակրեոն	ɑ n ɑ k ɾ e ó n
Անահիտ	ɑ n ɑ h í t
Անանիա	ɑ n ɑ n i j ɑ́
Անաստաս	ɑ n ɑ s t ɑ́ s
Անատոլի	ɑ n ɑ t ó l i
Անատոլիա	ɑ n ɑ t o l i j ɑ́
Անատոլիա	ɑ n ɑ t ó l i j ɑ
Անաքսագորաս	ɑ n ɑ kʰ s ɑ ɡ o ɾ ɑ́ s
Անաքսիմանդրոս	ɑ n ɑ kʰ s i m ɑ n d ɾ ó s
Անաքսիմենես	ɑ n ɑ kʰ s i m e n é s
Անգլիա	ɑ́ ŋ ɡ l i j ɑ
Անգմոկիո	ɑ ŋ ɡ m o k i j ó
Անգոլա	ɑ ŋ ɡ ó l ɑ
Անդեր	ɑ n d é ɾ
Անդորա	ɑ n d ó ɾ ɑ
Անդորրա	ɑ n d ó ɹː ɑ
Անդրանիկ	ɑ n d ɾ ɑ n í k
Անդրբայկալ	ɑ n d ə ɾ b ɑ j k ɑ́ l
Անդրեաս	ɑ n d ɾ e ɑ́ s
Անդրեասյան	ɑ n d ɾ e ɑ s j ɑ́ n
Անդրիասյան	ɑ n d ɾ i j ɑ s j ɑ́ n
Անդրկովկաս	ɑ n d ə ɾ k o f k ɑ́ s
Անդրհորդանան	ɑ n d ə ɾ h o ɾ d ɑ n ɑ́ n
Անդրոմաքե	ɑ n d ɾ o m ɑ́ kʰ e
Անթառամ	ɑ n tʰ ɑ r ɑ́ m
Անժելա	ɑ n ʒ é l ɑ
Անժու	ɑ n ʒ ú
Անի	ɑ n í
Անկարա	ɑ ŋ k ɑ ɾ ɑ́
Անկոս	ɑ́ ŋ k o s
Աննա	ɑ nː ɑ́
Աննա	ɑ́ nː ɑ
Անուշ	ɑ n ú ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ́ n
Անտանանարիվու	ɑ n t ɑ n ɑ n ɑ ɾ í v u
Անտարկտիկա	ɑ n t ɑ ɾ k t i k ɑ́
Անտարկտիկա	ɑ n t ɑ́ ɾ k t i k ɑ
Անտիգոնե	ɑ n t i ɡ ó n e
Անտիոք	ɑ n t i j ó kʰ
Անտիոքոս	ɑ n t i j o kʰ ó s
Անտիսթենես	ɑ n t i s tʰ é n e s
Անտիտավրոս	ɑ n t i t ɑ v ɾ ó s
Անտոնի	ɑ n t ó n i
Անտոնիոս	ɑ n t ó n j o s
Աշգաբատ	ɑ ʃ ɡ ɑ b ɑ́ t
Աշխաբադ	ɑ ʃ χ ɑ b ɑ́ d
Աշխեն	ɑ ʃ χ é n
Աշոտ	ɑ ʃ ó t
Աշոտյան	ɑ ʃ o t j ɑ́ n
Աշտարակ	ɑ ʃ t ɑ ɾ ɑ́ k
Աոմին	ɑ o m í n
Աուլիս	ɑ u l í s
Ապամեա	ɑ p ɑ m é ɑ
Ապարան	ɑ p ɑ ɾ ɑ́ n
Ապենիններ	ɑ p e n i nː é ɾ
Ապիրատ	ɑ p i ɾ ɑ́ t
Ապոլլոն	ɑ p o l ó n
Ապոլոն	ɑ p o l ó n
Ապոլոնիա	ɑ p o l ó n i j ɑ
Ապուլիա	ɑ p ú l i j ɑ
Ապպիանոս	ɑ pː i j ɑ n ó s
Ապպիանոս	ɑ pː i j ɑ́ n o s
Ապպիոս	ɑ pː i j ó s
Ապրես	ɑ p ɾ é s
Ապրեսյան	ɑ p ɾ e s j ɑ́ n
Աջարիա	ɑ d͡ʒ ɑ ɾ i j ɑ́
Առաքել	ɑ r ɑ kʰ é l
Առաքելյան	ɑ r ɑ kʰ e l j ɑ́ n
Առինջ	ɑ r í n d͡ʒ
Առյուծ	ɑ r j ú t͡s
Առնո	ɑ r n ó
Առուշանյան	ɑ r u ʃ ɑ n j ɑ́ n
Առտիալ	ɑ r t i j ɑ́ l
Ասատուր	ɑ s ɑ t ú ɾ
Ասատուրյան	ɑ s ɑ t u ɾ j ɑ́ n
Ասատրյան	ɑ s ɑ t ɾ j ɑ́ n
Ասիա	ɑ́ s i j ɑ
Ասլանճյան	ɑ s l ɑ n t͡ʃ j ɑ́ n
Ասլանյան	ɑ s l ɑ n j ɑ́ n
Ասկալոն	ɑ s k ɑ l ó n
Ասկանիոս	ɑ s k ɑ́ n i j o s
Ասմարա	ɑ s m ɑ́ ɾ ɑ
Ասմերա	ɑ s m é ɾ ɑ
Ասորեստան	ɑ s o ɾ e s t ɑ́ n
Ասորիք	ɑ s o ɾ í kʰ
Ասպահան	ɑ s p ɑ h ɑ́ n
Ասպետ	ɑ s p é t
Ասսամ	ɑ sː ɑ́ m
Աստանա	ɑ s t ɑ n ɑ́
Աստղիկ	ɑ s t ʁ í k
Աստվածատուր	ɑ s t v ɑ t͡s ɑ t ú ɾ
Աստրախան	ɑ s t ɾ ɑ χ ɑ́ n
Ասքանազ	ɑ s kʰ ɑ n ɑ́ z
Ավագ	ɑ v ɑ́ kʰ
Ավագյան	ɑ v ɑ kʰ j ɑ́ n
Ավանիսյան	ɑ v ɑ n i s j ɑ́ n
Ավգերյան	ɑ v ɡ e ɾ j ɑ́ n
Ավգիաս	ɑ v ɡ i j ɑ́ s
Ավգուստ	ɑ́ v ɡ u s t
Ավգուստինոս	ɑ v ɡ u s t i n ó s
Ավետ	ɑ v é t
Ավետիս	ɑ v e t í s
Ավետիսյան	ɑ v e t i s j ɑ́ n
Ավետիք	ɑ v e t í kʰ
Ավետյան	ɑ v e t j ɑ́ n
Ավինյոն	ɑ v i n j ó n
Ավիցեննա	ɑ v i t͡sʰ é nː ɑ
Ավլիս	ɑ v l í s
Ավոգադրո	ɑ v o ɡ ɑ d ɾ ó
Ավստրալիա	ɑ f s t ɾ ɑ́ l i j ɑ
Ավստրիա	ɑ́ f s t ɾ i j ɑ
Ատալիա	ɑ t ɑ l i j ɑ́
Ատալիա	ɑ t ɑ́ l i j ɑ
Ատիլիոս	ɑ t i l i j ó s
Ատոմ	ɑ t ó m
Ատրներսեհ	ɑ t ə ɾ n e ɾ s é h
Ատրպատական	ɑ t ə ɾ p ɑ t ɑ k ɑ́ n
Արա	ɑ ɾ ɑ́
Արաբաջյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ́ n
Արաբիա	ɑ ɾ ɑ́ b i j ɑ
Արագած	ɑ ɾ ɑ ɡ ɑ́ t͡s
Արագածոտն	ɑ ɾ ɑ ɡ ɑ t͡s ó t ə n
Արախա	ɑ ɾ ɑ χ ɑ́
Արածանի	ɑ ɾ ɑ t͡s ɑ n í
Արամ	ɑ ɾ ɑ́ m
Արամազդ	ɑ ɾ ɑ m ɑ́ z d
Արամայիս	ɑ ɾ ɑ m ɑ j í s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ́ k
Արամյան	ɑ ɾ ɑ m j ɑ́ n
Արայիկ	ɑ ɾ ɑ j í k
Արապաճյան	ɑ ɾ ɑ p ɑ t͡ʃ j ɑ́ n
Արարատ	ɑ ɾ ɑ ɾ ɑ́ t
Արաքս	ɑ ɾ ɑ́ kʰ s
Արաքսի	ɑ ɾ ɑ kʰ s í
Արբելա	ɑ ɾ b e l ɑ́
Արգամ	ɑ ɾ ɡ ɑ́ m
Արգավանդ	ɑ ɾ ɡ ɑ v ɑ́ n d
Արգենտինա	ɑ ɾ ɡ e n t í n ɑ
Արգիշտի	ɑ ɾ ɡ i ʃ t í
Արգոլիս	ɑ ɾ ɡ o l í s
Արե	ɑ ɾ é
Արե	ɑ́ ɾ e
Արեգ	ɑ ɾ é ɡ
Արեգակ	ɑ ɾ e ɡ ɑ́ k
Արեկիպա	ɑ ɾ e k í p ɑ
Արես	ɑ ɾ é s
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ́ n
Արթիկ	ɑ ɾ tʰ í k
Արթունյան	ɑ ɾ tʰ u n j ɑ́ n
Արթուր	ɑ ɾ tʰ ú ɾ
Արժանթին	ɑ ɾ ʒ ɑ n tʰ í n
Արիոս	ɑ ɾ i j ó s
Արիստակես	ɑ ɾ i s t ɑ k é s
Արիստակեսյան	ɑ ɾ i s t ɑ k e s j ɑ́ n
Արիստոտել	ɑ ɾ i s t o t é l
Արիստոփանես	ɑ ɾ i s t o pʰ ɑ n é s
Արիստոֆան	ɑ ɾ i s t o f ɑ́ n
Արիստոֆանես	ɑ ɾ i s t o f ɑ n é s
Արխանգելսկ	ɑ ɾ χ ɑ ŋ ɡ é l s k
Արծրուն	ɑ ɾ t͡s ɾ ú n
Արծրունի	ɑ ɾ t͡s ɾ u n í
Արկադի	ɑ ɾ k ɑ d í
Արկադիոս	ɑ ɾ k ɑ d i j ó s
Արման	ɑ ɾ m ɑ́ n
Արմավիր	ɑ ɾ m ɑ v í ɾ
Արմեն	ɑ ɾ m é n
Արմենակ	ɑ ɾ m e n ɑ́ k
Արմենուհի	ɑ ɾ m e n u h í
Արմին	ɑ ɾ m í n
Արմինե	ɑ ɾ m i n é
Արշալույս	ɑ ɾ ʃ ɑ l ú j s
Արշակ	ɑ ɾ ʃ ɑ́ k
Արշակյան	ɑ ɾ ʃ ɑ k j ɑ́ n
Արշակունի	ɑ ɾ ʃ ɑ k u n í
Արշակունյաց	ɑ ɾ ʃ ɑ k u n j ɑ́ t͡sʰ
Արշամ	ɑ ɾ ʃ ɑ́ m
Արշավիր	ɑ ɾ ʃ ɑ v í ɾ
Արո	ɑ ɾ ó
Արոնյան	ɑ ɾ o n j ɑ́ n
Արուսյակ	ɑ ɾ u s j ɑ́ k
Արսեն	ɑ ɾ s é n
Արսենի	ɑ ɾ s é n i
Արսենյան	ɑ ɾ s e n j ɑ́ n
Արսինե	ɑ ɾ s i n é
Արսլանճյան	ɑ ɾ s l ɑ n t͡ʃ j ɑ́ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ́ n
Արտակ	ɑ ɾ t ɑ́ k
Արտաշատ	ɑ ɾ t ɑ ʃ ɑ́ t
Արտաշեն	ɑ ɾ t ɑ ʃ é n
Արտաշես	ɑ ɾ t ɑ ʃ é s
Արտաշիր	ɑ ɾ t ɑ ʃ í ɾ
Արտավազդ	ɑ ɾ t ɑ v ɑ́ z d
Արտավան	ɑ ɾ t ɑ v ɑ́ n
Արտեմ	ɑ ɾ t é m
Արտեմիս	ɑ ɾ t e m í s
Արտյոմ	ɑ ɾ t j ó m
Արտուքյան	ɑ ɾ t u kʰ j ɑ́ n
Արցախ	ɑ ɾ t͡sʰ ɑ́ χ
Արքիլոքոս	ɑ ɾ kʰ i l o kʰ ó s
Արքիմեդ	ɑ ɾ kʰ i m é d
Արև	ɑ ɾ é v
Արևելք	ɑ ɾ e v é l kʰ
Արևմուտք	ɑ ɾ e v m ú t kʰ
Ափրիկե	ɑ pʰ ɾ i k é
Ափրոդիտե	ɑ pʰ ɾ o d i t é
Աքայա	ɑ kʰ ɑ́ j ɑ
Աքեմենյան	ɑ kʰ e m e n j ɑ́ n
Աքիլես	ɑ kʰ i l é s
Աքիլլես	ɑ kʰ i lː é s
Աքքա	ɑ kʰː ɑ́
Աֆանասի	ɑ f ɑ n ɑ́ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ́ n
Աֆրիկա	ɑ́ f ɾ i k ɑ
Աֆրոդիտե	ɑ f ɾ o d i t é
Բ	b ə
ԲԴԽ	b ə d ə χ ə́
ԲՀԿ	b ə h ə k ə́
ԲՈՒՀ	b u h
Բաալբեկ	b ɑ ɑ l b é k
Բաբախանյան	b ɑ b ɑ χ ɑ n j ɑ́ n
Բաբայան	b ɑ b ɑ j ɑ́ n
Բաբաջանյան	b ɑ b ɑ d͡ʒ ɑ n j ɑ́ n
Բաբելոն	b ɑ b e l ó n
Բաբլոյան	b ɑ b l o j ɑ́ n
Բաբկեն	b ɑ b k é n
Բագարատ	b ɑ ɡ ɑ ɾ ɑ́ t
Բագրատ	b ɑ ɡ ɾ ɑ́ t
Բագրատյան	b ɑ ɡ ɾ ɑ t j ɑ́ n
Բագրատունի	b ɑ ɡ ɾ ɑ t u n í
Բագրատունյաց	b ɑ ɡ ɾ ɑ t u n j ɑ́ t͡sʰ
Բադալյան	b ɑ d ɑ l j ɑ́ n
Բադարա	b ɑ d ɑ ɾ ɑ́
Բադրուպանյան	b ɑ d ɾ u p ɑ n j ɑ́ n
Բազարդյուզյու	b ɑ z ɑ ɾ d j u z j ú
Բազոյան	b ɑ z o j ɑ́ n
Բաթու	b ɑ tʰ ú
Բաթում	b ɑ tʰ ú m
Բաթումի	b ɑ tʰ ú m i
Բալայան	b ɑ l ɑ j ɑ́ n
Բալկաններ	b ɑ l k ɑ nː é ɾ
Բալջյան	b ɑ l d͡ʒ j ɑ́ n
Բախչիսարայ	b ɑ χ t͡ʃʰ i s ɑ ɾ ɑ́ j
Բակալյան	b ɑ k ɑ l j ɑ́ n
Բակո	b ɑ k ó
Բակունց	b ɑ k ú n t͡sʰ
Բակուր	b ɑ k ú ɾ
Բակքիլիդես	b ɑ kʰː i l i d é s
Բահամներ	b ɑ h ɑ m n é ɾ
Բահրեյն	b ɑ h ɾ é j n
Բաղդադ	b ɑ ʁ d ɑ́ d
Բաղդասար	b ɑ ʁ d ɑ s ɑ́ ɾ
Բաղդասարյան	b ɑ ʁ d ɑ s ɑ ɾ j ɑ́ n
Բաղրամյան	b ɑ ʁ ɾ ɑ m j ɑ́ n
Բամակո	b ɑ m ɑ k ó
Բամակո	b ɑ m ɑ́ k o
Բայբարս	b ɑ j b ɑ́ ɾ s
Բայդեն	b ɑ j d é n
Բայդեն	b ɑ́ j d e n
Բայկալ	b ɑ j k ɑ́ l
Բանգալուր	b ɑ ŋ ɡ ɑ l ú ɾ
Բանգլադեշ	b ɑ ŋ ɡ l ɑ d é ʃ
Բանդունգ	b ɑ n d ú ŋ ɡ
Բանջուլ	b ɑ n d͡ʒ ú l
Բառնաբաս	b ɑ r n ɑ b ɑ́ s
Բառնաուլ	b ɑ r n ɑ ú l
Բասմաջյան	b ɑ s m ɑ d͡ʒ j ɑ́ n
Բավարիա	b ɑ v ɑ ɾ i j ɑ́
Բավարիա	b ɑ v ɑ́ ɾ i j ɑ
Բատ	b ɑ t
Բարաք	b ɑ ɾ ɑ́ kʰ
Բարբադոս	b ɑ ɾ b ɑ d ó s
Բարդախչյան	b ɑ ɾ d ɑ χ t͡ʃʰ j ɑ́ n
Բարդակչյան	b ɑ ɾ d ɑ k t͡ʃʰ j ɑ́ n
Բարդուղիմեոս	b ɑ ɾ tʰ u ʁ i m e ó s
Բարդույթ	b ɑ ɾ tʰ ú j tʰ
Բարխուդար	b ɑ ɾ χ u d ɑ́ ɾ
Բարխուդարյան	b ɑ ɾ χ u d ɑ ɾ j ɑ́ n
Բարութչյան	b ɑ ɾ u tʰ t͡ʃʰ j ɑ́ n
Բարսեղ	b ɑ ɾ s é ʁ
Բարսեղյան	b ɑ ɾ s e ʁ j ɑ́ n
Բաքոս	b ɑ kʰ ó s
Բաքու	b ɑ kʰ ú
Բեբել	b e b é l
Բեգլարյան	b e ɡ l ɑ ɾ j ɑ́ n
Բեդոկ	b e d ó k
Բեթհովեն	b e tʰ h o v é n
Բեթղեհեմ	b e tʰ χ e h é m
Բել	b e l
Բելառուս	b e l ɑ r ú s
Բելգիա	b é l ɡ i j ɑ
Բելգորոդ	b e l ɡ o ɾ ó d
Բելգրադ	b e l ɡ ɾ ɑ́ d
Բելիզ	b e l í z
Բելիսարիոս	b e l i s ɑ ɾ i j ó s
Բելմոպան	b e l m o p ɑ́ n
Բելուջստան	b e l u d͡ʒ s t ɑ́ n
Բեկյան	b e k j ɑ́ n
Բեհեղզեբուղ	b e h e ʁ z e b ú ʁ
Բեյրութ	b e j ɾ ú tʰ
Բենգալուրու	b e ŋ ɡ ɑ l u ɾ ú
Բենիամին	b e n j ɑ m í n
Բենիլյուքս	b e n i l j ú kʰ s
Բենին	b e n í n
Բեովտիա	b e ó f t i j ɑ
Բեռլին	b e r l í n
Բեռն	b e r n
Բեսարաբիա	b e s ɑ ɾ ɑ́ b i j ɑ
Բերբերյան	b e ɾ b e ɾ j ɑ́ n
Բըրբանք	b ə́ ɾ b ɑ ŋ kʰ
Բիբլոս	b i b l ó s
Բիբուլոս	b i b u l ó s
Բիլզերյան	b i l z e ɾ j ɑ́ n
Բիհար	b i h ɑ́ ɾ
Բիշան	b i ʃ ɑ́ n
Բիշկեկ	b i ʃ k é k
Բիշքեկ	b i ʃ kʰ é k
Բիչախչյան	b i t͡ʃʰ ɑ χ t͡ʃʰ j ɑ́ n
Բիրմա	b í ɾ m ɑ
Բիրմինգամ	b í ɾ m i ŋ ɡ ɑ m
Բիրմինգհեմ	b í ɾ m i ŋ ɡ h e m
Բիրմինհամ	b í ɾ m i n h ɑ m
Բիրոբիջան	b i ɾ o b i d͡ʒ ɑ́ n
Բլագովեշչենսկ	b l ɑ ɡ o v e ʃ t͡ʃʰ é n s k
Բյուզանդիա	b j u z ɑ́ n d i j ɑ
Բյուզանդիոն	b j u z ɑ n d j ó n
Բյութանիա	b j u tʰ ɑ n i j ɑ́
Բոգոտա	b o ɡ o t ɑ́
Բոզաջյան	b o z ɑ d͡ʒ j ɑ́ n
Բոթսվանա	b o tʰ ə s v ɑ́ n ɑ
Բոլիվիա	b o l í v i j ɑ
Բոլոնիա	b o l ó n i j ɑ
Բոհեմիա	b o h é m i j ɑ
Բոհեմունդ	b o h e m ú n d
Բոյաջյան	b o j ɑ d͡ʒ j ɑ́ n
Բոսնիա	b ó s n i j ɑ
Բոստոն	b o s t ó n
Բոսֆոր	b o s f ó ɾ
Բոտոշան	b o t o ʃ ɑ́ n
Բոտսվանա	b o t ə s v ɑ́ n ɑ
Բորանյան	b o ɾ ɑ n j ɑ́ n
Բորժոմ	b o ɾ ʒ ó m
Բորժոմի	b o ɾ ʒ ó m i
Բուդապեշտ	b u d ɑ p é ʃ t
Բուդաքյան	b u d ɑ kʰ j ɑ́ n
Բութան	b u tʰ ɑ́ n
Բութանիա	b u tʰ ɑ n i j ɑ́
Բուժումբուրա	b u ʒ u m b ú ɾ ɑ
Բուլղարիա	b u l ʁ ɑ́ ɾ i j ɑ
Բուխարա	b u χ ɑ ɾ ɑ́
Բուխարեստ	b u χ ɑ ɾ é s t
Բուկովինա	b u k o v í n ɑ
Բուրգունդիա	b u ɾ ɡ ú n d i j ɑ
Բուրունդի	b u ɾ ú n d i
Բրազիլիա	b ɾ ɑ z í l i j ɑ
Բրահմա	b ɾ ɑ h m ɑ́
Բրատիսլավա	b ɾ ɑ t i s l ɑ́ v ɑ
Բրեժնև	b ə ɾ é ʒ n e v
Բրեժնև	b ɾ é ʒ n e v
Բրետան	b ɾ e t ɑ́ n
Բրիտանիա	b ɾ i t ɑ́ n i j ɑ
Բրյանսկ	b ɾ j ɑ n s k
Բրյուսել	b ɾ j u s é l
Բրունեյ	b ɾ u n é j
Բրուտյան	b ɾ u t j ɑ́ n
Գ	ɡ ə
Գաբիկյան	ɡ ɑ b i k j ɑ́ n
Գաբոն	ɡ ɑ b ó n
Գաբորոնե	ɡ ɑ b o ɾ ó n e
Գաբրիել	ɡ ɑ pʰ ɾ i j é l
Գագ	ɡ ɑ ɡ
Գագիկ	ɡ ɑ ɡ í k
Գագո	ɡ ɑ ɡ ó
Գագուլ	ɡ ɑ ɡ ú l
Գագուլիկ	ɡ ɑ ɡ u l í k
Գագրա	ɡ ɑ́ ɡ ɾ ɑ
Գադես	ɡ ɑ d é s
Գազա	ɡ ɑ z ɑ́
Գազայի	ɡ ɑ z ɑ j í
Գազավոն	ɡ ɑ z ɑ v ó n
Գալեմճյան	ɡ ɑ l e m t͡ʃ j ɑ́ n
Գալեն	ɡ ɑ l é n
Գալիլեա	ɡ ɑ l i l é j ɑ
