'a	ʔ a
itaîyka	i t a j i k a
ixé	i ʃ ɛ
ixébe	i ʃ ɛ β ɛ
ka'a	k a ʔ a
ka'aeté	k a ʔ a e t ɛ
ka'atinga	k a ʔ a t i ŋ a
ka'aîara	k a ʔ a j a ɾ a
ka'i	k a ʔ i
kama	k ã m a
kamarara	k a m a ɾ a ɾ a
kambarara	k a m a ɾ a ɾ a
kamby	k ãᵐ b ɨ
kambá	k a m a
kamixá	k a m i ʃ a
kamusi	k ã m u s i
karakará	k a r a k a r a
karanderu	k a ɾ a n e ɾ u
karasy	k a ɾ a s ɨ
kariba	k a r i β a
karu	k a ɾ u
karukasy	k a ɾ u k a s ɨ
kará	k a r a
katinga	k a t ĩ ŋ a
kaûã	k a w ã
kaûĩ	k ã w ĩ
kaûĩ'a	k a w ĩ ʔ a
kaûĩ'yba	k a w ĩ ʔ i β a
ker	k ɛ ɾ
komandá	k o m a n a
komixã	k ɔ̃ m i ʃ ã
ku'a	k u ʔ a
ku'i	k u ʔ i
Kunhambeba	k u j ã m e β a
kunhataĩ	k ũ ɲ a t ã ĩ
kunhã	k u j ã
kunhã'yba	k u j ã ʔ ɨ β a
kunhãmuku	k ũ ɲ ã m u k u
Kunhãûasutenhẽ	k u ɲ ã w a s u t ɛ ɲ ɛ̃
kunumĩ	k u n u m ĩ
kutuk	k u t u k
kuî	k u j
kuîa	k u j a
kuîmbuka	k u jᵐ b u k a
kybyra	k ɨ β ɨ ɾ a
Kyrymuré	k ɨ ɾ ɨ m u ɾ e
kytyk	k ɨ t ɨ k
kó	k ɔ
kûandu	kʷ ãⁿ d u
kûara	k w a ɾ a
kûarasy	kʷ a ɾ a s ɨ
kûatiara	k w a t i a r a
kûatimundé	k w a t i m ũⁿ d ɛ
Ma'eakanga	m a ʔ ɛ a k ã ŋ ɡ a
makaka	m a k a k a
Mandu	m a n u
mandubi	m ãⁿ d u β i
marakanã	m a ɾ a k a n ã
Marasá	m a ɾ a s a
marigûi	m a ɾ i ɣʷ i
marika	m a ɾ i k a
maxaru	m a ʃ a ɾ u
Maíra	m a i ɾ a
Mb	ᵐb
mba'ekugûaba	ᵐb a ʔ e k u ɡʷ a β a
mba'etatá	ᵐb a ʔ ɛ t a t a
mbi'u	m i ʔ u
mboîa	m o j a
mby'a	ᵐb ɨ ʔ a
membyra	m ɛ̃ᵐ b ɨ ɾ a
mena	m ɛ̃ n a
meriti'yba	m ɛ ɾ i t i ʔ ɨ β a
Metarakanga	m e t a ɾ a k a ŋ a
Meîrugûasu	m ɛ j ɾ u ɡ w a s u
mimby	m i m ɨ
mo'ema	m ɔ ʔ ɛ̃ m a
moatã	m ɔ a t ã
moka'ẽ	m ɔ k a ʔ ɛ̃
mokyrana	m ɔ k ɨ ɾ ã n a
mokõî	m ɔ k ɔ̃ j
mokõîa	m ɔ k ɔ̃ j a
Monda'y	m o n a ʔ ɨ
mongaraû	m o ŋ a ɾ a w
monhang	m ɔ̃ ɲ ã ŋ
moretĩ	m ɔ ɾ ɛ t ĩ
Moroupîarûera	m ɔ ɾ ɔ u p j a r w ɛ ɾ a
mosapyr	m ɔ s a p ɨ ɾ
mosapyra	m ɔ s a p ɨ ɾ a
motyra	m ɔ t ɨ ɾ a
mukura	m u k u ɾ a
mundé	m ũⁿ d ɛ
muratu	m u ɾ a t u
musiky	m u s i k ɨ
musu	m u s u
my'a	m ɨ ʔ a
nambi	n ãᵐ b i
nde	ⁿd ɛ
ne	n ɛ
nha'ẽ	ɲ a ʔ ɛ̃
nhan	ɲ ã n
nhe'enga	j e ʔ e ŋ a
nhe'enge'yma	ɲ ɛ ʔ ɛ̃ ŋ ɛ ʔ ɨ̃ m a
nhy'ã	ɲ ɨ ʔ ã
nhũ	j ũ
o'o	ɔ ʔ ɔ
oba	ɔ β a
obaî	ɔ β a j
obaîuba	ɔ β̞ a j u β̞ a
oby	o β ɨ
obyûasu	o β ɨ w a s u
obá	ɔ β a
okena	ɔ k ɛ̃ n a
opá	ɔ p a
oroaûsub	o ɾ o a w s u β
oîoirundyk	ɔ j ɔ i ɾ ũⁿ d ɨ k
oîoirundyka	ɔ j ɔ i ɾ ũⁿ d ɨ k a
pakabyra	p a k a β ɨ r a
panama	p ã n ã m a
paragûá	p a r a w a
paranãgûasu	p a ɾ ã n ã ɡ w a s u
pará	p a ɾ a
Pasiku	p a s i k u
Paxiku	p a ʃ i k u
pe	p ɛ
peba	p ɛ β̞ a
Perana	p e ɾ a n a
pereba	p ɛ ɾ ɛ β̞ a
Perera	p e ɾ e ɾ a
pinda'yba	p ĩⁿ d a ʔ ɨ β a
pindoba	p ĩⁿ d ɔ β a
pindá	p ĩⁿ d a
pinhã	p i j ã
pirapanema	p i ɾ a p ã n ɛ̃ m a
pokaba	p ɔ k a β a
pokaku'i	p o k a k u ʔ i
popytera	p ɔ p ɨ t ɛ ɾ a
pora	p ɔ ɾ a
poraké	p ɔ ɾ a k ɛ
porang	p o ɾ a ŋ
poranga	p o ɾ a ŋ a
poru	p o ɾ u
potyr	p ɔ t ɨ ɾ
potyra	p ɔ t ɨ ɾ a
potĩ	p ɔ t ĩ
pratu	p ɾ a t u
puk	p u k
puku	p u k u
pukusĩ	p u k u s ĩ
puká	p u k a
putu'u	p u t u ʔ u
putun	p u t ũ n
putuna	p u t ũ n a
py	p ɨ
pysapema	p ɨ s a p ɛ̃ m a
pysã	p ɨ s ã
pytang	p ɨ t ã ŋ
pytanga	p ɨ t ã ŋ a
pytuna	p ɨ t ũ n a
pytá	p ɨ t a
pá	p a
pé	p ɛ
pûã	p w ã
pûãgûasu	p w ã ɡ w a s u
Rerityba	ɾ ɛ ɾ i t ɨ β a
Reriûasu	ɾ e ɾ i w a s u
resé	ɾ ɛ s ɛ
ro'ysanga	r o ʔ i s ã ŋ a
sabîá	s a β j a
sagrapyra	s a ɡ ɾ a p ɨ ɾ a
samambaîa	s ã m ãᵐ b a j a
sanguîá	s a ŋ u j a
sapukaî	s a p u k a j
sapukaîa	s a p u k a j a
sapé	s a p ɛ
searama	s e a ɾ a m a
sem	s ɛ̃ m
sepetu	s e p e t u
Serobebé	s e ɾ o β e β e
sesé	s ɛ s ɛ
siri	s i ɾ i
so'o	s ɔ ʔ ɔ
sukuriîu	s u k u r i j u
sumarã	s u m a ɾ ã
supé	s u p ɛ
sy	s ɨ
sybá	s ɨ β a
sye'yma	s ɨ ɛ ʔ ɨ̃ m a
sygûasumẽ	s ɨ ɡ w a s u m ɛ̃
syk	s ɨ k
syka	s ɨ k a
só	s ɔ
taba	t a β a
tabeté	t a β ɛ t ɛ
tabusu	t a β u s u
tagûá	t a ɡ w a
tapuîa	t a p u j a
tapy'yîuna	t a p ɨ ʔ ɨ j u n a
tare'ira	t a ɾ ɛ ʔ i ɾ a
tasyba	t a s ɨ β a
tataûrana	t a t a w ɾ ã n a
tatu	t a t u
tatuûasu	t a t u w a s u
te'õ	t ɛ ʔ ɔ̃
Tebiresá	t ɛ β i ɾ ɛ s a
ten	t e n
tesá	t ɛ s a
teté	t ɛ t ɛ
teîugûasu	t ɛ j u ɡ w a s u
teîú	t ɛ j u
ting	t i ŋ
tinga	t i ŋ a
to'o	t ɔ ʔ ɔ
tuindara	t u ĩⁿ d a r a
Tupi	t u p i
tupi	t u p i
tupã	t u p ã
tupãberaba	t u p ã β ɛ ɾ a β a
tupãoka	t u p ã o k a
ty	t ɨ
tyb	t ɨ β
tyk	t ɨ k
uba	u β a
ugûy	u ɡ w ɨ
umã	u m ã
un	ũ n
ungu'a	u ŋ u ʔ a
upaba	u p a β̞ a
upixûara	u p i ʃ w a ɾ a
urubu	u ɾ u β u
Urubutingygûaba	u ɾ u β u t ĩ ŋ ɨ w a β a
usá	u s a
xabi	ʃ a β i
xe	ʃ ɛ
xumarã	ʃ u m a ɾ ã
y	ɨ
ybatinga	ɨ β a t ĩ ŋ a
ybaté	ɨ β a t ɛ
yby	ɨ β ɨ
ybyku'i	ɨ β ɨ k u ʔ i
ybyraky'ynha	ɨ β ɨ ɾ a k ɨ ʔ ɨ̃ j a
ybyrapararanga	ɨ β ɨ ɾ a p a ɾ a ɾ ã ŋ a
ybytinga	ɨ β ɨ t ĩ ŋ a
Ybytinga	ɨ β ɨ t ĩ ŋ a
ybá	ʔ ɨ β a
ygara	ɨ a ɾ a
ygûasu	ʔ ɨ ɣʷ a s u
yku	ɨ k u
ypy	ɨ p ɨ
ysá	ɨ s a
ãnha	ã ɲ a
ãî	ã j
ãîa	ã j a
Îagûanharõ	j a w a ɲ a ɾ ɔ̃
îagûara	j a ɡ w a ɾ a
îandé	j ãⁿ d ɛ
îandé	ʝ ãⁿ d ɛ
Îara'ybatyba	j a ɾ a ʔ ɨ β a t ɨ β a
îararaka	j a r a r a k a
îasanã	j a s ã n ã
îasytatagûasu	j a s ɨ t a t a ɣʷ a s u
îasytatá	j a s ɨ t a t a
Îekytenhẽa	j e k ɨ t e j ẽ a
îu'i	j u ʔ i
îu'iperereka	j u ʔ i p ɛ ɾ ɛ ɾ ɛ k a
îuká	j u k a
îurumũ	j u ɾ u m ũ
îuá	j u a
îybá	j ɨ β a
îykûara	j ɨ k w a ɾ a
Ûabiru	w a β i ɾ u
ûaraîa	w a ɾ a j a
