NG	e̞nd͡ʑi
가언적	ka̠ʌ̹nd͡ʑʌ̹k̚
가없다	ˈka̠ːʌ̹p̚t͈a̠
가없이	ˈka̠ːʌ̹pɕ͈i
가엾다	ˈka̠ːjʌ̹p̚t͈a̠
가오리	ka̠o̞ɾi
가요	ka̠jo
가운데	ka̠unde̞
가위	ka̠ɥi
가위바위보	ka̠ɥiba̠ɥibo̞
가을	ka̠ɯɭ
가이드	ka̠idɯ
가이아나	ka̠ia̠na̠
가자	ka̠d͡ʑa̠
가장	ka̠d͡ʑa̠ŋ
가장	ˈka̠ːd͡ʑa̠ŋ
가장	ka̠d͡ʑa̠ŋ
가장자리	ˈka̠ːd͡ʑa̠ŋd͡ʑa̠ɾi
가재	ˈka̠ːd͡ʑe̞
가정	ka̠d͡ʑʌ̹ŋ
가정	ˈka̠ːd͡ʑʌ̹ŋ
가정법	ˈka̠ːd͡ʑʌ̹ŋp͈ʌ̹p̚
가정부	ka̠d͡ʑʌ̹ŋbu
가제	ka̠d͡ʑe̞
가젤	ka̠d͡ʑe̞ɭ
가져가다	ka̠d͡ʑjʌ̹ɡa̠da̠
가져오다	ka̠d͡ʑjʌ̹o̞da̠
가족	ka̠d͡ʑo̞k̚
가주	ka̠d͡ʑu
가죽	ka̠d͡ʑuk̚
가죽끈	ka̠d͡ʑuk̚k͈ɯn
가지	ka̠d͡ʑi
가지가지	ka̠d͡ʑiɡa̠d͡ʑi
가지고	ka̠d͡ʑiɡo̞
가지다	ka̠d͡ʑida̠
가지뿔	ka̠d͡ʑip͈uɭ
가짜	ˈka̠ːt͡ɕ͈a̠
가차	ka̠t͡ɕʰa̠
가창	ka̠t͡ɕʰa̠ŋ
가창오리	ka̠t͡ɕʰa̠ŋo̞ɾi
가축	ka̠t͡ɕʰuk̚
가치	ka̠t͡ɕʰi
가치관	ka̠t͡ɕʰiɡwa̠n
가타나	ka̠tʰa̠na̠
가타카나	ka̠tʰa̠kʰa̠na̠
가톨릭	ka̠tʰo̞ɭʎik̚
가파르다	ka̠pʰa̠ɾɯda̠
가하다	ka̠ɦa̠da̠
가하다	ˈka̠ːɦa̠da̠
가히	ˈka̠ːʝi
각	ka̠k̚
각	ka̠k̚
각각	ka̠k̚k͈a̠k̚
각국	ka̠k̚k͈uk̚
각기	ka̠k̚k͈i
각다귀	ka̠k̚t͈a̠ɡɥi
각도	ka̠k̚t͈o̞
각막	ka̠ŋma̠k̚
각본	ka̠k̚p͈o̞n
각선미	ˈka̠ːks͈ʌ̹nmi
각시붕어	ka̠kɕ͈ibuŋʌ̹
각자	ka̠k̚t͡ɕ͈a̠
각종	ka̠k̚t͡ɕ͈o̞ŋ
각주구검	ka̠k̚t͡ɕ͈uɡuɡʌ̹m
각하	ka̠kʰa̠
갂	ka̠k̚
간계	ka̠nɡje̞
간곡	ˈka̠ːnɡo̞k̚
간곡하다	ˈka̠ːnɡo̞kʰa̠da̠
간균	ka̠nɡjun
간단	ˈka̠ːnda̠n
간단	ˈka̠ːnda̠n
간단하다	ka̠nda̠nɦa̠da̠
간단하다	ˈka̠ːnda̠nɦa̠da̠
간단히	ka̠nda̠nʝi
간모	ka̠nmo̞
간물	ka̠nmuɭ
간부	ka̠nbu
간사	ka̠nsʰa̠
간사하다	ka̠nsʰa̠ɦa̠da̠
간선	ka̠nsʰʌ̹n
간선도로	ka̠nsʰʌ̹ndo̞ɾo̞
간섭	ka̠nsʰʌ̹p̚
간성	ka̠nsʰʌ̹ŋ
간식	ˈka̠ːnɕʰik̚
간신	ka̠nɕʰin
간쑤	ka̠ns͈u
간악	ka̠na̠k̚
간악하다	ka̠na̠kʰa̠da̠
간유	ˈka̠ːɲju
간음	ˈka̠ːnɯm
간장	ka̠nd͡ʑa̠ŋ
간장	ˈka̠ːnd͡ʑa̠ŋ
간접	ka̠nd͡ʑʌ̹p̚
간접화법	ka̠nd͡ʑʌ̹pʰwa̠bʌ̹p̚
간지	ka̠nd͡ʑi
간직하다	ka̠nd͡ʑikʰa̠da̠
간질	ˈka̠ːnd͡ʑiɭ
간질거리다	ka̠nd͡ʑiɭɡʌ̹ɾida̠
간질대다	ka̠nd͡ʑiɭde̞da̠
간질이다	ka̠nd͡ʑiɾida̠
간첩	ˈka̠ːnt͡ɕʰʌ̹p̚
간체	ka̠nt͡ɕʰe̞
간체자	ka̠nt͡ɕʰe̞d͡ʑa̠
간추리다	ka̠nt͡ɕʰuɾida̠
간통	ˈka̠ːntʰo̞ŋ
간판	ka̠npʰa̠n
간편하다	ka̠npʰjʌ̹nɦa̠da̠
간헐천	ˈka̠ːnɦʌ̹ɭt͡ɕʰʌ̹n
간호사	ka̠nβo̞sʰa̠
간호원	ka̠nβo̞wʌ̹n
갇히다	ka̠tʰida̠
갈	ka̠ɭ
갈겨니	ka̠ɭɡjʌ̹ni
갈고랑이	ka̠ɭɡo̞ɾa̠ŋi
갈고리	ka̠ɭɡo̞ɾi
갈기	ˈka̠ːɭɡi
갈까마귀	ka̠ɭk͈a̠ma̠ɡɥi
갈다	ˈka̠ːɭda̠
갈다	ka̠ɭda̠
갈다	ˈka̠ːɭda̠
갈등	ka̠ɭt͈ɯŋ
갈라지다	ka̠ɭɭa̠d͡ʑida̠
갈래	ka̠ɭɭe̞
갈륨	ka̠ɭʎjum
갈리	ka̠ɭʎi
갈리시아	ka̠ɭʎiɕʰia̠
갈림길	ka̠ɭʎimk͈iɭ
갈매기	ka̠ɭme̞ɡi
갈문망둑	ka̠ɭmunma̠ŋduk̚
갈밭쥐	ka̠ɭba̠t̚t͡ɕ͈ɥi
갈보	ka̠ɭbo̞
갈보집	ka̠ɭbo̞d͡ʑip̚
갈비	ka̠ɭbi
갈비뼈	ka̠ɭbip͈jʌ̹
갈비탕	ka̠ɭbitʰa̠ŋ
갈색	ka̠ɭs͈e̞k̚
갈색얼가니새	ka̠ɭsʰe̞ɡʌ̹ɭɡa̠nisʰe̞
갈수록	ka̠ɭs͈uɾo̞k̚
갈아입다	ka̠ɾa̠ip̚t͈a̠
갈아타다	ka̠ɾa̠tʰa̠da̠
갈옷	ka̠ɾo̞t̚
갈음하다	ka̠ɾɯmɦa̠da̠
갈증	ka̠ɭt͡ɕ͈ɯŋ
갈퀴	ka̠ɭkʰɥi
갈퀴다	ka̠ɭkʰɥida̠
갈토	ka̠ɭtʰo̞
갉다	ka̠k̚t͈a̠
감	ka̠m
감각	ˈka̠ːmɡa̠k̚
감각적	ka̠mɡa̠k̚t͡ɕ͈ʌ̹k̚
감금	ka̠mɡɯm
감기	ˈka̠ːmɡi
감기다	ka̠mɡida̠
감다	ka̠mt͈a̠
감당하다	ˈka̠ːmda̠ŋɦa̠da̠
감독	ka̠mdo̞k̚
감돌고기	ka̠mdo̞ɭɡo̞ɡi
감동	ˈka̠ːmdo̞ŋ
감동사	ˈka̠ːmdo̞ŋsʰa̠
감람	ˈka̠ːmna̠m
감람	ka̠mna̠m
감로	ka̠mno̞
감리교	ka̠mniɡjo
감마	ka̠mma̠
감미료	ka̠mmiɾjo
감방	ka̠mba̠ŋ
감비아	ka̠mbia̠
감사	ka̠msʰa̠
감사하다	ˈka̠ːmsʰa̠ɦa̠da̠
감사합니다	ˈka̠ːmsʰa̠ɦa̠mnida̠
감소	ˈka̠ːmsʰo̞
감수하다	ˈka̠ːmsʰuɦa̠da̠
감숙	ka̠msʰuk̚
감시	ka̠mɕʰi
감싸다	ˈka̠ːms͈a̠da̠
감염	ˈka̠ːmjʌ̹m
감옥	ka̠mo̞k̚
감자	ˈka̠ːmd͡ʑa̠
감자	ka̠md͡ʑa̠
감자튀김	ka̠md͡ʑa̠tʰɥiɡim
감정	ˈka̠ːmd͡ʑʌ̹ŋ
감초	ka̠mt͡ɕʰo̞
감추다	ka̠mt͡ɕʰuda̠
감칠맛	ˈka̠ːmt͡ɕʰiɭma̠t̚
감탄	ˈka̠ːmtʰa̠n
감탄사	ka̠mtʰa̠nsʰa̠
감히	ˈka̠ːmʝi
갑	ka̠p̚
갑각	ka̠p̚k͈a̠k̚
갑옷	ka̠bo̞t̚
갑자기	ka̠p̚t͡ɕ͈a̠ɡi
갑작스럽다	ka̠p̚t͡ɕ͈a̠ks͈ɯɾʌ̹p̚t͈a̠
갑작스레	ka̠p̚t͡ɕ͈a̠ks͈ɯɾe̞
갑충	ka̠p̚t͡ɕʰuŋ
갑판	ka̠p̚pʰa̠n
값	ka̠p̚
값어치	ka̠bʌ̹t͡ɕʰi
강	ka̠ŋ
강간	ˈka̠ːŋɡa̠n
강계	ka̠ŋɡje̞
강냉이	ka̠ŋne̞ŋi
강당	ˈka̠ːŋda̠ŋ
강대국	ka̠ŋde̞ɡuk̚
강도	ˈka̠ːŋdo̞
강도다리	ka̠ŋdo̞da̠ɾi
강력	ka̠ŋɲjʌ̹k̚
강력하다	ka̠ŋɲjʌ̹kʰa̠da̠
강렬하다	ka̠ŋɲjʌ̹ɾɦa̠da̠
강물	ka̠ŋmuɭ
강사	ˈka̠ːŋsʰa̠
강생이	ka̠ŋsʰe̞ŋi
강서	ka̠ŋsʰʌ̹
강설	ˈka̠ːŋsʰʌ̹ɭ
강세	ka̠ŋsʰe̞
강소	ka̠ŋsʰo̞
강수량	ˈka̠ːŋsʰuɾja̠ŋ
강아지	ka̠ŋa̠d͡ʑi
강요하다	ˈka̠ːŋjoɦa̠da̠
강원도	ka̠ŋwʌ̹ndo̞
강의	ˈka̠ːŋɰi
강정	ka̠ŋd͡ʑʌ̹ŋ
강제	ˈka̠ːŋd͡ʑe̞
강조하다	ka̠ŋd͡ʑo̞ɦa̠da̠
강좌	ˈka̠ːŋd͡ʑwa̠
강주걱양태	ka̠ŋt͡ɕ͈uɡʌ̹ɡja̠ŋtʰe̞
강준치	ka̠ŋd͡ʑunt͡ɕʰi
강철	ka̠ŋt͡ɕʰʌ̹ɭ
강추	ka̠ŋt͡ɕʰu
강판	ka̠ŋpʰa̠n
강하다	ka̠ŋɦa̠da̠
강화도	ka̠ŋβwa̠do̞
강화하다	ka̠ŋβwa̠ɦa̠da̠
갖가지	ka̠t̚k͈a̠d͡ʑi
갖다	ka̠t̚t͈a̠
갖추다	ka̠t̚t͡ɕʰuda̠
같다	ka̠t̚t͈a̠
같은	ka̠tʰɯn
같이	ka̠t͡ɕʰi
같이하다	ka̠t͡ɕʰiɦa̠da̠
같잖다	ka̠t̚t͡ɕ͈a̠ntʰa̠
갚다	ka̠p̚t͈a̠
개	ke̞ː
개	ke̞
개가하다	ˈke̞ːɡa̠ɦa̠da̠
개고기	ˈke̞ːɡo̞ɡi
개관식	ke̞ɡwa̠nɕʰik̚
개구락지	ke̞ɡuɾa̠k̚t͡ɕ͈i
개구리	ke̞ɡuɾi
개구리꺽정이	ke̞ɡuɾik͈ʌ̹k̚t͡ɕ͈ʌ̹ŋi
개구리매	ke̞ɡuɾime̞
개구쟁이	ke̞ɡud͡ʑe̞ŋi
개국	ke̞ɡuk̚
개꿈	ˈke̞ːk͈um
개꿩	ˈke̞ːk͈wʌ̹ŋ
개나리	ˈke̞ːna̠ɾi
개나리꽃	ˈke̞ːna̠ɾik͈o̞t̚
개념	ˈke̞ːɲjʌ̹m
개다	ˈke̞ːda̠
개량	ˈke̞ːɾja̠ŋ
개량	ˈke̞ːɾja̠ŋ
개리	ke̞ɾi
개미	ˈke̞ːmi
개발	ke̞ba̠ɭ
개발되다	ke̞ba̠ɭdwe̞da̠
개발자	ke̞ba̠ɭd͡ʑa̠
개발하다	ke̞ba̠ɾɦa̠da̠
개밥바라기	ke̞ba̠p̚p͈a̠ɾa̠ɡi
개방	ke̞ba̠ŋ
개방하다	ke̞ba̠ŋɦa̠da̠
개벽	ke̞bjʌ̹k̚
개별자	ˈke̞ːbjʌ̹ɭt͡ɕ͈a̠
개살구	ke̞sʰa̠ɭɡu
개새끼	ˈke̞ːsʰe̞k͈i
개선	ˈke̞ːsʰʌ̹n
개선하다	ˈke̞ːsʰʌ̹nɦa̠da̠
개성	ˈke̞ːsʰʌ̹ŋ
개성	ˈke̞ːsʰʌ̹ŋ
개성	ke̞sʰʌ̹ŋ
개성	ke̞sʰʌ̹ŋ
개소겡	ke̞sʰo̞ɡe̞ŋ
개수	ˈke̞ːsʰu
개시	ke̞ɕʰi
개월	ke̞wʌ̹ɭ
개인	ˈke̞ːin
개인숭배	ˈke̞ːinsʰuŋbe̞
개인적	ˈke̞ːind͡ʑʌ̹k̚
개자식	ˈke̞ːd͡ʑa̠ɕʰik̚
개장	ke̞d͡ʑa̠ŋ
개장	ˈke̞ːd͡ʑa̠ŋ
개장국	ˈke̞ːd͡ʑa̠ŋk͈uk̚
개저씨	ke̞d͡ʑʌ̹ɕ͈i
개정	ke̞d͡ʑʌ̹ŋ
개지랄	ˈke̞ːd͡ʑiɾa̠ɭ
개지랄하다	ˈke̞ːd͡ʑiɾa̠ɾɦa̠da̠
개집	ˈke̞ːd͡ʑip̚
개천	ˈke̞ːt͡ɕʰʌ̹n
개체	ˈke̞ːt͡ɕʰe̞
개판	ˈke̞ːpʰa̠n
개폐기	ke̞pʰje̞ɡi
개학	ke̞ɦa̠k̚
개한민국	ke̞ɦa̠nminɡuk̚
개혁	ˈke̞ːʝjʌ̹k̚
개회식	ke̞βwe̞ɕʰik̚
객공잡이	ke̞k̚k͈o̞ŋd͡ʑa̠bi
객관	ke̞k̚k͈wa̠n
객관적	ke̞k̚k͈wa̠nd͡ʑʌ̹k̚
객기	ke̞k̚k͈i
객실	ke̞kɕ͈iɭ
객쩍다	ke̞k̚t͡ɕ͈ʌ̹k̚t͈a̠
객차	ke̞k̚t͡ɕʰa̠
객체	ke̞k̚t͡ɕʰe̞
갠지스	ke̞nd͡ʑisʰɯ
갤러리	ke̞ɭɭʌ̹ɾi
갤리	ke̞ɭʎi
갯과	ˈke̞ːt̚k͈wa̠
갯첨서	ke̞t̚t͡ɕʰʌ̹msʰʌ̹
갱	ke̞ŋ
갱	ke̞ŋ
갱개	ˈke̞ːŋɡe̞
갸울다	kja̠uɭda̠
갸웃	kja̠ut̚
갸웃거리다	kja̠ut̚k͈ʌ̹ɾida̠
갹출	kja̠k̚t͡ɕʰuɭ
거	kʌ̹
거기	kʌ̹ɡi
거꾸로	kʌ̹k͈uɾo̞
거대하다	ˈkɘːde̞ɦa̠da̠
거두다	kʌ̹duda̠
거드름	ˈkɘːdɯɾɯm
거듭	kʌ̹dɯp̚
거듭씨	kʌ̹dɯpɕ͈i
거듭홀소리	kʌ̹dɯpʰo̞ɭsʰo̞ɾi
거래	ˈkɘːɾe̞
거렁뱅이	kʌ̹ɾʌ̹ŋbe̞ŋi
거룩하다	ˈkɘːɾukʰa̠da̠
거류	kʌ̹ɾju
거르다	kʌ̹ɾɯda̠
거리	kʌ̹ɾi
거리	ˈkɘːɾi
거리다	kʌ̹ɾida̠
거만	ˈkɘːma̠n
거만하다	ˈkɘːma̠nɦa̠da̠
거머리	ˈkɘːmʌ̹ɾi
거문고	kʌ̹munɡo̞
거미	kʌ̹mi
거미줄	kʌ̹mid͡ʑuɭ
거부하다	ˈkɘːbuɦa̠da̠
거북	kʌ̹buk̚
거북이	kʌ̹buɡi
거세	kʌ̹sʰe̞
거세다	kʌ̹sʰe̞da̠
거스러미	kʌ̹sʰɯɾʌ̹mi
거스르다	kʌ̹sʰɯɾɯda̠
거스름돈	kʌ̹sʰɯɾɯmt͈o̞n
거시기	kʌ̹ɕʰiɡi
거실	kʌ̹ɕʰiɭ
거야	ˈkɘːja̠
거야	kʌ̹ja̠
거울	kʌ̹uɭ
거웃	kʌ̹ut̚
거위	kʌ̹ɥi
거의	kʌ̹ɰi
거인	ˈkɘːin
거절하다	ˈkɘːd͡ʑʌ̹ɾɦa̠da̠
거주	kʌ̹d͡ʑu
거주하다	kʌ̹d͡ʑuɦa̠da̠
거즈	kʌ̹d͡ʑɯ
거지	ˈkɘːd͡ʑi
거짓	ˈkɘːd͡ʑit̚
거짓말	ˈkɘːd͡ʑinma̠ɭ
거짓말쟁이	ˈkɘːd͡ʑinma̠ɭd͡ʑe̞ŋi
거짓말하다	ˈkɘːd͡ʑinma̠ɾɦa̠da̠
거치다	kʌ̹t͡ɕʰida̠
거치적거리다	kʌ̹t͡ɕʰid͡ʑʌ̹k̚k͈ʌ̹ɾida̠
거칠다	kʌ̹t͡ɕʰiɭda̠
거품	kʌ̹pʰum
걱정	kʌ̹k̚t͡ɕ͈ʌ̹ŋ
걱정되다	kʌ̹k̚t͡ɕ͈ʌ̹ŋdwe̞da̠
걱정하다	kʌ̹k̚t͡ɕ͈ʌ̹ŋɦa̠da̠
건강	ˈkɘːnɡa̠ŋ
건강하다	ˈkɘːnɡa̠ŋɦa̠da̠
건강히	ˈkɘːnɡa̠ŋʝi
건너가다	ˈkɘːnnʌ̹ɡa̠da̠
건너다	ˈkɘːnnʌ̹da̠
건너오다	ˈkɘːnnʌ̹o̞da̠
건너편	ˈkɘːnnʌ̹pʰjʌ̹n
건널목	ˈkɘːnnʌ̹ɭmo̞k̚
건네다	ˈkɘːnne̞da̠
건달	kʌ̹nda̠ɭ
건답	kʌ̹nda̠p̚
건드리다	ˈkɘːndɯɾida̠
건망증	ˈkɘːnma̠ŋt͡ɕ͈ɯŋ
건물	ˈkɘːnmuɭ
건반	kʌ̹nba̠n
건배	kʌ̹nbe̞
건설	ˈkɘːnsʰʌ̹ɭ
건설하다	ˈkɘːnsʰʌ̹ɾɦa̠da̠
건의	ˈkɘːnɰi
건전하다	kʌ̹nd͡ʑʌ̹nɦa̠da̠
건조기	kʌ̹nd͡ʑo̞ɡi
건조하다	kʌ̹nd͡ʑo̞ɦa̠da̠
건지다	kʌ̹nd͡ʑida̠
건초	kʌ̹nt͡ɕʰo̞
건축	ˈkɘːnt͡ɕʰuk̚
건축가	ˈkɘːnt͡ɕʰuk̚k͈a̠
건축물	ˈkɘːnt͡ɕʰuŋmuɭ
건축학	ˈkɘːnt͡ɕʰukʰa̠k̚
걷기	ˈkɘːt̚k͈i
걷다	ˈkɘːt̚t͈a̠
걷다	kʌ̹t̚t͈a̠
걷다	kʌ̹t̚t͈a̠
걸다	ˈkɘːɭda̠
걸레	kʌ̹ɭɭe̞
걸리다	kʌ̹ɭʎida̠
걸림씨	kʌ̹ɭʎimɕ͈i
걸신	kʌ̹ɭɕ͈in
걸어	kʌ̹ɾʌ̹
걸어가다	kʌ̹ɾʌ̹ɡa̠da̠
걸음	kʌ̹ɾɯm
걸음걸이	kʌ̹ɾɯmɡʌ̹ɾi
걸음마	kʌ̹ɾɯmma̠
걸인	kʌ̹ɾin
걸작	kʌ̹ɭt͡ɕ͈a̠k̚
걸쭉하다	kʌ̹ɭt͡ɕ͈ukʰa̠da̠
걸치다	ˈkɘːɭt͡ɕʰida̠
걸프렌드	kʌ̹ɭpʰɯɾe̞ndɯ
걸핏걸핏	kʌ̹ɭpʰit̚k͈ʌ̹ɭpʰit̚
검	kɘːm
검	kɘːm
검다	ˈkɘːmda̠
검댕	kʌ̹mt͈e̞ŋ
검독수리	kʌ̹mdo̞ks͈uɾi
검둥오리	kʌ̹mduŋo̞ɾi
검둥오리사촌	kʌ̹mduŋo̞ɾisʰa̠t͡ɕʰo̞n
검둥이	kʌ̹mduŋi
검사	ˈkɘːmsʰa̠
검열	ˈkɘːmɲjʌ̹ɭ
검은금	kʌ̹mɯnɡɯm
검은담비	kʌ̹mɯnda̠mbi
검은댕기해오라기	kʌ̹mɯnde̞ŋɡiɦe̞o̞ɾa̠ɡi
검은딸기	kʌ̹mɯnt͈a̠ɭɡi
검은머리흰따오기	kʌ̹mɯnmʌ̹ɾiʝint͈a̠o̞ɡi
검은머리흰죽지	kʌ̹mɯnmʌ̹ɾiʝind͡ʑuk̚t͡ɕ͈i
검은목논병아리	kʌ̹mɯnmo̞ŋno̞nbjʌ̹ŋa̠ɾi
검은색	ˈkɘːmɯnsʰe̞k̚
검은해오라기	kʌ̹mɯnɦe̞o̞ɾa̠ɡi
검정	kʌ̹md͡ʑʌ̹ŋ
검정망둑	kʌ̹md͡ʑʌ̹ŋma̠ŋduk̚
검정색	kʌ̹md͡ʑʌ̹ŋsʰe̞k̚
검증	ˈkɘːmd͡ʑɯŋ
검질	kʌ̹md͡ʑiɭ
검질기다	ˈkɘːmd͡ʑiɭɡida̠
검찰	ˈkɘːmt͡ɕʰa̠ɭ
검찰청	ˈkɘːmt͡ɕʰa̠ɭt͡ɕʰʌ̹ŋ
검토	ˈkɘːmtʰo̞
겁	kʌ̹p̚
겁나다	kʌ̹mna̠da̠
겁대가리	kʌ̹p̚t͈e̞ɡa̠ɾi
겁먹다	kʌ̹mmʌ̹k̚t͈a̠
겁쟁이	kʌ̹p̚t͡ɕ͈e̞ŋi
것	kʌ̹t̚
겉	kʌ̹t̚
겉핥다	kʌ̹tʰa̠ɭt͈a̠
게	ke̞ː
게놈	ke̞no̞m
게다가	ke̞da̠ɡa̠
게르마늄	ke̞ɾɯma̠ɲjum
게르만	ke̞ɾɯma̠n
게릴라	ke̞ɾiɭɭa̠
게맛살	ke̞ma̠t̚s͈a̠ɭ
게사니	ke̞sʰa̠ni
게시판	ˈke̞ːɕʰipʰa̠n
게우다	ke̞uda̠
게으르다	ke̞ɯɾɯda̠
게으름뱅이	ke̞ɯɾɯmbe̞ŋi
게이	ke̞i
게이기	ke̞iɡi
게이샤	ke̞iɕʰja̠
게이트	ke̞itʰɯ
게임	k͈e̞im
게장	ke̞d͡ʑa̠ŋ
게타	k͈e̞tʰa̠
게톱치	ke̞tʰo̞p̚t͡ɕʰi
겠	ke̞t̚
겨누다	kjʌ̹nuda̠
겨드랑이	kjʌ̹dɯɾa̠ŋi
겨레	kjʌ̹ɾe̞
겨루다	kjʌ̹ɾuda̠
겨를	kjʌ̹ɾɯɭ
겨리	kjʌ̹ɾi
겨우	kjʌ̹u
