ͷ	t͡sʼ
αὐδῶ	a β ð o
αὐδῶμαι	a u̯ d ɔ̂ː m a i̯
αὐδῶμαι	a v ð o m e
αὐδῶμαι	a w d o m ɛ
αὐδῶμαι	a β ð o m ɛ
αὐδῶν	a u̯ d ɔ̂ː n
αὐδῶν	a v ð o n
αὐδῶν	a w d o n
αὐδῶν	a β ð o n
αὐδώμενοσ	a u̯ d ɔ̌ː m e n o s
αὐδώμενοσ	a v ð o m e n o s
αὐδώμενοσ	a w d o m ɛ n o s
αὐδώμενοσ	a β ð o m e n o s
αὐεντῖνον	a u̯ e n t îː n o n
αὐεντῖνον	a v e n d i n o n
αὐεντῖνον	a v e n t i n o n
αὐεντῖνον	a w ɛ n t i n o n
αὐεντῖνον	a β e n t i n o n
αὐθέντησ	a f θ e n d i s
αὐθέντησ	a f θ e n t i s
αὐθέντησ	a u̯ tʰ é n t ɛː s
αὐθέντησ	a ɸ θ e n t i s
αὐθέντησ	a ʍ tʰ ɛ n t e s
αὐθεντικόσ	a f θ e n d i k o s
αὐθεντικόσ	a f θ e n t i k o s
αὐθεντικόσ	a u̯ tʰ e n t i k ó s
αὐθεντικόσ	a ɸ θ e n t i k o s
αὐθεντικόσ	a ʍ tʰ ɛ n t i k o s
αὐλέω	a u̯ l é ɔː
αὐλέω	a v l e o
αὐλέω	a w l ɛ o
αὐλέω	a β l e o
αὐλή	a u̯ l ɛ̌ː
αὐλή	a v l i
αὐλή	a w l e
αὐλή	a β l i
αὐλίσ	a u̯ l í s
αὐλίσ	a v l i s
αὐλίσ	a w l i s
αὐλίσ	a β l i s
αὐλεῖν	a u̯ l êː n
αὐλεῖν	a v l i n
αὐλεῖν	a w l i n
αὐλεῖν	a β l i n
αὐλῆσ	a u̯ l ɛ̂ː s
αὐλῆσ	a v l i s
αὐλῆσ	a w l e s
αὐλῆσ	a β l i s
αὐλητήσ	a u̯ l ɛː t ɛ̌ː s
αὐλητήσ	a v l i t i s
αὐλητήσ	a w l e t e s
αὐλητήσ	a β l i t i s
αὐλητρίσ	a u̯ l ɛː t r í s
αὐλητρίσ	a v l i t r i s
αὐλητρίσ	a w l e t r i s
αὐλητρίσ	a β l i t r i s
αὐλικόσ	a u̯ l i k ó s
αὐλικόσ	a v l i k o s
αὐλικόσ	a w l i k o s
αὐλικόσ	a β l i k o s
αὐλοθήκη	a u̯ l o tʰ ɛ̌ː k ɛː
αὐλοθήκη	a v l o θ i c i
αὐλοθήκη	a w l o tʰ e k e
αὐλοθήκη	a β l o θ i k i
αὐλόσ	a u̯ l ó s
αὐλόσ	a v l o s
αὐλόσ	a w l o s
αὐλόσ	a β l o s
αὐξάνω	a f k s a n o
αὐξάνω	a u̯ k s á n ɔː
αὐξάνω	a ɸ k s a n o
αὐξάνω	a ʍ k s a n o
αὐξηθῆναι	a f k s i θ i n e
αὐξηθῆναι	a u̯ k s ɛː tʰ ɛ̂ː n a i̯
αὐξηθῆναι	a ɸ k s i θ i n ɛ
αὐξηθῆναι	a ʍ k s e tʰ e n ɛ
αὐρήλιοσ	a u̯ r ɛ̌ː l i o s
αὐρήλιοσ	a v r i l i o s
αὐρήλιοσ	a w r e l i o s
αὐρήλιοσ	a β r i l i o s
αὐσονία	a f s o n i a
αὐσονία	a u̯ s o n í aː
αὐσονία	a ɸ s o n i a
αὐσονία	a ʍ s o n i a
αὐστηρόσ	a f s t i r o s
αὐστηρόσ	a u̯ s t ɛː r ó s
αὐστηρόσ	a ɸ s t i r o s
αὐστηρόσ	a ʍ s t e r o s
αὐτά	a f t a
αὐτά	a u̯ t á
αὐτά	a u̯ t ǎː
αὐτά	a ɸ t a
αὐτά	a ʍ t a
αὐτάρκεια	a f t a r c i a
αὐτάρκεια	a u̯ t á r k eː a
αὐτάρκεια	a ɸ t a r k i a
αὐτάρκεια	a ʍ t a r k i a
αὐτάσ	a f t a s
αὐτάσ	a u̯ t ǎː s
αὐτάσ	a ɸ t a s
αὐτάσ	a ʍ t a s
αὐτή	a f t i
αὐτή	a u̯ t ɛ̌ː
αὐτή	a ɸ t i
αὐτή	a ʍ t e
αὐτήν	a f t i n
αὐτήν	a u̯ t ɛ̌ː n
αὐτήν	a ɸ t i n
αὐτήν	a ʍ t e n
αὐτίκ'	a f t i k
αὐτίκ'	a u̯ t í k
αὐτίκ'	a ɸ t i k
αὐτίκ'	a ʍ t i k
αὐτίκα	a f t i k a
αὐτίκα	a u̯ t í k a
αὐτίκα	a ɸ t i k a
αὐτίκα	a ʍ t i k a
αὐταί	a f t e
αὐταί	a u̯ t ǎ i̯
αὐταί	a ɸ t ɛ
αὐταί	a ʍ t ɛ
αὐταῖσ	a f t e s
αὐταῖσ	a u̯ t â i̯ s
αὐταῖσ	a ɸ t ɛ s
αὐταῖσ	a ʍ t ɛ s
αὐτῆι	a f t i
αὐτῆι	a u̯ t ɛ̂ː i̯
αὐτῆι	a ɸ t i
αὐτῆι	a ʍ t e
αὐτῆσ	a f t i s
αὐτῆσ	a u̯ t ɛ̂ː s
αὐτῆσ	a ɸ t i s
αὐτῆσ	a ʍ t e s
αὐτοί	a f t i
αὐτοί	a f t y
αὐτοί	a u̯ t ǒ i̯
αὐτοί	a ɸ t y
αὐτοί	a ʍ t y
αὐτοεπιθυμία	a f t o e p i θ i m i a
αὐτοεπιθυμία	a f t o e p i θ y m i a
αὐτοεπιθυμία	a u̯ t o e p i tʰ yː m í aː
αὐτοεπιθυμία	a ɸ t o e p i θ y m i a
αὐτοεπιθυμία	a ʍ t o ɛ p i tʰ y m i a
αὐτοῖο	a f t i o
αὐτοῖο	a f t y o
αὐτοῖο	a u̯ t ô i̯ o
αὐτοῖο	a ɸ t y o
αὐτοῖο	a ʍ t y o
αὐτοῖσ	a f t i s
αὐτοῖσ	a f t y s
αὐτοῖσ	a u̯ t ô i̯ s
αὐτοῖσ	a ɸ t y s
αὐτοῖσ	a ʍ t y s
αὐτοκράτωρ	a f t o k r a t o r
αὐτοκράτωρ	a u̯ t o k r á t ɔː r
αὐτοκράτωρ	a ɸ t o k r a t o r
αὐτοκράτωρ	a ʍ t o k r a t o r
αὐτομέδων	a f t o m e ð o n
αὐτομέδων	a u̯ t o m é d ɔː n
αὐτομέδων	a ɸ t o m e ð o n
αὐτομέδων	a ʍ t o m ɛ d o n
αὐτονομία	a f t o n o m i a
αὐτονομία	a u̯ t o n o m í aː
αὐτονομία	a ɸ t o n o m i a
αὐτονομία	a ʍ t o n o m i a
αὐτονόη	a f t o n o i
αὐτονόη	a u̯ t o n ó ɛː
αὐτονόη	a ɸ t o n o i
αὐτονόη	a ʍ t o n o e
αὐτονόμοισ	a f t o n o m i s
αὐτονόμοισ	a f t o n o m y s
αὐτονόμοισ	a u̯ t o n ó m o i̯ s
αὐτονόμοισ	a ɸ t o n o m y s
αὐτονόμοισ	a ʍ t o n o m y s
αὐτονόμου	a f t o n o m u
αὐτονόμου	a u̯ t o n ó m oː
αὐτονόμου	a ɸ t o n o m u
αὐτονόμου	a ʍ t o n o m u
αὐτονόμουσ	a f t o n o m u s
αὐτονόμουσ	a u̯ t o n ó m oː s
αὐτονόμουσ	a ɸ t o n o m u s
αὐτονόμουσ	a ʍ t o n o m u s
αὐτονόμωι	a f t o n o m o
αὐτονόμωι	a u̯ t o n ó m ɔː i̯
αὐτονόμωι	a ɸ t o n o m o
αὐτονόμωι	a ʍ t o n o m o
αὐτονόμων	a f t o n o m o n
αὐτονόμων	a u̯ t o n ó m ɔː n
αὐτονόμων	a ɸ t o n o m o n
αὐτονόμων	a ʍ t o n o m o n
αὐτονόμωσ	a f t o n o m o s
αὐτονόμωσ	a u̯ t o n ó m ɔː s
αὐτονόμωσ	a ɸ t o n o m o s
αὐτονόμωσ	a ʍ t o n o m o s
αὐτοῦ	a f t u
αὐτοῦ	a u̯ t ôː
αὐτοῦ	a ɸ t u
αὐτοῦ	a ʍ t u
αὐτούσ	a f t u s
αὐτούσ	a u̯ t ǒː s
αὐτούσ	a ɸ t u s
αὐτούσ	a ʍ t u s
αὐτῶι	a f t o
αὐτῶι	a u̯ t ɔ̂ː i̯
αὐτῶι	a ɸ t o
αὐτῶι	a ʍ t o
αὐτῶν	a f t o n
αὐτῶν	a u̯ t ɔ̂ː n
αὐτῶν	a ɸ t o n
αὐτῶν	a ʍ t o n
αὐτό	a f t o
αὐτό	a u̯ t ó
αὐτό	a ɸ t o
αὐτό	a ʍ t o
αὐτόθ'	a f t o θ
αὐτόθ'	a u̯ t ó tʰ
αὐτόθ'	a ɸ t o θ
αὐτόθ'	a ʍ t o tʰ
αὐτόθεν	a f t o θ e n
αὐτόθεν	a u̯ t ó tʰ e n
αὐτόθεν	a ɸ t o θ e n
αὐτόθεν	a ʍ t o tʰ ɛ n
αὐτόθι	a f t o θ i
αὐτόθι	a u̯ t ó tʰ i
αὐτόθι	a ɸ t o θ i
αὐτόθι	a ʍ t o tʰ i
αὐτόματοσ	a f t o m a t o s
αὐτόματοσ	a u̯ t ó m a t o s
αὐτόματοσ	a ɸ t o m a t o s
αὐτόματοσ	a ʍ t o m a t o s
αὐτόμολοσ	a f t o m o l o s
αὐτόμολοσ	a u̯ t ó m o l o s
αὐτόμολοσ	a ɸ t o m o l o s
αὐτόμολοσ	a ʍ t o m o l o s
αὐτόν	a f t o n
αὐτόν	a u̯ t ó n
αὐτόν	a ɸ t o n
αὐτόν	a ʍ t o n
αὐτόνομοι	a f t o n o m i
αὐτόνομοι	a f t o n o m y
αὐτόνομοι	a u̯ t ó n o m o i̯
αὐτόνομοι	a ɸ t o n o m y
αὐτόνομοι	a ʍ t o n o m y
αὐτόνομον	a f t o n o m o n
αὐτόνομον	a u̯ t ó n o m o n
αὐτόνομον	a ɸ t o n o m o n
αὐτόνομον	a ʍ t o n o m o n
αὐτόνομοσ	a f t o n o m o s
αὐτόνομοσ	a u̯ t ó n o m o s
αὐτόνομοσ	a ɸ t o n o m o s
αὐτόνομοσ	a ʍ t o n o m o s
αὐτόσ	a f t o s
αὐτόσ	a u̯ t ó s
αὐτόσ	a ɸ t o s
αὐτόσ	a ʍ t o s
αὐχέν'	a f ç e n
αὐχέν'	a u̯ kʰ é n
αὐχέν'	a ɸ x e n
αὐχέν'	a ʍ kʰ ɛ n
αὐχένα	a f ç e n a
αὐχένα	a u̯ kʰ é n a
αὐχένα	a ɸ x e n a
αὐχένα	a ʍ kʰ ɛ n a
αὐχήν	a f ç i n
αὐχήν	a u̯ kʰ ɛ̌ː n
αὐχήν	a ɸ x i n
αὐχήν	a ʍ kʰ e n
αὐχμηρόσ	a f x m i r o s
αὐχμηρόσ	a u̯ kʰ m ɛː r ó s
αὐχμηρόσ	a ɸ x m i r o s
αὐχμηρόσ	a ʍ kʰ m e r o s
αὐχμόσ	a f x m o s
αὐχμόσ	a u̯ kʰ m ó s
αὐχμόσ	a ɸ x m o s
αὐχμόσ	a ʍ kʰ m o s
αἰέν	a i̯ é n
αἰέν	e e n
αἰέν	ɛ e n
αἰέν	ɛ ɛ n
αἰήτησ	a i̯ ɛ̌ː t ɛː s
αἰήτησ	e i t i s
αἰήτησ	ɛ e t e s
αἰήτησ	ɛ i t i s
αἰακίδαο	a i̯ a k í d aː o
αἰακίδαο	e a c i ð a o
αἰακίδαο	ɛ a k i d a o
αἰακίδαο	ɛ a k i ð a o
αἰακίδησ	a i̯ a k í d ɛː s
αἰακίδησ	e a c i ð i s
αἰακίδησ	ɛ a k i d e s
αἰακίδησ	ɛ a k i ð i s
αἰακόσ	a i̯ a k ó s
αἰακόσ	e a k o s
αἰακόσ	ɛ a k o s
αἰγίδα	a i̯ ɡ í d a
αἰγίδα	e ʝ i ð a
αἰγίδα	ɛ ɡ i d a
αἰγίδα	ɛ ɣ i ð a
αἰγίδεσ	a i̯ ɡ í d e s
αἰγίδεσ	e ʝ i ð e s
αἰγίδεσ	ɛ ɡ i d ɛ s
αἰγίδεσ	ɛ ɣ i ð e s
αἰγίλωψ	a i̯ ɡ í l ɔː p s
αἰγίλωψ	e ʝ i l o p s
αἰγίλωψ	ɛ ɡ i l o p s
αἰγίλωψ	ɛ ɣ i l o p s
αἰγίοχοσ	a i̯ ɡ í o kʰ o s
αἰγίοχοσ	e ʝ i o x o s
αἰγίοχοσ	ɛ ɡ i o kʰ o s
αἰγίοχοσ	ɛ ɣ i o x o s
αἰγίσ	a i̯ ɡ í s
αἰγίσ	e ʝ i s
αἰγίσ	ɛ ɡ i s
αἰγίσ	ɛ ɣ i s
αἰγαί	a i̯ ɡ ǎ i̯
αἰγαί	e ʝ e
αἰγαί	ɛ ɡ ɛ
αἰγαί	ɛ ɣ ɛ
αἰγαῖον	a i̯ ɡ â i̯ o n
αἰγαῖον	e ʝ e o n
αἰγαῖον	ɛ ɡ ɛ o n
αἰγαῖον	ɛ ɣ ɛ o n
αἰγαῖοσ	a i̯ ɡ â i̯ o s
αἰγαῖοσ	e ʝ e o s
αἰγαῖοσ	ɛ ɡ ɛ o s
αἰγαῖοσ	ɛ ɣ ɛ o s
αἰγείρινοσ	a i̯ ɡ ěː r i n o s
αἰγείρινοσ	e ʝ i r i n o s
αἰγείρινοσ	ɛ ɡ i r i n o s
αἰγείρινοσ	ɛ ɣ i r i n o s
αἰγεύσ	a i̯ ɡ ě u̯ s
αἰγεύσ	e ʝ e f s
αἰγεύσ	ɛ ɡ e ʍ s
αἰγεύσ	ɛ ɣ e ɸ s
αἰγιαλεύσ	a i̯ ɡ i a l ě u̯ s
αἰγιαλεύσ	e ʝ i a l e f s
αἰγιαλεύσ	ɛ ɡ i a l e ʍ s
αἰγιαλεύσ	ɛ ɣ i a l e ɸ s
αἰγιαλόσ	a i̯ ɡ i a l ó s
αἰγιαλόσ	e ʝ i a l o s
αἰγιαλόσ	ɛ ɡ i a l o s
αἰγιαλόσ	ɛ ɣ i a l o s
αἰγινήτησ	a i̯ ɡ iː n ɛ̌ː t ɛː s
αἰγινήτησ	e ʝ i n i t i s
αἰγινήτησ	ɛ ɡ i n e t e s
αἰγινήτησ	ɛ ɣ i n i t i s
αἰγιόχοιο	a i̯ ɡ i ó kʰ o i̯ o
αἰγιόχοιο	e ʝ i o ç i o
αἰγιόχοιο	e ʝ i o ç y o
αἰγιόχοιο	ɛ ɡ i o kʰ y o
αἰγιόχοιο	ɛ ɣ i o x y o
αἰγοκέφαλοσ	a i̯ ɡ o k é pʰ a l o s
αἰγοκέφαλοσ	e ɣ o c e f a l o s
αἰγοκέφαλοσ	ɛ ɡ o k ɛ pʰ a l o s
αἰγοκέφαλοσ	ɛ ɣ o k e ɸ a l o s
αἰγυπιόσ	a i̯ ɡ y p i ó s
αἰγυπιόσ	e ʝ i p i o s
αἰγυπιόσ	e ʝ y p i o s
αἰγυπιόσ	ɛ ɡ y p i o s
αἰγυπιόσ	ɛ ɣ y p i o s
αἰγῶν	a i̯ ɡ ɔ̂ː n
αἰγῶν	e ɣ o n
αἰγῶν	ɛ ɡ o n
αἰγῶν	ɛ ɣ o n
αἰγωλιόσ	a i̯ ɡ ɔː l i ó s
αἰγωλιόσ	e ɣ o l i o s
αἰγωλιόσ	ɛ ɡ o l i o s
αἰγωλιόσ	ɛ ɣ o l i o s
αἰγύπτιοσ	a i̯ ɡ ý p t i o s
αἰγύπτιοσ	e ʝ i p t i o s
αἰγύπτιοσ	e ʝ y p t i o s
αἰγύπτιοσ	ɛ ɡ y p t i o s
αἰγύπτιοσ	ɛ ɣ y p t i o s
αἰδέομαι	a i̯ d é o m a i̯
αἰδέομαι	e ð e o m e
αἰδέομαι	ɛ d ɛ o m ɛ
αἰδέομαι	ɛ ð e o m ɛ
αἰδίλησ	e ð i l i s
αἰδίλησ	ɛ d i l e s
αἰδίλησ	ɛ ð i l i s
αἰδηψόσ	a i̯ d ɛː p s ó s
αἰδηψόσ	e ð i p s o s
αἰδηψόσ	ɛ d e p s o s
αἰδηψόσ	ɛ ð i p s o s
αἰδοίη	a i̯ d ǒ i̯ ɛː
αἰδοίη	e ð i i
αἰδοίη	e ð y i
αἰδοίη	ɛ d y e
αἰδοίη	ɛ ð y i
αἰδοῖον	a i̯ d ô i̯ o n
αἰδοῖον	e ð i o n
αἰδοῖον	e ð y o n
αἰδοῖον	ɛ d y o n
αἰδοῖον	ɛ ð y o n
αἰδοῖοσ	a i̯ d ô i̯ o s
αἰδοῖοσ	e ð i o s
αἰδοῖοσ	e ð y o s
αἰδοῖοσ	ɛ d y o s
αἰδοῖοσ	ɛ ð y o s
αἰδώσ	a i̯ d ɔ̌ː s
αἰδώσ	e ð o s
αἰδώσ	ɛ d o s
αἰδώσ	ɛ ð o s
αἰεί	a i̯ ěː
αἰεί	e i
αἰεί	ɛ i
αἰετόσ	a i̯ e t ó s
αἰετόσ	e e t o s
αἰετόσ	ɛ e t o s
αἰετόσ	ɛ ɛ t o s
αἰζηῶν	a i̯ z d ɛː ɔ̂ː n
αἰζηῶν	e z i o n
αἰζηῶν	ɛ z e o n
αἰζηῶν	ɛ z i o n
αἰζηόσ	a i̯ z d ɛː ó s
αἰζηόσ	e z i o s
αἰζηόσ	ɛ z e o s
αἰζηόσ	ɛ z i o s
αἰθάλεια	a i̯ tʰ á l eː a
αἰθάλεια	e θ a l i a
αἰθάλεια	ɛ tʰ a l i a
αἰθάλεια	ɛ θ a l i a
αἰθάλη	a i̯ tʰ á l ɛː
αἰθάλη	e θ a l i
αἰθάλη	ɛ tʰ a l e
αἰθάλη	ɛ θ a l i
αἰθάληι	a i̯ tʰ á l ɛː i̯
αἰθάληι	e θ a l i
αἰθάληι	ɛ tʰ a l e
αἰθάληι	ɛ θ a l i
αἰθέροσ	a i̯ tʰ é r o s
αἰθέροσ	e θ e r o s
αἰθέροσ	ɛ tʰ ɛ r o s
αἰθέροσ	ɛ θ e r o s
αἰθήρ	a i̯ tʰ ɛ̌ː r
αἰθήρ	e θ i r
αἰθήρ	ɛ tʰ e r
αἰθήρ	ɛ θ i r
αἰθίοψ	a i̯ tʰ í o p s
αἰθίοψ	e θ i o p s
αἰθίοψ	ɛ tʰ i o p s
αἰθίοψ	ɛ θ i o p s
αἰθαλία	a i̯ tʰ a l í aː
αἰθαλία	e θ a l i a
αἰθαλία	ɛ tʰ a l i a
αἰθαλία	ɛ θ a l i a
αἰθαλίδεω	a i̯ tʰ a l í d e ɔː
αἰθαλίδεω	e θ a l i ð e o
αἰθαλίδεω	ɛ tʰ a l i d ɛ o
αἰθαλίδεω	ɛ θ a l i ð e o
αἰθαλίδησ	a i̯ tʰ a l í d ɛː s
αἰθαλίδησ	e θ a l i ð i s
αἰθαλίδησ	ɛ tʰ a l i d e s
αἰθαλίδησ	ɛ θ a l i ð i s
αἰθαλίη	a i̯ tʰ a l í ɛː
αἰθαλίη	e θ a l i i
αἰθαλίη	ɛ tʰ a l i e
αἰθαλίη	ɛ θ a l i i
αἰθαλίων	a i̯ tʰ a l í ɔː n
αἰθαλίων	e θ a l i o n
αἰθαλίων	ɛ tʰ a l i o n
αἰθαλίων	ɛ θ a l i o n
αἰθαλόεισ	a i̯ tʰ a l ó eː s
αἰθαλόεισ	e θ a l o i s
αἰθαλόεισ	ɛ tʰ a l o i s
αἰθαλόεισ	ɛ θ a l o i s
αἰθαλόσ	a i̯ tʰ a l ó s
αἰθαλόσ	e θ a l o s
αἰθαλόσ	ɛ tʰ a l o s
αἰθαλόσ	ɛ θ a l o s
αἰθιοπία	a i̯ tʰ i o p í aː
αἰθιοπία	e θ i o p i a
αἰθιοπία	ɛ tʰ i o p i a
αἰθιοπία	ɛ θ i o p i a
αἰθομένοιο	a i̯ tʰ o m é n o i̯ o
αἰθομένοιο	e θ o m e n i o
αἰθομένοιο	e θ o m e n y o
αἰθομένοιο	ɛ tʰ o m ɛ n y o
αἰθομένοιο	ɛ θ o m e n y o
αἰθούσηι	a i̯ tʰ ǒː s ɛː i̯
αἰθούσηι	e θ u s i
αἰθούσηι	ɛ tʰ u s e
αἰθούσηι	ɛ θ u s i
αἰθόμενοσ	a i̯ tʰ ó m e n o s
αἰθόμενοσ	e θ o m e n o s
αἰθόμενοσ	ɛ tʰ o m ɛ n o s
αἰθόμενοσ	ɛ θ o m e n o s
αἰκία	a i̯ k í aː
αἰκία	e c i a
αἰκία	ɛ k i a
αἰκατερίνη	a i̯ k a t e r ǐː n ɛː
αἰκατερίνη	e k a t e r i n i
αἰκατερίνη	ɛ k a t e r i n i
αἰκατερίνη	ɛ k a t ɛ r i n e
αἰμίλιοσ	a i̯ m í l i o s
αἰμίλιοσ	e m i l i o s
αἰμίλιοσ	ɛ m i l i o s
αἰμιλία	a i̯ m i l í aː
αἰμιλία	e m i l i a
αἰμιλία	ɛ m i l i a
αἰνέω	a i̯ n é ɔː
αἰνέω	e n e o
αἰνέω	ɛ n e o
αἰνέω	ɛ n ɛ o
αἰνεία	a i̯ n ěː aː
αἰνεία	e n i a
αἰνεία	ɛ n i a
αἰνείαν	a i̯ n ěː aː n
αἰνείαν	e n i a n
αἰνείαν	ɛ n i a n
αἰνείαο	a i̯ n ěː aː o
αἰνείαο	e n i a o
αἰνείαο	ɛ n i a o
αἰνείασ	a i̯ n ěː aː s
αἰνείασ	e n i a s
αἰνείασ	ɛ n i a s
αἰνεσίδημοσ	a i̯ n e s í d ɛː m o s
αἰνεσίδημοσ	e n e s i ð i m o s
αἰνεσίδημοσ	ɛ n e s i ð i m o s
αἰνεσίδημοσ	ɛ n ɛ s i d e m o s
αἰνῆι	a i̯ n ɛ̂ː i̯
αἰνῆι	e n i
αἰνῆι	ɛ n e
αἰνῆι	ɛ n i
αἰνῶσ	a i̯ n ɔ̂ː s
αἰνῶσ	e n o s
αἰνῶσ	ɛ n o s
αἰνόν	a i̯ n ó n
αἰνόν	e n o n
αἰνόν	ɛ n o n
αἰνόσ	a i̯ n ó s
αἰνόσ	e n o s
αἰνόσ	ɛ n o s
αἰολία	a i̯ o l í aː
αἰολία	e o l i a
αἰολία	ɛ o l i a
αἰολίσ	a i̯ o l í s
αἰολίσ	e o l i s
αἰολίσ	ɛ o l i s
αἰολεύσ	a i̯ o l ě u̯ s
αἰολεύσ	e o l e f s
αἰολεύσ	ɛ o l e ɸ s
αἰολεύσ	ɛ o l e ʍ s
αἰολικόσ	a i̯ o l i k ó s
