آش	ʔ aː ʃ
دنجال	d a n ʒ aː l
دوا	d w a
دوك	d uː k
دوى	d w a
ديك	d iː k
راجل	r aː ʒ ɪ l
راس	r aː s
ربعة	r a b ʕ a
رجع	r ʒ a ʕ
رعد	r a ʕ d
رغوة	r a ɣ w a
رمى	r m a
روض	r a w dˤ
روض	r uː dˤ
روضة	r a w dˤ a
روضة	r uː dˤ a
رويضة	r w iː dˤ a
رية	r i j a
ريحان	r iː ħ aː n
زامل	z aː m ɪ l
زب	z a bː
زب	z u bː
زبوبة	z b uː b a
زردة	z a r d a
زرودية	z r uː d i j j a
زريعة	z a r r iː ʕ a
زعتر	z a ʕ t a r
زك	z u kː
زلزال	z a l z aː l
زملة	z a m l a
زنجلان	z a n ʒ l aː n
زنزال	z a n z aː l
ساقية	s aː q j a
ساية	s aː j a
سبسي	s i b s i
سبع	s b a ʕ
سبعة	s a b ʕ a
سبعة	s ɪ b ʕ a
ستة	s ɪ t t a
ستيلو	s t i l u
سجل	s a ʒ ʒ a l
سرجب	s a r ʒ a b
سرجب	s u r ʒ a b
سرجم	s a r ʒ a m
سرجم	s u r ʒ a m
سطوب	s tˤ oː p
سطوب	s tˤ uː p
سقط	s a q q a tˤ
سقط	s q a tˤ
سلحفة	s u l a ħ f a
سلك	s a l k
سلوم	s ɪ l l uː m
سمع	s m a ʕ
سنجاب	s ɪ n ʒ aː b
سواق	s a w w aː q
سول	s a w w a l
شاف	ʃ aː f
شخر	ʃ χ a r
شخير	ʃ χ iː r
شراب	ʃ r aː b
شرب	ʃ r a b
شرجب	ʃ a r ʒ a b
شرجب	ʃ u r ʒ a b
شرجم	ʃ a r ʒ a m
شرجم	ʃ u r ʒ a m
شعل	ʃ ʕ a l
شكلاط	ʃ u k l aː tˤ
شكون	ʃ k uː n
شمكار	ʃ a m k aː r
شوى	ʃ w a
شيبة	ʃ iː b a
صحيح	sˤ ħ iː ħ
صلاية	s a l l aː j a
صور	sˤ a wː a r
صور	sˤ u wː a r
ضامة	dˤ aː m a
ضربان	dˤ u r b aː n
ضو	dˤ a wː
ضو	dˤ u wː
ضو	dˤ uː
ضوا	dˤ a w w aː
ضواو	dˤ w aː w
ضيف	dˤ iː f
ضيق	dˤ i j j a q
ضيقة	dˤ iː q a
طاب	tˤ aː b
طاقة	tˤ aː q a
طبون	tˤ a b b uː n
طجين	tˤ a ʒ iː n
طواقي	tˤ w aː q i
طوبة	tˤ uː b a
طوبة	tˤ uː b b a
طوموبيل	tˤ u m u b iː l
طيب	tˤ a j j i b
عشرة	ʕ a ʃ r a
علاش	ʕ l aː ʃ
عمل	ʕ m a l
عيان	ʕ i j j aː n
غدا	ɣ a dː a
غدا	ɣ d a
غنزوز	ɣ a n z uː z
فار	f aː r
فاس	f aː s
فاق	f aː q
فايدة	f aː j d a
فرش	f a r r a ʃ
فروج	f a r r uː ʒ
فريز	f r iː z
فشلوق	f a ʃ l uː q
فكرون	f a k r uː n
فلسطين	f i l i s tˤ iː n
فلوس	f a l l uː s
فلوس	f l uː s
فيشطة	f iː ʃ tˤ a
فيق	f i j j a q
فين	f iː n
قادوس	q aː d uː s
قاس	q aː s
قاسح	q aː s ɪ ħ
قال	q aː l
قام	q aː m
قحبة	q a ħ b a
قداش	q ɪ d d aː ʃ
قدام	q u d d aː m
قرا	q r a
قرة	ɡ iː rː a
قرتاح	q u r t aː ħ
قرعة	q a r ʕ a
قرفة	q a r f a
قزبور	q a z b uː r
قسوحية	q s uː ħ i j a
قشلة	q a ʃ l a
قط	q a tˤː
قطة	q a tˤ tˤ a
قلاوي	q l aː w i
قلوة	q a l w a
قمل	q m a l
قنفود	q a n f uː d
قيس	q i y y a s
قيمرون	q iː m r uː n
قيمرونة	q iː m r uː n a
كتان	k a t t aː n
كحل	k ħ a l
كدبة	k a d b a
كلب	k a l b
كلى	k l a
كلية	k l i j j a
كمى	k m a
كنية	k n i j j a
لداد	l d aː d
لديد	l d iː d
لديدات	l d iː d aː t
لديدة	l d iː d a
لديدين	l d iː d iː n
لعاقة	l ʕ aː q a
لمن	l m a n
لون	l uː n
لين	l aː j ɪ n
لين	l iː n
ماطيشة	m a tˤ iː ʃ a
محلول	m a ħ l uː l
مرا	m r a
مرسى	m a r s a
مركان	m i r i k aː n
مركاني	m i r i k aː n i
مسدود	m a s d uː d
مسكة	m a s k a
مش	m u ʃː
مشطة	m a ʃ tˤ a
مضاربة	m dˤ aː r b a
مضلة	m dˤ a lː a
معدنوس	m ʕ a d n uː s
معلقة	m ʕ a l q a
ملاغة	m l aː ɣ a
ملح	m l a ħ
ملح	m ɪ l ħ
مناش	m ɪ n n aː ʃ
منين	m n iː n
موس	m uː s
موسخ	m uː s s a x
موسخ	m w a s s a x
موضع	m uː dˤ a ʕ
موضع	m uː tˤ a ʕ
مينا	m iː n a
مݣانة	m a ɡ aː n a
ناض	n aː dˤ
نده	n d a h
نفع	n f a ʕ
نيشان	n iː ʃ aː n
نيف	n iː f
هاد	h aː d
هداك	h a d aː k
هدوك	h a d uː k
هديك	h a d iː k
هنا	h n a
هناك	h n aː k
واحد	w aː ħ ɪ d
واد	w aː d
واسع	w aː s a ʕ
واعر	w aː ʕ ɪ r
والو	w aː l u
ورت	w u r t
وز	w a zː
ولكن	w a l a k i n
ويدان	w iː d aː n
يتيم	j t iː m
يجور	j a ʒ uː r
يجورات	j a ʒ uː r aː t
يجورة	j a ʒ uː r a
پيكالة	p i k a l a
ڜ	t͡ʃ
ڜ	t͡ʃ e
