अ	ə
अनुकूलन	ə.nʊ.kuː.lən
अनुज्ञप्ति	ə.nʊɡ.jəp.t̪iː
अनुनाद	ə.nʊ.nɑːd̪
अनुनासिक	ə.nʊˈnɑː.sɪk
अनुपस्थित	ə.nuː.pəs.t̪ʰɪt̪
अनुपात	ə.nʊ.pɑːt̪
अनुपूरक	ə.nʊ.puː.ɾək
अनुप्रयुक्त	ə.nʊ.pɾə.jʊkt̪
अनुप्रास	ə.nʊp.ɾɑːs
अनुभवी	ə.nʊ.bʱə.ʋiː
अनुभूति	ə.nʊ.bʱuː.t̪iː
अनुमानतः	ə.nʊ.mɑːn.t̪əʰ
अनुमानित	ə.nʊ.mɑː.nɪt̪
अनुमोदन	ən̪ʊmod̪ən̪
अनुयायी	ə.nʊ.jɑː.jiː
अनुरक्षण	ə.nʊ.ɾək.ʃən
अनुरोध	ə.nʊ.ɾoːd̪ʱ
अनुवांशिक	ə.nʊ.ʋɑːn.ʃɪk
अनुवांशिकी	ə.nʊ.ʋɑːn.ʃɪ.kiː
अनुवाद	ə.nʊ.ʋɑːd̪
अनुवादित	ə.nʊ.ʋɑː.d̪ɪt̪
अनुशासन	ə.nʊ.ʃɑː.sən
अनुशासित	ə.nʊ.ʃɑː.sɪt̪
अनुशीलन	ə.nʊ.ʃiː.lən
अनुष्ठान	ə.nʊʃ.ʈʰɑːn
अनुसंधान	ə.nʊ.sən.d̪ʱɑːn
अनुसरण	ə.nʊ.sə.ɾən
अनुस्वार	ə.nʊs.ʋɑːɾ
अनूठा	ə.nuː.ʈʰɑː
अनूदित	ə.nuː.d̪ɪt̪
अनेक	ə.neːk
अनौपचारिक	ə.nɔːp.t͡ʃɑː.ɾɪk
अन्दर	ən.d̪əɾ
अन्न	ənn
अन्य	ənj
अन्यथा	ən.jə.t̪ʰɑː
अन्याय	ən.jɑːj
अपतट	əp.t̪əʈ
अपत्य	ə.pət̪j
अपदेश	əp.d̪eːʃ
अपना	əp.nɑː
अपने-आप	əp.neː.ɑːp
अपमान	əp.mɑːn
अपमानित	əp.mɑː.nɪt̪
अपराधी	əp.ɾɑː.d̪ʱiː
अपरिचित	ə.pə.ɾɪ.t͡ʃɪt̪
अपरिपक्व	əp.ɾɪ.pəkʋ
अपरिमेय	ə.pə.ɾɪ.meːj
अपरिरुद्ध	ə.pə.ɾɪ.ɾʊd̪d̪ʱ
अपवाद	əp.ʋɑːd̪
अपवित्र	ə.pə.ʋɪt̪ɾ
अपशकुन	əp.ʃə.kʊn
अपसामान्य	əp.sɑː.mɑːnj
अपहरण	ə.pʰə.ɾən
अपहर्ता	ə.pʰəɾ.t̪ɑː
अपितु	ə.pɪ.t̪uː
अपुष्ट	ə.pʊʃʈ
अपूर्ण	ə.puːɾn
अपूर्व	ə.puːɾʋ
अपेक्षा	ə.peːk.ʃɑː
अपेक्षित	ə.peːk.ʃɪt̪
अपॉइंटमेंट	ə.pɔːɪnʈ.meːnʈ
अप्रत्याशित	əp.ɾət̪.jɑː.ʃɪt̪
अप्रैल	əp.ɾɛːl
अप्सरा	əp.sə.ɾɑː
अफ़वाह	əf.ʋɑːʱ
अफ़सर	əf.səɾ
अफ़साना	əf.sɑː.nɑː
अफ़सोसजनक	əf.soːs.d͡ʒə.nək
अफ़ीम	ə.fiːm
अफ़्साना	əf.sɑː.nɑː
अबटाबाद	əb.ʈɑː.bɑːd̪
अबाबील	ə.bɑː.biːl
अबिचल	ə.bɪ.t͡ʃəl
अबिवात्त	ə.bɪ.ʋɑːt̪t̪
अबीर	ə.biːɾ
अब्बा	əb.bɑː
अब्र	əbɾ
अब्रू	əb.ɾuː
अभाव	ə.bʱɑːʋ
अभिकलित्र	ə.bʱɪ.kə.lɪt̪ɾ
अभिकारक	ə.bʱɪ.kɑː.ɾək
अभिक्रिया	ə.bʱɪk.ɾiː.jɑː
अभिगम	ə.bʱɪ.ɡəm
अभिदृश्यक	ə.bʱɪd̪.ɾɪʃ.jək
अभिनय	ə.bʱɪ.nəj
अभिनेता	ə.bʱɪ.neː.t̪ɑː
अभिनेत्री	ə.bʱɪ.neːt̪.ɾiː
अभिप्राय	ə.bʱɪp.ɾɑːj
अभिभावक	ə.bʱɪ.bʱɑː.ʋək
अभियंता	ə.bʱiː.jən.t̪ɑː
अभियंत्रिकी	ə.bʱiː.jənt̪.ɾɪ.kiː
अभियांत्रिकी	ə.bʱiː.jɑːnt̪.ɾɪ.kiː
अभियान	ə.bʱiː.jɑːn
अभियुक्त	əbʱijʊkt̪
अभियोक्ता	ə.bʱiː.joːk.t̪ɑː
अभियोग	ə.bʱiː.joːɡ
अभियोजक	ə.bʱiː.joː.d͡ʒək
अभिरुचि	ə.bʱɪ.ɾʊ.t͡ʃiː
अभिलाषा	ə.bʱɪ.lɑː.ʃɑː
अभिव्यक्ति	ə.bʱɪʋ.jək.t̪iː
अभी	əbʱiː
अभूतपूर्व	ə.bʱuːt̪.puːɾʋ
अभ्यस्त	əbʱ.jəst̪
अभ्यास	əbʱ.jɑːs
अभ्यासक्रम	əbʱ.jɑːs.kɾəm
अभ्यासवश	əbʱ.jɑːs.ʋəʃ
अभ्रक	əbʱ.ɾək
अमन	ə.mən
अमरीका	əm.ɾiː.kɑː
अमरूद	əm.ɾuːd̪
अमल	ə.məl
अमीर	ə.miːɾ
अमेरिका	ə.meː.ɾɪ.kɑː
अमेरिकी	ə.meː.ɾɪ.kiː
अम्बर	əm.bəɾ
अम्मा	əm.mɑː
अम्माँ	əm.mɑ̃ː
अम्मी	əm.miː
अम्ल	əml
अम्लता	əml.t̪ɑː
अम्लता	əm.lə.t̪ɑː
अम्लपित्त	əml.pɪt̪t̪
अम्लपित्त	əm.lə.pɪt̪t̪
अम्लीय	əm.liːj
अयस्	ə.jəs
अयस्क	ə.jəsk
अयोध्या	ə.joːd̪ʱ.jɑː
अरक्तता	ə.ɾəkt̪.t̪ɑː
अरगनी	ə.ɾəɡ.niː
अरब	ə.ɾəb
अरबिंद	əɾ.bɪnd̪
अरमान	əɾ.mɑːn
अरविंद	əɾ.ʋɪnd̪
अरिहंत	ə.ɾɪ.ɦənt̪
अरुचि	ə.ɾʊ.t͡ʃiː
अरुणोदय	ə.ɾʊ.noː.d̪əj
अरे	ə.ɾeː
अर्ज़	əɾz
अर्ज़ी	əɾ.ziː
अर्जुन	əɾ.d͡ʒʊn
अर्जेंटीना	əɾ.d͡ʒeːn.ʈiː.nɑː
अर्थ	ˈəɾt̪ʰ
अर्थपूर्ण	əɾ.t̪ʰə.puːɾn
अर्थमिति	əɾ.t̪ʰə.mɪ.t̪iː
अर्थव्यवस्था	əɾ.t̪ʰəʋ.jə.ʋəs.t̪ʰɑː
अर्थशास्त्री	əɾ.t̪ʰə.ʃɑːst̪.ɾiː
अर्थात	əɾ.t̪ʰɑːt̪
अर्ध	əɾd̪ʱ
अर्धतत्सम	əɾ.d̪ʱə.t̪ət̪.səm
अर्पित	əɾ.pɪt̪
अलंकार	ə.ləŋ.kɑːɾ
अलग-थलग	ə.ləɡ.t̪ʰə.ləɡ
अलगाव	əl.ɡɑːʋ
अलगाववाद	əl.ɡɑːʋ.ʋɑːd̪
अलगाववादी	əl.ɡɑːʋ.ʋɑː.d̪iː
अलम	ə.ləm
अलमारी	əl.mɑː.ɾiː
अलविदा	əl.ʋɪ.d̪ɑː
अलापना	ə.lɑːp.nɑː
अलाव	ə.lɑːʋ
अलीगढ़	ə.liː.ɡəɽʱ
अल्पकारी	əl.pə.kɑː.ɾiː
अल्पसंख्यक	əlp.səŋkʰ.jək
अल्फ़ाज़	əl.fɑːz
अल्लाह	əl.lɑːʱ
अवकलज	əʋ.kə.ləd͡ʒ
अवकलन	əʋ.kə.lən
अवकलनीय	əʋ.kə.lə.niːj
अवक्षेपण	əʋ.kʃeː.pən
अवगुण	əʋ.ɡʊn
अवज्ञा	ə.ʋəɡ.jɑː
अवतल	əʋ.t̪əl
अवतार	əʋ.t̪ɑːɾ
अवध	ə.ʋəd̪ʱ
अवधारण	əʋ.d̪ʱɑː.ɾən
अवधारणा	əʋ.d̪ʱɑːɾ.nɑː
अवधी	əʋ.d̪ʱiː
अवधी	ə.ʋə.d̪ʱiː
अवपंक	əʋ.pəŋk
अवयव	əʋ.jəʋ
अवलोकन	əʋ.loː.kən
अवशोषण	əʋ.ʃoː.ʃən
अवशोषित	əʋ.ʃoː.ʃɪt̪
अवश्य	ə.ʋəʃj
अवहट्ठ	əʋ.ɦəʈʈʰ
अवहेलना	əʋ.ɦeːl.nɑː
अवाई	ə.ʋɑːiː
अवाम	ə.ʋɑːm
अवार्ड	ə.ʋɑːɾɖ
अविकारी	ə.ʋɪ.kɑː.ɾiː
अविचल	ə.ʋɪ.t͡ʃəl
अविनय	ə.ʋɪ.nəj
अविलंब	ə.ʋɪ.ləmb
अविवाहित	ə.ʋɪ.ʋɑː.ɦɪt̪
अव्यक्त	əʋ.jəkt̪
अव्वल	əʋ.ʋəl
अशक्त	ə.ʃəkt̪
अशरफ़ी	ə.ʃəɾ.fiː
अशिष्ट	ə.ʃɪʃʈ
अशुभ	ə.ʃʊbʱ
अश्लील	əʃ.liːl
अश्व	əʃʋ
अश्वमेध	əʃ.ʋə.meːd̪ʱ
अश्विनी	əʃ.ʋɪ.niː
अष्टकोण	əʃʈ.koːn
अष्टभुज	əʃʈ.bʱʊd͡ʒ
असंगत	ə.səŋ.ɡət̪
असंतुष्ट	ə.sən.t̪ʊʃʈ
असंभव	ə.səm.bʱəʋ
असंभावित	ə.səm.bʱɑː.ʋɪt̪
असंवेदनशील	ə.səm.ʋeː.d̪ən.ʃiːl
असंवैधानिक	ə.səm.ʋɛː.d̪ʱɑː.nɪk
असत्य	ə.sət̪j
असत्याभास	ə.sət̪.jɑː.bʱɑːs
असफल	ə.sə.pʰəl
असम	ə.səm
असर	ə.səɾ
असलियत	əs.liː.jət̪
असली	əs.liː
असहमति	ə.sɛːʱ.mə.t̪iː
असहयोग	ə.səʱ.joːɡ
असहाय	əs.ɦɑːj
असहिष्णु	ə.sə.ɦɪʃ.nuː
असहिष्णुता	ə.sə.ɦɪʃ.nʊ.t̪ɑː
असाधारण	ə.sɑː.d̪ʱɑː.ɾən
असुंदर	ə.sʊn.d̪əɾ
असुरक्षित	ə.sʊ.ɾək.ʃɪt̪
असुविधा	ə.sʊ.ʋɪ.d̪ʱɑː
असैनिक	ə.sɛː.nɪk
अस्तबल	əs.t̪ə.bəl
अस्तित्व	əs.t̪ɪt̪ʋ
अस्त्र-शस्त्र	əst̪ɾ.ʃəst̪ɾ
अस्थमा	əs.t̪ʰə.mɑː
अस्थायी	əs.t̪ʰɑː.jiː
अस्थि	əs.t̪ʰiː
अस्थिपंजर	əs.t̪ʰɪ.pəɲ.d͡ʒəɾ
अस्पताल	əs.pə.t̪ɑːl
अस्पृश्य	əˈspɾɪʃ.jə
अस्मिता	əs.mɪ.t̪ɑː
अस्सी	əs.siː
अहं	ɛːʱm
अहंकार	eː.ɦeːŋ.kɑːɾ
अहबाब	ɛːʱ.bɑːb
अहम	ɛːʱm
अहमियत	ɛːʱ.miː.jət̪
अहाता	ə.ɦɑː.t̪ɑː
अहिच्छत्र	ə.ɦɪt͡ʃ.t͡ʃʰət̪ɾ
अहिनाह	ə.ɦɪ.nɑːʱ
अहिभृत्	ə.ɦɪbʱ.ɾɪt̪
अहिर्बुश्न	ə.ɦɪɾ.bʊʃn
अहिवात	ə.ɦɪ.ʋɑːt̪
अहिवाद	ə.ɦɪ.ʋɑːd̪
-आ	ɑː
आ	aː
आ	a
आ	ɑː
आँख	ɑ̃ːkʰ
आँगन	ɑ̃ː.ɡən
आँच	ɑ̃ːt͡ʃ
आँसू	ɑ̃ː.suː
आंकड़ा	ɑːŋk.ɽɑː
आंगन	ɑːŋ.ɡən
आंतरिक	ɑːnt̪.ɾɪk
आंदोलन	ɑːn.d̪oː.lən
आंवला	ɑ̃ːʋ.lɑː
आंशिक	ɑːn.ʃɪk
आइंदा	ɑːɪn.d̪ɑː
आइज़ोल	ɑːɪ.zoːl
आइसक्रीम	ɑːɪs.kɾiːm
आइस्ड	ɑːɪsɖ
आई	ɑːiː
आईला	ɑːiː.lɑː
-आऊ	ɑːuː
आक	ɑːk
आकर्षक	ɑː.kəɾ.ʃək
आकर्षण	ɑː.kəɾ.ʃən
आकर्षित	ɑː.kəɾ.ʃɪt̪
आकलन	ɑː.kə.lən
आकस्मिक	ɑː.kəs.mɪk
आकांक्षा	ɑː.kɑːŋk.ʃɑː
आकांक्षी	ɑː.kɑːŋk.ʃiː
आकार	ɑː.kɑːɾ
आकाशवाणी	ɑː.kɑːʃ.ʋɑː.niː
आकृति	ɑːk.ɾɪ.t̪iː
आक्रमण	ɑːk.ɾə.mən
आक्रमणकारी	ɑːk.ɾə.mən.kɑː.ɾiː
आक्रामक	ɑːk.ɾɑː.mək
आक्रामकता	ɑːk.ɾɑː.mək.t̪ɑː
आक्रोश	ɑːk.ɾoːʃ
आख़िर	ɑː.kʰɪɾ
आख़िर	ɑː.xɪɾ
आख़िरकार	ɑː.kʰɪɾ.kɑːɾ
आख़िरकार	ɑː.xɪɾ.kɑːɾ
आख़िरी	ɑːkʰ.ɾiː
आख़िरी	ɑːx.ɾiː
आख़िरी	ɑː.kʰɪ.ɾiː
आख़िरी	ɑː.xɪ.ɾiː
आग	ɑːɡ
आगज़नी	aːɡ.zə.niː
आग़ाज़	ɑː.ɡɑːz
आग़ाज़	ɑː.ɣɑːz
आग़ोश	ɑː.ɡoːʃ
आग़ोश	ɑː.ɣoːʃ
आगाह	ɑː.ɡɑːʱ
आगाही	ɑː.ɡɑː.ɦiː
आग्नेय	ɑːɡ.neːj
आग्नेयास्त्र	ɑːɡ.neː.jɑːst̪ɾ
आग्रह	ɑːɡ.ɾəʱ
आघ	ɑːɡʱ
आघात	ɑː.ɡʱɑːt̪
आचरण	ɑː.t͡ʃə.ɾən
आछा	ɑː.t͡ʃʰɑː
आज	ɑːd͡ʒ
आज़माना	ɑːz.mɑː.nɑː
आज़ाद	ɑː.zɑːd̪
आज्ञा	ɑːɡ.jɑː
आडंबर	ɑː.ɖəm.bəɾ
आडवाणी	ɑːɖ.ʋɑː.niː
आड़	ɑːɽ
आड़ू	ɑː.ɽuː
आण्विक	ɑːn.ʋɪk
आतंकमय	ɑː.t̪əŋk.məj
आतंकित	ɑː.t̪əŋ.kɪt̪
आतमीयता	ɑːt̪.miː.jə.t̪ɑː
आतिशबाज़ी	ɑː.t̪ɪʃ.bɑː.ziː
आतिशबाजी	ɑː.t̪ɪʃ.bɑː.d͡ʒiː
आतुर	ɑː.t̪ʊɾ
आत्म-	ɑːt̪m
-आत्मक	ɑːt̪.mək
आत्मकथा	ɑːt̪.mə.kə.t̪ʰɑː
आत्मघात	ɑːt̪.mə.ɡʱɑːt̪
आत्मघाती	ɑːt̪.mə.ɡʱɑː.t̪iː
आत्मविश्वास	ɑːt̪.mə.ʋɪʃ.ʋɑːs
आत्मसमर्पण	ɑːt̪m.sə.məɾ.pən
आत्मसात	ɑːt̪.mə.sɑːt̪
आत्मसात्	ɑːt̪.mə.sɑːt̪
आत्मस्तुति	ɑːt̪.məs.t̪ʊ.t̪iː
आत्महत्या	ɑːt̪m.ɦət̪.jɑː
आत्मीय	ɑːt̪.miːj
आदतन	ɑː.d̪ə.t̪ən
आदम	ɑː.d̪əm
आदमी	ɑːd̪.miː
आदर	ɑː.d̪əɾ
आदरपूर्वक	ɑː.d̪əɾ.puːɾ.ʋək
आदर्श	ɑː.d̪əɾʃ
आदान	ɑː.d̪ɑːn
आदान-प्रदान	ɑː.d̪ɑːn.pɾə.d̪ɑːn
आदाब	ɑː.d̪ɑːb
आदिभाषा	ɑː.d̪ɪ.bʱɑː.ʃɑː
आदिम	ɑː.d̪ɪm
आदिवासी	ɑː.d̪ɪ.ʋɑː.siː
आदी	ɑː.d̪iː
आदेश	ɑː.d̪eːʃ
आधार	ɑː.d̪ʱɑːɾ
आधारभूत	ɑː.d̪ʱɑːɾ.bʱuːt̪
आधिक	ɑː.d̪ʱɪk
आधिपत्य	ɑː.d̪ʱɪ.pət̪j
आधुनिकीकरण	ɑː.d̪ʱʊ.nɪ.kiː.kə.ɾən
आध्यात्मिक	ɑːd̪ʱ.jɑːt̪.mɪk
आनंददायी	ɑː.nənd̪.d̪ɑː.jiː
आन्दोलन	ɑːn.d̪oː.lən
आप	aːp
आपत्ति	ɑː.pət̪.t̪iː
आपत्तिजनक	ɑː.pət̪.t̪iː.d͡ʒə.nək
आपदा	ɑːp.d̪ɑː
