a	ɒ
ablakpárkányoknak	ɒblɒkpaːrkaːɲoknɒk
ablakpárkányom	ɒblɒkpaːrkaːɲom
ablakpárkányotok	ɒblɒkpaːrkaːɲotok
ablakpárkányt	ɒblɒkpaːrkaːɲt
ablakpárkányuk	ɒblɒkpaːrkaːɲuk
ablakpárkányunk	ɒblɒkpaːrkaːɲuŋk
ablakra	ɒblɒkrɒ
ablakról	ɒblɒkroːl
ablaktalan	ɒblɒktɒlɒn
ablaktalanság	ɒblɒktɒlɒnʃaːɡ
ablaktól	ɒblɒktoːl
ablaktörlő	ɒblɒktørløː
ablaktörlők	ɒblɒktørløːk
ablaktörlőket	ɒblɒktørløːkɛt
ablaktörlőt	ɒblɒktørløːt
ablakuk	ɒblɒkuk
ablakunk	ɒblɒkuŋk
ablaküveg	ɒblɒkyvɛɡ
ablaküvegek	ɒblɒkyvɛɡɛk
abnormális	ɒbnormaːliʃ
abortálás	ɒbortaːlaːʃ
abortál	ɒbortaːl
abortusz	ɒbortus
abortuszokat	ɒbortusokɒt
abortuszok	ɒbortusok
abortuszt	ɒbortust
ábra	aːbrɒ
ábráért	aːbraːʲeːrt
ábrahám	aːbrɒɦaːm
ábrahámot	aːbrɒɦaːmot
ábrák	aːbraːk
ábrákat	aːbraːkɒt
abrak	ɒbrɒk
ábrákért	aːbraːkeːrt
ábrákkal	aːbraːkːɒl
ábráknak	aːbraːknɒk
abrakok	ɒbrɒkok
ábrákon	aːbraːkon
abrakon	ɒbrɒkon
abrakot	ɒbrɒkot
ábrán	aːbraːn
ábrának	aːbraːnɒk
ábránd	aːbraːnd
ábrándok	aːbraːndok
ábrándokat	aːbraːndokɒt
ábrándot	aːbraːndot
ábrándozik	aːbraːndozik
ábrándvilág	aːbraːndvilaːɡ
ábrándvilágok	aːbraːndvilaːɡok
ábrándvilágot	aːbraːndvilaːɡot
ábrát	aːbraːt
ábrával	aːbraːvɒl
ábráz	aːbraːz
ábrázat	aːbraːzɒt
ábrázatok	aːbraːzɒtok
ábrázatot	aːbraːzɒtot
ábrázol	aːbraːzol
ábrázolás	aːbraːzolaːʃ
ábrázoló	aːbraːzoloː
ábris	aːbriʃ
abroncs	ɒbront͡ʃ
abroncsokat	ɒbront͡ʃokɒt
abroncsok	ɒbront͡ʃok
abroncsot	ɒbront͡ʃot
abrosza	ɒbrosɒ
abroszai	ɒbrosɒʲi
abroszaid	ɒbrosɒʲid
abroszaik	ɒbrosɒʲik
abroszaim	ɒbrosɒʲim
abroszaink	ɒbrosɒʲiŋk
abroszaitok	ɒbrosɒʲitok
abrosz	ɒbros
abroszod	ɒbrosod
abroszokat	ɒbrosokɒt
abroszok	ɒbrosok
abroszom	ɒbrosom
abroszotok	ɒbrosotok
abroszt	ɒbrost
abroszuk	ɒbrosuk
abroszunk	ɒbrosuŋk
abszintok	ɒpsintok
abszint	ɒpsint
abszolutóriumok	ɒpsolutoːriʲumok
abszolutórium	ɒpsolutoːriʲum
abszolút	ɒpsoluːt
abszorpciók	ɒpsorpt͡siʲoːk
abszorpció	ɒpsorpt͡siʲoː
absztinenciák	ɒpstinɛnt͡siʲaːk
absztinencia	ɒpstinɛnt͡siʲɒ
absztrakciók	ɒpstrɒkt͡siʲoːk
absztrakció	ɒpstrɒkt͡siʲoː
absztraktabb	ɒpstrɒktɒbː
absztraktok	ɒpstrɒktok
absztrakt	ɒpstrɒkt
absztraktságok	ɒpstrɒktʃaːɡok
absztraktság	ɒpstrɒktʃaːɡ
abszurdabb	ɒpsurdɒbː
abszurditások	ɒpsurditaːʃok
abszurditás	ɒpsurditaːʃ
abszurd	ɒpsurd
abszurdumok	ɒpsurdumok
abszurdum	ɒpsurdum
acélgyártás	ɒt͡seːlɟaːrtaːʃ
acélipar	ɒt͡seːlipɒr
acélkék	ɒt͡seːlkeːk
acéllemezek	ɒt͡seːlːɛmɛzɛk
acéllemez	ɒt͡seːlːɛmɛz
acélok	ɒt͡seːlok
acél	ɒt͡seːl
acetaldehid	ɒt͡sɛtɒldɛɦid
acetilén	ɒt͡sɛtileːn
acetonban	ɒt͡sɛtombɒn
acetonba	ɒt͡sɛtombɒ
acetonból	ɒt͡sɛtomboːl
acetonért	ɒt͡sɛtoneːrt
acetonhoz	ɒt͡sɛtonɦoz
acetonig	ɒt͡sɛtoniɡ
acetonjaid	ɒt͡sɛtoɲːɒʲid
acetonjaik	ɒt͡sɛtoɲːɒʲik
acetonjaim	ɒt͡sɛtoɲːɒʲim
acetonjaink	ɒt͡sɛtoɲːɒʲiŋk
acetonjaitok	ɒt͡sɛtoɲːɒʲitok
acetonjai	ɒt͡sɛtoɲːɒʲi
acetonja	ɒt͡sɛtoɲːɒ
acetonjuk	ɒt͡sɛtoɲːuk
acetonként	ɒt͡sɛtoŋkeːnt
acetonnak	ɒt͡sɛtonːɒk
acetonnál	ɒt͡sɛtonːaːl
acetonnal	ɒt͡sɛtonːɒl
acetonná	ɒt͡sɛtonːaː
acetonod	ɒt͡sɛtonod
acetonokat	ɒt͡sɛtonokɒt
acetonokban	ɒt͡sɛtonoɡbɒn
acetonokba	ɒt͡sɛtonoɡbɒ
acetonokból	ɒt͡sɛtonoɡboːl
acetonokért	ɒt͡sɛtonokeːrt
acetonokhoz	ɒt͡sɛtonokhoz
acetonokig	ɒt͡sɛtonokiɡ
acetonokkal	ɒt͡sɛtonokːɒl
acetonokká	ɒt͡sɛtonokːaː
acetonokként	ɒt͡sɛtonokːeːnt
acetonoknak	ɒt͡sɛtonoknɒk
acetonoknál	ɒt͡sɛtonoknaːl
acetonokon	ɒt͡sɛtonokon
acetonokra	ɒt͡sɛtonokrɒ
acetonokról	ɒt͡sɛtonokroːl
acetonoktól	ɒt͡sɛtonoktoːl
acetonok	ɒt͡sɛtonok
acetonom	ɒt͡sɛtonom
acetonon	ɒt͡sɛtonon
acetonotok	ɒt͡sɛtonotok
acetonra	ɒt͡sɛtonrɒ
acetonról	ɒt͡sɛtonroːl
acetontól	ɒt͡sɛtontoːl
aceton	ɒt͡sɛton
acetont	ɒt͡sɛtont
acetonunk	ɒt͡sɛtonuŋk
aciditások	ɒt͡siditaːʃok
aciditás	ɒt͡siditaːʃ
ács	aːt͡ʃ
ácsból	aːd͡ʒboːl
ácsi	aːt͡ʃi
ácsok	aːt͡ʃok
ácsorog	aːt͡ʃoroɡ
ád	aːd
adag	ɒdɒɡ
adagok	ɒdɒɡok
adagol	ɒdɒɡol
ádám	aːdaːm
ádámcsutka	aːdaːmt͡ʃutkɒ
ádámcsutkák	aːdaːmt͡ʃutkaːk
ádámkosztüm	aːdaːmkostym
adaptáció	ɒdɒptaːt͡siʲoː
adaptációk	ɒdɒptaːt͡siʲoːk
adása	ɒdaːʃɒ
adás	ɒdaːʃ
adások	ɒdaːʃok
adata	ɒdɒtɒ
adatai	ɒdɒtɒʲi
adatainak	ɒdɒtɒʲinɒk
adatait	ɒdɒtɒʲit
adatállomány	ɒdɒtaːlːomaːɲ
adatállományok	ɒdɒtaːlːomaːɲok
adatátvitel	ɒdɒtaːtvitɛl
adatátviteli	ɒdɒtaːtvitɛli
adatba	ɒdɒdbɒ
adatban	ɒdɒdbɒn
adatbázisban	ɒdɒdbaːziʒbɒn
adatbázis	ɒdɒdbaːziʃ
adatbázisokban	ɒdɒdbaːziʃoɡbɒn
adatbázisok	ɒdɒdbaːziʃok
adatbázisunkban	ɒdɒdbaːziʃuŋɡbɒn
adatbázisunk	ɒdɒdbaːziʃuŋk
adatból	ɒdɒdboːl
adat	ɒdɒt
adatért	ɒdɒteːrt
adatfeldolgozás	ɒdɒtfɛldolɡozaːʃ
adatfeldolgozások	ɒdɒtfɛldolɡozaːʃok
adathoz	ɒdɒthoz
adatig	ɒdɒtiɡ
adatként	ɒdɒtkeːnt
adatlap	ɒdɒtlɒp
adatlapjai	ɒdɒtlɒpjɒʲi
adatlapok	ɒdɒtlɒpok
adatnak	ɒdɒtnɒk
adatnál	ɒdɒtnaːl
adatokat	ɒdɒtokɒt
adatokba	ɒdɒtoɡbɒ
adatokban	ɒdɒtoɡbɒn
adatokból	ɒdɒtoɡboːl
adatok	ɒdɒtok
adatokért	ɒdɒtokeːrt
adatokhoz	ɒdɒtokhoz
adatokig	ɒdɒtokiɡ
adatokká	ɒdɒtokːaː
adatokkal	ɒdɒtokːɒl
adatokként	ɒdɒtokːeːnt
adatoknak	ɒdɒtoknɒk
adatoknál	ɒdɒtoknaːl
adatokon	ɒdɒtokon
adatokra	ɒdɒtokrɒ
adatokról	ɒdɒtokroːl
adatoktól	ɒdɒtoktoːl
adatom	ɒdɒtom
adaton	ɒdɒton
adatot	ɒdɒtot
adatra	ɒdɒtrɒ
adatról	ɒdɒtroːl
adattá	ɒdɒtːaː
adattal	ɒdɒtːɒl
adattípus	ɒdɒtːiːpuʃ
adattípusok	ɒdɒtːiːpuʃok
adattól	ɒdɒtːoːl
adatvédelem	ɒdɒtveːdɛlɛm
ádázabb	aːdaːzɒbː
ádáz	aːdaːz
ad	ɒd
add	ɒdː
addig	ɒdːiɡ
addigi	ɒdːiɡi
addiktológus	ɒdːiktoloːɡuʃ
addiktológusok	ɒdːiktoloːɡuʃok
adekvátabb	ɒdɛkvaːtɒbː
adekvát	ɒdɛkvaːt
adhatok	ɒthɒtok
adhatsz	ɒthɒt͡sː
adhat	ɒthɒt
adiabatikus	ɒdiʲɒbɒtikuʃ
ádi	aːdi
ádika	aːdikɒ
adj	ɒɟː
adja	ɒɟːɒ
adják	ɒɟːaːk
adjak	ɒɟːɒk
adjanak	ɒɟːɒnɒk
adjátok	ɒɟːaːtok
adjatok	ɒɟːɒtok
adjon	ɒɟːon
adjuk	ɒɟːuk
adjunk	ɒɟːuŋk
admin	ɒdmin
adminisztráció	ɒdministraːt͡siʲoː
adminisztrációk	ɒdministraːt͡siʲoːk
adminisztrációs	ɒdministraːt͡siʲoːʃ
adminisztrál	ɒdministraːl
adminisztratív	ɒdministrɒtiːv
adminisztrátora	ɒdministraːtorɒ
adminisztrátorát	ɒdministraːtoraːt
adminisztrátorával	ɒdministraːtoraːvɒl
adminisztrátor	ɒdministraːtor
adminisztrátornak	ɒdministraːtornɒk
adminisztrátorokat	ɒdministraːtorokɒt
adminisztrátorok	ɒdministraːtorok
adminisztrátorokkal	ɒdministraːtorokːɒl
adminisztrátorral	ɒdministraːtorːɒl
adminisztrátort	ɒdministraːtort
adminisztrátortól	ɒdministraːtortoːl
adminok	ɒdminok
admirális	ɒdmiraːliʃ
admirálisért	ɒdmiraːliʃeːrt
admirálisig	ɒdmiraːliʃiɡ
admirálisként	ɒdmiraːliʃkeːnt
admirálisnak	ɒdmiraːliʃnɒk
admirálisokat	ɒdmiraːliʃokɒt
admirálisok	ɒdmiraːliʃok
admirálisokért	ɒdmiraːliʃokeːrt
admirálisokig	ɒdmiraːliʃokiɡ
admirálisokká	ɒdmiraːliʃokːaː
admirálisokkal	ɒdmiraːliʃokːɒl
admirálisokként	ɒdmiraːliʃokːeːnt
admirálisoknak	ɒdmiraːliʃoknɒk
admirálissá	ɒdmiraːliʃːaː
admirálissal	ɒdmiraːliʃːɒl
admirálist	ɒdmiraːliʃt
admittancia	ɒdmitːɒnt͡siʲɒ
admittanciák	ɒdmitːɒnt͡siʲaːk
adnád	ɒdnaːd
adna	ɒdnɒ
adná	ɒdnaː
adnák	ɒdnaːk
adnak	ɒdnɒk
adnál	ɒdnaːl
adnának	ɒdnaːnɒk
adnánk	ɒdnaːŋk
adnátok	ɒdnaːtok
adnék	ɒdneːk
adni	ɒdni
adóba	ɒdoːbɒ
adóban	ɒdoːbɒn
adóbevallás	ɒdoːbɛvɒlːaːʃ
adóbevallásokat	ɒdoːbɛvɒlːaːʃokɒt
adóbevallások	ɒdoːbɛvɒlːaːʃok
adóbevallást	ɒdoːbɛvɒlːaːʃt
adóból	ɒdoːboːl
adócsalás	ɒdoːt͡ʃɒlaːʃ
adócsalásokat	ɒdoːt͡ʃɒlaːʃokɒt
adócsalások	ɒdoːt͡ʃɒlaːʃok
adócsalást	ɒdoːt͡ʃɒlaːʃt
adócsökkentés	ɒdoːt͡ʃøkːɛnteːʃ
adócsökkentések	ɒdoːt͡ʃøkːɛnteːʃɛk
adod	ɒdod
adód	ɒdoːd
adódik	ɒdoːdik
adó	ɒdoː
adóért	ɒdoːʲeːrt
adófizető	ɒdoːfizɛtøː
adóhatóság	ɒdoːɦɒtoːʃaːɡ
adóhoz	ɒdoːɦoz
adóid	ɒdoːʲid
adói	ɒdoːʲi
adóig	ɒdoːʲiɡ
adóik	ɒdoːʲik
adóim	ɒdoːʲim
adóink	ɒdoːʲiŋk
adóitok	ɒdoːʲitok
adója	ɒdoːjɒ
adójuk	ɒdoːjuk
adókat	ɒdoːkɒt
adókba	ɒdoːɡbɒ
adókban	ɒdoːɡbɒn
adókból	ɒdoːɡboːl
adok	ɒdok
adók	ɒdoːk
adókedvezmény	ɒdoːkɛdvɛzmeːɲ
adóként	ɒdoːkeːnt
adókért	ɒdoːkeːrt
adókhoz	ɒdoːkhoz
adókig	ɒdoːkiɡ
adókká	ɒdoːkːaː
adókkal	ɒdoːkːɒl
adókként	ɒdoːkːeːnt
adóknak	ɒdoːknɒk
adóknál	ɒdoːknaːl
adókon	ɒdoːkon
adókra	ɒdoːkrɒ
adókról	ɒdoːkroːl
adóktól	ɒdoːktoːl
adókulcs	ɒdoːkult͡ʃ
adókulcsok	ɒdoːkult͡ʃok
adolf	ɒdolf
adománnyá	ɒdomaːɲːaː
adománnyal	ɒdomaːɲːɒl
adománya	ɒdomaːɲɒ
adományaid	ɒdomaːɲɒʲid
adományai	ɒdomaːɲɒʲi
adományaik	ɒdomaːɲɒʲik
adományaim	ɒdomaːɲɒʲim
adományaink	ɒdomaːɲɒʲiŋk
adományaitok	ɒdomaːɲɒʲitok
adományba	ɒdomaːɲbɒ
adományban	ɒdomaːɲbɒn
adományból	ɒdomaːɲboːl
adomány	ɒdomaːɲ
adományért	ɒdomaːɲeːrt
adományhoz	ɒdomaːɲɦoz
adományig	ɒdomaːɲiɡ
adományként	ɒdomaːɲkeːnt
adománynak	ɒdomaːɲnɒk
adománynál	ɒdomaːɲnaːl
adományod	ɒdomaːɲod
adományokat	ɒdomaːɲokɒt
adományokba	ɒdomaːɲoɡbɒ
adományokban	ɒdomaːɲoɡbɒn
adományokból	ɒdomaːɲoɡboːl
adományok	ɒdomaːɲok
adományokért	ɒdomaːɲokeːrt
adományokhoz	ɒdomaːɲokhoz
adományokig	ɒdomaːɲokiɡ
adományokká	ɒdomaːɲokːaː
adományokkal	ɒdomaːɲokːɒl
adományokként	ɒdomaːɲokːeːnt
adományoknak	ɒdomaːɲoknɒk
adományoknál	ɒdomaːɲoknaːl
adományokon	ɒdomaːɲokon
adományokra	ɒdomaːɲokrɒ
adományokról	ɒdomaːɲokroːl
adományoktól	ɒdomaːɲoktoːl
adományom	ɒdomaːɲom
adományon	ɒdomaːɲon
adományotok	ɒdomaːɲotok
adományozás	ɒdomaːɲozaːʃ
adományozások	ɒdomaːɲozaːʃok
adományoz	ɒdomaːɲoz
adományozta	ɒdomaːɲostɒ
adományra	ɒdomaːɲrɒ
adományról	ɒdomaːɲroːl
adományt	ɒdomaːɲt
adománytól	ɒdomaːɲtoːl
adományuk	ɒdomaːɲuk
adományul	ɒdomaːɲul
adományunk	ɒdomaːɲuŋk
adom	ɒdom
adóm	ɒdoːm
adómentes	ɒdoːmɛntɛʃ
adómentesség	ɒdoːmɛntɛʃːeːɡ
adómentességek	ɒdoːmɛntɛʃːeːɡɛk
adónak	ɒdoːnɒk
adónál	ɒdoːnaːl
adón	ɒdoːn
adónk	ɒdoːŋk
adóparadicsom	ɒdoːpɒrɒdit͡ʃom
adóparadicsomok	ɒdoːpɒrɒdit͡ʃomok
adoptálás	ɒdoptaːlaːʃ
adoptálások	ɒdoptaːlaːʃok
adoptál	ɒdoptaːl
adóra	ɒdoːrɒ
adorján	ɒdorjaːn
adóról	ɒdoːroːl
adós	ɒdoːʃ
adósok	ɒdoːʃok
adósság	ɒdoːʃːaːɡ
adósságok	ɒdoːʃːaːɡok
adószedő	ɒdoːsɛdøː
adószedők	ɒdoːsɛdøːk
adót	ɒdoːt
adótok	ɒdoːtok
adótól	ɒdoːtoːl
adottá	ɒdotːaː
adottakat	ɒdotːɒkɒt
adottakba	ɒdotːɒɡbɒ
adottakban	ɒdotːɒɡbɒn
adottakból	ɒdotːɒɡboːl
adottak	ɒdotːɒk
adottakért	ɒdotːɒkeːrt
adottakhoz	ɒdotːɒkhoz
adottakig	ɒdotːɒkiɡ
adottakká	ɒdotːɒkːaː
adottakkal	ɒdotːɒkːɒl
adottakként	ɒdotːɒkːeːnt
adottaknak	ɒdotːɒknɒk
adottaknál	ɒdotːɒknaːl
adottakon	ɒdotːɒkon
adottakra	ɒdotːɒkrɒ
adottakról	ɒdotːɒkroːl
adottaktól	ɒdotːɒktoːl
adottal	ɒdotːɒl
adottat	ɒdotːɒt
adottba	ɒdodbɒ
adottban	ɒdodbɒn
adottból	ɒdodboːl
adott	ɒdotː
adottért	ɒdotːeːrt
adotthoz	ɒdothoz
adottig	ɒdotːiɡ
adottként	ɒdotkeːnt
adottnak	ɒdotnɒk
adottnál	ɒdotnaːl
adottól	ɒdotːoːl
adotton	ɒdotːon
adottra	ɒdotrɒ
adottról	ɒdotroːl
adottság	ɒdotʃaːɡ
adottságok	ɒdotʃaːɡok
adóvá	ɒdoːvaː
adóval	ɒdoːvɒl
adózás	ɒdoːzaːʃ
adózik	ɒdoːzik
adózó	ɒdoːzoː
adózók	ɒdoːzoːk
adrienn	ɒdriʲɛnː
adszorpciók	ɒtsorpt͡siʲoːk
adszorpció	ɒtsorpt͡siʲoː
adsz	ɒt͡sː
adták	ɒtːaːk
adtak	ɒtːɒk
adtál	ɒtːaːl
adtam	ɒtːɒm
adta	ɒtːɒ
adtok	ɒtːok
adtunk	ɒtːuŋk
aduba	ɒdubɒ
aduban	ɒdubɒn
aduból	ɒduboːl
adud	ɒdud
adu	ɒdu
aduért	ɒduʲeːrt
aduhoz	ɒduɦoz
aduid	ɒduʲid
adui	ɒduʲi
aduig	ɒduʲiɡ
aduik	ɒduʲik
aduim	ɒduʲim
aduink	ɒduʲiŋk
aduitok	ɒduʲitok
aduja	ɒdujɒ
adujuk	ɒdujuk
adukat	ɒdukɒt
adukba	ɒduɡbɒ
adukban	ɒduɡbɒn
adukból	ɒduɡboːl
aduk	ɒduk
aduként	ɒdukeːnt
adukért	ɒdukeːrt
adukhoz	ɒdukhoz
adukig	ɒdukiɡ
adukká	ɒdukːaː
adukkal	ɒdukːɒl
adukként	ɒdukːeːnt
aduknak	ɒduknɒk
aduknál	ɒduknaːl
adukon	ɒdukon
adukra	ɒdukrɒ
adukról	ɒdukroːl
aduktól	ɒduktoːl
adum	ɒdum
adunak	ɒdunɒk
adunál	ɒdunaːl
adun	ɒdun
adunk	ɒduŋk
adura	ɒdurɒ
aduról	ɒduroːl
adut	ɒdut
adutok	ɒdutok
adutól	ɒdutoːl
aduvá	ɒduvaː
aduval	ɒduvɒl
adva	ɒdvɒ
ady	ɒdi
aerobik	ɒɛrobik
aeroszol	ɒɛrosol
áfa	aːfɒ
áfák	aːfaːk
afféle	ɒfːeːlɛ
affixum	ɒfːiksum
affixumok	ɒfːiksumok
afganisztáni	ɒvɡɒnistaːni
afganisztán	ɒvɡɒnistaːn
afgánok	ɒvɡaːnok
afgán	ɒvɡaːn
áfium	aːfiʲum
áfiumok	aːfiʲumok
áfonya	aːfoɲɒ
áfonyák	aːfoɲaːk
aforizma	ɒforizmɒ
aforizmák	ɒforizmaːk
afrikaans	ɒfrikaːns
afrika	ɒfrikɒ
afrikaiak	ɒfrikɒʲiʲɒk
afrikai	ɒfrikɒʲi
afrikanista	ɒfrikɒniʃtɒ
afrikanisták	ɒfrikɒniʃtaːk
aga	ɒɡɒ
ág	aːɡ
ága	aːɡɒ
agába	ɒɡaːbɒ
ágában	aːɡaːbɒn
agában	ɒɡaːbɒn
agából	ɒɡaːboːl
agád	ɒɡaːd
agáért	ɒɡaːʲeːrt
agához	ɒɡaːɦoz
agái	ɒɡaːʲi
agáid	ɒɡaːʲid
agáig	ɒɡaːʲiɡ
agáik	ɒɡaːʲik
agáim	ɒɡaːʲim
agáink	ɒɡaːʲiŋk
agáit	ɒɡaːʲit
agáitok	ɒɡaːʲitok
agája	ɒɡaːjɒ
agájuk	ɒɡaːjuk
agák	ɒɡaːk
ágak	aːɡɒk
agákat	ɒɡaːkɒt
agákba	ɒɡaːɡbɒ
agákban	ɒɡaːɡbɒn
agákból	ɒɡaːɡboːl
agaként	ɒɡɒkeːnt
agákért	ɒɡaːkeːrt
agákhoz	ɒɡaːkhoz
agákig	ɒɡaːkiɡ
agákká	ɒɡaːkːaː
agákkal	ɒɡaːkːɒl
agákként	ɒɡaːkːeːnt
agáknak	ɒɡaːknɒk
agáknál	ɒɡaːknaːl
agákon	ɒɡaːkon
agákra	ɒɡaːkrɒ
agákról	ɒɡaːkroːl
agáktól	ɒɡaːktoːl
agám	ɒɡaːm
agamemnón	ɒɡɒmɛmnoːn
agának	ɒɡaːnɒk
agánál	ɒɡaːnaːl
agán	ɒɡaːn
aganccsal	ɒɡɒnt͡ʃɒl
aganccsá	ɒɡɒnt͡ʃaː
agancsaid	ɒɡɒnt͡ʃɒʲid
agancsaik	ɒɡɒnt͡ʃɒʲik
agancsaim	ɒɡɒnt͡ʃɒʲim
agancsaink	ɒɡɒnt͡ʃɒʲiŋk
agancsai	ɒɡɒnt͡ʃɒʲi
agancsaitok	ɒɡɒnt͡ʃɒʲitok
agancsa	ɒɡɒnt͡ʃɒ
agancsba	ɒɡɒnd͡ʒbɒ
agancsban	ɒɡɒnd͡ʒbɒn
agancsból	ɒɡɒnd͡ʒboːl
agancsért	ɒɡɒnt͡ʃeːrt
agancshoz	ɒɡɒnt͡ʃhoz
agancsig	ɒɡɒnt͡ʃiɡ
agancsként	ɒɡɒnt͡ʃkeːnt
agancsnak	ɒɡɒnt͡ʃnɒk
agancsnál	ɒɡɒnt͡ʃnaːl
agancs	ɒɡːɒnt͡ʃ
agancs	ɒɡɒnt͡ʃ
agancsod	ɒɡɒnt͡ʃod
agancsokat	ɒɡɒnt͡ʃokɒt
agancsokban	ɒɡɒnt͡ʃoɡbɒn
agancsokba	ɒɡɒnt͡ʃoɡbɒ
agancsokból	ɒɡɒnt͡ʃoɡboːl
agancsokért	ɒɡɒnt͡ʃokeːrt
agancsokhoz	ɒɡɒnt͡ʃokhoz
agancsokig	ɒɡɒnt͡ʃokiɡ
agancsokkal	ɒɡɒnt͡ʃokːɒl
