a	ɑː
abduction	æbdəkʃn̩
abduction	æbdʌkʃn̩
abduction	əbdəkʃn̩
abductive	æbdəktɪv
abductive	æbdʌktɪv
abductively	æbdəktɪvli
abductively	æbdʌktɪvli
abductor	æbdʌktɚ
abductor	æbdʌktə
abductores	æbdəktɔiz
abductores	æbdəktɔɹiz
abdul	ɑbdʊl
abdullah	ɑbdʊlɑ
abeam	əbim
abearance	əbɜɹəns
abear	əbɛɚ
abearing	əbɛɹɪŋ
abec	eɪbɛk
abecedaria	eɪbisidæɹiə
abecedarian	eɪbisidæɹiən
abecedarian	eɪbisidɛɹiən
abecedarium	eɪbisidæɹiəm
abecedarius	eɪbisidæɹiəs
abecedary	eɪbisidəɹi
abecedary	eɪbisidɚi
abed	əbɛd
abednego	əbɛdnɪɡoʊ
abe	eɪb
abelard	æbəlɑɹd
abel	eɪbl̩
abele	əbeɪl
abele	əbil
abele	eɪbl̩
abelian	əbiliən
abelian	əbiljən
abelite	eɪbəlaɪt
abelmosk	eɪbəlmɑsk
abelmosk	eɪblmɑsk
abelmusk	eɪbəlməsk
abeltree	eɪbəltɹi
abembryonic	æbɛmbɹiɑnɪk
abenaki	æbənæki
abenaki	ɑbənɑki
abend	æbɛnd
abend	əbɛnd
abendmusik	ɑbəntmuzik
abeng	æbɛŋ
abenlen	əbɛnlɛn
abenteric	æbɛntɛɹɪk
abeokuta	ɑbeɪoʊkutə
aberdavine	æbɚdəvaɪn
aberdavine	æbədəvaɪn
aberdeen	æbɚdin
aberdeenshire	æbɚdinʃɚ
aberdeenshire	æbɚdinʃaɪɚ
aberdevine	æbɚdəvaɪn
aberdevine	æbədəvaɪn
aberdonian	æbɚdoʊniən
aberdonian	æbɚdoʊnjən
aberdonian	æbədoʊniən
aberdonian	æbədoʊnjən
aberduvine	æbɚdəvaɪn
aberduvine	æbədəvaɪn
aberrance	æbɛɹn̩s
aberrance	æbɛɹn̩ts
aberrancy	æbɛɹn̩sɪ
aberrancy	æbɛɹn̩si
aberrant	æbəɹn̩t
aberrant	əbɛɹn̩t
aberrantly	æbɛɹn̩tli
aberrate	æbəɹeɪt
aberration	æbəɹeɪʃn̩
aberrational	æbəɹeɪʃənl̩
aberrational	æbəɹeɪʃnl̩
aberrative	æbəɹeɪdɪv
aberr	əbɜɹ
abertawe	æbɚtaʊwi
aberystwyth	æbəɹɪstwɪθ
abessive	æbɛsɪv
abetalipoproteinemia	eɪbeɪtəlɪpoʊpɹoʊtinimiə
abet	əbɛt
abetment	əbɛtmənt
abets	əbɛts
abettal	əbɛtl̩
abettance	əbɛtn̩ts
abetted	əbɛtɪd
abetter	əbɛtɚ
abetter	əbɛte
abetting	əbɛtɪŋ
abettor	-ɾɚ
abettor	əbɛtɚ
abettor	-te
abevacuation	æbivækjueɪʃn̩
abeyance	əbeɪəns
abeyance	əbeɪənts
abeyancy	əbeɪəntsi
abeyant	əbeɪənt
abgesang	ɑpɡəzɑŋ
abhinaya	əbɪnəjə
abhiseka	əbiʃeɪkə
abhisheka	əbɪʃeɪkə
abhor	æbhɔɹ
abhor	əbhɔɹ
abhorred	æbhɔɹd
abhorrence	əbhɑɹn̩s
abhorrence	əbhɑɹn̩ts
abhorrence	əbhɔɹn̩s
abhorrence	əbhɔɹn̩ts
abhorrent	æbhɑɹənt
abhorrent	æbhɔɹənt
abhorrently	æbhɑɹəntli
abhorrently	æbhɔɹəntli
abhorrer	æbhɔɹɚ
abhorrers	æbhɔːɹɚ
abhorrible	æbhɑɹɪbl̩
abhorrible	æbhɔɹɪbl̩
abhorring	æbhɔɹɪŋ
abib	ɑbib
abib	eɪbɪb
abib	ɑviv
abidance	əbaɪdn̩s
abidance	əbaɪdn̩ts
abidden	əbɪdn̩
abided	əbaɪdəd
abide	əbaɪd
abider	əbɑɪdɚ
abides	əbaɪds
abiding	əbaɪdɪŋ
abidingly	əbaɪdɪŋli
abidingness	əbaɪdɪŋnəs
abidjan	æbɪdʒɑn
abidjan	æbədʒɑn
abier	əbɪəɹ
abies	æbiiz
abies	eɪbiiz
abietate	æbiəteɪt
abietene	æbiətin
abietic	æbiɛtɪk
abigail	abɪɡeɪl
abigail	æbəɡeɪl
abilene	æbɪliːn
abilene	æbɪliːniː
ability	əbɪləti
ability	əbɪlɪti
abilla	əbiə
abilla	əbijə
abimelech	əbɪməlɛk
abingdon	æbɪŋdn̩
abington	æbɪŋtən
abiogenesis	eɪbaioʊdʒɛnəsɪs
abiogenetical	eɪbaioʊdʒɛnətəkəl
abiogenetically	eɪbaioʊdʒɛnətəkəli
abiogenetically	eɪbaioʊdʒɛnətəkli
abiogenetic	eɪbaioʊdʒɛnətɪk
abiogenically	eɪbaɪəd͡ʒɛnɪkəli
abiogenically	eɪbaɪəd͡ʒɛnɪkli
abiogenically	eɪbaɪoʊd͡ʒɛnɪkəli
abiogenically	eɪbaɪoʊd͡ʒɛnɪkli
abiogenic	eɪbaɪəd͡ʒɛnɪk
abiogenic	eɪbaɪoʊd͡ʒɛnɪk
abiogenist	eɪbaiɑdʒɛnəst
abiogenous	æbiɑd͡ʒənəs
abiological	eɪbaɪəlɑdʒəkl̩
abiological	eɪbaɪəlɑdʒɪkl̩
abiosis	eɪbioʊsɪs
abiotically	eɪbaɪɑtɪkli
abiotic	eɪbaɪɑtɪk
abiotrophy	æbiɑtɹəfi
abiotrophy	eɪbaɪɑtɹəfi
abipón	æbəpɑn
abipones	æbəpoʊniz
abiraterone	æbɪɹætəɹoʊn
abirritant	æbɪɹɪtn̩t
abirritate	æbɪɹɪteɪt
abirritation	æbɪɹɪteɪʃn̩
abirritative	æbɪɹɪteɪtɪv
abitibi	æbətɪbɪ
abitibi	æbətɪbi
abitur	æbitʊɹ
abitur	æbɪtʊɹ
abiturient	æbituɹiɛnt
abiuret	eɪbijəɹɛt
abject	æbd͡ʒɛkt
abjectedness	æbd͡ʒɛktədnəs
abjection	æbd͡ʒɛkʃn̩
abjective	æbd͡ʒɛtɪv
abjectly	æbd͡ʒɛkli
abjectly	æbd͡ʒɛktli
abjectness	æbd͡ʒɛktnəs
abjoint	æbd͡ʒɔɪnt
abjudge	æbd͡ʒʌd͡ʒ
abjudge	æbd͡ʒəd͡ʒ
abjugate	æbdʒəɡeɪt
abjunction	æbd͡ʒʌŋkʃən
abjuration	æbd͡ʒəɹeɪʃn̩
abjuration	æbd͡ʒʊɹɹeɪʃn̩
abjuration	æbd͡ʒʊɹeɪʃn̩
abjuratory	æbd͡ʒʊɹətɔɹi
abjure	æbdʒʊɹ
abjurer	æbd͡ʒʊɹɚ
abkar	ɑbkɑɹ
abkari	ɑbkɑɹi
abkhas	æbkɑs
abkhaz	æbkæz
abkhaz	æbkɑz
abkhaz	ɑbkɑz
abkhazia	æbkeɪziə
abkhazia	æbkeɪʒə
abkhazia	æbkeɪʒiə
abkhazia	æbkɑziə
abkhazia	æbkɑʒiə
abkhazian	æbkeɪziən
abkhazian	æbkeɪʒən
abkhazian	æbkeɪʒiən
abkhazian	æbkɑziən
abkhazian	æbkɑʒiən
ablactation	æblækteɪʃn̩
ablare	əblɛɹ
ablastemic	eɪblæstɛmɪk
ablastemic	eɪblæstimɪk
ablastin	əblæstən
ablastous	eɪblæstəs
ablate	əbleɪt
ablatio	æbleɪʃioʊ
ablation	æbleɪʃn̩
ablation	əbleɪʃn̩
ablatival	æblətaɪvl̩
ablative	æblətɪv
ablatively	æblətaɪvli
ablator	æbleɪdɚ
ablator	æbleɪdə
ablaut	æblaʊt
ablaut	ɑblaʊt
ablaut	ɑplaʊt
ablaze	əbleɪz
abled	eɪbl̩d
able	eɪbəl
able	eɪbl̩
ableeze	əbliz
ablegate	æbləɡeɪt
ablegate	æbləɡət
ableism	eɪbəlɪzm̩
ableist	eɪbəlɪst
ableness	eɪbl̩nəs
ablepharia	æbl̩feɪɹiə
ablepharon	æblɛfəɹɑn
ablepharous	æblɜfəɹʌs
ablephary	æblɛfəɹi
ablepsia	əblɛpsiə
abler	eɪbəlɚ
abler	eɪblɚ
ablest	eɪbələst
ablest	eɪbləst
abligation	ɑbləɡeɪʃən
ablings	eɪblɪnz
ablins	eɪblɪnz
abloom	əbluːm
ablow	əbloʊ
abluent	æblun̩t
ablush	əblʌʃ
ablute	əblut
ablutionary	əbluʃənɛɹi
ablution	əbluʃn̩
ably	eɪbəli
ably	eɪbli
abmho	æbmoʊ
abmigration	æbmaɪɡɹeɪʃən
abnegate	æbnɪɡeɪt
abnegate	æbniɡeɪt
abnegation	æbniɡɘɪʃn̩
abnegation	æbnɪɡɘɪʃn̩
abnegator	æbnɪɡeɪtɚ
abnegator	æbniɡeɪtɚ
abner	æbnɚ
abnet	æbnət
abnormal	æbnɔɹml̩
abnormalcy	æbnɔɹml̩si
abnormalcy	əbnɔɹml̩si
abnormal	əbnɔɹml̩
abnormalism	æbnɔɹml̩ɪzm̩
abnormality	æbnɚmæləti
abnormality	æbnɚmælɪti
abnormality	æbnɔɹmæləti
abnormality	æbnɔɹmælɪti
abnormalize	æbnɔɹməlaɪz
abnormally	æbnɔɹməli
abnormalness	æbnɔɹml̩nəs
abnormity	æbnɔɹmɪti
abnormous	æbnɔɹməs
abnormous	əbnɔɹməs
abo	æboʊ
aboard	əbɔɹd
abob	əbɑb
abocclusion	æboʊkluʒn̩
abode	əboʊd
abodement	əboʊdmn̩t
aboding	əboʊdɪŋ
abogado	æbəɡɑdoʊ
abohm	æboʊm
aboideau	ɑbwɑdoʊ
aboideaux	ɑbwɑdoʊ
aboil	əbɔɪl
aboil	əbɔɪl̩
aboiteau	ɑbwɑtoʊ
aboiteaux	ɑbwɑtoʊ
abolishable	əbɑlɪʃəbl̩
abolishable	əbɑləʃəbl̩
abolish	əbɑlɪʃ
abolish	əbɑləʃ
abolisher	əbɑlɪʃɚ
abolisher	əbɑləʃɚ
abolishment	əbɑlɪʃmənt
abolition	æbəlɪʃn̩
abolitionary	æbəlɪʃənɛɹi
abolitiondom	æbəlɪʃn̩dəm
abolitionism	æbəlɪʃənɪzm̩
abolitionist	æbəlɪʃn̩əst
abolitionist	æbəlɪʃn̩ɪst
abolitionize	æbəlɪʃn̩aɪz
aboma	əboʊmə
abomasal	æbəmeɪsəl
abomasal	æboʊmeɪsəl
abomasi	æboʊmeɪsaɪ
abomasi	æboʊmeɪsi
abomasum	æboʊmeɪsəm
abomasus	æboʊmeɪsəs
abomey	æbəmeɪ
abomey	əboʊmi
abominable	əbɑmənəbl̩
abominable	əbɑmnəbl̩
abominableness	əbɑmənəbl̩nəs
abominableness	əbɑmnəbl̩nəs
abominably	əbɑmənəbli
abominably	əbɑmnəbli
abominate	əbɒmənət
abominate	əbɒmənəɪt
abominate	əbɒmɪnəɪt
abomination	əbɑməneɪʃn̩
abomination	əbɑmɪneɪʃn̩
abominationly	əbɑməneɪʃn̩li
abominationly	əbɑmɪneɪʃn̩li
abominator	əbɑməneɪtɚ
abominator	əbɑmɪneɪtɚ
abongo	əbɑŋɡoʊ
abonné	æbɔne
abonnement	æbɔnmɑ̃
abonnements	æbɔnmɑ̃
abood	əbuːd
aboon	əbʏn
aboon	əbun
aboospore	æboʊəspɔɹ
aborad	æboɹæd
aboral	æbɔɹl̩
aborally	æbɔɹəli
abor	ɑbɔɹ
abordage	əbɔɹdɪd͡ʒ
abord	əbɔɹd
aborigen	æbɔɹəd͡ʒən
aboriginal	æbəɹɪd͡ʒɪnl̩
aboriginal	æbəɹɪd͡ʒn̩l̩
aboriginality	æbəɹɪd͡ʒənæləti
aboriginality	æbəɹɪd͡ʒɪnæləti
aboriginally	æbəɹɪd͡ʒɪnəli
aboriginally	æbəɹɪd͡ʒn̩əli
aborigine	æbəɹɪdʒəni
aborigine	æbəɹɪdʒɪni
aborning	əbɔɹnɪŋ
abort	əbɔɹt
abortee	əbɔɹti
aborticide	əbɔɹtəsaɪd
aborticide	əbɔɹtɪsaɪd
abortifacient	əbɔɹtəfeɪʃn̩t
abortifacient	əbɔɹtɪfeɪʃn̩t
abortin	əbɔɹtn̩
abortional	əbɔɹʃn̩l̩
abortion	əbɔɹʃn̩
abortionist	əbɔɹʃənɪst
abortive	əbɔɹtɪv
abortively	əbɔɹtɪvli
abortiveness	əbɔɹtɪvnəs
abortogenic	əbɔɹtəd͡ʒɛnɪk
abortoria	æbɔɹtɔɹiə
abortorium	æbɔɹtɔɹiəm
abortorium	æbɔɹtɔːɹiəm
abortoriums	æbɔɹtɔəɹiəmz
abortus	əbɔɹtəs
abought	əbɔt
aboukir	æbukɪɹ
aboukir	ɑbukɪɹ
aboukir	əbukɚ
aboulia	eɪbuliə
aboulia	əbuliə
aboulic	eɪbulɪk
aboulic	əbulɪk
aboulomania	eɪbjuləmeɪniə
aboulomania	eɪbuləmeɪniə
aboulomania	eɪbuloʊmeɪniə
abound	əbaʊnd
abounder	əbaʊndɚ
about	əbaʊt
aboutness	əbaʊtnəs
abouts	əbaʊts
above	əbʌv
abox	əbɑks
abozzi	əbɔtsoʊ
abozzo	əbɔtsi
abra	æbɹə
abra	ɑːbɹə
abracadabra	æbɹəkədæbɹə
abrachia	əbɹeɪkiə
abrachiocephalia	əbɹeɪkioʊsɛfeɪliə
abradant	əbɹeɪdn̩t
abrade	əbɹeɪd
abrader	əbɹeɪdɚ
abraham	eɪbɹəhæm
abraham	eɪbɹəhəm
abrahamic	eɪbɹəhæmɪk
abrahamman	eɪbɹəhæmmæn
abrahamman	eɪbɹəhəmæn
abrahamman	eɪbɹəmæn
abraid	əbɹeɪd
abram	eɪbɹəm
abramman	eɪbɹəmmæn
abrams	eɪbɹəmz
abranchial	eɪbɹæŋkil̩
abranchialism	eɪbɹæŋkil̩ɪzm̩
abranchiata	eɪbɹæŋkieɪtə
abranchiata	eɪbɹæŋkiɑtə
abranchiate	eɪbɹæŋkieɪt
abranchiate	eɪbɹæŋkiɪt
abranchious	eɪbɹæŋkiəs
abrase	əbɹeɪz
abraser	əbɹeɪzɚ
abraser	əbɹeɪzə
abrash	ɑbɹɑʃ
abrash	ɑbɹəʃ
abrasiometer	əbɹeɪziɑmətɚ
abrasional	əbɹeɪʒn̩l̩
abrasion	əbɹeɪʒn̩
abrasive	əbɹeɪsɪv
abrasive	əbɹeɪzɪv
abraum	ɑpɹaʊm
abraxas	əbɹæksəs
abrazo	æbɹæθo
abrazo	ɑbɹɑsoʊ
abrazo	əbɹɑsoʊ
abrazo	əbɹɑzoʊ
abreact	æbɹiækt
abreaction	æbɹiækʃn̩
abreactive	æbɹiæktɪv
abreast	əbɹɛst
abréch	aːbʀəɕ
abreed	əbɹid
abrenounce	æbɹinaʊnts
abrenunciation	æbɹinʌnsieɪʃn̩
abri	æbɹi
abri	ɑbɹi
abridged	əbɹɪdʒd
abridge	əbɹɪd͡ʒ
abridgement	əbɹɪd͡ʒmn̩t
abridger	əbɹɪd͡ʒɚ
abridges	əbɹɪdʒɪz
abridging	əbɹɪdʒɪŋ
abridgment	əbɹɪd͡ʒmn̩t
abri	əbɹi
abrim	əbɹɪm
abrin	æbɹən
abrin	æbɹɪn
abrine	æbɹin
abrin	eɪbɹən
abrin	eɪbɹɪn
abrine	eɪbɹin
abris	ɑbɹi
abris	ɑbɹiz
abristle	əbɹɪsl̩
abroach	əbɹoʊt͡ʃ
abroad	əbɹɔd
abroch	aːbʀoχ
abrocome	æbɹəkoʊm
abrogable	æbɹəɡəbl̩
abrogate	æbɹəɡeɪt
abrogate	æbɹəɡət
abrogate	æbɹoʊɡeɪt
abrogation	æbɹəɡeɪʃn̩
abrogator	æbɹəɡeɪtɚ
abronia	əbɹoʊniə
abrood	əbɹud
abrook	əbɹʊk
abrotanum	əbɹɑtn̩əm
abrotine	æbɹətin
abrupt	abɹʌpt
abrupt	əbɹʌpt
abruption	əbɹʌpʃn̩
abruptly	əbɹʌpli
abruptly	əbɹʌptli
abruptness	əbɹʌpnəs
abruptness	əbɹʌptnəs
abs	æbz
absalom	æbsələm
absaroka	æbsɑɹəkə
absaroke	æbsɑɹəki
absaroke	æbsoɹki
absarokee	æbsɑɹəki
absarokee	æbsoɹki
absatively	æbsətɪvli
abscess	æbsɛs
abscess	æbsɪs
abscind	æbsɪnd
abscind	əbsɪnd
abscise	æbsaɪz
abscisic	æbsɪsɪk
abscisin	æbsəsən
abscisin	æbsɪsən
abscision	æbsɪʒn̩
abscissa	æbsɪsə
abscissae	æbsɪsi
abscissæ	æbsɪsi
absciss	æbsɪs
abscissin	æbsəsən
abscissin	æbsɪsən
abscission	æbsɪʃn̩
abscission	æbsɪʒn̩
abscond	æbskɑnd
abscond	æbzkɑnd
abscondence	æbskɑndn̩s
abscondence	æbskɑndn̩ts
abscondence	æbzkɑndn̩s
abscondence	æbzkɑndn̩ts
absconder	æbskɑndɚ
absconder	æbzkɑndɚ
absconsio	æbskɑnsioʊ
abscopal	æbskoʊpl̩
abseil	æbseɪl
abseil	ɑbzaɪl
abseiler	æbseɪlɚ
abseiler	ɑbzaɪlɚ
abseiler	ɑpzaɪlɚ
abseiler	ɑpzaɪl̩ɚ
abseil	ɑpzaɪl
abseil	ɑpzaɪl̩
absence	æbsn̩s
absence	æbsn̩ts
absent	æbsɛnt
absent	æbsn̩t
absentation	æbsənteɪʃn̩
absentee	æbsn̩ti
absenteeism	æbsəntiɪzm̩
absenteeship	æbsn̩tiʃɪp
absenter	æbsɛntɚ
absentia	æbsɛntʃə
absentia	æbsɛntʃiə
absently	æbsn̩tli
absentness	æbsn̩tnəs
absinth	æbsɪnθ
absinthe	æbsɪnθ
absinthiin	æbsɪnθiən
absinthin	æbsɪnθɪn
absinthine	æbsɪnθaɪn
absinthine	æbsɪnθən
absinthism	æbsənθɪzm̩
absinthismic	æbsənθɪzmək
absinthium	æbsɪnθim̩
absinthol	æbsənθoʊl
absinthol	æbsənθɔl
absis	æbsɪs
absolute	æbsəlut
absolutely	æbsəlutli
absoluteness	æbsəlutnəs
absolution	æbsəljuʃn̩
absolutisation	æbsəljutəzeɪʃn̩
absolutisation	æbsəlutəzeɪʃn̩
absolutise	æbsəljutaɪz
absolutise	æbsəlutaɪz
absolutism	æbsəljutɪzm̩
absolutism	æbsəlutɪzm̩
absolutist	æbsəlutɪst
absolutistic	æbsəlutɪstɪk
absolutistically	æbsəlutɪstɪkli
absolutistically	æbsəlutɪstɪkl̩i
absolutive	æbsəluːtɪv
absolutization	æbsəljutəzeɪʃn̩
absolutization	æbsəlutəzeɪʃn̩
absolutize	æbsəljutaɪz
absolutize	æbsəlutaɪz
absolutory	æbsɑljətɔɹi
absolvable	æbzɑlvəbl̩
absolvable	əbzɑlvəbl̩
absolve	æbsɑlv
absolve	æbzɑlv
absolve	əbsɑlv
absolve	əbzɑlv
absolvent	æbsɑlvn̩t
absolvent	æbzɑlvn̩t
absolvent	əbsɑlvn̩t
absolvent	əbzɑlvn̩t
absolver	æbzɑlvɚ
absolver	əbzɑlvɚ
absolvitor	æbsɑlvətɚ
absolvitor	æbsɑlvətɔɹ
absolvitor	æbzɑlvətɚ
absolvitor	æbzɑlvətɔɹ
absolvitory	æbsɑlvətɔɹi
absolvitory	æbzɑlvətɔɹi
absonant	æbsənn̩t
absonant	æbsnn̩t
absonous	æbsənəs
absorbability	əbsɔɹbəbɪlɪti
absorbability	əbzɔɹbəbɪlɪti
absorbable	əbsɔɹbəbl̩
absorbable	əbzɔɹbəbl̩
absorb	æbsɔɹb
absorb	æbzɔɹb
absorbance	əbsɔɹbn̩s
absorbance	əbsɔɹbn̩ts
absorbance	əbzɔɹbn̩s
absorbance	əbzɔɹbn̩ts
absorbancy	æbsɔɹbn̩si
absorbancy	æbzɔɹbn̩si
absorbancy	əbsɔɹbn̩si
absorbancy	əbzɔɹbn̩si
absorbate	æbsɔɹbeɪt
absorbate	æbsɔɹbət
absorbate	æbzɔɹbeɪt
absorbate	æbzɔɹbət
absorbate	əbsɔɹbeɪt
absorbate	əbsɔɹbət
absorbate	əbzɔɹbeɪt
absorbate	əbzɔɹbət
absorb	əbsɔɹb
absorb	əbzɔɹb
absorbed	æbsɔɹbd
absorbed	æbzɔɹbd
absorbed	əbsɔɹbd
absorbed	əbzɔɹbd
absorbedly	æbsɔɹbɪdli
absorbedly	æbzɔɹbɪdli
absorbedly	əbsɔɹbɪdli
absorbedly	əbzɔɹbɪdli
absorbedness	æbsɔɹbɪdnəs
absorbedness	æbzɔɹbɪdnəs
absorbedness	əbsɔɹbɪdnəs
absorbedness	əbzɔɹbɪdnəs
absorbency	æbsɔɹbn̩si
absorbency	æbzɔɹbn̩si
absorbency	əbsɔɹbn̩si
absorbency	əbzɔɹbn̩si
absorbent	æbsɔɹbn̩t
