ॐ	oːm
अलाव	əlɑːʋ
अलीगढ़	əliːɡəɽʱ
अलंकार	ələŋkɑːɾ
अल्पकारी	əlpəkɑːɾiː
अल्पसंख्यक	əlpsəŋkʰjək
अल्फ़ाज़	əlfɑːz
अल्लाह	əllɑːʱ
अवकलज	əʋkələd͡ʒ
अवकलन	əʋkələn
अवकलनीय	əʋkələniːj
अवक्षेपण	əʋkʃeːpən
अवगुण	əʋɡʊn
अवज्ञा	əʋəɡjɑː
अवतल	əʋt̪əl
अवतार	əʋt̪ɑːɾ
अवध	əʋəd̪ʱ
अवधारण	əʋd̪ʱɑːɾən
अवधारणा	əʋd̪ʱɑːɾnɑː
अवधी	əʋd̪ʱiː
अवधी	əʋəd̪ʱiː
अवपंक	əʋpəŋk
अवयव	əʋjəʋ
अवलोकन	əʋloːkən
अवशोषण	əʋʃoːʃən
अवशोषित	əʋʃoːʃɪt̪
अवश्य	əʋəʃj
अवहट्ठ	əʋɦəʈʈʰ
अवहेलना	əʋɦeːlnɑː
अवाई	əʋɑːiː
अवाम	əʋɑːm
अवार्ड	əʋɑːɾɖ
अविकारी	əʋɪkɑːɾiː
अविचल	əʋɪt͡ʃəl
अविनय	əʋɪnəj
अविलंब	əʋɪləmb
अविवाहित	əʋɪʋɑːɦɪt̪
अव्यक्त	əʋjəkt̪
अव्वल	əʋʋəl
अशक्त	əʃəkt̪
अशरफ़ी	əʃəɾfiː
अशिष्ट	əʃɪʃʈ
अशुभ	əʃʊbʱ
अश्लील	əʃliːl
अश्व	əʃʋ
अश्वमेध	əʃʋəmeːd̪ʱ
अश्विनी	əʃʋɪniː
अष्टकोण	əʃʈkoːn
अष्टभुज	əʃʈbʱʊd͡ʒ
असत्य	əsət̪j
असत्याभास	əsət̪jɑːbʱɑːs
असफल	əsəpʰəl
असम	əsəm
असर	əsəɾ
असलियत	əsliːjət̪
असली	əsliː
असहमति	əsɛːʱmət̪iː
असहयोग	əsəʱjoːɡ
असहाय	əsɦɑːj
असहिष्णु	əsəɦɪʃnuː
असहिष्णुता	əsəɦɪʃnʊt̪ɑː
असाधारण	əsɑːd̪ʱɑːɾən
असुरक्षित	əsʊɾəkʃɪt̪
असुविधा	əsʊʋɪd̪ʱɑː
असुंदर	əsʊnd̪əɾ
असैनिक	əsɛːnɪk
असंगत	əsəŋɡət̪
असंतुष्ट	əsənt̪ʊʃʈ
असंभव	əsəmbʱəʋ
असंभावित	əsəmbʱɑːʋɪt̪
असंवेदनशील	əsəmʋeːd̪ənʃiːl
असंवैधानिक	əsəmʋɛːd̪ʱɑːnɪk
अस्तबल	əst̪əbəl
अस्तित्व	əst̪ɪt̪ʋ
अस्थमा	əst̪ʰəmɑː
अस्थायी	əst̪ʰɑːjiː
अस्थि	əst̪ʰiː
अस्थिपंजर	əst̪ʰɪpəɲd͡ʒəɾ
अस्पताल	əspət̪ɑːl
अस्पृश्य	əˈspɾɪʃjə
अस्मिता	əsmɪt̪ɑː
अस्सी	əssiː
अहबाब	ɛːʱbɑːb
अहम	ɛːʱm
अहमियत	ɛːʱmiːjət̪
अहाता	əɦɑːt̪ɑː
अहिच्छत्र	əɦɪt͡ʃt͡ʃʰət̪ɾ
अहिनाह	əɦɪnɑːʱ
अहिभृत्	əɦɪbʱɾɪt̪
अहिर्बुश्न	əɦɪɾbʊʃn
अहिवात	əɦɪʋɑːt̪
अहिवाद	əɦɪʋɑːd̪
अहं	ɛːʱm
अहंकार	eːɦeːŋkɑːɾ
अं	ə̃
अंक	əŋk
अंकन	əŋkən
अंकल	əŋkəl
अंकित	əŋkɪt̪
अंकुर	əŋkʊɾ
अंकुरित	əŋkʊɾɪt̪
अंकुश	əŋkʊʃ
अंग	əŋɡ
अंगच्छेद	əŋɡət͡ʃt͡ʃʰeːd̪
अंगड़ाई	əŋɡɽɑːiː
अंगदान	əŋɡd̪ɑːn
अंगना	əŋɡənɑː
अंगहीन	əŋɡʱiːn
अंगार	əŋɡɑːɾ
अंगारा	əŋɡɑːɾɑː
अंगिया	əŋɡiːjɑː
अंगुल	əŋɡʊl
अंगुली	əŋɡʊliː
अंगूठा	əŋɡuːʈʰɑː
अंगूर	əŋɡuːɾ
अंगोछा	əŋɡoːt͡ʃʰɑː
अंगोट	əŋɡoːʈ
अंग्रेज़	əŋɡɾeːz
अंग्रेज़ियत	əŋɡɾeːziːjət̪
अंग्रेजी	əŋɡɾeːd͡ʒiː
अंग्रेज़ी	əŋɡɾeːziː
अंचल	əɲt͡ʃəl
अंछर	əɲt͡ʃʰəɾ
अंजन	əɲd͡ʒən
अंजाम	əɲd͡ʒɑːm
अंजीर	əɲd͡ʒiːɾ
अंजु	əɲd͡ʒuː
अंटार्कटिका	ənʈɑːɾkəʈɪkɑː
अंडकोष	ənɖkoːʃ
अंडा	ənɖɑː
अंडोरा	ənɖoːɾɑː
अंत	ənt̪
अंतड़ी	ənt̪ɽiː
अंतरजाल	ənt̪əɾd͡ʒɑːl
अंतरराष्ट्रीयता	ənt̪əɾɾɑːʃʈɾiːjət̪ɑː
अंतरा	ənt̪ɾɑː
अंतरा	ənt̪əɾɑː
अंतराल	ənt̪əɾɑːl
अंतरिक्ष	ənt̪ɾɪkʃ
अंतरिम	ənt̪ɾɪm
अंतरंगता	ənt̪əɾəŋɡt̪ɑː
अंतर्गत	ənt̪əɾɡət̪
अंतर्जातीय	ənt̪əɾd͡ʒɑːt̪iːj
अंतर्जाल	ənt̪əɾd͡ʒɑːl
अंतर्देशीय	ənt̪əɾd̪eːʃiːj
अंतर्निहित	ənt̪əɾnɪɦɪt̪
अंतर्राष्ट्रीय	ənt̪əɾɾɑːʃʈɾiːj
अंतर्वासी	ənt̪əɾʋɑːsiː
अंताक्षरी	ənt̪ɑːkʃəɾiː
अंतिम	ənt̪ɪm
अंतःक्षेप	ənt̪əʰkʃeːp
अंत्येष्टि	ənt̪jeːʃʈiː
अंदर	ənd̪əɾ
अंदाज़	ən̪ˈd̪az
अंधड़	ənd̪ʱəɽ
अंधविश्वास	ənd̪ʱʋɪʃʋɑːs
अंधाधुंध	ənd̪ʱɑːd̪ʱʊnd̪ʱ
अंधेरा	ənd̪ʱeːɾɑː
अंबर	əmbəɾ
अंश	ənʃ
अंशकालिक	ənʃkɑːlɪk
अंशतः	ənʃt̪əʰ
अँ	ə̃
अँगीठी	ə̃ɡiːʈʰiː
अँग्रेज़ी	ə̃ɡɾeːziː
अँटना	ə̃ʈnɑː
अः	əʰ
आ	ɑː
आ	a
आ	aː
आइज़ोल	ɑːɪzoːl
आइसक्रीम	ɑːɪskɾiːm
आइस्ड	ɑːɪsɖ
आइंदा	ɑːɪnd̪ɑː
आई	ɑːiː
आईला	ɑːiːlɑː
आक	ɑːk
आकर्षक	ɑːkəɾʃək
आकर्षण	ɑːkəɾʃən
आकर्षित	ɑːkəɾʃɪt̪
आकलन	ɑːkələn
आकस्मिक	ɑːkəsmɪk
आकार	ɑːkɑːɾ
आकाशवाणी	ɑːkɑːʃʋɑːniː
आकांक्षा	ɑːkɑːŋkʃɑː
आकांक्षी	ɑːkɑːŋkʃiː
आकृति	ɑːkɾɪt̪iː
आक्रमण	ɑːkɾəmən
आक्रमणकारी	ɑːkɾəmənkɑːɾiː
आक्रामक	ɑːkɾɑːmək
आक्रामकता	ɑːkɾɑːməkt̪ɑː
आक्रोश	ɑːkɾoːʃ
आख़िर	ɑːkʰɪɾ
आख़िर	ɑːxɪɾ
आख़िरकार	ɑːkʰɪɾkɑːɾ
आख़िरकार	ɑːxɪɾkɑːɾ
आख़िरी	ɑːkʰɪɾiː
आख़िरी	ɑːkʰɾiː
आख़िरी	ɑːxɪɾiː
आख़िरी	ɑːxɾiː
आग	ɑːɡ
आगज़नी	aːɡzəniː
आग़ाज़	ɑːɡɑːz
आगाह	ɑːɡɑːʱ
आगाही	ɑːɡɑːɦiː
आग़ोश	ɑːɡoːʃ
आग्नेय	ɑːɡneːj
आग्नेयास्त्र	ɑːɡneːjɑːst̪ɾ
आग्रह	ɑːɡɾəʱ
आघ	ɑːɡʱ
आघात	ɑːɡʱɑːt̪
आचरण	ɑːt͡ʃəɾən
आछा	ɑːt͡ʃʰɑː
आज	ɑːd͡ʒ
आज़माना	ɑːzmɑːnɑː
आज़ाद	ɑːzɑːd̪
आज्ञा	ɑːɡjɑː
आड़	ɑːɽ
आडवाणी	ɑːɖʋɑːniː
आड़ू	ɑːɽuː
आडंबर	ɑːɖəmbəɾ
आण्विक	ɑːnʋɪk
आतमीयता	ɑːt̪miːjət̪ɑː
आतिशबाजी	ɑːt̪ɪʃbɑːd͡ʒiː
आतिशबाज़ी	ɑːt̪ɪʃbɑːziː
आतुर	ɑːt̪ʊɾ
आतंकमय	ɑːt̪əŋkməj
आतंकित	ɑːt̪əŋkɪt̪
आत्मकथा	ɑːt̪məkət̪ʰɑː
आत्मघात	ɑːt̪məɡʱɑːt̪
आत्मघाती	ɑːt̪məɡʱɑːt̪iː
आत्मविश्वास	ɑːt̪məʋɪʃʋɑːs
आत्मसमर्पण	ɑːt̪msəməɾpən
आत्मसात	ɑːt̪məsɑːt̪
आत्मसात्	ɑːt̪məsɑːt̪
आत्मस्तुति	ɑːt̪məst̪ʊt̪iː
आत्महत्या	ɑːt̪mɦət̪jɑː
आत्मीय	ɑːt̪miːj
आदतन	ɑːd̪ət̪ən
आदम	ɑːd̪əm
आदमी	ɑːd̪miː
आदर	ɑːd̪əɾ
आदरपूर्वक	ɑːd̪əɾpuːɾʋək
आदर्श	ɑːd̪əɾʃ
आदान	ɑːd̪ɑːn
आदाब	ɑːd̪ɑːb
आदिभाषा	ɑːd̪ɪbʱɑːʃɑː
आदिम	ɑːd̪ɪm
आदिवासी	ɑːd̪ɪʋɑːsiː
आदी	ɑːd̪iː
आदेश	ɑːd̪eːʃ
आधार	ɑːd̪ʱɑːɾ
आधारभूत	ɑːd̪ʱɑːɾbʱuːt̪
आधिक	ɑːd̪ʱɪk
आधिपत्य	ɑːd̪ʱɪpət̪j
आधुनिकीकरण	ɑːd̪ʱʊnɪkiːkəɾən
आध्यात्मिक	ɑːd̪ʱjɑːt̪mɪk
आनंददायी	ɑːnənd̪d̪ɑːjiː
आन्दोलन	ɑːnd̪oːlən
आप	aːp
आपत्ति	ɑːpət̪t̪iː
आपत्तिजनक	ɑːpət̪t̪iːd͡ʒənək
आपदा	ɑːpd̪ɑː
आपबीती	ɑːpbiːt̪iː
आपस	ɑːpəs
आपातकाल	ɑːpɑːt̪kɑːl
आपूर्ति	ɑːpuːɾt̪iː
आपेक्षिक	ɑːpeːkʃɪk
आफ़त	ɑːfət̪
आफ़ताब	ɑːft̪ɑːb
आफ़्रीदी	aːfriːd̪iː
आब	ɑːb
आबदस्त	ɑːbd̪əst̪
आबरू	ɑːbɾuː
आबला	ɑːblɑː
आम	ɑːm
आमदनी	ɑːməd̪niː
आमवात	ɑːmʋɑːt̪
आमाशय	ɑːmɑːʃəj
आमुख	ɑːmʊkʰ
आमंत्रित	ɑːmənt̪ɾɪt̪
आयत	ɑːjət̪
आयतन	ɑːjət̪ən
आयन	ɑːjən
आया	ɑːjɑː
आयात	ɑːjɑːt̪
आयु	ɑːjuː
आयुक्त	ɑːjʊkt̪
आयुर्विज्ञान	ɑːjʊɾʋɪɡjɑːn
आयुर्वेद	ɑːjʊɾʋeːd̪
आयोग	ɑːjoːɡ
आयोजन	ɑːjoːd͡ʒən
आयोजित	ɑːjoːd͡ʒɪt̪
आरक्षण	ɑːɾəkʃən
आरज़ू	ɑːɾzuː
आराम	ɑːɾɑːm
आरामदेह	ɑːɾɑːmd̪eːʱ
आरोग्य	ɑːɾoːɡj
आरोप	ɑːɾoːp
आरंभिक	ɑːɾəmbʱɪk
आर्थिकी	ɑːɾt̪ʰɪkiː
आर्मेनियन	ɑːɾmeːniːjən
आर्यमन	ɑːɾjəmən
आलस	ɑːləs
आलसी	ɑːlsiː
आलस्य	ɑːləsj
आलीशान	ɑːliːʃɑːn
आलेख	ɑːleːkʰ
आलोचना	ɑːloːt͡ʃnɑː
आवक	ɑːʋək
आवर्धन	ɑːʋəɾd̪ʱən
आवाज़	əʋɑːz
आवाज़	ɑːʋɑːz
आवाहन	ɑːʋɑːɦən
आविष्कार	ɑːʋɪʃkɑːɾ
आवृत्ति	ɑːʋɾɪt̪t̪iː
आवेदन	ɑːʋeːd̪ən
आवेदनकर्ता	ɑːʋeːd̪ənkəɾt̪ɑː
आवेश	ɑːʋeːʃ
आवेशित	ɑːʋeːʃɪt̪
आवंटन	ɑːʋənʈən
आवंटित	ɑːʋənʈɪt̪
आव्यूह	ɑːʋjuːʱ
आशना	ɑːʃnɑː
आशय	ɑːʃəj
आशावाद	ɑːʃɑːʋɑːd̪
आशिक़मिज़ाज	ɑːʃɪkmɪzɑːd͡ʒ
आशिक़मिज़ाज	ɑːʃɪqmɪzɑːd͡ʒ
आशिक़ी	ɑːʃɪkiː
आशिक़ी	ɑːʃɪqiː
आशियाना	ɑːʃiːjɑːnɑː
आशिष	ɑːʃɪʃ
आशीर्वाद	ɑːʃiːɾʋɑːd̪
आशुलिपि	ɑːʃʊlɪpiː
आशंका	ɑːʃəŋkɑː
आश्चर्य	ɑːʃt͡ʃəɾj
आश्रम	ɑːʃɾəm
आश्रय	ɑːʃɾəj
आश्वासन	ɑːʃʋɑːsən
आस	ɑːs
आसन	ɑːsən
आसन्न	ɑːsənn
आसमानी	ɑːsmɑːniː
आसरा	ɑːsɾɑː
आसवन	ɑːsəʋən
आसामी	ɑːsɑːmiː
आसार	ɑːsɑːɾ
आस्तीन	ɑːst̪iːn
आस्था	ɑːst̪ʰɑː
आह	ɑːʱ
आहट	ɑːɦəʈ
आहत	ɑːɦət̪
आहार	ɑːɦɑːɾ
आहिस्ता	ɑːɦɪst̪ɑː
आहिस्ता	ɑːɪst̪ɑː
आंकड़ा	ɑːŋkɽɑː
आंगन	ɑːŋɡən
आंतरिक	ɑːnt̪ɾɪk
आंदोलन	ɑːnd̪oːlən
आंवला	ɑ̃ːʋlɑː
आंशिक	ɑːnʃɪk
आँख	ɑ̃ːkʰ
आँगन	ɑ̃ːɡən
आँच	ɑ̃ːt͡ʃ
आँसू	ɑ̃ːsuː
इ	ɪ
इ	i
इक	ɪk
इकट्ठा	ɪkəʈʈʰɑː
इकतालीस	ɪkt̪ɑːliːs
इकत्तीस	ɪkət̪t̪iːs
इकनाली	ɪknɑːliː
इकपहिया	ɪkəpʰiːjɑː
इकलौता	ɪklɔːt̪ɑː
इकसठ	ɪksəʈʰ
इकसिंगा	ɪksɪŋɡɑː
इकहत्तर	ɪkʰət̪t̪əɾ
इकहत्तर	ɪkət̪t̪əɾ
इक्कीस	ɪkkiːs
इक्यानवे	ɪkjɑːnʋeː
इक्यावन	ɪkjɑːʋən
इक्यासी	ɪkjɑːsiː
इख़्तियार	ɪkʰt̪iːjɑːɾ
इख़्तियार	ɪxt̪iːjɑːɾ
इग्लू	ɪɡluː
इच्छा	ɪt͡ʃt͡ʃʰɑː
इज़हार	ɪzɦɑːɾ
