acis	a t͡sʲ i sʲ
puiseits	p u i̯ sʲ ɛ i̯ tʲ sʲ
puiss	p u i̯ sʲː
puiši	p u i̯ ʃ i
putbols	p u t b ɔ l s
pyrmais	p ɨ r m a i̯ s
pyrmuo	p ɨ r m u ɔ̯
pīci	pʲ iː t͡sʲ i
pīcys	pʲ iː t͡s ɨ s
pīkts	p iː k t s
radeja	r a dʲ æ j a
rats	r a t s
redzīņs	r æ d͡zʲ iː nʲ sʲ
reit	r æ i̯ tʲ
rindeņa	r i nʲ dʲ æ nʲ a
rups	r u p s
rynda	r ɨ n d a
saldats	s a l d a t s
sasts	s a s t s
saule	s a u̯ lʲ æ
sausa	s a u̯ s a
sauss	s a u̯ sː
septeits	sʲ æ pʲ tʲ æ i̯ tʲ sʲ
septeni	sʲ æ pʲ tʲ æ nʲ i
septenis	sʲ æ pʲ tʲ æ nʲ i sʲ
seši	s ɛ ʃ i
sešys	sʲ ɛ ʃ ɨ s
sirdis	sʲ i r dʲ i sʲ
sirds	sʲ i r tʲ sʲ
skaņa	s k a nʲ a
slikts	sʲ lʲ i k t s
slikši	sʲ lʲ i kʲ ʃ i
slikšuok	sʲ lʲ i k ʃ u ɔ̯ k
smalki	s m a lʲ kʲ i
smalči	s m a lʲ t͡ʃ i
smolks	s m ɔ l k s
smolkuok	s m ɔ l k u ɔ̯ k
sovaids	s ɔ v a i̯ t s
sovaiži	s ɔ v a i̯ ʒ i
stabule	s t a b u lʲ e
svuoteņš	s v u ɔ̯ tʲ æ nʲ ʃ
svuots	s v u ɔ̯ t s
svuoča	s v u ɔ̯ t͡ʃ a
svuočeņa	s v u ɔ̯ t͡ʃ æ nʲ a
sābrys	s aː b r ɨ s
sātyslopa	s aː t ɨ s l ɔ p a
sīva	sʲ iː v a
sīveņa	s iː vʲ æ nʲ a
tai	t a i̯
taisns	t a i̯ s n s
taišni	t a i̯ ʃ nʲ i
tehnologeja	tʲ æ x n ɔ l ɔ ɡʲ æ j a
tieteits	tʲ i ɛ̯ tʲ ɛ i̯ tʲ sʲ
tivi	tʲ i vʲ i
treis	t r æ i̯ sʲ
trešs	t r ɛ ʃ s
truss	t r u sʲː
tu	t u
tuols	t u ɔ̯ l s
tuoss	t u ɔ̯ sʲː
tyvs	t ɨ v s
tāvs	t aː w s
tēt	tʲ æː t
tēte	tʲ æː tʲ æ
unuce	u n u t͡sʲ æ
unuks	u n u k s
uoda	u ɔ̯ d a
uops	u ɔ̯ pʲ sʲ
ustabeņa	u s t a bʲ æ nʲ a
ustoba	u s t ɔ b a
vaca	v a t͡s a
vace	v a t͡sʲ æ
vaceite	v a t͡sʲ ɛ i̯ tʲ æ
vaciks	v a t͡sʲ i k s
vacs	v a t͡s s
vadakla	v a d a k l a
vadzs	v a t͡sʲ sʲ
varbyut	v a r b ɨ u̯ t
vecs	vʲ æ t͡sʲ sʲ
veireņš	vʲ ɛ i̯ r æ nʲ ʃ
veirs	vʲ ɛ i̯ r s
viejs	vʲ i ɛ̯ j s
vieli	vʲ i ɛ̯ lʲ i
vieļuok	vʲ i ɛ̯ lʲ u ɔ̯ k
viņ	vʲ i nʲ
voi	v ɔ i̯
volūda	v ɔ l uː d a
vonogs	v ɔ n ɔ k s
vyds	v ɨ d s
vysmoz	v ɨ s m ɔ s
vāls	v aː l s
vīna	vʲ iː n a
vīns	vʲ iː n s
vīss	vʲ iː sʲː
y	ɨ
zalts	z a l t s
začeits	z a t͡ʃ ɛ i̯ tʲ sʲ
začs	z a t͡ʃ sʲ
zeimuot	zʲ æ i̯ m u ɔ̯ tʲ
zeme	zʲ æ mʲ æ
zemeite	zʲ æ mʲ ɛ i̯ tʲ æ
zine	zʲ i nʲ æ
zivs	zʲ i vʲ sʲ
zuts	z u tʲ sʲ
zyna	z ɨ n a
zyni	z ɨ nʲ i
zynim	z ɨ nʲ i m
zynit	z ɨ nʲ i tʲ
zynu	z ɨ n u
zynuot	z ɨ n u ɔ̯ tʲ
zyrgs	z ɨ r k s
zyvu	z ɨ v u
četri	t͡ʃ æ tʲ r i
četrys	t͡ʃ æ tʲ r ɨ s
īt	iː t
īt	iː tʲ
ķ	kʲ
šeļma	ʃ æ lʲ m a
ūga	uː ɡ a
ūss	uː sʲː
ūtrs	uː t r s
