abas	a b a s
kitai	k i t a i
kompeni	k o m p ə n i
komunikasyen	k o m ʊ n i k a s j ɛ n
kuda	k u d a
kudi	k u d i ʔ
kuning	k u n i ə ŋ
kupi	k u p i
laki	l a k i
lama	l a m a ʔ
lambar	l a m b a r
langit	l a ŋ i t
latak	l a t ə a k
lawa	l a w a
lelengau	l ə l ə ŋ a u
lia	l i a ʔ
librari	l i b r a r i
lumur	l u m u r
lutur	l u t u r
mai	m a i ʔ
malam	m a l a m
manah	m a n a h
manis	m a n i s
manyi	m a ɲ i ʔ
mar	m a r
masedonia	m a ʃ ə d o n i a
maya	m a j a
mayau	m a j a u̯
meli	m e l i
melikat	m ə l i k a t
menira	m ə n i r a
menua	m ə n u a
menyadi	m ə ɲ a d i ʔ
merap	m ə r a p
mesin	m ə s i n
mija	m i d͡ʒ a
mipau	m i p a u
mirah	m i r a h
mit	m i t
mua	m u a
munyi	m u ɲ i
mupuk	m u p u ə k
nanas	n a n a s
nanga	n a ŋ a
nangka	n a ŋ k a ʔ
nembiak	n ə m b i ə a k
nemu	n ə m u
nerang	n ə r ə a ŋ
ngelala	ŋ ə l a l a
ngelaluka	ŋ ə l a l u k a
ngeli	ŋ ə l i ʔ
ngemanahka	ŋ ə m a n a h k a
ngetau	ŋ ə t a u
ngulihka	ŋ u l i ə h k a
nyiur	ɲ i u r
orang	u ə r a ə ŋ
padah	p a d ə a h
padi	p a d i
pam	p a m
panas	p a n a s
parai	p a r a i
peda	p ə d a ʔ
pelastik	p ə l a s t i k
peluh	p ə l u h
pemakai	p ə m a k a i
pemanah	p ə m a n a ə h
penanggul	p ə n a ŋ ɡ u l
penemu	p ə n e m u
penerang	p ə n ə r ə a ŋ
pengada	p ə ŋ a d a
pengaga	p ə ŋ a ɡ a
pengagai	p ə ŋ a ɡ a i
pengajar	p ə ŋ a d͡ʒ a r
pengarap	p ə ŋ a r a p
pengawa	p ə ŋ a w a ʔ
pengerindu	p ə ŋ ə r i n d u ʔ
penusah	p ə n u s a h
penyauh	p ə ɲ a u h
peranchis	p ə r a n t ʃ i s
perintah	p ə r ɪ n t ə a h
petang	p ə t ə a ŋ
pinsil	p i n s i ə l
pinta	p i n t a ʔ
pisang	p i s a ŋ
presiden	p r ɛ s i d ə n
primari	p r i m ə r i
puji	p u d͡ʒ i
pusu	p u s u ʔ
ragak	r a ɡ ə a k
raja	r a d͡ʒ a
rajang	r a d͡ʒ ə a ŋ
rami	r a m i
randau	r a n d a u
regang	r ə ɡ ə a ŋ
regas	r ə ɡ a s
remaung	r ə m a u ŋ
reti	r ə t i
rian	r i a n
rindu	r i n d u ʔ
rumput	r u m p u t
ruti	r u t i
sabak	s a b ə a k
sabun	s a b ʊ n
salah	s a l ə a h
sayur	s a j u r
sebaka	s ə b a k a
sebedau	s ə b ə d a u
sekelim	s ə k ə l i m
seleju	s ə l ə d͡ʒ u
semalam	s ə m a l a m
semangka	s ə m a ŋ k a
sempama	s ə m p a m a
semua	s ə m u a
sengong	s ə ŋ u ə ŋ
sentuk	s ə n t u ʔ
serega	s ə r ə ɡ a
seruran	s ə r u r a n
setem	s ə t ɛ m
setor	s ə t o r
sida	s i d a ʔ
sipat	s i p a t
siria	s i r i a
sitan	s i t a n
stail	s t a i l
suba	s u b a ʔ
sungai	s u ŋ a i̯
tagang	t a ɡ ə a ŋ
talipaun	t a l i p a u n
tama	t a m a ʔ
tambai	t a m b a i
tan	t a n
tanam	t a n a m
tanda	t a n d a
tanda	t a n d a ʔ
tang	t a ə ŋ
tangan	t a ŋ a n
tarik	t a r i ə k
taring	t a r i ə ŋ
taris	t a r i s
tau	t a u ʔ
tauk	t a u ʔ
tauka	t a u k a
taun	t a u n
teknologi	t ɛ k n o l o ɡ i
televisyen	t e l e v i ʃ ə n
temedak	t ə m ə d ə a k
temu	t ə m u
tenggau	t ə ŋ ɡ a u̯
terebai	t ə r ə b a i
terima	t ə r i m a ʔ
ti	t i ʔ
tin	t i n
tinggi	t i ŋ ɡ i ʔ
tingki	t i ŋ k i
tiun	t i u n
tu	t u ʔ
tua	t u a
tuchuk	t u t͡ʃ u ə ʔ
tulis	t u l i s
tumu	t u m u
tusah	t u s a h
ukai	u k a i̯
universiti	j u n i v ə r s i t i
wad	w a d
