ހ	h
ފުވައްމުލައް	f u ʋ ə mː u l e h
ފޫރުއްބަ	f uː ɾ u bː ə
ފެބްރުއަރީ	f e b r u ə ɾ iː
ދ	d̪
ދަނަ	d̪ ə n̪ ə
ދަރުމަ	d̪ ə ɾ u m ə
ދަރުޝަނަ	d̪ ə ɾ u ʃ ə n̪ ə
ދިއްދޫ	d̪ i d̪ː uː
ދިވެހިރާއްޖެ	d̪ i ʋ e h i ɾ əː d ʒː e
ދީން	d̪ iː n̪
ދުނިޔެ	d̪ u n̪ i j e
ދުއްކާނު	d̪ u kː əː n̪ u
ދުވަސް	d̪ u ʋ ə s̺
ދުވާފަރު	d̪ u ʋ əː f ə ɾ u
ދޫ	d̪ uː
ދެކުނު	d̪ e k u ɾ u
ތ	t̪
ތައިވާން	t̪ æː ʋ əː n̪
ތިނަދޫ	t̪ i n̪ ə d̪ uː
ތިރީސް	t̪ i ɾ iː s̺
ތުރިޕޫރާ	t̪ u ɾ i p uː ɾ aː
ތުލަ	t̪ u l ə
ތެޔޮ	t̪ e j o
ތޭރަ	t eː ɾ ə
ލިނބޯ	l iᵐ b oː
ލީބިޔާ	l iː b i j əː
ގަން	ɡ ə n̪
ގަސް	ɡ ə s̺
ގުރީންލޭންޑު	ɡ u ɾ iː n̪ l e n̪ ɖ u
ގުޖުރާތު	ɡ u d ʒ ɾ əː t̪
ގެ	ɡ e
ގޮމަށި	ɡ o m ə ʂ i
ޏަމްޏަމް	ɲ ə m ɲ ə m
ސ	s̺
ސަހަރު	s̺ ə h ə ɾ u
ސަތާރަ	s ə t əː ɾ ə
ސިންހަ	s̺ i n̪ h ə
ސީނުކަރަ	s̺ iː n̪ u k ə ɾ ə
ސުކުން	s̺ u k u n̪
ސެޕްޓެމްބަރު	s e p ʈ e m b ə ɾ u
ސޭބޫ	s̺ eː b uː
ސްކޫލު	s̺ k uː l u
ޑިސެމްބަރު	ɖ i s e m b ə ɾ u
ޒ	z̺
ޔަމަން	j ə m ə n̪
ޔޫރަޕު	j uː ɾ ə p u
ޕާކިސްތާން	p əː k i s̺ t̪ əː n̪
ޖަންގަލި	d͡ʒ ə n̪ ɡ ə l i
ޖަރްކަންދު	d͡ʒ ə ɾ k ə n̪ d̪ u
ޖުލައި	d ʒ u l æː
ޖެނުއަރީ	d ʒ e n u ə ɾ iː
ޝަހަރު	ʃ ə h ə ɾ u
ޝަރީޢަތް	ʃ ə ɾ iː ʕ ə t̪
ޝްރީ	ʃ ɾ iː
ޢަރަބި	ʕ ə ɾ ə b i
ޢުމާން	ʕ u m əː n̪
ޤުރުއާން	q u ɾ u əː n̪
