а	a
баянхонгор	p a j a ŋ x ɔ ŋ ɡ ɔ r
баяр	p a j r
баярлалаа	p a j ə r ɮ a
баярлах	p a j ə r ɮ a x
баяртай	p a j ə̠ r tʰ æː
беларусь	p e ɮ aˑ r ʊˑ s
бельги	p e ɮ i k
би	pʲ i
бид	p i t
бие	p i j
бийр	p iː r
битлз	p i tʰ ə ɮ t͡s
бичлэг	p i t͡ʃʰ ɮ e ɡ
богино	p ɔ ɡʲ ə n
бодис	p œ t ʊ s
бодисадва	p œ t ʊ s ə̠ t w aˑ
бодьсадва	p ɔ tʲ s a t w̜
бойжих	p ɔ i t͡ɕ ə x
бол	p ɔ ɮ
болгар	p ɔ ɮ ɡ a r
болд	p ɔ ɮ t
боломж	p ɔ ɮ ə m t͡ɕ
болон	p ɔ ɮ ʊ ŋ̠
болор	p ɔ ɮ ʊ r
болох	p ɔ ɮ ə x
болохоор	p ɔ ɮ χ ɔː r
больниц	p ɔ ɮʲ nʲ ə t͡sʰ
бомбо	p ɔ m p ʊ
боов	p ɔː w
боол	p ɔː ɮ
боомт	p ɔː m t
боорцог	p ɔː r t͡sʰ ə ɡ
боошиг	p ɔː ʃ i ɡ
борной	p ɔ r n ɔ i
бороо	p ɔ r ɔː
бослого	p ɔ s ɮ ə ɢ
босох	p ɔ s ə x
боть	p œ tʰ
бохь	p ɔ xʲ
бразил	p r ä t͜s iˑ ɮ
бразил	p r ɛ t͜s iˑ ɮ
буга	p ʊ ɢ
будда	p ʊ t t a
буйдан	p ʊ i t a ŋ
буйл	p ʊ i ɮ
булаацалдах	p ʊ ɮ aː t͡s a ɮ t a x
булга	p ʊ ɮ ə ɢ
булчирхай	p ʊ ɮ t͡ɕʰ ə r x a i
бумба	p ʊ m p
бурхан	p ʊ r x a ŋ
бутан	p ʊ tʰ a ŋ
буу	p ʊː
буудал	p ʊː t a ɮ
бууз	p ʊː t͡s
бууралтах	p ʊː r ə ɮ tʰ ə x
бух	p ʊ x
буян	p ʊ j ə ŋ
бэлтгэл	p e ɮ tʰ ɡ e ɮ
бэлэг	p i ɮ i ɡ
бэрс	p e r s
бэх	p e x
бээжин	p eː t͡ʃ i ŋ
бямба	pʲ a m p
бярга	p j a r ɡ
бяруу	pʲ a r ʊ
бясалгал	pʲ a s ə ɮ ɢ ə ɮ
бясалгах	pʲ a s ə ɮ ɢ ə x
бүжигчин	p u t͡ɕ ə ɡ t͡ɕʰ ə ŋ
бүйлс	p u i ɮ s
бүр	p u r
бүрхэвч	p u r x i w̜ t͡ʃʰ
бүрхүүл	p u r x u ɮ
бүс	p u s
бүх	p u x
бүхэн	p u x ə ŋ
бөднө	p o t ə n
бөс	p ɵ s
бөө	p oː
бөөлжих	p oː ɮ t͡ɕ ə x
бөөс	p oː s
в	w̜
ваар	w̜ aː r
вагон	w a ɢ ɔˑ ɴ̟
вакцин	w̜ a kʰ t͡s i ŋ
ван	w a ŋ̠
видео	w̜ iˑ tʲ ɔˑ
википедиа	w̜ i kʰ i pʰ eˑ t i͜a
вирус	w̜ iˑ r u s
вьетнам	w e tʰ n aˑ m
г	ɡ
г	ɢ
гаанс	ɢ aː n s
гавал	ɢ a w ə ɮ
гадил	ɢ a tʲ ə ɮ
гадна	ɢ a t ə n
газарч	ɢ a t͡s ə r t͡ʃʰ
гайхал	ɢ a i x a ɮ
гайхалтай	ɢ a i x ə ɮ tʰ a i
гайхамшиг	ɢ a i x a m ʃ i ɡ
гайхамшигтай	ɢ a i x a m ʃ i ɡ tʰ a i
гайхах	ɢ a i x a x
гал	ɢ a ɮ
галдах	ɢ a ɮ t ə x
галт	ɢ a ɮ tʰ
галуу	ɢ a ɮ ʊː
ган	ɢ a ŋ
ганжин	ɢ a n t͡ɕ ə ŋ
ганц	ɢ a n t͡sʰ
гар	ɢ a r
гарал	ɡ a r a ɮ
гарах	ɢ a r ə x
гарчиг	ɢ a r t͡ɕʰ ə ɡ
гатлах	ɢ a tʰ ɮ ə x
гахай	ɢ a χ æː
герман	ɡ e r m aˑ ŋ
герман	ɡ e r m aˑ ɴ̟
гийгэх	ɡ iː ɡ ĕ x
гийгүүлэгч	ɡ iː ɡ uː ɮ ĕ ɡ t͡ʃʰ
гийгүүлэх	ɡ iː ɡ uː ɮ ĕ x
говь	ɢ œ w̜
гоймон	ɢ ɔ i m ə ŋ
гол	ɢ ɔ ɮ
голланд	ɡ ɔ ɮ a n t
грек	ɡ e r e kʰ
гудамж	ɢ ʊ t ə m t͡ɕ
гуйх	ɢ ʊ i x
гулууз	ɢ ʊ ɮ ʊ t͡s
гурав	ɢ ʊ r ə w
гурил	ɢ ʊ rʲ ə ɮ
гутаах	ɢ ʊ tʰ a x
гутал	ɢ ʊ tʰ ə ɮ
гууль	ɢ ʊː ɮʲ
гэдэс	ɡ i t i s
гэлэн	ɡ i ɮ ə ŋ
гэлэнмаа	ɡ i ɮ ə m m a
гэмших	ɡ i m ʃ ə x
гэр	ɡ e r
гэргий	ɡ e r ɡ iː
гэрэл	ɡ i r i ɮ
гүзээлзгэнэ	ɡ u t͡s e ɮ d͡z ɡ ə n
гүн	ɡ u ŋ
гүнж	ɡ u n t͡ʃ
гүрвэл	ɡ u r w̜ i ɮ
гүрэн	ɡ u r e ŋ
гүүр	ɡ uː r
д	t
даваа	t a w a
давс	t a w s
давхар	t a w̜ x ə r
дайгдах	t a i ɡ t ə x
дайн	t a i ŋ
дайсан	t a i s a ŋ
дайх	t a i x
далавч	t a ɮ a w̜ t͡ʃʰ
далай	t a ɮ a i
далбаа	t a ɮ p a
дамнах	t a m n ə x
дани	t äˑ n
дани	t ɛˑ n
данс	t a n s
дарангуйлагч	t a r a ŋ ɡ ʊ i ɮ a ɡ t͡ʃʰ
дарма	t a r m
дарс	t a r s
дархан	t a r x a ŋ
дарь	t ɛ r
дасах	t a s ə x
дасгал	t a s ɢ ə ɮ
дахин	t a x i ŋ
дахин	t a xʲ ə ŋ
дахь	t ɛ χ
дельта	t eˑ ɮ tʰ aˑ
динозавр	t i n t͡s a w ə r
динозавр	t i n ɔ z a w ə r
диэн	d i͜e n
довжоо	t ɔ w̜ t͡ɕ ɔ
догшин	t ɔ ɡ ʃ ə ŋ
долоо	t ɔ ɮ ɔː
долоон	t ɔ ɮ ɔː ɴ̟
долоох	t ɔ ɮ ɔ x
дорно	t ɔ r n
доромжлох	t ɔ r ɔ m t͡ʃ ɮ ɔ x
дотор	t ɔ tʰ ə r
дох	t ɔ x
дохих	t ɔ xʲ ə x
дудран	t ʊ t r ə ŋ
дун	t ʊ ŋ
дурдах	t ʊ r t ə x
дуудлага	t ʊː t ɮ ə ɢ
дуулга	d u ɮ ɢ a
дуулгавар	t ʊː ɮ ɢ ə w ə r
дуурь	t ʊː rʲ
дуусгах	t ʊː s ɢ ə x
дуучин	t ʊː t͡ɕʰ ə ŋ
дэвтэр	t i w̜ tʰ i r
дэвшил	t i w ʃ ə ɮ
дэвшилт	t i w ʃ ə ɮ tʰ
дэвших	t i w ʃ ə x
дэл	t i ɮ
дэлгүүр	t i ɮ ɡ uː r
дэлхий	t i ɮ x iː
дэлэн	t e ɮ ə ŋ
дэлүү	t e ɮ u
дэнлүү	t e n ɮ u
дэрс	t i r s
дээл	t eː ɮ
дээр	t eː r
дүнгэр	t u ŋ ɡ ə r
дүпү	t u pʰ
дүү	t uː
дөрвөд	t ɵ r w̜ u t
дөрвөл	t ɵ r w̜ u ɮ
дөрөв	t ɵ r u w̜
е	j i
е	j ɵ
евровидение	j e w̜ r ɔ w̜ i t e n i e
европ	j ɵ w r ɔˑ pʰ
европчууд	j ɵ w r ɔˑ pʰ t͡ʃʰ ʊː t
египет	e ɡ i f tʰ
ер	j e r
ерөнхийлөгч	j o r ə ŋ x i ɮ ə ɡ t͡ɕʰ
ерөнхийлөх	e r ɵ ŋ x iː ɮ ɵ x
ес	j ɵ s
еэвэн	j eː w ə ŋ
ж	t ʃ
жаал	t͡ɕ aː ɮ
жад	t͡ɕ a t
жаргалтай	t͡ʃ a r ɡ a ɮ tʰ a i
желон	d͡ʒ e l ɔ ŋ
женев	d ʒ ɛ n ɛ f
жигнэмэг	t͡ɕ i ɡ n ə m ə ɡ
жигүүр	t͡ʃ i ɡ uː r
жижүүр	t͡ɕ i t͡ɕ u r
жимс	t͡ɕ i m s
жор	t͡ɕ ɔ r
жорлон	t͡ɕ ɔ r ɮ ə ŋ
жунгаа	t͡ʃ ʊ ŋ ɢ aː
жууцай	t͡ɕ ʊː t͡sʰ a i
з	t͡s
заан	t͜s aː ɴ̟
заарь	t͡s aː r
заах	t͡s aː x
завод	t͜s ä w̜ ɔˑ t
завь	t͡s a wʲ
заг	t͡s a ɡ
загас	t͡s a ɢ ə s
зайдуу	t͡s a i t ʊ
залах	t͡s a ɮ ə x
залбирал	t͡s a ɮ p i r a ɮ
залгамал	t͡s a ɮ ɢ ə m ə ɮ
залгах	t͡s a ɮ ɢ ə x
залгуур	t͡s a ɮ ɢ ʊ r
залуу	t͡s a ɮ ʊ
залуур	t͡s a ɮ ʊ r
зам	t͡s a m
замбага	t͡s a m p ə ɢ
зан	t͡s a ŋ
занах	t͡s a n ə x
зангилаа	t͡s a ŋ ɡʲ ə ɮ a
зангуу	t͡s a ŋ ɢ ʊ
зандах	t͡s a n t ə x
зардаг	t͡s a r t ə ɡ
зарим	t͡s a rʲ ə m
заримдаа	t͡s a rʲ ə m t a
зарлал	t͡s a r ɮ a ɮ
зарц	t͡s a r t͡s
засаг	t͡s a s ə ɡ
зах	t͡s a x
захиа	t͡s a x j a
захчин	t͜s a χ t͜ɕʰ ə ŋ
зовлон	t͡s ɔ w ɮ ə ŋ
зогсох	t͡s ɔ ɡ s ə x
золбин	t͡s ɔ ɮʲ pʲ ə ŋ
золгох	t͡s ɔ ɮ ɢ ə x
зонтик	t͜s ɔˑ n tʰ ʊ̈ kʰ
зориг	t͡s ɔ rʲ ə ɡ
зориглох	t͡s ɔ rʲ ə ɡ ɮ ə x
зоригоор	t͡s ɔ rʲ ə ɡ ɔ r
зоригт	t͡s ɔ rʲ ə ɡ tʰ
зорилго	t͡s ɔ rʲ ə ɮ ə ɢ
зорилт	t͡s ɔ rʲ ə ɮ tʰ
зоримгой	t͡s ɔ rʲ ə m ɢ ɔ i
зоримог	t͡s ɔ rʲ ə m ə ɡ
зориуд	t͡s ɔ rʲ ʊ t
зориулах	t͡s ɔ rʲ ʊ ɮ ə x
зорих	t͡s ɔ rʲ ə x
зохиол	t͜s œ x ɔː ɮ
зочин	t͡s ɔ t͡ʃʰ i ŋ
зугтах	t͡s ʊ ɡ tʰ ə x
зузаан	t͡s ʊ t͡s a ŋ
зул	t͡s ʊ ɮ
зулзага	t͡s ʊ ɮ t͡s ə ɢ
зун	t͡s ʊ ŋ
зураач	t͡s ʊ r aː t͡ʃʰ
зураг	t͡s ʊ r a ɡ
зурагт	t͡s ʊ r ə ɡ tʰ
зурагчин	t͜s ʊ r x̠ t͜ɕʰ ə ŋ
зурвас	t͡s ʊ r w ə s
зууж	t͡s ʊː t͡ɕ
зуунмод	t͡s ʊː m m ɔ t
зуух	t͡s ʊː x
зэвсэг	t͡s i w s ə ɡ
зэрлэг	t͡s e r ɮ ə ɡ
зэрэг	t͡s i r ə ɡ
зэс	t͡s i s
зээ	t͡s eː
зээлбэр	t s eː ɮ p ɪ̆ r
зээр	t͡s eː r
зээргэнэ	t͡s eː r ɡ ə n
зүй	t͡s u i
зүйр	t͡s u i r
зүйрлэл	t͡s u i r ɮ ə ɮ
зүйрлэх	t͡s u i r ɮ ə x
зүс	t͡s u s
зүү	t͡s uː
зүүд	t͡s uː t
зүүдлэх	t͡s uː t ɮ ə x
зүүн	t͡s uː ŋ
зүүнтэн	t͜s uː n tʰ ə ŋ
зөвлөгөө	t͡s o w ɮ ə ɡ o
зөвшөөрөл	t͡s ɵ w ʃ oː r ɵ ɮ
зөвшөөрөх	t͡s ɵ w ʃ oː r ɵ x
зөрүүдлэх	t͡s o r u t ɮ ə x
зөөлөн	t͡s oː ɮ ɵ ŋ
и	i
ивээл	i w eː ɮ
идэх	i t ə x
израиль	i t͡s r a i ɮʲ
ил	i ɮ
илгээх	i ɮ ɡ eː x
илд	i ɮ t
илдэх	i ɮ t ə x
иллэг	i ɮ ɮ i ɡ
илтгэл	i ɮ tʰ ɡ ə ɮ
илтгэх	i ɮ tʰ ɡ ə x
илхэн	i ɮ x ə ŋ
имрэх	i m r ə x
индонез	i n t ɔ n e t͡s
индүү	i n t uː
инээмсэглэх	i n eː m s i ɡ ɮ i x
иран	i r a ŋ
ирвэс	i r w ə s
ирц	i r t͡sʰ
ирэх	i r ə x
ирээдүй	i r e t u i
исланд	i s ɮ a n t
испани	i s pʰ aˑ n
итали	i tʰ a ɮ
их	i x
ихэр	i x ə r
й	i
к	kʰ
к	x
казахстан	kʰ ä t͜s ə ɡ s t äˑ ŋ
календарь	k a ɮ e n d a rʲ
камбож	kʰ a m p ɔ t͡ʃ
канад	kʰ a n a t
канжи	kʰ a n t͡ʃ
каучук	kʰ a w t͡ʃʰ ʊˑ kʰ
кафе	kʰ a f eˑ
келх	x i ɮ ə x
километр	kʰ i ɮ ɔ m e tʰ r
кино	kʰ i n ɔ
кинотеатр	kʰ i n ɔ tʰ e a tʰ r
комисс	kʰ ɔ m iˑ s
коммунизм	kʰ ɔ m ʊ n iˑ s ʊ m
коммунизм	kʰ ɔ m ʊ n iˑ t͜s ʊ m
компьютер	kʰ ɔ m pʰ j ʊˑ tʰ ə r
кофе	kʰ ɔˑ f eˑ
күнз	kʰ u n t͡s
л	ɮ
лал	ɮ a ɮ
лам	ɮ ä m
латви	ɮ äˑ tʰ ə w̜
либерал	ɮ i p r aˑ ɮ
лийр	ɮ iː r
лифт	ɮ i f tʰ
лондон	ɮ ɔ n t ɔ ŋ
луу	ɮ ʊː
лууван	ɮ ʊː w̜ ə ŋ
лхагва	ɬ a w ə ɡ
лхас	ɬ a s
м	m
маажих	m aː t͡ɕ ə x
маань	m æː n
магтаал	m a x t a ɮ
магтаал	m a ɡ tʰ a ɮ
магтах	m a x t ă
мал	m a ɮ
малайз	m a ɮ a i t͡s
малгай	m a ɮ ɢ a i
маллах	m a ɮ ɮ ə x
малчин	m a ɮ t͡ɕʰ ə ŋ
манай	m a n æː
манан	m a n ə ŋ
мандуулъя	m a n t ʊː ɮ iː
манж	m a n t͡ɕ
манж	m a n t͡ʃ
мануул	m a n ʊ ɮ
маргад	m a r ɡ a t
маргах	m a r ɢ a x
марк	m ä r k
массаж	m a s a t͡ʃ
мастурбаци	m ə s t ʊ r b a t͡s ɨ
мах	m a x
махийх	m a xʲ i x
махчин	m a x t͡ɕʰ ə ŋ
маш	m a ʃ
машин	m a ʃ i ŋ
мексик	m e kʰ s i kʰ
металл	m e tʰ a ɮ
метр	m e tʰ r
миний	m i n iː
минут	m i n ʊˑ tʰ
минь	m i n
мисир	m i s i r
могой	m ɔ ɢ ɔ i
мод	m ɔ t
модны	m ɔ t n iː
модоч	m ɔ t ə t͡ɕʰ
мойл	m ɔ i ɮ
молтогчин	m ɔ ɮ tʰ ə ɣ t͡ɕ ə n
монгол	m ɔ ɴ ɢ ʊ ɮ
монголоор	m ɔ ɴ ɢ ʊ ɮ ɔː r
монголч	m ɔ ɴ ɢ ʊ ɮ t͡ʃʰ
морилох	m ɔ rʲ ɮ ə x
морь	m œ r
морьхон	m œ r χ ʊ ŋ̠
москва	m ɔ s kʰ w̜ a
мотоцикл	m ɔ tʰ ɔ t͡s i kʰ ɮ
мохоо	m ɔ x ɔ
мохох	m ɔ x ə x
муж	m ʊ t͡ɕ
музей	m ʊ t͜s eː
мусульман	m ʊ s ʊ ɮʲ m a ŋ
муу	m ʊː
мушгирах	m ʊ ʃ ɡʲ ə r ə x
мэдэрхэх	m i t ə r x ə x
мэдэх	m i t ə x
мэдээ	m e t eː
мэдээлэл	m i t e ɮ ə ɮ
мэлхий	m i ɮ x i
мэндлэх	m i n t ɮ i x
мэндчилгээ	m i n t t͡ʃʰ i ɮ ɡ eː
мэргэжил	m i r ə ɡ t͡ɕ ə ɮ
мэргэжилтэн	m i r ə ɡ t͡ɕ ə ɮ tʰ ə ŋ
мэргэн	m e r ɡ e ŋ
мэс	m i s
мэт	m i tʰ
мэхээр	m i x e r
мээм	m eː m
мягмар	m i ɡ m ə̠ r
мянга	mʲ ä ɴ q
мөн	m o ŋ
мөнгө	m o ŋ ɡ
мөндөр	m ɵ n t ɵ r
мөндөрлөх	m ɵ n t ɵ r ɮ ə x
мөнх	m o ŋ x
мөр	m o r
мөрдөгч	m ɵ r t ɵ ɡ t͡ʃʰ
мөрдөх	m ɵ r t ɵ x
мөрөвч	m o r ə w t͡ɕʰ
мөрөн	m ɵ r u ŋ
мөрөөдөл	m o r o t ə ɮ
мөс	m o s
мөс	m ɘ s
мөчир	m o t͡ɕʰ ə r
н	n
н	ŋ
наадам	n aː t ə̠ m
надад	n a t ə t
най	n a i
найдах	n æː t ə̠ χ
найз	n a i t͡s
наймалж	n a i m a ɮ t͡ʃ
найтаах	n a i tʰ a x
нам	n a m
намар	n a m a r
намтар	n a m tʰ ə r
нар	n ɐ ɾ
нарийн	n a rʲ i ŋ
начин	n ɑ t͡ɕ i n
непал	n e pʰ a ɮ
нидерланд	n i t e r ɮ a n t
нийгэм	n iː ɡ i m
нийтгэх	n iː tʰ ɡ e x
нийх	n iː x
нил	n i ɮ
нисгэгч	n i s ɡ e ɡ t͡ʃʰ
нисгэх	n i s ɡ e x
ногоон	n ɔ ɢ ɔː ŋ
ном	n ɔ m
номхон	n ɔ m x ɔ ŋ
норвег	n ɔ r w eˑ ɡ
норвеги	n ɔ r w eˑ ɡ
нохой	n ɔ x ɔ i
ноён	n ɔ j ə ŋ
нугалам	n ʊ ɢ ɮ ə m
нурам	n ʊ r ə m
нус	n ʊ s
нутаг	n ʊ tʰ ə̠ ɡ̠
нуур	n ʊː r
нууц	n ʊː t͡s
нь	n
нь	ə n
нэг	n e ɡ
нэмэр	n i m ə r
нэмэх	n i m ə x
нэр	n e r
нэхмэл	n i x m ə ɮ
нээлттэй	n eː ɮ tʰ tʰ e
нээх	n eː x
нялх	nʲ a ɮ x
ням	nʲ a m
нүдүүр	n u t u r
нүүдэлчин	n uː t i ɮ t͡ʃʰ i ŋ
нөгөө	n ɵ ɡ oː
нөлөө	n o ɮ o
нөхцөл	n o x t͡sʰ ə ɮ
нөхөр	n ɵ x u r
нөөц	n oː t͡sʰ
нөөцлөх	n oː t͡sʰ ɮ ə x
о	ɔ
овог	ɔ w ʊ k̠
овьёос	ɔ w j ɔ s
огих	ɔ ɡʲ ə x
оготор	ɔ ɢ tʰ ə r
огурцы	o ɡ ə r t͡sʰ i
од	ɔ t
одоо	ɔ t ɔ
озох	ɔ t͡s ɔ x
ойлгох	ɔ i ɮ ɢ ə x
оймс	o i m s
ойрад	œː r t
олон	ɔ ɮ ə ŋ
омог	ɔ m ə ɡ
онгоц	ɔ ŋ ɢ ə t͡sʰ
онигоо	ɔ nʲ ɢ ɔ
оноо	ɔ n ɔ
онь	ɔ nʲ
оньс	ɔ nʲ s
оочир	ɔː t͡ɕʰ ə r
опер	ɔ pʰ e r
ор	ɔ r
орой	ɔ r ɔ i
оройвч	ɔ r ɔ i w t͡ɕʰ
ором	ɔ r ə m
орон	ɔ r ə ŋ
орос	ɔ r ʊ s
орох	ɔ r ʊ χ
орчим	ɔ r t͡ɕʰ ə m
орчуулах	ɔ r t͡ʃʰ ʊː ɮ a x
орчуулга	ɔ r t͡ʃʰ ʊː ɮ ɡ
оффис	ɔ f f i s
охин	œ χ ə ŋ
очих	ɔ t͡ɕʰ ə x
оюутан	ɔ j ʊ tʰ ə ŋ
оёдол	ɔ j t ə ɮ
оёх	ɔ j ʊ χ
п	pʰ
пальто	pʰ a ɮʲ tʰ ɔ
парламент	pʰ a r ɮ a m e n tʰ
паспорт	pʰ a s pʰ ə r tʰ
перс	pʰ e r s
пиво	pʰ iˑ w̜
пигүүж	pʰ i ɡ u t͡ɕ
пиджак	pʰ i t t͡ʃ a kʰ
пийшин	pʰ iː ʃ ə ŋ
подвоолк	pʰ ɔ t w̜ ɔː ɮ kʰ
польш	pʰ œˑ ɮ ʃ
польш	pʰ ɔˑ ɮ ʃ
португал	pʰ ɔ r tʰ ʊ ɡ a ɮ
програм	pʰ r ɔ ɡ r a m
пулемёт	pʰ u ɮ mʲ ɔˑ tʰ
пуужин	pʰ ʊː t͡ɕ ə ŋ
пүрэв	pʰ u r u w
р	r
радио	r aˑ tʲ ɔˑ
размер	r a t͡s m e r
резин	i r t͡s eː ŋ
резин	r e t͡s i ŋ
ресторан	e r s tʰ r aˑ ŋ
ресторан	r e s tʰ r aˑ ŋ
рубль	r ʊ p ɮʲ
с	s
саатал	s aː tʰ ə ɮ
саваа	s a w a
саван	s a w̜ a ŋ
савар	s a w ə r
сайд	s æː t
сайн	s æː ɴ̟
сайншанд	s a i ŋ ʃ a n t
сайхан	s a i x a ŋ
салах	s a ɮ ə x
салхи	s æ ɮ x
сам	s a m
самбар	s a m p ə r
сампин	s a m pʰ i ŋ
сан	s a ŋ
санах	s a n ə x
сансар	s a n s ə r
сар	s a r
сар	s ɐ ɾ
сарлаг	s a r ɮ ə ɡ
сармис	s a r mʲ ə s
сартуул	s a r tʰ ʊː ɮ
сая	s a j
симфони	s i m f ɔˑ n
сири	s iˑ r
сойз	s ɔ i t͡s
солгой	s ɔ ɮ ɢ ɔ i
солих	s ɔ ɮʲ ə x
солонго	s ɔ ɮ ʊ ɴ ɢ
солонго	s ʊ l ɘ ŋ
солонгос	s ɔ ɮ ɔ ŋ ɡ ə s
сонгох	s ɔ ŋ ɢ ə x
сонгууль	s ɔ ŋ ɢ ʊ ɮʲ
сонин	s œ n ə ŋ
сонирхол	s ɔ nʲ ə r x ə ɮ
сонсох	s ɔ n s ə x
сорих	s ɔ rʲ ə x
соруул	s ɔ r ʊ ɮ
соруулах	s ɔ r ʊ ɮ ə x
социализм	s ɔ t͡s i a ɮ i t͡s m
соёл	s ɔ j ʊ ɮ
соёо	s ɔ j ɔː
судар	s ʊ t ə r
сул	s o ɬ
сум	s ʊ m
сурагч	s ʊ r a ɡ t͡ʃʰ
суралцах	s ʊ r a ɮ t͡s a x
сурах	s ʊ r ə x
сурвалж	s ʊ r w ə ɮ t͡ɕ
сургах	s ʊ r ɡ a x
сургууль	s ʊ r ɢ ʊ̈ː ɮ
суурь	s ʊː rʲ
суух	s ʊː x
сэжиг	s i t͡ɕ ə ɡ
сэлэх	s e ɮ ə x
сэрэх	s e r ə x
сэрээх	s e r eː x
сэтгэл	s i tʰ ɡ ə ɮ
сэтгүүл	s e tʰ ɡ u ɮ
сүмс	s u m s
сүнс	s u n s
сүрчиг	s u r t͡ʃʰ i k
сүрэг	s u r ə ɡ
сүх	s u x
сүү	s uː
сүүдэр	s uː t ə r
сөүл	s ɵ u ɮ
т	tʰ
та	tʰ a
таах	tʰ aː x
тав	tʰ ä w̜
тавин	tʰ ɛ w̜ ə ŋ
тавих	tʰ a wʲ ə x
тавхай	tʰ a w x a i
тавь	tʰ ɛ w̜
тайван	tʰ æː w ə̠ ŋ̠
тайланд	tʰ a i ɮ a n t
такси	tʰ a kʰ s i
талбай	tʰ a ɮ p a i
талх	tʰ a ɮ x
тамах	tʰ a m ə x
тамга	tʰ a m ə ɢ
танц	tʰ a n t͡sʰ
тарвага	tʰ a r w ə ɢ
тархах	tʰ a r x ə x
тархи	tʰ a rʲ xʲ
татаар	tʰ ä tʰ äː r
татах	tʰ a tʰ ə x
татвар	tʰ a tʰ w̜ ə r
тахиа	tʰ æ x i͜a
таяг	tʰ a j ə ɡ
тб	tʰ ɪ r p ʊ m
театр	tʰ i͜a tʰ ə r
телевиз	tʰ e ɮ e w̜ i t͡s
телевизор	tʰ e ɮ e w̜ i t͡s ɔ r
телефон	tʰ e ɮ e f ɔ ŋ
