a	ɑː
hambapasta	h ɑ m b̥ ɑ p ɑ s t ɑ
hele	h e l e
heleda	h e l e d̥ ɑ
helisema	h e l i s e m ɑ
hertsegoviina	h e r t s e ɡ̊ o v iː n ɑ
hirm	h i r m
hispaania	h i s p ɑː n i ɑ
homme	h o mː e
hoomama	h oː m ɑ m ɑ
horvaatia	h o r v ɑː t i ɑ
hypnos	h y p n o s
häbemekink	h æ b̥ e m e k i ŋ k
hüüumärk	h y i̯ u m æ r k
igaüks	i ɡ̊ ɑ y k s
iiri	iː r i
iirimaa	iː r i m ɑː
ilu	i l u
iludus	i l u d̥ u s
iris	i r i s
island	i s l ɑ n d̥
itaalia	i t ɑː l i ɑ
j	j o tʲː
jaanipäev	j ɑː n i p æ e̯ v
jalanõu	j ɑ l ɑ n ɤ u̯
jalka	j ɑ l k ɑ
jana	j ɑ n ɑ
jelena	j e l e n ɑ
jooma	j oː m ɑ
jumalanna	j u m ɑ l ɑ nː ɑ
jupiter	j u p i t e r
juurima	j uː r i m ɑ
järgmine	j æ r ɡ̊ m i n e
jääaeg	j æː ɑ e̯ ɡ̊
jõulud	j ɤ u̯ l u d̥
jõululaupäev	j ɤ u̯ l u l ɑ u̯ p æ e̯ v
k	k ɑː
kaaren	k ɑː r e n
kaheksa	k ɑ h e k s ɑ
kaheksateist	k ɑ h e k s ɑ t e i̯ s t
kaheksateistkümnene	k ɑ h e k s ɑ t e i̯ s t k y m n e n e
kaheksateistkümnes	k ɑ h e k s ɑ t e i̯ s t k y m n e s
kahjurvara	k ɑ h j u r v ɑ r ɑ
kairo	k ɑ i̯ r o
kaja	k ɑ j ɑ
kaks	k ɑ k s
kaksteist	k ɑ k s t e i̯ s t
kalamari	k ɑ l ɑ m ɑ r i
kalamees	k ɑ l ɑ m eː s
kalender	k ɑ l e n d̥ e r
kalli	k ɑ lʲː i
kalli	k ɑ lʲːː i
kampsun	k ɑ m p s u n
kann	k ɑ nʲː
kann	k ɑ nː
kapuuts	k ɑ p uː t s
kasahstan	k ɑ s ɑ h s t ɑ n
kass	k ɑ sʲː
kassi	k ɑ sː i
kastrul	k ɑ s t r u l
kasutama	k ɑ s u t ɑ m ɑ
kauboi	k ɑ u̯ b̥ o i̯
kauss	k ɑ u̯ sː
keel	k eː l
kepp	k e pː
keset	k e s e t
kett	k e tʲː
kiiev	k iː e v
kiik	k iː k
kiikuma	k iː k u m ɑ
kiire	k iː r e
kiire	k iːː r e
kiirusepiirang	k iː r u s e p iː r ɑ ŋ ɡ̊
kiiruspiirang	k iː r u s p iː r ɑ ŋ ɡ̊
king	k i ŋ ɡ̊
kloor	k l oː r
kolm	k o l m
kolmapäev	k o l m ɑ p æ e̯ v
kolmapäev	k o l m ɑ pː æ e̯ v
kolmteist	k o l m t e i̯ s t
kontor	k o n t o r
kood	k oː d̥ʲ
kooliõpetaja	k oː l i ɤ p e t ɑ j ɑ
kopenhaagen	k o p e n h ɑː ɡ̊ e n
kott	k o tʲː
kott	k o tː
kreeka	k r eː k ɑ
kriit	k r iː t
kruus	k r uː s
kruus	k r uː sʲ
krõbe	k r ɤ b̥ e
kuningas	k u n i ŋ ɡ̊ ɑ s
kunst	k u nʲ s t
kuu	k uː
kuueteistkümnes	k uː e t e i̯ s t k y m n e s
kuum	k uː m
kuus	k uː s
kuusteist	k uː s t e i̯ s t
käibemaks	k æ i̯ b̥ e m ɑ k s
käitumine	k æ i̯ t u m i n e
käivitama	k æ i̯ v i t ɑ m ɑ
känd	k æ n d̥
käsi	k æ s i
käsi	k æ sʲ i
kättemaks	k æ tː e m ɑ k s
kõblas	k ɤ b̥ l ɑ s
kõht	k ɤ h t
kõige	k ɤ i̯ ɡ̊ e
kõik	k ɤ i̯ k
kõmr	k ɤ m r
kõne	k ɤ n e
kõrb	k ɤ r b̥
kõri	k ɤ r i
kõrs	k ɤ r s
kõrv	k ɤ r v
kõõm	k ɤː m
küll	k y lʲː
külm	k y lʲ m
kümme	k y mː e
küpros	k y p r o s
küsimus	k y s i m u s
küüslauk	k yː s l ɑ u̯ k
l	e lː
lagrits	l ɑ ɡ̊ r i t s
lahti	l ɑ h t i
laisk	l ɑ i̯ s k
laiskus	l ɑ i̯ s k u s
laul	l ɑ u̯ l
laupäev	l ɑ u̯ p æ e̯ v
laupäev	l ɑ u̯ pː æ e̯ v
lebama	l e b̥ ɑ m ɑ
leedu	l eː d̥ u
lehm	l e h m
lesima	l e s i m a
liechtenstein	l i h t e n ʃ t ɑ i̯ n
lift	l i f t
liikluspiirang	l iː k l u s p iː r ɑ ŋ ɡ̊
liikumispiirang	l iː k u m i s p iː r ɑ ŋ ɡ̊
liin	l iː n
lind	l i n d̥
lissabon	l i sː ɑ b̥ o n
loom	l oː m
lubama	l u b̥ ɑ m ɑ
luide	l u i̯ d̥ e
lust	l u sʲ t
läbi	l æ b̥ i
läti	l æ t i
lõbu	l ɤ b̥ u
lõpp	l ɤ pː
lõug	l ɤ u̯ ɡ̊
lõuna	l ɤ u̯ n ɑ
lõunamanner	l ɤ u̯ n ɑ m ɑ nː e r
lõvi	l ɤ v i
m	e mː
ma	m ɑ
maailmavaade	m ɑː i l m ɑ v ɑː d̥ e
madrid	m ɑ d̥ r i d̥
magusjuur	m ɑ ɡ̊ u s j uː r
maine	m ɑ i̯ n e
maitse	m ɑ i̯ t s e
maks	m ɑ k s
malta	m ɑ l t ɑ
mandariin	m ɑ n d̥ ɑ r iː n
manner	m ɑ nː e r
marek	m ɑ r e k
mars	m ɑ r s
martin	m ɑ r t i n
mast	m ɑ sʲ t
mastirida	m ɑ sʲ t i r i d̥ ɑ
meene	m eː n e
meene	m eːː n e
mees	m eː s
miks	m i k s
mina	m i n ɑ
minsk	m i n s k
misjonär	m i s j o n æ r
monument	m o n u m e nʲ t
mood	m oː d̥ʲ
moor	m oː r
mootorratas	m oː t o r r ɑ t ɑ s
moskva	m o s k v ɑ
mulk	m u lʲ k
munn	m u nʲː
muretsema	m u r e t s e m ɑ
must	m u s t
mänd	m æ n d̥
mänd	m æ nʲ d̥
mäng	m æ ŋ ɡ̊
mõis	m ɤ i̯ s
mõla	m ɤ l ɑ
mõrsja	m ɤ r s j ɑ
mõtlemine	m ɤ t l e m i n e
möllama	m ø lː ɑ m ɑ
mürk	m y r k
müts	m y t s
müts	m y tʲ s
müük	m yː k
müükla	m yː k l ɑ
müüma	m yː m ɑ
n	e nː
naine	n ɑ i̯ n e
napoli	n ɑː p o l i
nats	n ɑ tʲ s
neiu	n e i̯ u
neli	n e l i
neliteist	n e l i t e i̯ s t
neljapäev	n e l j ɑ p æ e̯ v
neljapäev	n e l j ɑ pː æ e̯ v
neljateistkümnes	n e l j ɑ t e i̯ s t k y m n e s
niidistik	n iː d̥ i s t i k
niit	n iː t
nikkuma	n i kː u m ɑ
nimi	n i m i
noor	n oː r
nuss	n u sʲː
nuuk	n uː k
nädalapäev	n æ d̥ ɑ l ɑ p æ e̯ v
nädalavahetus	n æ d̥ ɑ l ɑ v ɑ h e t u s
nõrk	n ɤ r k
nõu	n ɤ u
nõu	n ɤ u̯
o	oː
okeaania	o k e ɑ̯ ɑ n i ɑ
on	o n
oslo	o s l o
otsetõus	o t s e t ɤ u̯ s
p	p eː
paat	p ɑː t
paat	p ɑː tʲ
paber	p ɑ b̥ e r
pagar	p ɑ ɡ̊ ɑ r
pahavara	p ɑ h ɑ v ɑ r ɑ
palk	p ɑ l k
palk	p ɑ lʲ k
pall	p ɑ lʲː
palli	p ɑ lː i
pariis	p ɑ r iː s
peegel	p eː ɡ̊ e l
piinama	p iː n ɑ m ɑ
piir	p iː r
piiraja	p iː r ɑ j ɑ
piiramatus	p iː r ɑ m ɑ t u s
piiramine	p iː r ɑ m i n e
piiramislahing	p iː r ɑ m i s l ɑ h i ŋ ɡ̊
piiramismasin	p iː r ɑ m i s m ɑ s i n
piiramisrõngas	p iː r ɑ m i s r ɤ ŋ ɡ̊ ɑ s
piiramisseisukord	p iː r ɑ m i s s e i̯ s u k o r d̥
piiramistorn	p iː r ɑ m i s t o r n
piirang	p iː r ɑ ŋ ɡ̊
piiratus	p iː r ɑ t u s
piirdumine	p iː r d̥ u m i n e
piire	p iː r e
pistma	p i s t m ɑ
pitsa	p i t s ɑ
pluuto	p l uː t o
politsei	p o l i t s e i̯
pood	p oː d̥ʲ
pool	p oː l
pool	p oː lʲ
poola	p oː l ɑ
porno	p o r n o
pornograafia	p o r n o ɡ̊ r ɑː f j ɑ
pott	p o tʲː
praha	p r ɑ h ɑ
prantsusmaa	p r ɑ n t s u s m ɑː
purse	p u r s e
päev	p æ e̯ v
pähkel	p æ h k e l
pärdik	p æ r d̥ i k
pärnu	p æ r n u
põhiseadus	p ɤ h i s e ɑ̯ d̥ u s
põldpüü	p ɤ l d̥ p yː
põlv	p ɤ l v
põlv	p ɤ lʲ v
põlvitama	p ɤ lʲ v i t ɑ m ɑ
pühamu	p y h ɑ m u
pühapäev	p y h ɑ p æ e̯ v
pühapäev	p y h ɑ pː æ e̯ v
pürgima	p y r ɡ̊ i m ɑ
püü	p yː
q	k uː
r	e rː
rahvaarv	r ɑ h v ɑ ɑ r v
rakk	r ɑ kː
rand	r ɑ n d̥
rasv	r ɑ s v
ratas	r ɑ t ɑ s
resto	r e s t o
restoran	r e s t o r ɑ n
režissöör	r e ʒ i sː øː r
rida	r i d̥ ɑ
riia	r iː ɑ
riietumine	r iː e t u m i n e
riik	r iː k
riist	r iː s t
rikastuma	r i k ɑ s t u m ɑ
risti	r i s t i
risti	r i sːʲ t i
roman	r o m ɑ n
rooma	r oː m ɑ
rootsi	r oː t s i
rott	r o tʲː
rumeenia	r u m eː n i ɑ
rutt	r u tː
ründevara	r y n d̥ e v ɑ r ɑ
s	e sː
saada	s ɑː d̥ ɑ
saada	s ɑːː d̥ ɑ
saaremaa	s ɑː r e m ɑː
saksamaa	s ɑ k s ɑ m ɑː
sarajevo	s ɑ r ɑ j e v o
saun	s ɑ u̯ n
seek	s eː k
segama	s e ɡ̊ ɑ m ɑ
sein	s e i̯ n
seitse	s e i̯ t s e
seitseteist	s e i̯ t s e t e i̯ s t
seitsmeteistkümnes	s e i̯ t s m e t e i̯ s t k y m n e s
seljak	s e l j ɑ k
siim	s iː m
siimeon	s iː m e o̯ n
siimon	s iː m o n
sild	s i l d̥
singapur	s i ŋ ɡ̊ ɑ p u r
sinine	s i n i n e
sinisilmne	s i n i s i l m n e
sittuma	s i tː u m ɑ
skorpion	s k o r p j o n
slovakkia	s l o v ɑ kː i ɑ
sloveenia	s l o v eː n i ɑ
sofia	s o f i ɑ
solvang	s o l v ɑ ŋ ɡ̊
soolama	s oː l ɑ m ɑ
soome	s oː m e
stsenarist	s t s e n ɑ r i s t
suguti	s u ɡ̊ u t i
suits	s u i̯ t s
sulg	s u l ɡ̊
sulg	s u lʲ ɡ̊
sõbranna	s ɤ b̥ r ɑ nː ɑ
sõltlane	s ɤ l t l ɑ n e
sõltuvus	s ɤ l t u v u s
sõna	s ɤ n ɑ
sõnavabadus	s ɤ n ɑ v ɑ b̥ ɑ d̥ u s
sõnn	s ɤ nː
sööma	s øː m ɑ
sügav	s y ɡ̊ ɑ v
sülearvuti	s y l e ɑ r v u t i
sülg	s y lʲ ɡ̊
süva	s y v ɑ
süvameri	s y v ɑ m e r i
ta	t ɑ
taani	t ɑː n i
tahab	t ɑ h ɑ b̥
tahad	t ɑ h ɑ d̥
tallama	t ɑ lː ɑ m ɑ
tallinn	t ɑ lʲ i n ɑ
tallinn	t ɑ lʲ n ɑ
tallinn	t ɑ lʲː i nː
tallinn	t ɑ lʲːː i nː
tasand	t ɑ s ɑ n d̥
tegevuspiirang	t e ɡ̊ e v u s p iː r ɑ ŋ ɡ̊
teie	t e i̯ e
teisipäev	t e i̯ s i p æ e̯ v
teisipäev	t e i̯ s i pː æ e̯ v
tema	t e m ɑ
teo	t e o̯̯
terav	t e r ɑ v
tibla	t i b̥ l ɑ
tiss	t i sː
toimingupiirang	t o i̯ m i ŋ ɡ̊ u p iː r ɑ ŋ ɡ̊
toit	t o i̯ t
tollipiirang	t o lː i p iː r ɑ ŋ ɡ̊
tonn	t o nʲː
tool	t oː l
tool	t oː lʲ
toote	t oː tː e
toote	t oː tːː e
torino	t o r iː n o
tugev	t u ɡ̊ e v
tugevus	t u ɡ̊ e v u s
tuli	t u l i
tuli	t u lʲ i
tuul	t uː l
täi	t æ i̯
täna	t æ n ɑ
tänan	t æ n ɑ n
tõlk	t ɤ lʲ k
tünn	t y nʲː
türklane	t y r k l ɑ n e
tšehhi	t ʃ e hː i
tšehhimaa	t ʃ e hː i m ɑː
ukraina	u k r ɑ i̯ n ɑ
ungari	u ŋ ɡ̊ ɑ r i
uno	u n o
urg	u rː k
urr	u rː
vabandage	v ɑ b̥ ɑ n d̥ ɑ ɡ̊ e
vabandust	v ɑ b̥ ɑ n d̥ u s t
vagu	v ɑ ɡ̊ u
vaheldus	v ɑ h e l d̥ u s
vahetusõpilane	v ɑ h e t u s ɤ p i l ɑ n e
valamu	v ɑ l ɑ m u
valge	v ɑ l ɡ̊ e
valgevene	v ɑ l ɡ̊ e v e n e
vall	v ɑ lʲː
valletta	v ɑ lː e tː ɑ
valmis	v ɑ lʲ m i s
vana	v ɑ n ɑ
vandenõu	v ɑ n d̥ e n ɤ u̯
vandenõuteooria	v ɑ n d̥ e n ɤ u̯ t e o̯ː r i ɑ
vanusepiirang	v ɑ n u s e p iː r ɑ ŋ ɡ̊
vapper	v ɑ pː e r
varamu	v ɑ r ɑ m u
varjupaik	v ɑ r j u p ɑ i̯ k
vatikan	v ɑ t i k ɑ n
veevarustus	v eː v ɑ r u s t u s
vene	v e n e
venemaa	v e n e m ɑː
vesi	v e s i
viieteistkümnes	v iː e t e i̯ s t k y m n e s
viin	v iː n
viis	v iː s
viisteist	v iː s t e i̯ s t
vikat	v i k ɑ t
vikisõnaraamat	v i k i s ɤ n ɑ r ɑː m ɑ t
vimm	v i mː
virsik	v i r s i k
voodi	v oː d̥ i
vorst	v o r s t
väärikus	v æː r i k u s
või	v ɤ i̯
võimalus	v ɤ i̯ m ɑ l u s
wc	v eː t s eː
z	t s e tː
zombi	s o m b̥ i
ä	æː
ämblikuvõrk	æ m b̥ l i k u v ɤ r k
ärkama	æ r k ɑ m ɑ
äss	æ sː
õ	ɤ
õ	ɤː
õhtu	ɤ h t u
õhupall	ɤ h u p ɑ lʲː
õiglus	ɤ i̯ ɡ̊ l u s
õigus	ɤ i̯ ɡ̊ u s
õnnelik	ɤ nː e l i k
õpetaja	ɤ p e t ɑ j ɑ
õpetamine	ɤ p e t ɑ m i n e
õpilane	ɤ p i l ɑ n e
õppima	ɤ pː i m ɑ
õppimine	ɤ pː i m i n e
õrnus	ɤ r n u s
õunapuu	ɤ u̯ n ɑ p uː
õunapuu	ɤ u̯ n ɑ pː uː
öö	øː
öökima	øː k i m ɑ
ööliblikas	øː l i b̥ l i k ɑ s
üheksa	y h e k s ɑ
üheksateist	y h e k s ɑ t e i̯ s t
üheksateistkümnendik	y h e k s ɑ t e i̯ s t k y m n e n d̥ i k
üheksateistkümnene	y h e k s ɑ t e i̯ s t k y m n e n e
üheksateistkümnes	y h e k s ɑ t e i̯ s t k y m n e s
ühikas	y h i k ɑ s
ühiskond	y h i s k o n d̥
ühiskondlik	y h i s k o n d̥ l i k
ühistransport	y h i s t r ɑ n s p o r t
üks	y k s
üksi	y k s i
ükssarvik	y k s s ɑ r v i k
üksteist	y k s t e i̯ s t
üles	y l e s
ümberlõikamine	y m b̥ e r l ɤ i̯ k ɑ m i n e
ütlema	y t l e m ɑ
š	ʃ ɑː
šaakal	ʃ ɑː k ɑ l
šampoon	ʃ ɑ m p oː n
šiiit	ʃ i iː t
šotimaa	ʃ o t i m ɑː
ž	ʒ eː
žilett	ʒ i l e tʲː
žürii	ʒ y r iː
